# _root_ era_berean , beti erabiltzeko prest edukiko dituen goiz , eguerdi eta gauerako opari ekitaldietarako beharrezko gaiak zainduko ditu lorategian .
#goldHeads=0,1,6,5,6,16,6,11,8,11,14,11,14,16,16,17,0,17,17,19,
#predictedHeads=17,1,4,6,6,8,6,11,8,11,17,11,14,16,16,17,0,17,17,19,
(4,13),-2.66078 # DEPENDENCYPART_ARC
(4,14),-3.87467 # DEPENDENCYPART_ARC
(4,15),-2.69367 # DEPENDENCYPART_ARC
(4,16),-3.64587 # DEPENDENCYPART_ARC
(4,17),-2.83489 # DEPENDENCYPART_ARC
(4,18),-4.04113 # DEPENDENCYPART_ARC
(4,19),-2.06377 # DEPENDENCYPART_ARC
(5,3),-0.459239 # DEPENDENCYPART_ARC
(5,4),-0.0793006 # DEPENDENCYPART_ARC
(5,6),-0.678124 # DEPENDENCYPART_ARC
(5,9),-0.633247 # DEPENDENCYPART_ARC
(6,1),-0.0871435 # DEPENDENCYPART_ARC
(6,2),-1.16523 # DEPENDENCYPART_ARC
(6,3),0.200069 # DEPENDENCYPART_ARC
(6,4),1.62975 # DEPENDENCYPART_ARC
(6,5),0.950163 # DEPENDENCYPART_ARC
(6,7),2.29747 # DEPENDENCYPART_ARC
(6,8),0.730374 # DEPENDENCYPART_ARC
(6,9),-0.713729 # DEPENDENCYPART_ARC
(6,10),-0.77244 # DEPENDENCYPART_ARC
(6,11),0.059879 # DEPENDENCYPART_ARC
(6,12),-2.31605 # DEPENDENCYPART_ARC
(6,13),-1.5711 # DEPENDENCYPART_ARC
(6,14),-2.08438 # DEPENDENCYPART_ARC
(6,15),-1.65346 # DEPENDENCYPART_ARC
(6,16),-1.6385 # DEPENDENCYPART_ARC
(6,17),-0.927539 # DEPENDENCYPART_ARC
(6,18),-1.5492 # DEPENDENCYPART_ARC
(6,19),-0.520151 # DEPENDENCYPART_ARC
(7,4),-1.4957 # DEPENDENCYPART_ARC
(7,5),-0.973879 # DEPENDENCYPART_ARC
(7,8),-0.907001 # DEPENDENCYPART_ARC
(8,1),-1.35782 # DEPENDENCYPART_ARC
(8,2),-1.39957 # DEPENDENCYPART_ARC
(8,3),-1.24347 # DEPENDENCYPART_ARC
(8,4),-1.7819 # DEPENDENCYPART_ARC
(8,5),-0.846321 # DEPENDENCYPART_ARC
(8,6),0.441597 # DEPENDENCYPART_ARC
(8,7),-0.691999 # DEPENDENCYPART_ARC
(8,9),1.53218 # DEPENDENCYPART_ARC
(8,10),-0.000925383 # DEPENDENCYPART_ARC
(8,11),-0.272953 # DEPENDENCYPART_ARC
(8,12),-0.534123 # DEPENDENCYPART_ARC
(8,13),-0.427195 # DEPENDENCYPART_ARC
(8,17),-0.465748 # DEPENDENCYPART_ARC
(8,19),-0.59269 # DEPENDENCYPART_ARC
(8,20),-0.0178702 # DEPENDENCYPART_ARC
(9,4),-0.617899 # DEPENDENCYPART_ARC
(9,6),-0.209125 # DEPENDENCYPART_ARC
(9,7),-0.931674 # DEPENDENCYPART_ARC
(9,8),-0.102706 # DEPENDENCYPART_ARC
(9,10),-0.447604 # DEPENDENCYPART_ARC
(9,17),-1.34369 # DEPENDENCYPART_ARC
(9,19),-1.0602 # DEPENDENCYPART_ARC
(10,6),-1.45598 # DEPENDENCYPART_ARC
(10,8),-0.682969 # DEPENDENCYPART_ARC
(10,9),-0.15977 # DEPENDENCYPART_ARC
(10,12),-0.568748 # DEPENDENCYPART_ARC
(10,15),-0.887893 # DEPENDENCYPART_ARC
(10,20),-0.761156 # DEPENDENCYPART_ARC
(11,1),-0.993341 # DEPENDENCYPART_ARC
(11,3),-0.876101 # DEPENDENCYPART_ARC
(11,4),-1.407 # DEPENDENCYPART_ARC
(11,5),-1.01493 # DEPENDENCYPART_ARC
(11,6),-0.479145 # DEPENDENCYPART_ARC
(11,7),-0.717511 # DEPENDENCYPART_ARC
(11,8),0.776355 # DEPENDENCYPART_ARC
(11,9),-1.51135 # DEPENDENCYPART_ARC
(11,10),2.54552 # DEPENDENCYPART_ARC
(11,12),2.27078 # DEPENDENCYPART_ARC
(11,13),-0.130503 # DEPENDENCYPART_ARC
(11,14),1.12007 # DEPENDENCYPART_ARC
(11,15),-0.637294 # DEPENDENCYPART_ARC
(11,16),0.959086 # DEPENDENCYPART_ARC
(11,17),-0.755737 # DEPENDENCYPART_ARC
(11,19),-0.85608 # DEPENDENCYPART_ARC
(12,10),-1.16195 # DEPENDENCYPART_ARC
(12,11),-1.00421 # DEPENDENCYPART_ARC
(12,13),-0.882434 # DEPENDENCYPART_ARC
(12,14),-2.92159 # DEPENDENCYPART_ARC
(12,15),-3.51962 # DEPENDENCYPART_ARC
(12,18),-3.78246 # DEPENDENCYPART_ARC
(12,20),-1.53208 # DEPENDENCYPART_ARC
(13,3),-1.44845 # DEPENDENCYPART_ARC
(13,8),-1.14084 # DEPENDENCYPART_ARC
(13,9),-1.71924 # DEPENDENCYPART_ARC
(13,10),-0.542924 # DEPENDENCYPART_ARC
(13,11),0.0170878 # DEPENDENCYPART_ARC
(13,12),1.29627 # DEPENDENCYPART_ARC
(13,14),0.185775 # DEPENDENCYPART_ARC
(13,15),-0.107641 # DEPENDENCYPART_ARC
(13,16),-0.489685 # DEPENDENCYPART_ARC
(13,18),-1.65538 # DEPENDENCYPART_ARC
(13,20),-0.903304 # DEPENDENCYPART_ARC
(14,1),-1.45272 # DEPENDENCYPART_ARC
(14,10),-0.720671 # DEPENDENCYPART_ARC
(14,11),-0.105471 # DEPENDENCYPART_ARC
(14,12),1.30683 # DEPENDENCYPART_ARC
(14,13),1.718 # DEPENDENCYPART_ARC
(14,15),-0.799775 # DEPENDENCYPART_ARC
(14,16),-2.09088 # DEPENDENCYPART_ARC
(14,17),-3.18114 # DEPENDENCYPART_ARC
(14,18),-3.14126 # DEPENDENCYPART_ARC
(14,19),-3.51886 # DEPENDENCYPART_ARC
(14,20),-1.26412 # DEPENDENCYPART_ARC
(15,12),-1.30145 # DEPENDENCYPART_ARC
(15,13),-1.14943 # DEPENDENCYPART_ARC
(15,14),-0.174688 # DEPENDENCYPART_ARC
(15,16),0.0350138 # DEPENDENCYPART_ARC
(16,1),-0.912647 # DEPENDENCYPART_ARC
(16,3),-0.719341 # DEPENDENCYPART_ARC
(16,5),-0.742808 # DEPENDENCYPART_ARC
(16,6),-0.58219 # DEPENDENCYPART_ARC
(16,8),-0.502656 # DEPENDENCYPART_ARC
(16,9),-1.36925 # DEPENDENCYPART_ARC
(16,10),-0.791817 # DEPENDENCYPART_ARC
(16,11),0.0388498 # DEPENDENCYPART_ARC
(16,12),0.652385 # DEPENDENCYPART_ARC
(16,13),0.158665 # DEPENDENCYPART_ARC
(16,14),2.00985 # DEPENDENCYPART_ARC
(16,15),1.80183 # DEPENDENCYPART_ARC
(16,17),-0.860211 # DEPENDENCYPART_ARC
(16,18),-1.07939 # DEPENDENCYPART_ARC
(16,19),-1.77789 # DEPENDENCYPART_ARC
(16,20),-0.848086 # DEPENDENCYPART_ARC
(17,1),0.371934 # DEPENDENCYPART_ARC
(17,2),-2.01533 # DEPENDENCYPART_ARC
(17,3),-0.0492974 # DEPENDENCYPART_ARC
(17,4),0.272628 # DEPENDENCYPART_ARC
(17,5),-0.648574 # DEPENDENCYPART_ARC
(17,6),-0.525171 # DEPENDENCYPART_ARC
(17,7),-0.344384 # DEPENDENCYPART_ARC
(17,8),-0.916206 # DEPENDENCYPART_ARC
(17,10),-0.613618 # DEPENDENCYPART_ARC
(17,11),0.0993814 # DEPENDENCYPART_ARC
(17,12),-0.533619 # DEPENDENCYPART_ARC
(17,13),0.405799 # DEPENDENCYPART_ARC
(17,14),-0.419182 # DEPENDENCYPART_ARC
(17,15),0.249596 # DEPENDENCYPART_ARC
(17,16),1.80483 # DEPENDENCYPART_ARC
(17,18),1.51857 # DEPENDENCYPART_ARC
(17,19),1.86411 # DEPENDENCYPART_ARC
(18,16),-0.676788 # DEPENDENCYPART_ARC
(18,19),-0.464695 # DEPENDENCYPART_ARC
(19,1),-1.55444 # DEPENDENCYPART_ARC
(19,11),-0.910425 # DEPENDENCYPART_ARC
(19,14),-0.507445 # DEPENDENCYPART_ARC
(19,15),-0.783262 # DEPENDENCYPART_ARC
(19,16),-3.03575 # DEPENDENCYPART_ARC
(19,17),0.221166 # DEPENDENCYPART_ARC
(19,18),-1.84163 # DEPENDENCYPART_ARC
(19,20),1.43296 # DEPENDENCYPART_ARC
