# _root_ herri bazkarian bapo jan ostean , ezkio-itsaso eta legazpi pasa , eta zumarraga-urretxura iritsi ziren .
#goldHeads=2,4,4,12,4,5,8,10,8,12,10,0,14,12,14,15,
#predictedHeads=2,4,4,12,4,5,8,10,10,12,10,0,14,12,14,15,
(4,6),-0.201465 # DEPENDENCYPART_ARC
(4,7),-0.792333 # DEPENDENCYPART_ARC
(4,8),-0.476692 # DEPENDENCYPART_ARC
(4,9),-1.1204 # DEPENDENCYPART_ARC
(4,10),-0.192254 # DEPENDENCYPART_ARC
(4,11),-0.435827 # DEPENDENCYPART_ARC
(4,12),-0.801078 # DEPENDENCYPART_ARC
(4,13),-1.94496 # DEPENDENCYPART_ARC
(4,14),-1.22635 # DEPENDENCYPART_ARC
(4,15),-0.463609 # DEPENDENCYPART_ARC
(5,1),-0.838051 # DEPENDENCYPART_ARC
(5,2),-2.07768 # DEPENDENCYPART_ARC
(5,3),-0.878303 # DEPENDENCYPART_ARC
(5,4),0.254225 # DEPENDENCYPART_ARC
(5,6),1.22155 # DEPENDENCYPART_ARC
(5,7),-1.09428 # DEPENDENCYPART_ARC
(5,8),-0.728554 # DEPENDENCYPART_ARC
(5,9),-2.84119 # DEPENDENCYPART_ARC
(5,10),-1.42523 # DEPENDENCYPART_ARC
(5,12),-0.925241 # DEPENDENCYPART_ARC
(5,13),-2.79645 # DEPENDENCYPART_ARC
(5,14),-1.7527 # DEPENDENCYPART_ARC
(5,16),-0.547012 # DEPENDENCYPART_ARC
(6,4),-0.341102 # DEPENDENCYPART_ARC
(6,5),-0.0706405 # DEPENDENCYPART_ARC
(6,10),-0.681895 # DEPENDENCYPART_ARC
(6,14),-0.88436 # DEPENDENCYPART_ARC
(7,4),-1.80549 # DEPENDENCYPART_ARC
(7,5),-2.6403 # DEPENDENCYPART_ARC
(7,6),-0.219707 # DEPENDENCYPART_ARC
(7,8),0.101743 # DEPENDENCYPART_ARC
(7,9),-0.074597 # DEPENDENCYPART_ARC
(8,1),-0.516486 # DEPENDENCYPART_ARC
(8,2),-1.27781 # DEPENDENCYPART_ARC
(8,3),-0.974685 # DEPENDENCYPART_ARC
(8,4),-0.40212 # DEPENDENCYPART_ARC
(8,5),0.579271 # DEPENDENCYPART_ARC
(8,6),-1.32112 # DEPENDENCYPART_ARC
(8,7),2.60574 # DEPENDENCYPART_ARC
(8,9),2.81711 # DEPENDENCYPART_ARC
(8,10),-0.452734 # DEPENDENCYPART_ARC
(8,11),-0.656328 # DEPENDENCYPART_ARC
(8,12),-0.458773 # DEPENDENCYPART_ARC
(8,14),-1.33718 # DEPENDENCYPART_ARC
(9,6),-2.41144 # DEPENDENCYPART_ARC
(9,7),-2.57548 # DEPENDENCYPART_ARC
(9,10),-1.64876 # DEPENDENCYPART_ARC
(9,12),-1.57441 # DEPENDENCYPART_ARC
(9,13),-1.50558 # DEPENDENCYPART_ARC
(9,14),-3.02534 # DEPENDENCYPART_ARC
(10,1),-0.227018 # DEPENDENCYPART_ARC
(10,2),0.814976 # DEPENDENCYPART_ARC
(10,3),0.0175181 # DEPENDENCYPART_ARC
(10,4),-0.125959 # DEPENDENCYPART_ARC
(10,5),0.342018 # DEPENDENCYPART_ARC
(10,6),-0.877391 # DEPENDENCYPART_ARC
(10,7),0.359061 # DEPENDENCYPART_ARC
(10,8),1.09261 # DEPENDENCYPART_ARC
(10,9),2.83628 # DEPENDENCYPART_ARC
(10,11),1.74737 # DEPENDENCYPART_ARC
(10,12),-0.304708 # DEPENDENCYPART_ARC
(10,13),-0.286277 # DEPENDENCYPART_ARC
(10,14),-0.675329 # DEPENDENCYPART_ARC
(10,15),0.0444385 # DEPENDENCYPART_ARC
(11,8),-0.62186 # DEPENDENCYPART_ARC
(11,10),-0.409019 # DEPENDENCYPART_ARC
(11,12),-0.69384 # DEPENDENCYPART_ARC
(11,14),-1.00066 # DEPENDENCYPART_ARC
(12,1),-0.840296 # DEPENDENCYPART_ARC
(12,2),-1.88822 # DEPENDENCYPART_ARC
(12,3),-0.770089 # DEPENDENCYPART_ARC
(12,4),0.0335839 # DEPENDENCYPART_ARC
(12,5),-0.895923 # DEPENDENCYPART_ARC
(12,7),0.142946 # DEPENDENCYPART_ARC
(12,8),-0.33714 # DEPENDENCYPART_ARC
(12,9),0.353254 # DEPENDENCYPART_ARC
(12,10),1.59313 # DEPENDENCYPART_ARC
(12,11),-0.427321 # DEPENDENCYPART_ARC
(12,13),0.0535533 # DEPENDENCYPART_ARC
(12,14),0.841064 # DEPENDENCYPART_ARC
(12,15),-0.239019 # DEPENDENCYPART_ARC
(13,11),-2.04878 # DEPENDENCYPART_ARC
(13,14),-2.24451 # DEPENDENCYPART_ARC
(14,1),-1.36904 # DEPENDENCYPART_ARC
(14,2),-0.689563 # DEPENDENCYPART_ARC
(14,3),-1.24265 # DEPENDENCYPART_ARC
(14,4),-0.434698 # DEPENDENCYPART_ARC
(14,5),-0.917596 # DEPENDENCYPART_ARC
(14,6),-1.69738 # DEPENDENCYPART_ARC
(14,7),-1.47324 # DEPENDENCYPART_ARC
(14,8),0.0463436 # DEPENDENCYPART_ARC
(14,9),-0.12405 # DEPENDENCYPART_ARC
(14,10),0.344981 # DEPENDENCYPART_ARC
(14,11),-1.07026 # DEPENDENCYPART_ARC
(14,12),0.018225 # DEPENDENCYPART_ARC
(14,13),1.9657 # DEPENDENCYPART_ARC
(14,15),1.72213 # DEPENDENCYPART_ARC
(14,16),-0.0667019 # DEPENDENCYPART_ARC
(15,1),-0.779914 # DEPENDENCYPART_ARC
(15,2),-1.00253 # DEPENDENCYPART_ARC
(15,10),-1.92208 # DEPENDENCYPART_ARC
(15,13),-0.91863 # DEPENDENCYPART_ARC
(15,16),1.52297 # DEPENDENCYPART_ARC
