# _root_ haren ustez , eaj eta eaeko gobernua dira askatasun faltaren arduradunak , " etak finkatutako ildoak jarraitzen dituztelako " .
#goldHeads=2,8,2,5,7,5,8,0,10,11,8,11,12,15,16,17,8,17,18,19,
#predictedHeads=2,17,2,5,8,5,8,0,10,11,5,11,12,15,16,17,8,17,18,19,
(7,17),-1.80955 # DEPENDENCYPART_ARC
(8,1),-1.52103 # DEPENDENCYPART_ARC
(8,2),-0.180673 # DEPENDENCYPART_ARC
(8,3),-0.62282 # DEPENDENCYPART_ARC
(8,4),-0.311455 # DEPENDENCYPART_ARC
(8,5),1.12171 # DEPENDENCYPART_ARC
(8,6),-0.378416 # DEPENDENCYPART_ARC
(8,7),1.86564 # DEPENDENCYPART_ARC
(8,9),0.628056 # DEPENDENCYPART_ARC
(8,10),-0.942382 # DEPENDENCYPART_ARC
(8,11),-0.299035 # DEPENDENCYPART_ARC
(8,15),-0.937487 # DEPENDENCYPART_ARC
(8,16),-1.60863 # DEPENDENCYPART_ARC
(8,17),-0.474905 # DEPENDENCYPART_ARC
(8,18),-0.218099 # DEPENDENCYPART_ARC
(9,1),-2.37745 # DEPENDENCYPART_ARC
(9,2),-1.75533 # DEPENDENCYPART_ARC
(9,3),-1.94061 # DEPENDENCYPART_ARC
(9,4),-1.85807 # DEPENDENCYPART_ARC
(9,5),-0.983308 # DEPENDENCYPART_ARC
(9,6),-1.07173 # DEPENDENCYPART_ARC
(9,7),-1.30492 # DEPENDENCYPART_ARC
(9,8),-0.55256 # DEPENDENCYPART_ARC
(9,10),1.21269 # DEPENDENCYPART_ARC
(9,11),-0.0285687 # DEPENDENCYPART_ARC
(9,12),-0.544817 # DEPENDENCYPART_ARC
(9,14),-1.04177 # DEPENDENCYPART_ARC
(9,17),-0.889968 # DEPENDENCYPART_ARC
(10,1),-1.99322 # DEPENDENCYPART_ARC
(10,2),-1.3902 # DEPENDENCYPART_ARC
(10,3),-1.79751 # DEPENDENCYPART_ARC
(10,5),-0.314572 # DEPENDENCYPART_ARC
(10,6),0.219399 # DEPENDENCYPART_ARC
(10,7),-1.71039 # DEPENDENCYPART_ARC
(10,8),-2.04116 # DEPENDENCYPART_ARC
(10,9),1.361 # DEPENDENCYPART_ARC
(10,11),-0.130946 # DEPENDENCYPART_ARC
(10,12),-0.245207 # DEPENDENCYPART_ARC
(10,14),-2.0775 # DEPENDENCYPART_ARC
(11,1),-2.02933 # DEPENDENCYPART_ARC
(11,2),-1.4468 # DEPENDENCYPART_ARC
(11,4),-1.21103 # DEPENDENCYPART_ARC
(11,5),-0.0445881 # DEPENDENCYPART_ARC
(11,6),-0.137153 # DEPENDENCYPART_ARC
(11,7),-1.19557 # DEPENDENCYPART_ARC
(11,8),-1.78385 # DEPENDENCYPART_ARC
(11,9),1.00206 # DEPENDENCYPART_ARC
(11,10),2.40081 # DEPENDENCYPART_ARC
(11,12),1.14889 # DEPENDENCYPART_ARC
(11,14),-1.45516 # DEPENDENCYPART_ARC
(11,15),-1.24926 # DEPENDENCYPART_ARC
(11,16),-1.23001 # DEPENDENCYPART_ARC
(11,17),-1.51777 # DEPENDENCYPART_ARC
(11,18),-2.31776 # DEPENDENCYPART_ARC
(11,20),-1.024 # DEPENDENCYPART_ARC
(12,8),-0.586568 # DEPENDENCYPART_ARC
(12,10),-0.733935 # DEPENDENCYPART_ARC
(12,13),1.47963 # DEPENDENCYPART_ARC
(12,15),-0.598454 # DEPENDENCYPART_ARC
(12,16),-0.596748 # DEPENDENCYPART_ARC
(12,17),-0.846453 # DEPENDENCYPART_ARC
(13,15),-1.33093 # DEPENDENCYPART_ARC
(13,17),-1.46141 # DEPENDENCYPART_ARC
(14,11),-2.89563 # DEPENDENCYPART_ARC
(14,13),-0.543382 # DEPENDENCYPART_ARC
(14,15),-0.539989 # DEPENDENCYPART_ARC
(14,16),-1.42602 # DEPENDENCYPART_ARC
(15,1),-2.4978 # DEPENDENCYPART_ARC
(15,2),-0.451774 # DEPENDENCYPART_ARC
(15,4),-0.945121 # DEPENDENCYPART_ARC
(15,5),-0.572895 # DEPENDENCYPART_ARC
(15,6),-1.69101 # DEPENDENCYPART_ARC
(15,7),-0.971396 # DEPENDENCYPART_ARC
(15,8),-1.36479 # DEPENDENCYPART_ARC
(15,9),-0.986018 # DEPENDENCYPART_ARC
(15,10),-2.41702 # DEPENDENCYPART_ARC
(15,11),-0.863072 # DEPENDENCYPART_ARC
(15,12),-1.34468 # DEPENDENCYPART_ARC
(15,14),2.5966 # DEPENDENCYPART_ARC
(15,16),-0.91065 # DEPENDENCYPART_ARC
(15,17),-1.2781 # DEPENDENCYPART_ARC
(15,18),-0.367878 # DEPENDENCYPART_ARC
(16,2),-1.25644 # DEPENDENCYPART_ARC
(16,5),-0.963218 # DEPENDENCYPART_ARC
(16,9),-0.938068 # DEPENDENCYPART_ARC
(16,11),-3.53761 # DEPENDENCYPART_ARC
(16,12),-1.46375 # DEPENDENCYPART_ARC
(16,14),-1.62615 # DEPENDENCYPART_ARC
(16,15),2.43625 # DEPENDENCYPART_ARC
(16,17),-0.684471 # DEPENDENCYPART_ARC
(16,18),-1.81006 # DEPENDENCYPART_ARC
(16,20),-0.999226 # DEPENDENCYPART_ARC
(17,1),-1.88602 # DEPENDENCYPART_ARC
(17,2),0.0869626 # DEPENDENCYPART_ARC
(17,3),-2.12559 # DEPENDENCYPART_ARC
(17,4),-0.896108 # DEPENDENCYPART_ARC
(17,5),-0.326032 # DEPENDENCYPART_ARC
(17,6),-1.79563 # DEPENDENCYPART_ARC
(17,7),-0.886908 # DEPENDENCYPART_ARC
(17,8),-0.875975 # DEPENDENCYPART_ARC
(17,9),-0.634756 # DEPENDENCYPART_ARC
(17,10),-1.89515 # DEPENDENCYPART_ARC
(17,11),-0.196176 # DEPENDENCYPART_ARC
(17,12),-1.38548 # DEPENDENCYPART_ARC
(17,14),1.41606 # DEPENDENCYPART_ARC
(17,15),0.253454 # DEPENDENCYPART_ARC
(17,16),2.10494 # DEPENDENCYPART_ARC
(17,18),1.98553 # DEPENDENCYPART_ARC
(18,14),-1.3324 # DEPENDENCYPART_ARC
(18,15),-1.61497 # DEPENDENCYPART_ARC
(18,16),-0.981513 # DEPENDENCYPART_ARC
(18,19),1.45794 # DEPENDENCYPART_ARC
(19,14),-1.0695 # DEPENDENCYPART_ARC
(19,16),-0.787999 # DEPENDENCYPART_ARC
(19,20),1.54736 # DEPENDENCYPART_ARC
