# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,8,5,6,28,8,9,5,11,14,28,14,15,14,17,0,19,20,23,28,23,26,28,26,21,28,
(2,5),-0.708738 # DEPENDENCYPART_ARC
(3,2),0.790102 # DEPENDENCYPART_ARC
(3,4),0.476229 # DEPENDENCYPART_ARC
(3,5),-1.65823 # DEPENDENCYPART_ARC
(5,1),-1.23258 # DEPENDENCYPART_ARC
(5,2),-1.09753 # DEPENDENCYPART_ARC
(5,3),0.0831775 # DEPENDENCYPART_ARC
(5,4),0.938985 # DEPENDENCYPART_ARC
(5,6),2.24359 # DEPENDENCYPART_ARC
(5,7),0.826185 # DEPENDENCYPART_ARC
(5,8),0.185706 # DEPENDENCYPART_ARC
(5,9),-0.351769 # DEPENDENCYPART_ARC
(5,11),0.276192 # DEPENDENCYPART_ARC
(5,12),-0.660479 # DEPENDENCYPART_ARC
(5,13),-1.26164 # DEPENDENCYPART_ARC
(5,14),-0.784856 # DEPENDENCYPART_ARC
(5,15),-0.864452 # DEPENDENCYPART_ARC
(5,19),-0.802135 # DEPENDENCYPART_ARC
(5,20),-0.325675 # DEPENDENCYPART_ARC
(5,21),-0.409917 # DEPENDENCYPART_ARC
(5,23),-1.55382 # DEPENDENCYPART_ARC
(5,26),-1.86354 # DEPENDENCYPART_ARC
(5,28),0.0745112 # DEPENDENCYPART_ARC
(6,7),0.881971 # DEPENDENCYPART_ARC
(7,1),-2.94466 # DEPENDENCYPART_ARC
(7,5),0.0829072 # DEPENDENCYPART_ARC
(7,6),-0.651067 # DEPENDENCYPART_ARC
(7,8),-0.692183 # DEPENDENCYPART_ARC
(7,9),-1.81264 # DEPENDENCYPART_ARC
(7,17),-2.25539 # DEPENDENCYPART_ARC
(8,5),-0.0621183 # DEPENDENCYPART_ARC
(8,6),-1.10107 # DEPENDENCYPART_ARC
(8,7),0.283094 # DEPENDENCYPART_ARC
(8,9),1.17086 # DEPENDENCYPART_ARC
(8,13),-0.882071 # DEPENDENCYPART_ARC
(8,14),-1.12794 # DEPENDENCYPART_ARC
(8,17),-0.173072 # DEPENDENCYPART_ARC
(8,28),-1.38163 # DEPENDENCYPART_ARC
(9,7),-1.11035 # DEPENDENCYPART_ARC
(9,8),-0.638673 # DEPENDENCYPART_ARC
(9,10),1.64176 # DEPENDENCYPART_ARC
(9,12),0.36639 # DEPENDENCYPART_ARC
(9,14),-0.779375 # DEPENDENCYPART_ARC
(9,19),-0.904731 # DEPENDENCYPART_ARC
(10,12),0.115275 # DEPENDENCYPART_ARC
(11,12),1.17708 # DEPENDENCYPART_ARC
(11,13),-0.830087 # DEPENDENCYPART_ARC
(11,15),-0.319805 # DEPENDENCYPART_ARC
(12,13),-0.697531 # DEPENDENCYPART_ARC
(12,15),-0.920396 # DEPENDENCYPART_ARC
(13,9),-1.21906 # DEPENDENCYPART_ARC
(13,11),-1.10388 # DEPENDENCYPART_ARC
(13,12),-0.333733 # DEPENDENCYPART_ARC
(13,14),0.0686948 # DEPENDENCYPART_ARC
(13,15),-0.197154 # DEPENDENCYPART_ARC
(13,17),0.196868 # DEPENDENCYPART_ARC
(14,5),-1.27741 # DEPENDENCYPART_ARC
(14,7),-2.08187 # DEPENDENCYPART_ARC
(14,8),-1.03663 # DEPENDENCYPART_ARC
(14,9),-1.08324 # DEPENDENCYPART_ARC
(14,11),-1.28018 # DEPENDENCYPART_ARC
(14,12),-1.0729 # DEPENDENCYPART_ARC
(14,13),1.6375 # DEPENDENCYPART_ARC
(14,15),1.39808 # DEPENDENCYPART_ARC
(14,17),0.636416 # DEPENDENCYPART_ARC
(14,19),-1.1063 # DEPENDENCYPART_ARC
(14,21),-1.23915 # DEPENDENCYPART_ARC
(14,23),-1.06698 # DEPENDENCYPART_ARC
(14,28),-1.38494 # DEPENDENCYPART_ARC
(15,8),-2.08907 # DEPENDENCYPART_ARC
(15,13),-1.18355 # DEPENDENCYPART_ARC
(15,14),-0.671125 # DEPENDENCYPART_ARC
(15,16),1.82935 # DEPENDENCYPART_ARC
(15,17),-0.245922 # DEPENDENCYPART_ARC
(15,18),0.258084 # DEPENDENCYPART_ARC
(15,28),-0.920292 # DEPENDENCYPART_ARC
(16,17),-0.569822 # DEPENDENCYPART_ARC
(16,18),0.0578794 # DEPENDENCYPART_ARC
(17,13),-1.68299 # DEPENDENCYPART_ARC
(17,14),-1.58434 # DEPENDENCYPART_ARC
(17,18),1.54455 # DEPENDENCYPART_ARC
(17,21),-1.79485 # DEPENDENCYPART_ARC
(18,19),-0.236952 # DEPENDENCYPART_ARC
(18,21),-0.41833 # DEPENDENCYPART_ARC
(19,2),-1.52761 # DEPENDENCYPART_ARC
(19,3),-0.587034 # DEPENDENCYPART_ARC
(19,5),-1.50325 # DEPENDENCYPART_ARC
(19,7),-0.00846164 # DEPENDENCYPART_ARC
(19,8),-0.691796 # DEPENDENCYPART_ARC
(19,9),-0.770843 # DEPENDENCYPART_ARC
(19,11),-0.452855 # DEPENDENCYPART_ARC
(19,12),-0.899862 # DEPENDENCYPART_ARC
(19,13),0.0139228 # DEPENDENCYPART_ARC
(19,14),-0.108276 # DEPENDENCYPART_ARC
(19,15),-0.385361 # DEPENDENCYPART_ARC
(19,17),-0.481721 # DEPENDENCYPART_ARC
(19,18),0.0322523 # DEPENDENCYPART_ARC
(19,20),1.06581 # DEPENDENCYPART_ARC
(19,21),0.894152 # DEPENDENCYPART_ARC
(19,22),0.0397568 # DEPENDENCYPART_ARC
(19,23),0.192274 # DEPENDENCYPART_ARC
(19,24),-1.51943 # DEPENDENCYPART_ARC
(19,25),-0.410302 # DEPENDENCYPART_ARC
(19,26),-0.424923 # DEPENDENCYPART_ARC
(19,27),-1.67441 # DEPENDENCYPART_ARC
(19,28),0.438899 # DEPENDENCYPART_ARC
(20,6),0.896798 # DEPENDENCYPART_ARC
(20,19),0.867346 # DEPENDENCYPART_ARC
(20,21),3.08719 # DEPENDENCYPART_ARC
(20,23),-0.0636591 # DEPENDENCYPART_ARC
(20,26),-0.185718 # DEPENDENCYPART_ARC
(21,5),-1.58751 # DEPENDENCYPART_ARC
(21,7),-0.820152 # DEPENDENCYPART_ARC
(21,8),-1.12245 # DEPENDENCYPART_ARC
(21,12),-1.30457 # DEPENDENCYPART_ARC
(21,13),-0.883785 # DEPENDENCYPART_ARC
(21,14),-0.73663 # DEPENDENCYPART_ARC
(21,15),-1.14479 # DEPENDENCYPART_ARC
(21,17),-0.134204 # DEPENDENCYPART_ARC
(21,18),-1.00034 # DEPENDENCYPART_ARC
(21,19),-0.107166 # DEPENDENCYPART_ARC
(21,22),-0.258057 # DEPENDENCYPART_ARC
(21,23),0.284888 # DEPENDENCYPART_ARC
(21,26),-0.0476889 # DEPENDENCYPART_ARC
(21,27),-0.489223 # DEPENDENCYPART_ARC
(21,28),0.529743 # DEPENDENCYPART_ARC
(22,23),-0.366055 # DEPENDENCYPART_ARC
(22,27),-1.05471 # DEPENDENCYPART_ARC
(23,9),-1.60243 # DEPENDENCYPART_ARC
(23,15),-1.49589 # DEPENDENCYPART_ARC
(23,17),-2.65264 # DEPENDENCYPART_ARC
(23,18),-1.67384 # DEPENDENCYPART_ARC
(23,19),-1.15137 # DEPENDENCYPART_ARC
(23,21),-1.65762 # DEPENDENCYPART_ARC
(23,22),0.854672 # DEPENDENCYPART_ARC
(23,24),1.16658 # DEPENDENCYPART_ARC
(23,25),-0.367458 # DEPENDENCYPART_ARC
(23,26),-0.916464 # DEPENDENCYPART_ARC
(23,27),-0.255468 # DEPENDENCYPART_ARC
(23,28),-1.03756 # DEPENDENCYPART_ARC
(23,29),-0.848503 # DEPENDENCYPART_ARC
(24,14),-0.876362 # DEPENDENCYPART_ARC
(24,23),0.874059 # DEPENDENCYPART_ARC
(24,26),-1.57749 # DEPENDENCYPART_ARC
(25,26),-0.519742 # DEPENDENCYPART_ARC
(25,27),-0.525794 # DEPENDENCYPART_ARC
(26,9),-1.46896 # DEPENDENCYPART_ARC
(26,15),-1.48872 # DEPENDENCYPART_ARC
(26,21),-1.90947 # DEPENDENCYPART_ARC
(26,22),-0.533238 # DEPENDENCYPART_ARC
(26,23),-0.548478 # DEPENDENCYPART_ARC
(26,24),-0.587252 # DEPENDENCYPART_ARC
(26,25),1.00032 # DEPENDENCYPART_ARC
(26,27),2.32964 # DEPENDENCYPART_ARC
(26,28),-0.804833 # DEPENDENCYPART_ARC
(26,29),-0.819587 # DEPENDENCYPART_ARC
(27,23),-0.8369 # DEPENDENCYPART_ARC
(27,26),0.343612 # DEPENDENCYPART_ARC
(27,28),-1.17491 # DEPENDENCYPART_ARC
(28,5),-2.07861 # DEPENDENCYPART_ARC
(28,7),0.162274 # DEPENDENCYPART_ARC
(28,8),0.0573365 # DEPENDENCYPART_ARC
(28,12),-1.03246 # DEPENDENCYPART_ARC
(28,13),-0.00731501 # DEPENDENCYPART_ARC
(28,14),0.229313 # DEPENDENCYPART_ARC
(28,15),-0.782621 # DEPENDENCYPART_ARC
(28,18),-1.13617 # DEPENDENCYPART_ARC
(28,19),-1.04494 # DEPENDENCYPART_ARC
(28,20),-0.0621908 # DEPENDENCYPART_ARC
(28,21),-1.44063 # DEPENDENCYPART_ARC
(28,22),-0.93631 # DEPENDENCYPART_ARC
(28,23),1.02132 # DEPENDENCYPART_ARC
(28,24),-0.112018 # DEPENDENCYPART_ARC
(28,25),-0.636224 # DEPENDENCYPART_ARC
(28,26),1.68563 # DEPENDENCYPART_ARC
(28,27),0.561201 # DEPENDENCYPART_ARC
(28,29),1.62875 # DEPENDENCYPART_ARC
