# _root_ " bizitzeko eskubidearen errespetuak du orain lehentasuna ; indarkeria desagertuta , edozertaz hitz_egin ahal_izango dugu " , dio .
#goldHeads=0,3,4,5,8,5,5,18,10,14,10,13,14,8,14,15,16,0,18,
#predictedHeads=0,3,4,5,0,5,5,7,10,14,10,0,14,5,14,15,16,0,18,
(7,9),-0.986927 # DEPENDENCYPART_ARC
(7,10),-1.19197 # DEPENDENCYPART_ARC
(7,18),-1.43563 # DEPENDENCYPART_ARC
(7,19),-1.29094 # DEPENDENCYPART_ARC
(8,5),0.175088 # DEPENDENCYPART_ARC
(8,9),-0.298387 # DEPENDENCYPART_ARC
(8,10),-0.341361 # DEPENDENCYPART_ARC
(9,6),-0.953962 # DEPENDENCYPART_ARC
(9,7),-2.23357 # DEPENDENCYPART_ARC
(9,10),-0.328047 # DEPENDENCYPART_ARC
(9,11),-0.820095 # DEPENDENCYPART_ARC
(9,13),-1.61827 # DEPENDENCYPART_ARC
(9,14),-1.15357 # DEPENDENCYPART_ARC
(9,15),-2.16715 # DEPENDENCYPART_ARC
(9,18),-1.85166 # DEPENDENCYPART_ARC
(9,19),-1.57892 # DEPENDENCYPART_ARC
(10,2),-1.21796 # DEPENDENCYPART_ARC
(10,3),-2.18609 # DEPENDENCYPART_ARC
(10,4),-0.81654 # DEPENDENCYPART_ARC
(10,5),-1.34126 # DEPENDENCYPART_ARC
(10,6),-0.0776974 # DEPENDENCYPART_ARC
(10,7),-0.457434 # DEPENDENCYPART_ARC
(10,9),1.82258 # DEPENDENCYPART_ARC
(10,11),1.2217 # DEPENDENCYPART_ARC
(10,13),-0.761916 # DEPENDENCYPART_ARC
(10,14),-0.865091 # DEPENDENCYPART_ARC
(10,15),-0.904573 # DEPENDENCYPART_ARC
(10,17),-0.993545 # DEPENDENCYPART_ARC
(10,18),-2.54682 # DEPENDENCYPART_ARC
(11,5),-0.435336 # DEPENDENCYPART_ARC
(11,9),-0.425131 # DEPENDENCYPART_ARC
(11,10),0.00852291 # DEPENDENCYPART_ARC
(11,13),-0.445096 # DEPENDENCYPART_ARC
(11,14),-0.283503 # DEPENDENCYPART_ARC
(13,2),-1.25097 # DEPENDENCYPART_ARC
(13,3),-0.921703 # DEPENDENCYPART_ARC
(13,4),-0.25531 # DEPENDENCYPART_ARC
(13,5),-0.705726 # DEPENDENCYPART_ARC
(13,6),-0.616365 # DEPENDENCYPART_ARC
(13,7),-0.391579 # DEPENDENCYPART_ARC
(13,9),0.602345 # DEPENDENCYPART_ARC
(13,10),-0.30626 # DEPENDENCYPART_ARC
(13,14),1.05217 # DEPENDENCYPART_ARC
(13,15),1.33451 # DEPENDENCYPART_ARC
(13,18),-1.71848 # DEPENDENCYPART_ARC
(14,2),-0.938412 # DEPENDENCYPART_ARC
(14,3),-2.4987 # DEPENDENCYPART_ARC
(14,4),-0.128769 # DEPENDENCYPART_ARC
(14,5),-1.85931 # DEPENDENCYPART_ARC
(14,6),0.0465061 # DEPENDENCYPART_ARC
(14,7),-0.328792 # DEPENDENCYPART_ARC
(14,9),-0.126111 # DEPENDENCYPART_ARC
(14,10),1.19702 # DEPENDENCYPART_ARC
(14,13),2.17487 # DEPENDENCYPART_ARC
(14,15),1.98697 # DEPENDENCYPART_ARC
(14,18),-1.0228 # DEPENDENCYPART_ARC
(15,16),1.07745 # DEPENDENCYPART_ARC
(15,18),-1.37966 # DEPENDENCYPART_ARC
(16,13),-0.51029 # DEPENDENCYPART_ARC
(16,14),-0.541557 # DEPENDENCYPART_ARC
(16,17),1.45867 # DEPENDENCYPART_ARC
(17,13),-0.249616 # DEPENDENCYPART_ARC
(17,14),-0.25783 # DEPENDENCYPART_ARC
(17,15),-0.446735 # DEPENDENCYPART_ARC
(17,18),-0.123438 # DEPENDENCYPART_ARC
(18,2),-1.55662 # DEPENDENCYPART_ARC
(18,3),-2.66098 # DEPENDENCYPART_ARC
(18,4),-0.837779 # DEPENDENCYPART_ARC
(18,5),-0.359642 # DEPENDENCYPART_ARC
(18,6),-0.627085 # DEPENDENCYPART_ARC
(18,7),-1.09643 # DEPENDENCYPART_ARC
(18,9),-1.25329 # DEPENDENCYPART_ARC
(18,10),-0.272106 # DEPENDENCYPART_ARC
(18,11),-1.14751 # DEPENDENCYPART_ARC
(18,13),0.268309 # DEPENDENCYPART_ARC
(18,14),-0.398576 # DEPENDENCYPART_ARC
(18,15),-0.574118 # DEPENDENCYPART_ARC
(18,17),0.0583038 # DEPENDENCYPART_ARC
(18,19),1.77706 # DEPENDENCYPART_ARC
(0,12),-1.76268 # DEPENDENCYPART_ARC
