# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,23,24,14,24,
(6,8),-0.918626 # DEPENDENCYPART_ARC
(6,11),-1.06684 # DEPENDENCYPART_ARC
(7,3),-0.997914 # DEPENDENCYPART_ARC
(7,8),-1.07802 # DEPENDENCYPART_ARC
(7,10),-1.36555 # DEPENDENCYPART_ARC
(8,2),-1.23437 # DEPENDENCYPART_ARC
(8,3),-0.421695 # DEPENDENCYPART_ARC
(8,4),-2.92927 # DEPENDENCYPART_ARC
(8,5),-0.744635 # DEPENDENCYPART_ARC
(8,6),-1.1244 # DEPENDENCYPART_ARC
(8,7),-0.332763 # DEPENDENCYPART_ARC
(8,9),1.5103 # DEPENDENCYPART_ARC
(8,10),-1.84515 # DEPENDENCYPART_ARC
(8,11),-1.57895 # DEPENDENCYPART_ARC
(8,12),-1.59238 # DEPENDENCYPART_ARC
(8,24),-2.25035 # DEPENDENCYPART_ARC
(9,10),-1.10496 # DEPENDENCYPART_ARC
(9,11),-0.678058 # DEPENDENCYPART_ARC
(10,1),-0.305735 # DEPENDENCYPART_ARC
(10,2),-1.38291 # DEPENDENCYPART_ARC
(10,3),-1.51651 # DEPENDENCYPART_ARC
(10,4),-0.161938 # DEPENDENCYPART_ARC
(10,5),-0.0376638 # DEPENDENCYPART_ARC
(10,6),-0.435508 # DEPENDENCYPART_ARC
(10,8),1.56439 # DEPENDENCYPART_ARC
(10,11),1.71436 # DEPENDENCYPART_ARC
(10,12),2.23941 # DEPENDENCYPART_ARC
(10,13),-0.244374 # DEPENDENCYPART_ARC
(10,14),-0.303686 # DEPENDENCYPART_ARC
(10,16),-1.47351 # DEPENDENCYPART_ARC
(10,17),-1.02871 # DEPENDENCYPART_ARC
(10,19),-1.12906 # DEPENDENCYPART_ARC
(10,20),0.444973 # DEPENDENCYPART_ARC
(10,23),0.202421 # DEPENDENCYPART_ARC
(10,24),-1.48989 # DEPENDENCYPART_ARC
(11,5),-3.03428 # DEPENDENCYPART_ARC
(11,8),-1.59388 # DEPENDENCYPART_ARC
(11,12),-0.785569 # DEPENDENCYPART_ARC
(12,10),-0.148175 # DEPENDENCYPART_ARC
(12,13),1.43418 # DEPENDENCYPART_ARC
(12,14),-1.28819 # DEPENDENCYPART_ARC
(12,16),-1.98338 # DEPENDENCYPART_ARC
(12,17),-1.68843 # DEPENDENCYPART_ARC
(12,20),-1.05461 # DEPENDENCYPART_ARC
(13,10),-0.406234 # DEPENDENCYPART_ARC
(13,11),-1.00963 # DEPENDENCYPART_ARC
(13,14),-0.56043 # DEPENDENCYPART_ARC
(13,24),-0.675533 # DEPENDENCYPART_ARC
(14,3),-1.43097 # DEPENDENCYPART_ARC
(14,4),-1.49679 # DEPENDENCYPART_ARC
(14,5),-0.565894 # DEPENDENCYPART_ARC
(14,8),-0.712565 # DEPENDENCYPART_ARC
(14,10),1.27817 # DEPENDENCYPART_ARC
(14,11),-0.736286 # DEPENDENCYPART_ARC
(14,12),-0.260907 # DEPENDENCYPART_ARC
(14,13),0.0186649 # DEPENDENCYPART_ARC
(14,15),2.32105 # DEPENDENCYPART_ARC
(14,16),0.277893 # DEPENDENCYPART_ARC
(14,17),-0.704224 # DEPENDENCYPART_ARC
(14,20),0.0146257 # DEPENDENCYPART_ARC
(14,23),0.167239 # DEPENDENCYPART_ARC
(14,24),0.57131 # DEPENDENCYPART_ARC
(15,16),-1.46552 # DEPENDENCYPART_ARC
(16,3),-1.41471 # DEPENDENCYPART_ARC
(16,12),-3.58361 # DEPENDENCYPART_ARC
(16,13),-1.33523 # DEPENDENCYPART_ARC
(16,14),-0.137377 # DEPENDENCYPART_ARC
(16,15),-0.493397 # DEPENDENCYPART_ARC
(16,17),-0.503825 # DEPENDENCYPART_ARC
(16,18),-1.22898 # DEPENDENCYPART_ARC
(16,19),-1.19649 # DEPENDENCYPART_ARC
(16,22),-3.01158 # DEPENDENCYPART_ARC
(16,23),-3.03136 # DEPENDENCYPART_ARC
(16,25),-1.4549 # DEPENDENCYPART_ARC
(17,12),-2.76386 # DEPENDENCYPART_ARC
(17,13),-1.75121 # DEPENDENCYPART_ARC
(17,14),-1.10941 # DEPENDENCYPART_ARC
(17,16),1.50019 # DEPENDENCYPART_ARC
(17,18),2.30357 # DEPENDENCYPART_ARC
(17,19),-0.254052 # DEPENDENCYPART_ARC
(17,22),-0.452515 # DEPENDENCYPART_ARC
(17,23),-1.54719 # DEPENDENCYPART_ARC
(17,24),-1.33698 # DEPENDENCYPART_ARC
(17,25),-1.06957 # DEPENDENCYPART_ARC
(18,20),-1.33867 # DEPENDENCYPART_ARC
(19,16),-0.75907 # DEPENDENCYPART_ARC
(19,17),-0.690467 # DEPENDENCYPART_ARC
(19,18),-0.180835 # DEPENDENCYPART_ARC
(19,20),-0.4941 # DEPENDENCYPART_ARC
(20,3),-2.32525 # DEPENDENCYPART_ARC
(20,4),-1.29117 # DEPENDENCYPART_ARC
(20,5),-0.90892 # DEPENDENCYPART_ARC
(20,8),-0.98964 # DEPENDENCYPART_ARC
(20,10),-0.774818 # DEPENDENCYPART_ARC
(20,11),-0.591767 # DEPENDENCYPART_ARC
(20,12),-0.441537 # DEPENDENCYPART_ARC
(20,13),-1.34992 # DEPENDENCYPART_ARC
(20,14),-0.369317 # DEPENDENCYPART_ARC
(20,16),-0.277466 # DEPENDENCYPART_ARC
(20,17),0.701109 # DEPENDENCYPART_ARC
(20,18),0.0301204 # DEPENDENCYPART_ARC
(20,19),1.09623 # DEPENDENCYPART_ARC
(20,21),1.49853 # DEPENDENCYPART_ARC
(20,22),0.332864 # DEPENDENCYPART_ARC
(20,23),0.0764451 # DEPENDENCYPART_ARC
(20,24),-1.14969 # DEPENDENCYPART_ARC
(21,22),-0.569428 # DEPENDENCYPART_ARC
(22,16),0.4857 # DEPENDENCYPART_ARC
(22,17),-0.16852 # DEPENDENCYPART_ARC
(22,19),0.564317 # DEPENDENCYPART_ARC
(22,20),0.754953 # DEPENDENCYPART_ARC
(22,21),0.488566 # DEPENDENCYPART_ARC
(22,23),0.929863 # DEPENDENCYPART_ARC
(23,4),-1.40117 # DEPENDENCYPART_ARC
(23,5),-1.9295 # DEPENDENCYPART_ARC
(23,8),-0.362055 # DEPENDENCYPART_ARC
(23,10),-1.45747 # DEPENDENCYPART_ARC
(23,12),-0.999011 # DEPENDENCYPART_ARC
(23,13),-1.29573 # DEPENDENCYPART_ARC
(23,14),-0.65982 # DEPENDENCYPART_ARC
(23,16),-1.11224 # DEPENDENCYPART_ARC
(23,17),0.0793772 # DEPENDENCYPART_ARC
(23,18),-0.328859 # DEPENDENCYPART_ARC
(23,19),-0.0181683 # DEPENDENCYPART_ARC
(23,20),-0.0384551 # DEPENDENCYPART_ARC
(23,22),1.38476 # DEPENDENCYPART_ARC
(23,24),-1.08353 # DEPENDENCYPART_ARC
(23,25),-0.411906 # DEPENDENCYPART_ARC
(24,14),-0.840814 # DEPENDENCYPART_ARC
(24,16),-1.61728 # DEPENDENCYPART_ARC
(24,17),-0.785863 # DEPENDENCYPART_ARC
(24,18),-0.248152 # DEPENDENCYPART_ARC
(24,19),-0.443225 # DEPENDENCYPART_ARC
(24,20),0.0110575 # DEPENDENCYPART_ARC
(24,22),0.229387 # DEPENDENCYPART_ARC
(24,23),2.4375 # DEPENDENCYPART_ARC
(24,25),2.37215 # DEPENDENCYPART_ARC
