# _root_ alfonso_osorio_garcia , diputatu espainiarra , ucdren garaian gobernu espainiarreko lehendakariordea eta lehendakaritzaren ministro ere .
#goldHeads=0,1,11,3,4,7,10,10,8,11,1,13,11,0,14,
#predictedHeads=11,3,11,3,4,7,8,10,8,11,15,11,12,0,14,
(10,3),-0.79875 # DEPENDENCYPART_ARC
(10,4),-1.65175 # DEPENDENCYPART_ARC
(10,5),-1.53788 # DEPENDENCYPART_ARC
(10,6),-0.461228 # DEPENDENCYPART_ARC
(10,7),-2.15232 # DEPENDENCYPART_ARC
(10,8),1.12309 # DEPENDENCYPART_ARC
(10,9),1.19723 # DEPENDENCYPART_ARC
(10,11),-0.406082 # DEPENDENCYPART_ARC
(10,12),-1.94684 # DEPENDENCYPART_ARC
(10,13),-0.474774 # DEPENDENCYPART_ARC
(10,14),-1.95605 # DEPENDENCYPART_ARC
(10,15),-1.37501 # DEPENDENCYPART_ARC
(11,1),-0.120534 # DEPENDENCYPART_ARC
(11,3),-0.242138 # DEPENDENCYPART_ARC
(11,6),-0.459098 # DEPENDENCYPART_ARC
(11,7),-1.39651 # DEPENDENCYPART_ARC
(11,8),-0.0304672 # DEPENDENCYPART_ARC
(11,9),-1.00167 # DEPENDENCYPART_ARC
(11,10),1.67177 # DEPENDENCYPART_ARC
(11,12),1.93834 # DEPENDENCYPART_ARC
(11,13),0.768353 # DEPENDENCYPART_ARC
(11,14),-0.0476706 # DEPENDENCYPART_ARC
(12,1),-2.92118 # DEPENDENCYPART_ARC
(12,4),-3.10715 # DEPENDENCYPART_ARC
(12,6),-1.98097 # DEPENDENCYPART_ARC
(12,9),-0.824731 # DEPENDENCYPART_ARC
(12,10),-3.35486 # DEPENDENCYPART_ARC
(12,11),-0.937998 # DEPENDENCYPART_ARC
(12,13),0.821146 # DEPENDENCYPART_ARC
(12,14),-1.43489 # DEPENDENCYPART_ARC
(12,15),-1.11997 # DEPENDENCYPART_ARC
(13,1),-1.18304 # DEPENDENCYPART_ARC
(13,3),-1.26973 # DEPENDENCYPART_ARC
(13,4),-2.04479 # DEPENDENCYPART_ARC
(13,6),-0.884566 # DEPENDENCYPART_ARC
(13,7),-1.38438 # DEPENDENCYPART_ARC
(13,8),-0.107051 # DEPENDENCYPART_ARC
(13,9),-0.823763 # DEPENDENCYPART_ARC
(13,10),-1.34453 # DEPENDENCYPART_ARC
(13,11),0.595562 # DEPENDENCYPART_ARC
(13,12),1.59733 # DEPENDENCYPART_ARC
(13,14),-0.391431 # DEPENDENCYPART_ARC
(13,15),-0.36177 # DEPENDENCYPART_ARC
(14,15),1.14257 # DEPENDENCYPART_ARC
(15,11),-0.985083 # DEPENDENCYPART_ARC
(15,12),-0.971867 # DEPENDENCYPART_ARC
(15,13),-1.04514 # DEPENDENCYPART_ARC
