# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,3,4,5,6,7,14,7,7,9,13,13,14,18,16,14,16,19,0,19,20,20,22,
(7,19),-0.767988 # DEPENDENCYPART_ARC
(7,20),-1.71352 # DEPENDENCYPART_ARC
(7,21),-0.0576515 # DEPENDENCYPART_ARC
(7,22),-0.769396 # DEPENDENCYPART_ARC
(8,6),-1.27823 # DEPENDENCYPART_ARC
(9,3),-2.74516 # DEPENDENCYPART_ARC
(9,4),-0.813143 # DEPENDENCYPART_ARC
(9,5),-0.19557 # DEPENDENCYPART_ARC
(9,6),-1.86136 # DEPENDENCYPART_ARC
(9,7),0.169659 # DEPENDENCYPART_ARC
(9,8),-1.00459 # DEPENDENCYPART_ARC
(9,10),1.39965 # DEPENDENCYPART_ARC
(9,11),-0.630808 # DEPENDENCYPART_ARC
(9,12),-0.792878 # DEPENDENCYPART_ARC
(10,11),-0.335361 # DEPENDENCYPART_ARC
(11,9),-2.37377 # DEPENDENCYPART_ARC
(11,10),-0.214821 # DEPENDENCYPART_ARC
(11,12),-0.0588749 # DEPENDENCYPART_ARC
(11,15),-1.97984 # DEPENDENCYPART_ARC
(11,23),-1.17633 # DEPENDENCYPART_ARC
(12,7),-1.60304 # DEPENDENCYPART_ARC
(12,9),-2.96622 # DEPENDENCYPART_ARC
(12,10),-1.11539 # DEPENDENCYPART_ARC
(12,11),-0.584572 # DEPENDENCYPART_ARC
(12,13),-0.307673 # DEPENDENCYPART_ARC
(12,15),-2.00579 # DEPENDENCYPART_ARC
(12,23),-0.853482 # DEPENDENCYPART_ARC
(13,1),-0.439536 # DEPENDENCYPART_ARC
(13,3),-0.651306 # DEPENDENCYPART_ARC
(13,4),-1.30375 # DEPENDENCYPART_ARC
(13,5),-1.04811 # DEPENDENCYPART_ARC
(13,6),-0.201048 # DEPENDENCYPART_ARC
(13,7),-0.78032 # DEPENDENCYPART_ARC
(13,8),-0.78116 # DEPENDENCYPART_ARC
(13,9),-0.311631 # DEPENDENCYPART_ARC
(13,10),-1.38066 # DEPENDENCYPART_ARC
(13,11),1.49172 # DEPENDENCYPART_ARC
(13,12),2.18347 # DEPENDENCYPART_ARC
(13,14),-0.123053 # DEPENDENCYPART_ARC
(13,15),-0.576701 # DEPENDENCYPART_ARC
(13,16),-0.443459 # DEPENDENCYPART_ARC
(13,17),-0.947885 # DEPENDENCYPART_ARC
(13,18),-0.834545 # DEPENDENCYPART_ARC
(13,20),-1.28612 # DEPENDENCYPART_ARC
(13,21),-0.568906 # DEPENDENCYPART_ARC
(13,22),-1.57894 # DEPENDENCYPART_ARC
(14,2),-1.17251 # DEPENDENCYPART_ARC
(14,3),-1.39609 # DEPENDENCYPART_ARC
(14,4),-1.10281 # DEPENDENCYPART_ARC
(14,5),-1.24998 # DEPENDENCYPART_ARC
(14,6),-0.767908 # DEPENDENCYPART_ARC
(14,7),0.0324399 # DEPENDENCYPART_ARC
(14,9),-0.251634 # DEPENDENCYPART_ARC
(14,10),-1.55994 # DEPENDENCYPART_ARC
(14,11),-0.105808 # DEPENDENCYPART_ARC
(14,12),-0.345002 # DEPENDENCYPART_ARC
(14,13),2.43786 # DEPENDENCYPART_ARC
(14,15),1.01728 # DEPENDENCYPART_ARC
(14,16),1.08486 # DEPENDENCYPART_ARC
(14,17),-0.550202 # DEPENDENCYPART_ARC
(14,18),0.141134 # DEPENDENCYPART_ARC
(14,19),-0.416483 # DEPENDENCYPART_ARC
(14,20),0.377695 # DEPENDENCYPART_ARC
(14,22),-1.32652 # DEPENDENCYPART_ARC
(15,13),-0.479635 # DEPENDENCYPART_ARC
(15,14),-0.877172 # DEPENDENCYPART_ARC
(15,16),-0.872073 # DEPENDENCYPART_ARC
(15,17),-0.564965 # DEPENDENCYPART_ARC
(15,21),-2.34278 # DEPENDENCYPART_ARC
(15,23),-1.06054 # DEPENDENCYPART_ARC
(16,1),-0.0546189 # DEPENDENCYPART_ARC
(16,2),-0.421653 # DEPENDENCYPART_ARC
(16,3),-0.671129 # DEPENDENCYPART_ARC
(16,5),-1.13047 # DEPENDENCYPART_ARC
(16,6),-0.31049 # DEPENDENCYPART_ARC
(16,7),-0.580128 # DEPENDENCYPART_ARC
(16,8),-0.357632 # DEPENDENCYPART_ARC
(16,9),-0.737779 # DEPENDENCYPART_ARC
(16,10),-1.61615 # DEPENDENCYPART_ARC
(16,11),0.332527 # DEPENDENCYPART_ARC
(16,12),0.608747 # DEPENDENCYPART_ARC
(16,13),0.112534 # DEPENDENCYPART_ARC
(16,14),0.255617 # DEPENDENCYPART_ARC
(16,15),2.17843 # DEPENDENCYPART_ARC
(16,17),1.10135 # DEPENDENCYPART_ARC
(16,18),0.170181 # DEPENDENCYPART_ARC
(16,19),-0.330413 # DEPENDENCYPART_ARC
(16,20),-0.47828 # DEPENDENCYPART_ARC
(16,21),0.253626 # DEPENDENCYPART_ARC
(16,22),-0.745917 # DEPENDENCYPART_ARC
(17,13),-0.642719 # DEPENDENCYPART_ARC
(17,15),-0.39657 # DEPENDENCYPART_ARC
(17,16),0.38496 # DEPENDENCYPART_ARC
(17,18),-0.0439388 # DEPENDENCYPART_ARC
(17,20),-0.429197 # DEPENDENCYPART_ARC
(18,1),-0.692209 # DEPENDENCYPART_ARC
(18,5),-1.54772 # DEPENDENCYPART_ARC
(18,7),-1.51964 # DEPENDENCYPART_ARC
(18,8),-1.39658 # DEPENDENCYPART_ARC
(18,9),-1.3446 # DEPENDENCYPART_ARC
(18,11),-0.446803 # DEPENDENCYPART_ARC
(18,12),-0.864092 # DEPENDENCYPART_ARC
(18,13),-1.12427 # DEPENDENCYPART_ARC
(18,14),-0.0119602 # DEPENDENCYPART_ARC
(18,15),-0.177251 # DEPENDENCYPART_ARC
(18,16),-0.443058 # DEPENDENCYPART_ARC
(18,17),-0.795252 # DEPENDENCYPART_ARC
(18,19),-0.155152 # DEPENDENCYPART_ARC
(18,20),-0.127015 # DEPENDENCYPART_ARC
(18,21),0.15328 # DEPENDENCYPART_ARC
(18,22),-0.119467 # DEPENDENCYPART_ARC
(19,2),-1.47834 # DEPENDENCYPART_ARC
(19,4),-1.94238 # DEPENDENCYPART_ARC
(19,7),-0.922369 # DEPENDENCYPART_ARC
(19,11),-1.5166 # DEPENDENCYPART_ARC
(19,12),-1.98098 # DEPENDENCYPART_ARC
(19,13),0.0683329 # DEPENDENCYPART_ARC
(19,14),-0.361246 # DEPENDENCYPART_ARC
(19,15),-1.03882 # DEPENDENCYPART_ARC
(19,16),0.609564 # DEPENDENCYPART_ARC
(19,17),-0.992056 # DEPENDENCYPART_ARC
(19,18),2.10512 # DEPENDENCYPART_ARC
(19,20),1.74364 # DEPENDENCYPART_ARC
(19,21),0.112978 # DEPENDENCYPART_ARC
(19,22),-0.461888 # DEPENDENCYPART_ARC
(20,14),-1.13376 # DEPENDENCYPART_ARC
(20,15),-1.28274 # DEPENDENCYPART_ARC
(20,16),-0.975906 # DEPENDENCYPART_ARC
(20,17),-1.66338 # DEPENDENCYPART_ARC
(20,18),-0.0136597 # DEPENDENCYPART_ARC
(20,19),-0.551863 # DEPENDENCYPART_ARC
(20,21),2.19156 # DEPENDENCYPART_ARC
(20,22),1.28875 # DEPENDENCYPART_ARC
(21,22),0.259333 # DEPENDENCYPART_ARC
(22,17),-2.15259 # DEPENDENCYPART_ARC
(22,18),-0.856077 # DEPENDENCYPART_ARC
(22,19),-0.842765 # DEPENDENCYPART_ARC
(22,20),-0.751237 # DEPENDENCYPART_ARC
(22,21),-1.70295 # DEPENDENCYPART_ARC
(22,23),1.69007 # DEPENDENCYPART_ARC
