# _root_ gasteizek onartu egingo luke eaeko kuotetara iristen ez den diru kopuru bat , kontuan_hartuz forcem_espainiako langileen prestakuntzarako erakundeak ere eaen jarduten duela , hobetuzekin_batera .
#goldHeads=2,0,2,2,6,7,10,7,7,2,10,10,12,2,16,17,18,21,0,21,0,14,22,21,24,
#predictedHeads=2,3,0,2,6,7,10,7,7,14,10,11,12,2,16,18,18,21,0,21,7,21,22,21,24,
(11,16),-0.830555 # DEPENDENCYPART_ARC
(11,21),-1.28363 # DEPENDENCYPART_ARC
(12,10),-0.758664 # DEPENDENCYPART_ARC
(12,11),-0.510875 # DEPENDENCYPART_ARC
(12,13),1.55019 # DEPENDENCYPART_ARC
(13,9),-0.884448 # DEPENDENCYPART_ARC
(13,14),-0.505316 # DEPENDENCYPART_ARC
(13,21),-1.81182 # DEPENDENCYPART_ARC
(14,2),-1.34809 # DEPENDENCYPART_ARC
(14,3),-1.00853 # DEPENDENCYPART_ARC
(14,4),-1.71588 # DEPENDENCYPART_ARC
(14,5),-2.97093 # DEPENDENCYPART_ARC
(14,6),-0.354653 # DEPENDENCYPART_ARC
(14,7),-0.627138 # DEPENDENCYPART_ARC
(14,8),-0.509478 # DEPENDENCYPART_ARC
(14,9),-1.2038 # DEPENDENCYPART_ARC
(14,10),-0.0665969 # DEPENDENCYPART_ARC
(14,11),-0.0803231 # DEPENDENCYPART_ARC
(14,12),-0.852984 # DEPENDENCYPART_ARC
(14,13),-0.545673 # DEPENDENCYPART_ARC
(14,15),-1.63302 # DEPENDENCYPART_ARC
(14,16),-1.79968 # DEPENDENCYPART_ARC
(14,17),-2.53205 # DEPENDENCYPART_ARC
(14,18),-0.725667 # DEPENDENCYPART_ARC
(14,21),-2.00481 # DEPENDENCYPART_ARC
(14,22),-3.90087 # DEPENDENCYPART_ARC
(15,13),-1.31777 # DEPENDENCYPART_ARC
(15,16),-0.842005 # DEPENDENCYPART_ARC
(15,17),-2.51399 # DEPENDENCYPART_ARC
(15,18),-2.12943 # DEPENDENCYPART_ARC
(15,20),-4.2623 # DEPENDENCYPART_ARC
(16,10),-1.16977 # DEPENDENCYPART_ARC
(16,11),-1.04835 # DEPENDENCYPART_ARC
(16,12),-3.09879 # DEPENDENCYPART_ARC
(16,13),-1.56001 # DEPENDENCYPART_ARC
(16,14),-1.04189 # DEPENDENCYPART_ARC
(16,15),1.75537 # DEPENDENCYPART_ARC
(16,17),0.30665 # DEPENDENCYPART_ARC
(16,18),-0.44176 # DEPENDENCYPART_ARC
(16,19),-1.62745 # DEPENDENCYPART_ARC
(16,20),-1.86989 # DEPENDENCYPART_ARC
(16,22),-1.78485 # DEPENDENCYPART_ARC
(16,25),-0.87835 # DEPENDENCYPART_ARC
(17,12),-3.59816 # DEPENDENCYPART_ARC
(17,13),-1.8967 # DEPENDENCYPART_ARC
(17,14),-2.7668 # DEPENDENCYPART_ARC
(17,15),-0.618409 # DEPENDENCYPART_ARC
(17,16),1.30973 # DEPENDENCYPART_ARC
(17,18),-1.59079 # DEPENDENCYPART_ARC
(17,19),-1.71721 # DEPENDENCYPART_ARC
(17,20),-4.05534 # DEPENDENCYPART_ARC
(17,22),-3.87943 # DEPENDENCYPART_ARC
(17,25),-1.40444 # DEPENDENCYPART_ARC
(18,12),-2.94986 # DEPENDENCYPART_ARC
(18,13),-1.60917 # DEPENDENCYPART_ARC
(18,14),-1.67318 # DEPENDENCYPART_ARC
(18,15),0.647056 # DEPENDENCYPART_ARC
(18,16),1.37569 # DEPENDENCYPART_ARC
(18,17),2.04949 # DEPENDENCYPART_ARC
(18,19),-0.745606 # DEPENDENCYPART_ARC
(18,20),-2.59287 # DEPENDENCYPART_ARC
(18,21),-1.49158 # DEPENDENCYPART_ARC
(18,22),-3.38539 # DEPENDENCYPART_ARC
(18,24),-3.17338 # DEPENDENCYPART_ARC
(18,25),-0.872945 # DEPENDENCYPART_ARC
(19,21),-2.99216 # DEPENDENCYPART_ARC
(20,17),-2.88723 # DEPENDENCYPART_ARC
(20,18),-5.11203 # DEPENDENCYPART_ARC
(21,2),-1.63955 # DEPENDENCYPART_ARC
(21,3),-1.27384 # DEPENDENCYPART_ARC
(21,5),-2.08661 # DEPENDENCYPART_ARC
(21,6),-0.574157 # DEPENDENCYPART_ARC
(21,7),-0.742627 # DEPENDENCYPART_ARC
(21,8),-0.0612524 # DEPENDENCYPART_ARC
(21,10),-0.204134 # DEPENDENCYPART_ARC
(21,11),-0.119182 # DEPENDENCYPART_ARC
(21,14),-0.200061 # DEPENDENCYPART_ARC
(21,15),-1.10231 # DEPENDENCYPART_ARC
(21,16),-0.907856 # DEPENDENCYPART_ARC
(21,17),-0.506986 # DEPENDENCYPART_ARC
(21,18),1.0223 # DEPENDENCYPART_ARC
(21,19),-0.11747 # DEPENDENCYPART_ARC
(21,20),2.09292 # DEPENDENCYPART_ARC
(21,22),1.71532 # DEPENDENCYPART_ARC
(21,23),-0.703385 # DEPENDENCYPART_ARC
(21,24),-1.03277 # DEPENDENCYPART_ARC
(22,17),-0.655288 # DEPENDENCYPART_ARC
(22,18),-0.193529 # DEPENDENCYPART_ARC
(22,20),-0.781127 # DEPENDENCYPART_ARC
(22,23),1.43226 # DEPENDENCYPART_ARC
(23,21),-0.326309 # DEPENDENCYPART_ARC
(23,22),-0.0587531 # DEPENDENCYPART_ARC
(24,23),-0.78717 # DEPENDENCYPART_ARC
(24,25),2.38929 # DEPENDENCYPART_ARC
