# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,17,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(7,3),-2.24842 # DEPENDENCYPART_ARC
(7,5),-0.581851 # DEPENDENCYPART_ARC
(7,6),-0.28794 # DEPENDENCYPART_ARC
(7,8),2.17096 # DEPENDENCYPART_ARC
(7,9),-0.963363 # DEPENDENCYPART_ARC
(7,10),-1.07184 # DEPENDENCYPART_ARC
(7,11),-0.88341 # DEPENDENCYPART_ARC
(7,13),-0.742134 # DEPENDENCYPART_ARC
(7,15),-1.08452 # DEPENDENCYPART_ARC
(7,17),-0.956959 # DEPENDENCYPART_ARC
(7,18),-0.994512 # DEPENDENCYPART_ARC
(8,2),-0.937329 # DEPENDENCYPART_ARC
(8,4),-0.707845 # DEPENDENCYPART_ARC
(8,5),-1.27668 # DEPENDENCYPART_ARC
(8,7),-0.163293 # DEPENDENCYPART_ARC
(9,1),-1.31911 # DEPENDENCYPART_ARC
(9,2),0.289635 # DEPENDENCYPART_ARC
(9,3),-1.67356 # DEPENDENCYPART_ARC
(9,4),1.3292 # DEPENDENCYPART_ARC
(9,5),-0.259791 # DEPENDENCYPART_ARC
(9,6),0.702918 # DEPENDENCYPART_ARC
(9,7),1.29746 # DEPENDENCYPART_ARC
(9,8),0.468626 # DEPENDENCYPART_ARC
(9,10),2.3104 # DEPENDENCYPART_ARC
(9,11),1.43191 # DEPENDENCYPART_ARC
(9,12),-0.149478 # DEPENDENCYPART_ARC
(9,13),0.0314807 # DEPENDENCYPART_ARC
(9,15),-0.935149 # DEPENDENCYPART_ARC
(9,16),0.062751 # DEPENDENCYPART_ARC
(9,17),-0.231905 # DEPENDENCYPART_ARC
(10,8),-0.943531 # DEPENDENCYPART_ARC
(10,11),-0.865026 # DEPENDENCYPART_ARC
(10,13),-1.262 # DEPENDENCYPART_ARC
(10,15),-1.78296 # DEPENDENCYPART_ARC
(11,1),-1.99893 # DEPENDENCYPART_ARC
(11,2),-1.5704 # DEPENDENCYPART_ARC
(11,6),-0.427544 # DEPENDENCYPART_ARC
(11,7),-0.867317 # DEPENDENCYPART_ARC
(11,8),-2.58736 # DEPENDENCYPART_ARC
(11,9),0.209755 # DEPENDENCYPART_ARC
(11,10),-1.03406 # DEPENDENCYPART_ARC
(11,12),1.37925 # DEPENDENCYPART_ARC
(11,13),-0.591139 # DEPENDENCYPART_ARC
(11,14),-2.3218 # DEPENDENCYPART_ARC
(11,15),-2.60899 # DEPENDENCYPART_ARC
(11,16),-1.07706 # DEPENDENCYPART_ARC
(11,17),-2.24398 # DEPENDENCYPART_ARC
(11,18),-0.882807 # DEPENDENCYPART_ARC
(12,9),-0.440423 # DEPENDENCYPART_ARC
(12,10),-1.05213 # DEPENDENCYPART_ARC
(12,11),-0.531786 # DEPENDENCYPART_ARC
(12,13),-0.545389 # DEPENDENCYPART_ARC
(12,16),-0.79536 # DEPENDENCYPART_ARC
(12,17),-0.990445 # DEPENDENCYPART_ARC
(13,1),-1.08031 # DEPENDENCYPART_ARC
(13,2),-0.469062 # DEPENDENCYPART_ARC
(13,4),-1.64181 # DEPENDENCYPART_ARC
(13,5),-0.868139 # DEPENDENCYPART_ARC
(13,6),-0.352507 # DEPENDENCYPART_ARC
(13,7),-0.654581 # DEPENDENCYPART_ARC
(13,8),-1.0925 # DEPENDENCYPART_ARC
(13,9),1.2913 # DEPENDENCYPART_ARC
(13,10),-0.632473 # DEPENDENCYPART_ARC
(13,11),-0.162095 # DEPENDENCYPART_ARC
(13,12),-0.329034 # DEPENDENCYPART_ARC
(13,14),-1.13531 # DEPENDENCYPART_ARC
(13,15),0.838153 # DEPENDENCYPART_ARC
(13,16),0.683976 # DEPENDENCYPART_ARC
(13,17),1.56634 # DEPENDENCYPART_ARC
(14,13),-0.929301 # DEPENDENCYPART_ARC
(14,16),-1.30824 # DEPENDENCYPART_ARC
(15,11),-3.86874 # DEPENDENCYPART_ARC
(15,12),-1.41847 # DEPENDENCYPART_ARC
(15,16),-0.00324192 # DEPENDENCYPART_ARC
(16,1),-2.13537 # DEPENDENCYPART_ARC
(16,2),-0.914914 # DEPENDENCYPART_ARC
(16,3),-2.24593 # DEPENDENCYPART_ARC
(16,4),-0.821967 # DEPENDENCYPART_ARC
(16,5),-2.04834 # DEPENDENCYPART_ARC
(16,6),-0.795866 # DEPENDENCYPART_ARC
(16,7),-1.26333 # DEPENDENCYPART_ARC
(16,9),-1.09498 # DEPENDENCYPART_ARC
(16,10),-1.03363 # DEPENDENCYPART_ARC
(16,11),-0.715713 # DEPENDENCYPART_ARC
(16,12),-1.64315 # DEPENDENCYPART_ARC
(16,13),-0.438994 # DEPENDENCYPART_ARC
(16,14),-0.178461 # DEPENDENCYPART_ARC
(16,15),2.55298 # DEPENDENCYPART_ARC
(16,17),-0.0963199 # DEPENDENCYPART_ARC
(16,18),0.0592777 # DEPENDENCYPART_ARC
(17,2),-0.454558 # DEPENDENCYPART_ARC
(17,4),1.60954 # DEPENDENCYPART_ARC
(17,5),-0.761076 # DEPENDENCYPART_ARC
(17,6),-0.252922 # DEPENDENCYPART_ARC
(17,7),-0.149302 # DEPENDENCYPART_ARC
(17,8),-0.787679 # DEPENDENCYPART_ARC
(17,9),-0.364842 # DEPENDENCYPART_ARC
(17,10),0.948972 # DEPENDENCYPART_ARC
(17,11),0.252282 # DEPENDENCYPART_ARC
(17,13),-0.20958 # DEPENDENCYPART_ARC
(17,14),1.09857 # DEPENDENCYPART_ARC
(17,15),2.74543 # DEPENDENCYPART_ARC
(17,16),2.09064 # DEPENDENCYPART_ARC
(17,18),1.99281 # DEPENDENCYPART_ARC
(18,16),-1.17514 # DEPENDENCYPART_ARC
