# _root_ benetan , erdi tontolo geratu naiz leihotik begira : muxuka zeuden txirikorda eta nicolasito , biak eskutik helduta ! .
#goldHeads=5,3,4,5,0,5,5,7,8,11,0,13,11,13,14,18,18,11,18,19,
#predictedHeads=5,3,4,5,0,5,5,7,8,11,5,13,11,13,14,18,18,11,18,19,
(5,3),0.602346 # DEPENDENCYPART_ARC
(5,4),1.24404 # DEPENDENCYPART_ARC
(5,6),1.55304 # DEPENDENCYPART_ARC
(5,7),0.815496 # DEPENDENCYPART_ARC
(5,8),-0.154585 # DEPENDENCYPART_ARC
(5,10),-0.736375 # DEPENDENCYPART_ARC
(5,11),-0.189686 # DEPENDENCYPART_ARC
(5,13),-0.367519 # DEPENDENCYPART_ARC
(5,17),-0.963949 # DEPENDENCYPART_ARC
(5,18),-0.286909 # DEPENDENCYPART_ARC
(6,4),-0.728542 # DEPENDENCYPART_ARC
(6,5),-0.662551 # DEPENDENCYPART_ARC
(6,7),-0.888075 # DEPENDENCYPART_ARC
(6,8),-0.751485 # DEPENDENCYPART_ARC
(6,10),-1.34123 # DEPENDENCYPART_ARC
(6,13),-1.07008 # DEPENDENCYPART_ARC
(7,1),-1.40482 # DEPENDENCYPART_ARC
(7,2),-1.60824 # DEPENDENCYPART_ARC
(7,3),-1.21292 # DEPENDENCYPART_ARC
(7,4),-1.78796 # DEPENDENCYPART_ARC
(7,5),-0.226727 # DEPENDENCYPART_ARC
(7,6),-1.2031 # DEPENDENCYPART_ARC
(7,8),-0.0459048 # DEPENDENCYPART_ARC
(7,9),-0.640788 # DEPENDENCYPART_ARC
(7,10),-1.27513 # DEPENDENCYPART_ARC
(7,11),-2.42414 # DEPENDENCYPART_ARC
(7,12),-2.70591 # DEPENDENCYPART_ARC
(7,13),-1.66179 # DEPENDENCYPART_ARC
(7,16),-4.47469 # DEPENDENCYPART_ARC
(7,18),-1.60708 # DEPENDENCYPART_ARC
(8,5),-0.846528 # DEPENDENCYPART_ARC
(8,7),-0.0718434 # DEPENDENCYPART_ARC
(8,9),1.46177 # DEPENDENCYPART_ARC
(8,10),-0.38914 # DEPENDENCYPART_ARC
(8,12),-0.558095 # DEPENDENCYPART_ARC
(8,13),-0.529223 # DEPENDENCYPART_ARC
(8,14),-0.616555 # DEPENDENCYPART_ARC
(9,8),0.313263 # DEPENDENCYPART_ARC
(9,11),-0.8857 # DEPENDENCYPART_ARC
(9,12),-1.1931 # DEPENDENCYPART_ARC
(9,14),-1.339 # DEPENDENCYPART_ARC
(10,7),-0.742203 # DEPENDENCYPART_ARC
(10,8),-0.400943 # DEPENDENCYPART_ARC
(10,11),-0.159929 # DEPENDENCYPART_ARC
(10,12),-0.628716 # DEPENDENCYPART_ARC
(10,13),-0.489798 # DEPENDENCYPART_ARC
(10,14),-0.797825 # DEPENDENCYPART_ARC
(10,15),-0.303972 # DEPENDENCYPART_ARC
(10,17),-0.819591 # DEPENDENCYPART_ARC
(11,1),-0.69447 # DEPENDENCYPART_ARC
(11,2),-1.60963 # DEPENDENCYPART_ARC
(11,3),-0.397573 # DEPENDENCYPART_ARC
(11,4),-0.696932 # DEPENDENCYPART_ARC
(11,5),-0.407733 # DEPENDENCYPART_ARC
(11,7),-0.373033 # DEPENDENCYPART_ARC
(11,8),-0.0785004 # DEPENDENCYPART_ARC
(11,10),1.47491 # DEPENDENCYPART_ARC
(11,12),0.597111 # DEPENDENCYPART_ARC
(11,13),0.653922 # DEPENDENCYPART_ARC
(11,14),0.563882 # DEPENDENCYPART_ARC
(11,16),0.283814 # DEPENDENCYPART_ARC
(11,17),-1.04275 # DEPENDENCYPART_ARC
(11,18),0.674762 # DEPENDENCYPART_ARC
(12,11),-1.03791 # DEPENDENCYPART_ARC
(12,14),-0.817448 # DEPENDENCYPART_ARC
(12,17),-2.15684 # DEPENDENCYPART_ARC
(13,1),-1.00728 # DEPENDENCYPART_ARC
(13,3),-1.01185 # DEPENDENCYPART_ARC
(13,5),-0.573352 # DEPENDENCYPART_ARC
(13,6),-1.23116 # DEPENDENCYPART_ARC
(13,7),-1.27637 # DEPENDENCYPART_ARC
(13,8),-1.2479 # DEPENDENCYPART_ARC
(13,10),-0.824404 # DEPENDENCYPART_ARC
(13,11),0.531662 # DEPENDENCYPART_ARC
(13,12),1.73177 # DEPENDENCYPART_ARC
(13,14),1.84936 # DEPENDENCYPART_ARC
(13,15),-0.328858 # DEPENDENCYPART_ARC
(13,16),-0.656264 # DEPENDENCYPART_ARC
(13,17),0.244405 # DEPENDENCYPART_ARC
(13,18),-0.794761 # DEPENDENCYPART_ARC
(14,15),1.10429 # DEPENDENCYPART_ARC
(14,16),-3.91629 # DEPENDENCYPART_ARC
(14,17),-1.90219 # DEPENDENCYPART_ARC
(14,18),-1.49517 # DEPENDENCYPART_ARC
(15,11),-0.388009 # DEPENDENCYPART_ARC
(15,12),-0.801351 # DEPENDENCYPART_ARC
(15,13),-0.859807 # DEPENDENCYPART_ARC
(15,14),-0.315891 # DEPENDENCYPART_ARC
(15,16),-0.593391 # DEPENDENCYPART_ARC
(15,17),-0.646763 # DEPENDENCYPART_ARC
(15,18),-0.747533 # DEPENDENCYPART_ARC
(16,1),-1.10481 # DEPENDENCYPART_ARC
(16,3),-0.921131 # DEPENDENCYPART_ARC
(16,10),-1.23326 # DEPENDENCYPART_ARC
(16,15),-0.481087 # DEPENDENCYPART_ARC
(16,17),-0.135812 # DEPENDENCYPART_ARC
(17,1),-1.04112 # DEPENDENCYPART_ARC
(17,3),-1.08818 # DEPENDENCYPART_ARC
(17,4),-1.75816 # DEPENDENCYPART_ARC
(17,5),-1.4561 # DEPENDENCYPART_ARC
(17,7),-1.40158 # DEPENDENCYPART_ARC
(17,11),-1.77093 # DEPENDENCYPART_ARC
(17,12),-1.79937 # DEPENDENCYPART_ARC
(17,13),-0.553039 # DEPENDENCYPART_ARC
(17,14),-1.58097 # DEPENDENCYPART_ARC
(17,15),-0.868858 # DEPENDENCYPART_ARC
(17,16),-0.463463 # DEPENDENCYPART_ARC
(17,18),-0.72162 # DEPENDENCYPART_ARC
(17,20),-1.20949 # DEPENDENCYPART_ARC
(18,1),-1.29077 # DEPENDENCYPART_ARC
(18,2),-1.68231 # DEPENDENCYPART_ARC
(18,3),-1.07545 # DEPENDENCYPART_ARC
(18,4),-0.80166 # DEPENDENCYPART_ARC
(18,5),-1.51129 # DEPENDENCYPART_ARC
(18,7),-1.74783 # DEPENDENCYPART_ARC
(18,8),-1.01551 # DEPENDENCYPART_ARC
(18,10),-0.347795 # DEPENDENCYPART_ARC
(18,11),-2.08586 # DEPENDENCYPART_ARC
(18,12),-0.976819 # DEPENDENCYPART_ARC
(18,13),0.150744 # DEPENDENCYPART_ARC
(18,14),-1.33077 # DEPENDENCYPART_ARC
(18,15),-0.985016 # DEPENDENCYPART_ARC
(18,16),0.449988 # DEPENDENCYPART_ARC
(18,17),1.47334 # DEPENDENCYPART_ARC
(18,19),1.60808 # DEPENDENCYPART_ARC
(18,20),0.118573 # DEPENDENCYPART_ARC
(19,20),1.80245 # DEPENDENCYPART_ARC
(20,18),-1.32819 # DEPENDENCYPART_ARC
