# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(11,3),-2.75233 # DEPENDENCYPART_ARC
(11,5),-2.73269 # DEPENDENCYPART_ARC
(11,7),-1.97992 # DEPENDENCYPART_ARC
(11,8),-1.00552 # DEPENDENCYPART_ARC
(11,9),-1.32595 # DEPENDENCYPART_ARC
(11,10),1.31186 # DEPENDENCYPART_ARC
(11,12),2.08687 # DEPENDENCYPART_ARC
(11,13),-0.27559 # DEPENDENCYPART_ARC
(11,14),-0.502303 # DEPENDENCYPART_ARC
(11,15),-0.872459 # DEPENDENCYPART_ARC
(11,18),-1.25792 # DEPENDENCYPART_ARC
(12,10),-0.842742 # DEPENDENCYPART_ARC
(12,11),-0.551467 # DEPENDENCYPART_ARC
(12,14),-1.3821 # DEPENDENCYPART_ARC
(13,9),-1.98517 # DEPENDENCYPART_ARC
(13,10),-1.48241 # DEPENDENCYPART_ARC
(13,11),-0.720145 # DEPENDENCYPART_ARC
(13,14),-1.30363 # DEPENDENCYPART_ARC
(13,15),-2.83347 # DEPENDENCYPART_ARC
(14,9),-1.95429 # DEPENDENCYPART_ARC
(14,10),0.300831 # DEPENDENCYPART_ARC
(14,11),-0.492339 # DEPENDENCYPART_ARC
(14,12),-1.74712 # DEPENDENCYPART_ARC
(14,13),1.48795 # DEPENDENCYPART_ARC
(14,15),-1.81427 # DEPENDENCYPART_ARC
(14,18),-2.62712 # DEPENDENCYPART_ARC
(14,25),-1.16633 # DEPENDENCYPART_ARC
(15,3),-3.00398 # DEPENDENCYPART_ARC
(15,10),0.48377 # DEPENDENCYPART_ARC
(15,11),-0.871771 # DEPENDENCYPART_ARC
(15,12),-3.49579 # DEPENDENCYPART_ARC
(15,13),0.423237 # DEPENDENCYPART_ARC
(15,14),-0.774149 # DEPENDENCYPART_ARC
(15,16),-0.280583 # DEPENDENCYPART_ARC
(15,18),-1.9171 # DEPENDENCYPART_ARC
(15,25),-0.90335 # DEPENDENCYPART_ARC
(16,1),-1.31893 # DEPENDENCYPART_ARC
(16,2),-1.02541 # DEPENDENCYPART_ARC
(16,3),-1.01135 # DEPENDENCYPART_ARC
(16,4),-0.371764 # DEPENDENCYPART_ARC
(16,5),-0.943072 # DEPENDENCYPART_ARC
(16,6),-1.10981 # DEPENDENCYPART_ARC
(16,7),0.453825 # DEPENDENCYPART_ARC
(16,8),-0.527454 # DEPENDENCYPART_ARC
(16,10),-0.171849 # DEPENDENCYPART_ARC
(16,11),-0.00110863 # DEPENDENCYPART_ARC
(16,12),-0.35603 # DEPENDENCYPART_ARC
(16,13),-0.599616 # DEPENDENCYPART_ARC
(16,14),1.41579 # DEPENDENCYPART_ARC
(16,15),2.2169 # DEPENDENCYPART_ARC
(16,17),0.840854 # DEPENDENCYPART_ARC
(16,18),0.574448 # DEPENDENCYPART_ARC
(16,19),-0.983009 # DEPENDENCYPART_ARC
(16,20),-0.618309 # DEPENDENCYPART_ARC
(16,22),-1.14101 # DEPENDENCYPART_ARC
(16,23),-1.07452 # DEPENDENCYPART_ARC
(16,24),-0.989701 # DEPENDENCYPART_ARC
(17,1),-1.08982 # DEPENDENCYPART_ARC
(17,2),-0.448645 # DEPENDENCYPART_ARC
(17,3),-0.904719 # DEPENDENCYPART_ARC
(17,4),0.00339227 # DEPENDENCYPART_ARC
(17,5),-0.801764 # DEPENDENCYPART_ARC
(17,6),-0.917703 # DEPENDENCYPART_ARC
(17,7),0.166487 # DEPENDENCYPART_ARC
(17,8),0.237818 # DEPENDENCYPART_ARC
(17,9),-1.73251 # DEPENDENCYPART_ARC
(17,10),0.0726116 # DEPENDENCYPART_ARC
(17,11),0.0724069 # DEPENDENCYPART_ARC
(17,12),-0.819177 # DEPENDENCYPART_ARC
(17,13),-0.639565 # DEPENDENCYPART_ARC
(17,14),1.04745 # DEPENDENCYPART_ARC
(17,15),0.314976 # DEPENDENCYPART_ARC
(17,16),1.53334 # DEPENDENCYPART_ARC
(17,18),1.51843 # DEPENDENCYPART_ARC
(17,19),-0.363985 # DEPENDENCYPART_ARC
(17,20),-0.361402 # DEPENDENCYPART_ARC
(17,22),-0.254214 # DEPENDENCYPART_ARC
(17,23),-0.672527 # DEPENDENCYPART_ARC
(17,24),0.0958912 # DEPENDENCYPART_ARC
(18,15),-0.983828 # DEPENDENCYPART_ARC
(18,17),-0.93836 # DEPENDENCYPART_ARC
(18,19),1.42812 # DEPENDENCYPART_ARC
(18,20),-1.3163 # DEPENDENCYPART_ARC
(18,22),-2.32926 # DEPENDENCYPART_ARC
(18,23),-1.55538 # DEPENDENCYPART_ARC
(19,16),-0.714666 # DEPENDENCYPART_ARC
(19,17),-0.61296 # DEPENDENCYPART_ARC
(19,18),-0.47075 # DEPENDENCYPART_ARC
(19,20),-0.583988 # DEPENDENCYPART_ARC
(20,4),-0.238022 # DEPENDENCYPART_ARC
(20,6),-1.32554 # DEPENDENCYPART_ARC
(20,8),-1.05442 # DEPENDENCYPART_ARC
(20,13),-1.70326 # DEPENDENCYPART_ARC
(20,15),-1.26394 # DEPENDENCYPART_ARC
(20,16),0.0344303 # DEPENDENCYPART_ARC
(20,17),1.12457 # DEPENDENCYPART_ARC
(20,18),-0.567093 # DEPENDENCYPART_ARC
(20,19),-0.548301 # DEPENDENCYPART_ARC
(20,21),-0.49378 # DEPENDENCYPART_ARC
(20,22),0.80543 # DEPENDENCYPART_ARC
(20,23),-0.373805 # DEPENDENCYPART_ARC
(20,24),-0.245528 # DEPENDENCYPART_ARC
(21,22),-0.264828 # DEPENDENCYPART_ARC
(21,24),-1.01232 # DEPENDENCYPART_ARC
(22,2),-1.63297 # DEPENDENCYPART_ARC
(22,4),-0.146632 # DEPENDENCYPART_ARC
(22,6),-1.15518 # DEPENDENCYPART_ARC
(22,7),-0.76234 # DEPENDENCYPART_ARC
(22,10),-0.87897 # DEPENDENCYPART_ARC
(22,11),-1.14918 # DEPENDENCYPART_ARC
(22,13),-2.10383 # DEPENDENCYPART_ARC
(22,14),-0.176181 # DEPENDENCYPART_ARC
(22,15),-0.620923 # DEPENDENCYPART_ARC
(22,16),-1.28752 # DEPENDENCYPART_ARC
(22,17),-0.148891 # DEPENDENCYPART_ARC
(22,18),-0.56761 # DEPENDENCYPART_ARC
(22,19),-0.885668 # DEPENDENCYPART_ARC
(22,20),0.10744 # DEPENDENCYPART_ARC
(22,21),1.09515 # DEPENDENCYPART_ARC
(22,23),1.65737 # DEPENDENCYPART_ARC
(22,24),1.769 # DEPENDENCYPART_ARC
(23,21),-0.353082 # DEPENDENCYPART_ARC
(23,24),-2.12481 # DEPENDENCYPART_ARC
(24,16),-1.1538 # DEPENDENCYPART_ARC
(24,17),-1.36854 # DEPENDENCYPART_ARC
(24,19),-1.65296 # DEPENDENCYPART_ARC
(24,21),-2.02135 # DEPENDENCYPART_ARC
(24,22),-0.260014 # DEPENDENCYPART_ARC
(24,23),-1.86583 # DEPENDENCYPART_ARC
(24,25),1.43124 # DEPENDENCYPART_ARC
