# _root_ pisu baten erosteko , beren seme-alaben ikasketen pagatzeko edo erretreta gehigarri baten segurtatzeko erabil daiteke , ministerioak eman zituen adibideen_arabera .
#goldHeads=3,1,9,3,6,7,8,9,14,13,10,10,9,0,14,15,18,20,18,14,20,
#predictedHeads=3,1,9,3,6,7,8,9,13,13,10,10,14,18,14,15,18,0,18,18,20,
(6,4),-1.35028 # DEPENDENCYPART_ARC
(6,5),0.713887 # DEPENDENCYPART_ARC
(6,7),0.496674 # DEPENDENCYPART_ARC
(6,11),-1.8192 # DEPENDENCYPART_ARC
(6,12),-2.22473 # DEPENDENCYPART_ARC
(7,1),-0.783974 # DEPENDENCYPART_ARC
(7,2),-1.71864 # DEPENDENCYPART_ARC
(7,3),-0.602968 # DEPENDENCYPART_ARC
(7,4),-1.35563 # DEPENDENCYPART_ARC
(7,5),0.5554 # DEPENDENCYPART_ARC
(7,6),1.25185 # DEPENDENCYPART_ARC
(7,8),0.449919 # DEPENDENCYPART_ARC
(7,9),-0.498845 # DEPENDENCYPART_ARC
(7,10),-1.05663 # DEPENDENCYPART_ARC
(7,11),-1.25356 # DEPENDENCYPART_ARC
(7,12),-0.26448 # DEPENDENCYPART_ARC
(8,1),-0.238032 # DEPENDENCYPART_ARC
(8,2),-1.35307 # DEPENDENCYPART_ARC
(8,3),-0.975586 # DEPENDENCYPART_ARC
(8,4),-1.81418 # DEPENDENCYPART_ARC
(8,5),-0.576738 # DEPENDENCYPART_ARC
(8,6),-0.118478 # DEPENDENCYPART_ARC
(8,7),1.59555 # DEPENDENCYPART_ARC
(8,9),-0.549443 # DEPENDENCYPART_ARC
(8,10),-1.69754 # DEPENDENCYPART_ARC
(8,11),-1.65471 # DEPENDENCYPART_ARC
(8,12),-2.21708 # DEPENDENCYPART_ARC
(8,13),-1.95427 # DEPENDENCYPART_ARC
(8,14),-1.92225 # DEPENDENCYPART_ARC
(8,15),-2.32895 # DEPENDENCYPART_ARC
(8,16),-1.8002 # DEPENDENCYPART_ARC
(8,18),-2.78897 # DEPENDENCYPART_ARC
(8,19),-2.63049 # DEPENDENCYPART_ARC
(8,20),-3.41194 # DEPENDENCYPART_ARC
(9,1),-0.277402 # DEPENDENCYPART_ARC
(9,2),-0.953309 # DEPENDENCYPART_ARC
(9,3),-0.376494 # DEPENDENCYPART_ARC
(9,4),-1.06892 # DEPENDENCYPART_ARC
(9,6),-0.205761 # DEPENDENCYPART_ARC
(9,7),0.619228 # DEPENDENCYPART_ARC
(9,8),1.8254 # DEPENDENCYPART_ARC
(9,10),0.248322 # DEPENDENCYPART_ARC
(9,11),-0.0136905 # DEPENDENCYPART_ARC
(9,12),-0.0205607 # DEPENDENCYPART_ARC
(9,13),1.36758 # DEPENDENCYPART_ARC
(9,14),0.250187 # DEPENDENCYPART_ARC
(9,16),0.0775228 # DEPENDENCYPART_ARC
(9,17),-0.634939 # DEPENDENCYPART_ARC
(9,18),-0.153284 # DEPENDENCYPART_ARC
(9,20),-0.888883 # DEPENDENCYPART_ARC
(10,7),-1.57203 # DEPENDENCYPART_ARC
(10,8),-0.0361543 # DEPENDENCYPART_ARC
(10,9),-0.293513 # DEPENDENCYPART_ARC
(10,11),1.41618 # DEPENDENCYPART_ARC
(10,12),1.83103 # DEPENDENCYPART_ARC
(10,13),-0.923612 # DEPENDENCYPART_ARC
(10,15),-1.21423 # DEPENDENCYPART_ARC
(10,17),-0.973919 # DEPENDENCYPART_ARC
(10,20),-1.25786 # DEPENDENCYPART_ARC
(10,21),-0.631865 # DEPENDENCYPART_ARC
(11,6),-1.00976 # DEPENDENCYPART_ARC
(11,7),-1.05381 # DEPENDENCYPART_ARC
(11,8),-0.737435 # DEPENDENCYPART_ARC
(11,9),-0.325608 # DEPENDENCYPART_ARC
(11,10),0.442698 # DEPENDENCYPART_ARC
(11,12),0.449692 # DEPENDENCYPART_ARC
(12,10),-0.905466 # DEPENDENCYPART_ARC
(13,1),-0.131019 # DEPENDENCYPART_ARC
(13,3),-1.1319 # DEPENDENCYPART_ARC
(13,4),-1.65301 # DEPENDENCYPART_ARC
(13,5),-0.62765 # DEPENDENCYPART_ARC
(13,6),-1.7782 # DEPENDENCYPART_ARC
(13,7),0.411724 # DEPENDENCYPART_ARC
(13,8),-0.512819 # DEPENDENCYPART_ARC
(13,9),0.32998 # DEPENDENCYPART_ARC
(13,10),1.30576 # DEPENDENCYPART_ARC
(13,11),-0.231215 # DEPENDENCYPART_ARC
(13,12),0.807738 # DEPENDENCYPART_ARC
(13,14),-0.0698452 # DEPENDENCYPART_ARC
(13,15),-0.928545 # DEPENDENCYPART_ARC
(13,16),-1.04638 # DEPENDENCYPART_ARC
(13,17),-2.02733 # DEPENDENCYPART_ARC
(13,18),-2.13886 # DEPENDENCYPART_ARC
(13,19),-2.50997 # DEPENDENCYPART_ARC
(13,20),-1.54566 # DEPENDENCYPART_ARC
(14,1),0.112962 # DEPENDENCYPART_ARC
(14,3),-0.662597 # DEPENDENCYPART_ARC
(14,4),-1.27217 # DEPENDENCYPART_ARC
(14,5),-0.751766 # DEPENDENCYPART_ARC
(14,6),-0.274547 # DEPENDENCYPART_ARC
(14,7),-0.897952 # DEPENDENCYPART_ARC
(14,8),-0.197786 # DEPENDENCYPART_ARC
(14,9),0.281392 # DEPENDENCYPART_ARC
(14,10),0.209647 # DEPENDENCYPART_ARC
(14,11),-0.213166 # DEPENDENCYPART_ARC
(14,12),-0.349733 # DEPENDENCYPART_ARC
(14,13),2.4395 # DEPENDENCYPART_ARC
(14,15),1.59825 # DEPENDENCYPART_ARC
(14,16),-0.587944 # DEPENDENCYPART_ARC
(14,17),-0.592454 # DEPENDENCYPART_ARC
(14,18),-1.02109 # DEPENDENCYPART_ARC
(14,19),0.0496249 # DEPENDENCYPART_ARC
(14,20),-0.0231055 # DEPENDENCYPART_ARC
(15,14),-0.435565 # DEPENDENCYPART_ARC
(15,16),1.16728 # DEPENDENCYPART_ARC
(15,17),-1.34663 # DEPENDENCYPART_ARC
(15,18),-2.10738 # DEPENDENCYPART_ARC
(15,19),-1.0993 # DEPENDENCYPART_ARC
(16,13),-0.249003 # DEPENDENCYPART_ARC
(16,14),-0.340246 # DEPENDENCYPART_ARC
(16,15),-0.0164222 # DEPENDENCYPART_ARC
(16,17),-0.763049 # DEPENDENCYPART_ARC
(16,18),-0.864422 # DEPENDENCYPART_ARC
(17,13),-3.41357 # DEPENDENCYPART_ARC
(17,14),-1.17694 # DEPENDENCYPART_ARC
(17,15),-1.26786 # DEPENDENCYPART_ARC
(17,16),-0.105409 # DEPENDENCYPART_ARC
(17,18),-1.92947 # DEPENDENCYPART_ARC
(17,19),-2.3012 # DEPENDENCYPART_ARC
(17,20),-3.24127 # DEPENDENCYPART_ARC
(17,21),-0.847702 # DEPENDENCYPART_ARC
(18,1),-1.19162 # DEPENDENCYPART_ARC
(18,3),-1.61031 # DEPENDENCYPART_ARC
(18,5),-1.50416 # DEPENDENCYPART_ARC
(18,6),-2.44507 # DEPENDENCYPART_ARC
(18,7),-1.52623 # DEPENDENCYPART_ARC
(18,8),-1.19479 # DEPENDENCYPART_ARC
(18,9),-1.11278 # DEPENDENCYPART_ARC
(18,10),-0.805776 # DEPENDENCYPART_ARC
(18,11),-1.27482 # DEPENDENCYPART_ARC
(18,12),-1.78901 # DEPENDENCYPART_ARC
(18,13),0.0549307 # DEPENDENCYPART_ARC
(18,14),-0.0532159 # DEPENDENCYPART_ARC
(18,15),-0.205919 # DEPENDENCYPART_ARC
(18,16),-0.933123 # DEPENDENCYPART_ARC
(18,17),2.87612 # DEPENDENCYPART_ARC
(18,19),2.32832 # DEPENDENCYPART_ARC
(18,20),1.01718 # DEPENDENCYPART_ARC
(19,17),-0.687651 # DEPENDENCYPART_ARC
(19,20),-1.88577 # DEPENDENCYPART_ARC
(20,9),-0.88433 # DEPENDENCYPART_ARC
(20,11),-1.81439 # DEPENDENCYPART_ARC
(20,13),-2.30636 # DEPENDENCYPART_ARC
(20,14),-1.50867 # DEPENDENCYPART_ARC
(20,16),-1.76229 # DEPENDENCYPART_ARC
(20,17),-2.69465 # DEPENDENCYPART_ARC
(20,18),0.000369894 # DEPENDENCYPART_ARC
(20,19),-0.257678 # DEPENDENCYPART_ARC
(20,21),1.73106 # DEPENDENCYPART_ARC
