# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,0,4,8,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,0,23,24,
(8,10),0.52034 # DEPENDENCYPART_ARC
(8,11),1.23398 # DEPENDENCYPART_ARC
(8,12),-0.461605 # DEPENDENCYPART_ARC
(8,13),-0.482905 # DEPENDENCYPART_ARC
(8,15),-0.765226 # DEPENDENCYPART_ARC
(8,16),0.176144 # DEPENDENCYPART_ARC
(8,17),-0.47072 # DEPENDENCYPART_ARC
(8,18),-0.640106 # DEPENDENCYPART_ARC
(8,19),-0.767751 # DEPENDENCYPART_ARC
(8,20),-1.35137 # DEPENDENCYPART_ARC
(8,22),-0.282337 # DEPENDENCYPART_ARC
(8,23),-0.744855 # DEPENDENCYPART_ARC
(8,24),-1.04922 # DEPENDENCYPART_ARC
(9,10),-1.37154 # DEPENDENCYPART_ARC
(10,8),-0.184416 # DEPENDENCYPART_ARC
(10,11),1.00767 # DEPENDENCYPART_ARC
(11,2),-1.35527 # DEPENDENCYPART_ARC
(11,4),-1.24243 # DEPENDENCYPART_ARC
(11,6),-1.85573 # DEPENDENCYPART_ARC
(11,8),-0.43559 # DEPENDENCYPART_ARC
(11,9),-1.52786 # DEPENDENCYPART_ARC
(11,10),1.61644 # DEPENDENCYPART_ARC
(11,12),1.23793 # DEPENDENCYPART_ARC
(11,13),-0.729547 # DEPENDENCYPART_ARC
(11,14),-2.71505 # DEPENDENCYPART_ARC
(11,22),-1.55351 # DEPENDENCYPART_ARC
(11,23),-2.40006 # DEPENDENCYPART_ARC
(12,9),-0.861778 # DEPENDENCYPART_ARC
(13,4),-0.514392 # DEPENDENCYPART_ARC
(13,8),1.56536 # DEPENDENCYPART_ARC
(13,9),-0.773428 # DEPENDENCYPART_ARC
(13,10),-0.148518 # DEPENDENCYPART_ARC
(13,11),0.21374 # DEPENDENCYPART_ARC
(13,12),-0.265204 # DEPENDENCYPART_ARC
(13,14),-1.50654 # DEPENDENCYPART_ARC
(13,15),0.61175 # DEPENDENCYPART_ARC
(13,16),0.472106 # DEPENDENCYPART_ARC
(13,17),-0.744342 # DEPENDENCYPART_ARC
(13,18),-0.177603 # DEPENDENCYPART_ARC
(13,19),-1.0514 # DEPENDENCYPART_ARC
(13,20),-1.27292 # DEPENDENCYPART_ARC
(13,22),0.218129 # DEPENDENCYPART_ARC
(13,23),0.650532 # DEPENDENCYPART_ARC
(14,13),-1.0217 # DEPENDENCYPART_ARC
(14,15),-0.538463 # DEPENDENCYPART_ARC
(14,16),-1.22742 # DEPENDENCYPART_ARC
(14,23),-1.59903 # DEPENDENCYPART_ARC
(15,2),-1.53645 # DEPENDENCYPART_ARC
(15,6),-2.51476 # DEPENDENCYPART_ARC
(15,10),-1.29555 # DEPENDENCYPART_ARC
(15,11),-2.77335 # DEPENDENCYPART_ARC
(15,12),-1.10482 # DEPENDENCYPART_ARC
(15,13),-0.26877 # DEPENDENCYPART_ARC
(15,14),0.841482 # DEPENDENCYPART_ARC
(15,16),-0.78472 # DEPENDENCYPART_ARC
(15,17),-0.662763 # DEPENDENCYPART_ARC
(15,21),-2.28334 # DEPENDENCYPART_ARC
(16,2),-1.2987 # DEPENDENCYPART_ARC
(16,4),-2.03272 # DEPENDENCYPART_ARC
(16,6),-1.98244 # DEPENDENCYPART_ARC
(16,10),-0.5544 # DEPENDENCYPART_ARC
(16,11),-1.9798 # DEPENDENCYPART_ARC
(16,12),-1.44198 # DEPENDENCYPART_ARC
(16,13),-0.947864 # DEPENDENCYPART_ARC
(16,14),-0.320681 # DEPENDENCYPART_ARC
(16,15),0.0264164 # DEPENDENCYPART_ARC
(16,17),1.30432 # DEPENDENCYPART_ARC
(16,18),-0.803066 # DEPENDENCYPART_ARC
(16,19),-0.99324 # DEPENDENCYPART_ARC
(16,20),-1.53661 # DEPENDENCYPART_ARC
(16,21),-3.00957 # DEPENDENCYPART_ARC
(16,22),-1.70524 # DEPENDENCYPART_ARC
(16,23),-1.93851 # DEPENDENCYPART_ARC
(16,25),-1.00344 # DEPENDENCYPART_ARC
(17,15),-0.608829 # DEPENDENCYPART_ARC
(17,18),-0.397556 # DEPENDENCYPART_ARC
(17,22),-0.540384 # DEPENDENCYPART_ARC
(18,2),-1.50878 # DEPENDENCYPART_ARC
(18,6),-2.19236 # DEPENDENCYPART_ARC
(18,12),-1.82823 # DEPENDENCYPART_ARC
(18,14),-1.56796 # DEPENDENCYPART_ARC
(18,15),-2.20585 # DEPENDENCYPART_ARC
(18,16),-2.09799 # DEPENDENCYPART_ARC
(18,17),0.0388189 # DEPENDENCYPART_ARC
(18,19),-0.676023 # DEPENDENCYPART_ARC
(18,20),-1.76529 # DEPENDENCYPART_ARC
(18,21),-3.42937 # DEPENDENCYPART_ARC
(18,24),-2.39904 # DEPENDENCYPART_ARC
(19,4),-1.03121 # DEPENDENCYPART_ARC
(19,8),-0.269042 # DEPENDENCYPART_ARC
(19,10),-0.960596 # DEPENDENCYPART_ARC
(19,11),-0.354289 # DEPENDENCYPART_ARC
(19,13),-0.887561 # DEPENDENCYPART_ARC
(19,14),-1.45861 # DEPENDENCYPART_ARC
(19,15),-0.278939 # DEPENDENCYPART_ARC
(19,16),0.577109 # DEPENDENCYPART_ARC
(19,17),-1.49174 # DEPENDENCYPART_ARC
(19,18),2.44148 # DEPENDENCYPART_ARC
(19,20),1.77267 # DEPENDENCYPART_ARC
(19,21),0.176023 # DEPENDENCYPART_ARC
(19,22),0.00948703 # DEPENDENCYPART_ARC
(19,23),-0.288059 # DEPENDENCYPART_ARC
(20,2),-2.50423 # DEPENDENCYPART_ARC
(20,6),-3.0331 # DEPENDENCYPART_ARC
(20,14),-2.8708 # DEPENDENCYPART_ARC
(20,17),-2.30495 # DEPENDENCYPART_ARC
(20,18),-1.88285 # DEPENDENCYPART_ARC
(20,19),-1.06396 # DEPENDENCYPART_ARC
(20,21),2.05551 # DEPENDENCYPART_ARC
(20,22),-1.42189 # DEPENDENCYPART_ARC
(20,23),-1.67308 # DEPENDENCYPART_ARC
(20,24),-1.61309 # DEPENDENCYPART_ARC
(20,25),-1.18285 # DEPENDENCYPART_ARC
(21,16),-1.47324 # DEPENDENCYPART_ARC
(21,18),-0.848361 # DEPENDENCYPART_ARC
(21,19),-0.496568 # DEPENDENCYPART_ARC
(21,20),0.237103 # DEPENDENCYPART_ARC
(21,22),-1.20679 # DEPENDENCYPART_ARC
(22,4),0.0467953 # DEPENDENCYPART_ARC
(22,8),-1.02125 # DEPENDENCYPART_ARC
(22,10),-1.73327 # DEPENDENCYPART_ARC
(22,11),0.188339 # DEPENDENCYPART_ARC
(22,12),-1.16767 # DEPENDENCYPART_ARC
(22,13),0.217079 # DEPENDENCYPART_ARC
(22,14),-2.05486 # DEPENDENCYPART_ARC
(22,15),0.735088 # DEPENDENCYPART_ARC
(22,16),0.174269 # DEPENDENCYPART_ARC
(22,17),-1.01474 # DEPENDENCYPART_ARC
(22,18),0.673248 # DEPENDENCYPART_ARC
(22,19),0.645048 # DEPENDENCYPART_ARC
(22,20),1.68503 # DEPENDENCYPART_ARC
(22,21),1.8089 # DEPENDENCYPART_ARC
(22,23),-0.607508 # DEPENDENCYPART_ARC
(22,24),-0.610437 # DEPENDENCYPART_ARC
(23,4),-0.942226 # DEPENDENCYPART_ARC
(23,8),-1.39948 # DEPENDENCYPART_ARC
(23,10),-0.596102 # DEPENDENCYPART_ARC
(23,11),-0.0202733 # DEPENDENCYPART_ARC
(23,12),-1.88377 # DEPENDENCYPART_ARC
(23,13),-0.772081 # DEPENDENCYPART_ARC
(23,14),-2.012 # DEPENDENCYPART_ARC
(23,15),0.662623 # DEPENDENCYPART_ARC
(23,16),0.121627 # DEPENDENCYPART_ARC
(23,17),-1.66744 # DEPENDENCYPART_ARC
(23,18),0.161671 # DEPENDENCYPART_ARC
(23,19),-0.0411417 # DEPENDENCYPART_ARC
(23,20),0.0962789 # DEPENDENCYPART_ARC
(23,21),-0.758129 # DEPENDENCYPART_ARC
(23,22),1.4448 # DEPENDENCYPART_ARC
(23,24),1.8326 # DEPENDENCYPART_ARC
(23,25),0.265547 # DEPENDENCYPART_ARC
(24,20),-0.693542 # DEPENDENCYPART_ARC
(24,25),1.662 # DEPENDENCYPART_ARC
