# _root_ eajko diputatu iñaki_anasagastik adierazi zuenez , bartzelonako_adierazpena " ez da fronte bat " , eta ciuk gobernuarekin izan dezakeen harremanak ez du oztopatzen hiru alderdien elkarlana .
#goldHeads=2,3,4,15,4,5,10,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,15,25,26,23,26,
#predictedHeads=2,3,4,23,4,5,15,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,25,25,26,10,26,
(9,10),-0.78308 # DEPENDENCYPART_ARC
(9,11),-0.534632 # DEPENDENCYPART_ARC
(10,1),-1.06391 # DEPENDENCYPART_ARC
(10,2),-1.13603 # DEPENDENCYPART_ARC
(10,3),-0.908024 # DEPENDENCYPART_ARC
(10,4),-0.0163851 # DEPENDENCYPART_ARC
(10,6),-1.09372 # DEPENDENCYPART_ARC
(10,7),-0.283348 # DEPENDENCYPART_ARC
(10,9),1.55102 # DEPENDENCYPART_ARC
(10,11),1.00248 # DEPENDENCYPART_ARC
(10,12),0.688773 # DEPENDENCYPART_ARC
(10,15),-0.311732 # DEPENDENCYPART_ARC
(10,17),-1.34133 # DEPENDENCYPART_ARC
(10,18),-0.833335 # DEPENDENCYPART_ARC
(10,19),-0.434286 # DEPENDENCYPART_ARC
(10,20),-0.595089 # DEPENDENCYPART_ARC
(10,22),-0.612172 # DEPENDENCYPART_ARC
(10,23),-1.01048 # DEPENDENCYPART_ARC
(10,25),-1.60405 # DEPENDENCYPART_ARC
(10,26),-0.17637 # DEPENDENCYPART_ARC
(11,6),-1.97649 # DEPENDENCYPART_ARC
(11,7),-1.19592 # DEPENDENCYPART_ARC
(11,9),-0.710079 # DEPENDENCYPART_ARC
(11,10),-0.54729 # DEPENDENCYPART_ARC
(11,12),2.16035 # DEPENDENCYPART_ARC
(11,14),-0.751391 # DEPENDENCYPART_ARC
(11,15),-0.540177 # DEPENDENCYPART_ARC
(11,16),-1.11449 # DEPENDENCYPART_ARC
(11,18),-0.999986 # DEPENDENCYPART_ARC
(11,24),-1.7015 # DEPENDENCYPART_ARC
(12,11),-0.241634 # DEPENDENCYPART_ARC
(12,13),1.50112 # DEPENDENCYPART_ARC
(13,14),1.23795 # DEPENDENCYPART_ARC
(13,16),-1.24427 # DEPENDENCYPART_ARC
(13,18),-1.69655 # DEPENDENCYPART_ARC
(13,23),-1.69603 # DEPENDENCYPART_ARC
(14,15),-0.807835 # DEPENDENCYPART_ARC
(15,1),-0.997374 # DEPENDENCYPART_ARC
(15,2),-0.944007 # DEPENDENCYPART_ARC
(15,3),-0.859918 # DEPENDENCYPART_ARC
(15,4),0.483544 # DEPENDENCYPART_ARC
(15,7),0.0277016 # DEPENDENCYPART_ARC
(15,9),-1.07369 # DEPENDENCYPART_ARC
(15,10),1.08358 # DEPENDENCYPART_ARC
(15,11),0.041791 # DEPENDENCYPART_ARC
(15,12),-0.944651 # DEPENDENCYPART_ARC
(15,14),-0.437814 # DEPENDENCYPART_ARC
(15,16),0.0575848 # DEPENDENCYPART_ARC
(15,17),0.0592515 # DEPENDENCYPART_ARC
(15,18),0.188856 # DEPENDENCYPART_ARC
(15,19),-0.560662 # DEPENDENCYPART_ARC
(15,20),-0.635513 # DEPENDENCYPART_ARC
(15,23),-0.712146 # DEPENDENCYPART_ARC
(15,25),-2.00203 # DEPENDENCYPART_ARC
(15,26),-1.35851 # DEPENDENCYPART_ARC
(16,14),-2.06878 # DEPENDENCYPART_ARC
(16,17),0.626037 # DEPENDENCYPART_ARC
(17,7),-1.77758 # DEPENDENCYPART_ARC
(17,10),-3.1566 # DEPENDENCYPART_ARC
(17,11),-1.28056 # DEPENDENCYPART_ARC
(17,12),-2.95512 # DEPENDENCYPART_ARC
(17,14),-1.37937 # DEPENDENCYPART_ARC
(17,15),-0.476291 # DEPENDENCYPART_ARC
(17,16),-0.82172 # DEPENDENCYPART_ARC
(17,18),-0.318931 # DEPENDENCYPART_ARC
(17,19),-1.14861 # DEPENDENCYPART_ARC
(17,22),-1.85975 # DEPENDENCYPART_ARC
(17,24),-2.83795 # DEPENDENCYPART_ARC
(17,27),-0.65578 # DEPENDENCYPART_ARC
(18,1),-1.45552 # DEPENDENCYPART_ARC
(18,2),-1.42366 # DEPENDENCYPART_ARC
(18,3),-2.21495 # DEPENDENCYPART_ARC
(18,4),-0.680181 # DEPENDENCYPART_ARC
(18,6),-1.54009 # DEPENDENCYPART_ARC
(18,7),-1.80385 # DEPENDENCYPART_ARC
(18,9),-1.1145 # DEPENDENCYPART_ARC
(18,10),-1.53304 # DEPENDENCYPART_ARC
(18,11),-0.607522 # DEPENDENCYPART_ARC
(18,12),-1.4512 # DEPENDENCYPART_ARC
(18,14),-1.78764 # DEPENDENCYPART_ARC
(18,15),0.015504 # DEPENDENCYPART_ARC
(18,16),0.8729 # DEPENDENCYPART_ARC
(18,17),1.48381 # DEPENDENCYPART_ARC
(18,19),2.44959 # DEPENDENCYPART_ARC
(18,20),0.49391 # DEPENDENCYPART_ARC
(18,21),-0.367348 # DEPENDENCYPART_ARC
(18,22),-0.554057 # DEPENDENCYPART_ARC
(18,23),-0.713285 # DEPENDENCYPART_ARC
(18,25),-0.742159 # DEPENDENCYPART_ARC
(18,26),0.143782 # DEPENDENCYPART_ARC
(19,16),0.127287 # DEPENDENCYPART_ARC
(19,17),-0.676129 # DEPENDENCYPART_ARC
(19,20),-1.16122 # DEPENDENCYPART_ARC
(19,21),-0.72362 # DEPENDENCYPART_ARC
(19,22),-1.52358 # DEPENDENCYPART_ARC
(20,14),-1.39017 # DEPENDENCYPART_ARC
(20,15),-0.573497 # DEPENDENCYPART_ARC
(20,16),-1.0527 # DEPENDENCYPART_ARC
(20,17),-1.28611 # DEPENDENCYPART_ARC
(20,18),0.60305 # DEPENDENCYPART_ARC
(20,19),-0.391177 # DEPENDENCYPART_ARC
(20,21),-1.20155 # DEPENDENCYPART_ARC
(20,22),-1.67151 # DEPENDENCYPART_ARC
(20,24),-2.61751 # DEPENDENCYPART_ARC
(20,25),-2.21094 # DEPENDENCYPART_ARC
(20,26),-2.49059 # DEPENDENCYPART_ARC
(20,27),-1.26284 # DEPENDENCYPART_ARC
(21,17),-1.74837 # DEPENDENCYPART_ARC
(21,20),-0.651238 # DEPENDENCYPART_ARC
(21,25),-0.99491 # DEPENDENCYPART_ARC
(21,26),-1.08681 # DEPENDENCYPART_ARC
(22,17),-1.45778 # DEPENDENCYPART_ARC
(22,20),-1.11282 # DEPENDENCYPART_ARC
(22,21),-0.582258 # DEPENDENCYPART_ARC
(22,23),-0.864369 # DEPENDENCYPART_ARC
(22,26),-1.60754 # DEPENDENCYPART_ARC
(23,1),-2.04694 # DEPENDENCYPART_ARC
(23,2),-2.17704 # DEPENDENCYPART_ARC
(23,3),-2.87454 # DEPENDENCYPART_ARC
(23,4),0.492626 # DEPENDENCYPART_ARC
(23,7),-2.37001 # DEPENDENCYPART_ARC
(23,9),-0.310362 # DEPENDENCYPART_ARC
(23,10),-1.60267 # DEPENDENCYPART_ARC
(23,11),-1.19387 # DEPENDENCYPART_ARC
(23,14),-1.91842 # DEPENDENCYPART_ARC
(23,15),-1.16844 # DEPENDENCYPART_ARC
(23,16),-0.109485 # DEPENDENCYPART_ARC
(23,17),-0.285426 # DEPENDENCYPART_ARC
(23,18),0.0858315 # DEPENDENCYPART_ARC
(23,19),-1.00829 # DEPENDENCYPART_ARC
(23,20),1.09828 # DEPENDENCYPART_ARC
(23,21),0.946827 # DEPENDENCYPART_ARC
(23,22),0.576143 # DEPENDENCYPART_ARC
(23,24),0.338239 # DEPENDENCYPART_ARC
(23,25),-0.238698 # DEPENDENCYPART_ARC
(23,26),0.538144 # DEPENDENCYPART_ARC
(24,20),-1.71462 # DEPENDENCYPART_ARC
(24,23),-0.596199 # DEPENDENCYPART_ARC
(24,25),0.090076 # DEPENDENCYPART_ARC
(24,26),-0.599504 # DEPENDENCYPART_ARC
(25,16),-2.0394 # DEPENDENCYPART_ARC
(25,18),-0.776028 # DEPENDENCYPART_ARC
(25,20),-2.21925 # DEPENDENCYPART_ARC
(25,21),-0.798571 # DEPENDENCYPART_ARC
(25,23),0.51406 # DEPENDENCYPART_ARC
(25,24),1.43847 # DEPENDENCYPART_ARC
(25,26),0.18546 # DEPENDENCYPART_ARC
(25,27),-0.404776 # DEPENDENCYPART_ARC
(26,15),-1.53929 # DEPENDENCYPART_ARC
(26,16),-3.34271 # DEPENDENCYPART_ARC
(26,20),-2.98363 # DEPENDENCYPART_ARC
(26,23),-0.680213 # DEPENDENCYPART_ARC
(26,24),0.222618 # DEPENDENCYPART_ARC
(26,25),1.63264 # DEPENDENCYPART_ARC
(26,27),1.45362 # DEPENDENCYPART_ARC
(27,25),-0.908711 # DEPENDENCYPART_ARC
