# _root_ bigarrenik , polimerizazio edo oxigeno zein nitrogenozko zubi baten bidezko bi molekula organikoren konbinazioa , eta alderantzizko prozesu edo hidrolisia .
#goldHeads=0,1,4,14,6,8,6,4,8,9,12,14,12,16,14,0,18,19,16,19,20,
#predictedHeads=3,3,4,14,6,8,6,4,8,9,12,14,12,16,14,0,18,19,4,19,20,
(6,16),-1.25321 # DEPENDENCYPART_ARC
(6,18),-0.654236 # DEPENDENCYPART_ARC
(6,19),-0.809262 # DEPENDENCYPART_ARC
(6,20),0.273931 # DEPENDENCYPART_ARC
(7,2),-2.36889 # DEPENDENCYPART_ARC
(7,5),-0.691517 # DEPENDENCYPART_ARC
(7,6),-0.633064 # DEPENDENCYPART_ARC
(7,8),-0.925031 # DEPENDENCYPART_ARC
(7,9),-1.56099 # DEPENDENCYPART_ARC
(7,11),-3.54911 # DEPENDENCYPART_ARC
(7,13),-3.59532 # DEPENDENCYPART_ARC
(8,2),-1.60618 # DEPENDENCYPART_ARC
(8,3),-0.65307 # DEPENDENCYPART_ARC
(8,4),0.0830727 # DEPENDENCYPART_ARC
(8,5),0.00369752 # DEPENDENCYPART_ARC
(8,6),0.578466 # DEPENDENCYPART_ARC
(8,7),1.55181 # DEPENDENCYPART_ARC
(8,9),1.73618 # DEPENDENCYPART_ARC
(8,10),0.240496 # DEPENDENCYPART_ARC
(8,11),-0.674571 # DEPENDENCYPART_ARC
(8,13),-0.861177 # DEPENDENCYPART_ARC
(8,16),-0.521541 # DEPENDENCYPART_ARC
(9,7),-0.0583374 # DEPENDENCYPART_ARC
(9,8),-0.466333 # DEPENDENCYPART_ARC
(9,10),1.37708 # DEPENDENCYPART_ARC
(10,3),-1.81126 # DEPENDENCYPART_ARC
(10,4),-1.30909 # DEPENDENCYPART_ARC
(10,5),-1.53248 # DEPENDENCYPART_ARC
(10,6),-1.01132 # DEPENDENCYPART_ARC
(10,7),-1.59953 # DEPENDENCYPART_ARC
(10,8),-0.445567 # DEPENDENCYPART_ARC
(10,9),-0.36834 # DEPENDENCYPART_ARC
(10,11),-1.11126 # DEPENDENCYPART_ARC
(10,12),-1.85475 # DEPENDENCYPART_ARC
(10,13),-2.78206 # DEPENDENCYPART_ARC
(10,21),-1.17126 # DEPENDENCYPART_ARC
(11,8),-1.50844 # DEPENDENCYPART_ARC
(11,9),-0.692902 # DEPENDENCYPART_ARC
(11,10),-0.272821 # DEPENDENCYPART_ARC
(11,12),-0.399428 # DEPENDENCYPART_ARC
(12,3),-1.08079 # DEPENDENCYPART_ARC
(12,4),-0.394848 # DEPENDENCYPART_ARC
(12,6),-0.439965 # DEPENDENCYPART_ARC
(12,7),-0.363108 # DEPENDENCYPART_ARC
(12,8),-0.308651 # DEPENDENCYPART_ARC
(12,9),-0.739769 # DEPENDENCYPART_ARC
(12,10),0.532898 # DEPENDENCYPART_ARC
(12,11),1.22809 # DEPENDENCYPART_ARC
(12,13),2.17512 # DEPENDENCYPART_ARC
(12,14),-0.249387 # DEPENDENCYPART_ARC
(12,15),-0.401335 # DEPENDENCYPART_ARC
(12,16),0.0484227 # DEPENDENCYPART_ARC
(12,17),-0.489515 # DEPENDENCYPART_ARC
(12,18),-0.78077 # DEPENDENCYPART_ARC
(12,19),-0.637705 # DEPENDENCYPART_ARC
(12,20),-0.95242 # DEPENDENCYPART_ARC
(12,21),-0.597324 # DEPENDENCYPART_ARC
(13,10),-0.0526353 # DEPENDENCYPART_ARC
(13,12),0.212785 # DEPENDENCYPART_ARC
(13,14),-0.252921 # DEPENDENCYPART_ARC
(13,15),-0.214972 # DEPENDENCYPART_ARC
(13,17),-0.856706 # DEPENDENCYPART_ARC
(13,18),-1.36709 # DEPENDENCYPART_ARC
(13,19),-1.0367 # DEPENDENCYPART_ARC
(13,20),-1.56767 # DEPENDENCYPART_ARC
(14,4),-0.12239 # DEPENDENCYPART_ARC
(14,5),-0.608768 # DEPENDENCYPART_ARC
(14,6),-0.0646936 # DEPENDENCYPART_ARC
(14,7),-0.555235 # DEPENDENCYPART_ARC
(14,8),-0.6048 # DEPENDENCYPART_ARC
(14,9),-0.719883 # DEPENDENCYPART_ARC
(14,10),-0.43452 # DEPENDENCYPART_ARC
(14,11),0.0669583 # DEPENDENCYPART_ARC
(14,12),1.15114 # DEPENDENCYPART_ARC
(14,13),0.757554 # DEPENDENCYPART_ARC
(14,15),1.16906 # DEPENDENCYPART_ARC
(14,16),-0.334896 # DEPENDENCYPART_ARC
(14,17),-2.03183 # DEPENDENCYPART_ARC
(14,18),-1.30847 # DEPENDENCYPART_ARC
(14,19),-1.15268 # DEPENDENCYPART_ARC
(14,20),-1.53566 # DEPENDENCYPART_ARC
(14,21),-0.400345 # DEPENDENCYPART_ARC
(15,14),-0.671986 # DEPENDENCYPART_ARC
(15,16),-0.567138 # DEPENDENCYPART_ARC
(15,17),-1.16485 # DEPENDENCYPART_ARC
(16,3),-0.796938 # DEPENDENCYPART_ARC
(16,4),-0.42955 # DEPENDENCYPART_ARC
(16,5),-0.734364 # DEPENDENCYPART_ARC
(16,6),-0.19373 # DEPENDENCYPART_ARC
(16,7),-1.11406 # DEPENDENCYPART_ARC
(16,8),-0.764723 # DEPENDENCYPART_ARC
(16,9),-0.526467 # DEPENDENCYPART_ARC
(16,10),-0.851958 # DEPENDENCYPART_ARC
(16,11),-0.565022 # DEPENDENCYPART_ARC
(16,12),-0.588619 # DEPENDENCYPART_ARC
(16,13),0.478789 # DEPENDENCYPART_ARC
(16,14),0.205177 # DEPENDENCYPART_ARC
(16,15),-0.223633 # DEPENDENCYPART_ARC
(16,17),0.120112 # DEPENDENCYPART_ARC
(16,18),-0.526924 # DEPENDENCYPART_ARC
(16,19),-0.511117 # DEPENDENCYPART_ARC
(16,20),-0.218735 # DEPENDENCYPART_ARC
(17,14),-2.38584 # DEPENDENCYPART_ARC
(17,16),-0.92841 # DEPENDENCYPART_ARC
(17,18),-0.482394 # DEPENDENCYPART_ARC
(17,19),-0.793425 # DEPENDENCYPART_ARC
(17,20),-1.34114 # DEPENDENCYPART_ARC
(18,4),-0.721757 # DEPENDENCYPART_ARC
(18,6),-0.784702 # DEPENDENCYPART_ARC
(18,11),-1.23135 # DEPENDENCYPART_ARC
(18,12),-0.673337 # DEPENDENCYPART_ARC
(18,13),-1.31869 # DEPENDENCYPART_ARC
(18,14),-1.99449 # DEPENDENCYPART_ARC
(18,15),-1.22581 # DEPENDENCYPART_ARC
(18,16),-0.551045 # DEPENDENCYPART_ARC
(18,17),1.01073 # DEPENDENCYPART_ARC
(18,19),0.549632 # DEPENDENCYPART_ARC
(18,20),-0.328614 # DEPENDENCYPART_ARC
(18,21),-0.497041 # DEPENDENCYPART_ARC
(19,3),-0.3636 # DEPENDENCYPART_ARC
(19,5),-0.376183 # DEPENDENCYPART_ARC
(19,7),-1.48257 # DEPENDENCYPART_ARC
(19,8),-1.20726 # DEPENDENCYPART_ARC
(19,10),-1.3755 # DEPENDENCYPART_ARC
(19,11),-0.985907 # DEPENDENCYPART_ARC
(19,12),-0.715784 # DEPENDENCYPART_ARC
(19,14),-0.128524 # DEPENDENCYPART_ARC
(19,15),-1.49222 # DEPENDENCYPART_ARC
(19,16),-0.634075 # DEPENDENCYPART_ARC
(19,17),-0.424719 # DEPENDENCYPART_ARC
(19,18),2.0041 # DEPENDENCYPART_ARC
(19,20),2.43966 # DEPENDENCYPART_ARC
(20,13),-1.97722 # DEPENDENCYPART_ARC
(20,15),-2.27222 # DEPENDENCYPART_ARC
(20,17),-0.874531 # DEPENDENCYPART_ARC
(20,18),-0.256762 # DEPENDENCYPART_ARC
(20,19),-0.314868 # DEPENDENCYPART_ARC
(20,21),1.37603 # DEPENDENCYPART_ARC
