# _root_ baina oraingoan , alderdiko ordezkaritza guztiek eman die abisu alderdikideei , " abenturazko bideetara eraman nahi_gaituztenak berriz_ere uxatzeko " agindurik .
#goldHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,16,18,18,20,18,7,20,
#predictedHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,18,15,18,7,18,15,20,
(11,20),-1.14604 # DEPENDENCYPART_ARC
(12,13),-1.11629 # DEPENDENCYPART_ARC
(12,15),-1.31714 # DEPENDENCYPART_ARC
(12,18),-1.71995 # DEPENDENCYPART_ARC
(12,20),-1.99219 # DEPENDENCYPART_ARC
(13,10),-4.04337 # DEPENDENCYPART_ARC
(13,11),-1.1534 # DEPENDENCYPART_ARC
(13,12),-0.591241 # DEPENDENCYPART_ARC
(13,14),-0.734255 # DEPENDENCYPART_ARC
(13,17),-1.37453 # DEPENDENCYPART_ARC
(13,21),-1.39549 # DEPENDENCYPART_ARC
(14,7),-1.80698 # DEPENDENCYPART_ARC
(14,9),-3.09929 # DEPENDENCYPART_ARC
(14,10),-3.02141 # DEPENDENCYPART_ARC
(14,11),-1.33413 # DEPENDENCYPART_ARC
(14,13),1.99792 # DEPENDENCYPART_ARC
(14,15),0.0946605 # DEPENDENCYPART_ARC
(14,16),-2.41032 # DEPENDENCYPART_ARC
(14,17),-1.25753 # DEPENDENCYPART_ARC
(14,21),-1.27675 # DEPENDENCYPART_ARC
(15,1),-0.258495 # DEPENDENCYPART_ARC
(15,2),-0.841001 # DEPENDENCYPART_ARC
(15,3),-2.12622 # DEPENDENCYPART_ARC
(15,4),-1.52901 # DEPENDENCYPART_ARC
(15,5),-1.07887 # DEPENDENCYPART_ARC
(15,7),-0.412221 # DEPENDENCYPART_ARC
(15,8),-0.903451 # DEPENDENCYPART_ARC
(15,9),-0.54537 # DEPENDENCYPART_ARC
(15,10),-0.706034 # DEPENDENCYPART_ARC
(15,11),-1.47898 # DEPENDENCYPART_ARC
(15,13),-0.0496527 # DEPENDENCYPART_ARC
(15,14),2.05036 # DEPENDENCYPART_ARC
(15,16),1.22929 # DEPENDENCYPART_ARC
(15,17),-0.111947 # DEPENDENCYPART_ARC
(15,18),0.0917765 # DEPENDENCYPART_ARC
(15,20),-0.186012 # DEPENDENCYPART_ARC
(16,2),-0.994584 # DEPENDENCYPART_ARC
(16,4),-4.38346 # DEPENDENCYPART_ARC
(16,5),-2.63551 # DEPENDENCYPART_ARC
(16,7),-2.56965 # DEPENDENCYPART_ARC
(16,8),-1.50057 # DEPENDENCYPART_ARC
(16,9),-2.60102 # DEPENDENCYPART_ARC
(16,10),-1.48599 # DEPENDENCYPART_ARC
(16,13),-5.22908 # DEPENDENCYPART_ARC
(16,14),-1.35999 # DEPENDENCYPART_ARC
(16,15),0.675081 # DEPENDENCYPART_ARC
(16,17),-0.109233 # DEPENDENCYPART_ARC
(16,18),-1.89472 # DEPENDENCYPART_ARC
(16,20),-2.77122 # DEPENDENCYPART_ARC
(17,14),-0.779918 # DEPENDENCYPART_ARC
(17,15),-0.592692 # DEPENDENCYPART_ARC
(17,16),0.473647 # DEPENDENCYPART_ARC
(17,18),-0.468603 # DEPENDENCYPART_ARC
(18,1),-0.550838 # DEPENDENCYPART_ARC
(18,2),-0.631838 # DEPENDENCYPART_ARC
(18,3),-1.52979 # DEPENDENCYPART_ARC
(18,4),-2.27034 # DEPENDENCYPART_ARC
(18,5),-0.58577 # DEPENDENCYPART_ARC
(18,7),-0.837802 # DEPENDENCYPART_ARC
(18,8),-1.20743 # DEPENDENCYPART_ARC
(18,9),-0.438322 # DEPENDENCYPART_ARC
(18,10),-0.261405 # DEPENDENCYPART_ARC
(18,11),-1.17842 # DEPENDENCYPART_ARC
(18,13),-1.74807 # DEPENDENCYPART_ARC
(18,14),1.02051 # DEPENDENCYPART_ARC
(18,15),0.321234 # DEPENDENCYPART_ARC
(18,16),-1.14136 # DEPENDENCYPART_ARC
(18,17),1.58102 # DEPENDENCYPART_ARC
(18,19),1.13056 # DEPENDENCYPART_ARC
(18,20),-0.684636 # DEPENDENCYPART_ARC
(19,16),-0.784302 # DEPENDENCYPART_ARC
(19,20),-0.560335 # DEPENDENCYPART_ARC
(20,1),-0.427288 # DEPENDENCYPART_ARC
(20,2),-1.29641 # DEPENDENCYPART_ARC
(20,5),-1.88042 # DEPENDENCYPART_ARC
(20,7),-0.900173 # DEPENDENCYPART_ARC
(20,9),-1.68802 # DEPENDENCYPART_ARC
(20,10),-1.46943 # DEPENDENCYPART_ARC
(20,11),-1.27214 # DEPENDENCYPART_ARC
(20,13),-2.7287 # DEPENDENCYPART_ARC
(20,14),-0.965999 # DEPENDENCYPART_ARC
(20,15),-0.747108 # DEPENDENCYPART_ARC
(20,16),-2.4161 # DEPENDENCYPART_ARC
(20,17),-0.1139 # DEPENDENCYPART_ARC
(20,18),0.0512451 # DEPENDENCYPART_ARC
(20,21),1.84095 # DEPENDENCYPART_ARC
