# _root_ azkenik , agiri " nazionala " zein den ere zalantzan jarri zuen , " epaigelako bi banderen_artean ere bakoitzak bat hartzen baitu bere naziokotzat " .
#goldHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,21,11,21,24,21,24,25,
#predictedHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,3,3,21,24,21,24,25,
(8,21),-1.67589 # DEPENDENCYPART_ARC
(8,24),-0.887059 # DEPENDENCYPART_ARC
(9,8),-0.347804 # DEPENDENCYPART_ARC
(9,11),-0.840945 # DEPENDENCYPART_ARC
(10,9),0.0211265 # DEPENDENCYPART_ARC
(10,11),-0.696403 # DEPENDENCYPART_ARC
(10,13),-0.550069 # DEPENDENCYPART_ARC
(11,1),-0.457338 # DEPENDENCYPART_ARC
(11,2),-1.15173 # DEPENDENCYPART_ARC
(11,3),-0.828913 # DEPENDENCYPART_ARC
(11,5),-1.14997 # DEPENDENCYPART_ARC
(11,7),-0.924665 # DEPENDENCYPART_ARC
(11,8),0.555666 # DEPENDENCYPART_ARC
(11,9),-0.43286 # DEPENDENCYPART_ARC
(11,10),1.24425 # DEPENDENCYPART_ARC
(11,12),1.74035 # DEPENDENCYPART_ARC
(11,13),-0.108897 # DEPENDENCYPART_ARC
(11,15),-0.793815 # DEPENDENCYPART_ARC
(11,16),-0.6661 # DEPENDENCYPART_ARC
(11,17),-0.906839 # DEPENDENCYPART_ARC
(11,19),-0.646337 # DEPENDENCYPART_ARC
(11,21),-0.662604 # DEPENDENCYPART_ARC
(11,22),-0.266372 # DEPENDENCYPART_ARC
(11,24),-0.811683 # DEPENDENCYPART_ARC
(12,3),-1.31489 # DEPENDENCYPART_ARC
(12,10),-0.926525 # DEPENDENCYPART_ARC
(12,13),1.33089 # DEPENDENCYPART_ARC
(12,21),-2.11478 # DEPENDENCYPART_ARC
(13,8),-0.740347 # DEPENDENCYPART_ARC
(13,12),-0.150796 # DEPENDENCYPART_ARC
(13,14),1.68177 # DEPENDENCYPART_ARC
(13,15),-0.922593 # DEPENDENCYPART_ARC
(13,17),-0.478344 # DEPENDENCYPART_ARC
(13,21),-0.761459 # DEPENDENCYPART_ARC
(13,24),-0.771432 # DEPENDENCYPART_ARC
(14,15),-1.36657 # DEPENDENCYPART_ARC
(14,18),-1.05774 # DEPENDENCYPART_ARC
(14,21),-1.7622 # DEPENDENCYPART_ARC
(15,5),-2.02457 # DEPENDENCYPART_ARC
(15,8),-2.05016 # DEPENDENCYPART_ARC
(15,10),-1.43146 # DEPENDENCYPART_ARC
(15,11),-1.59497 # DEPENDENCYPART_ARC
(15,13),-1.24612 # DEPENDENCYPART_ARC
(15,14),-0.796539 # DEPENDENCYPART_ARC
(15,16),-0.411227 # DEPENDENCYPART_ARC
(15,17),-2.04543 # DEPENDENCYPART_ARC
(15,18),-1.43822 # DEPENDENCYPART_ARC
(15,19),-2.57304 # DEPENDENCYPART_ARC
(15,20),-1.77038 # DEPENDENCYPART_ARC
(15,22),-3.1614 # DEPENDENCYPART_ARC
(15,24),-2.08252 # DEPENDENCYPART_ARC
(15,26),-1.42412 # DEPENDENCYPART_ARC
(16,1),-1.411 # DEPENDENCYPART_ARC
(16,10),-1.22889 # DEPENDENCYPART_ARC
(16,15),-0.481634 # DEPENDENCYPART_ARC
(16,17),0.46754 # DEPENDENCYPART_ARC
(17,1),-1.34583 # DEPENDENCYPART_ARC
(17,5),-1.87977 # DEPENDENCYPART_ARC
(17,10),-1.25999 # DEPENDENCYPART_ARC
(17,11),-2.01881 # DEPENDENCYPART_ARC
(17,13),-1.57973 # DEPENDENCYPART_ARC
(17,15),0.722068 # DEPENDENCYPART_ARC
(17,16),1.16285 # DEPENDENCYPART_ARC
(17,18),-0.33283 # DEPENDENCYPART_ARC
(17,19),-0.877797 # DEPENDENCYPART_ARC
(17,20),-1.28059 # DEPENDENCYPART_ARC
(17,22),-3.50921 # DEPENDENCYPART_ARC
(17,23),-2.9449 # DEPENDENCYPART_ARC
(17,24),-1.45943 # DEPENDENCYPART_ARC
(17,26),-1.02156 # DEPENDENCYPART_ARC
(18,8),-2.23114 # DEPENDENCYPART_ARC
(18,11),-2.76721 # DEPENDENCYPART_ARC
(18,21),-2.5233 # DEPENDENCYPART_ARC
(19,15),-0.318536 # DEPENDENCYPART_ARC
(19,17),-0.489819 # DEPENDENCYPART_ARC
(19,18),0.260366 # DEPENDENCYPART_ARC
(19,20),-1.21964 # DEPENDENCYPART_ARC
(19,21),-2.03989 # DEPENDENCYPART_ARC
(19,24),-1.86756 # DEPENDENCYPART_ARC
(20,1),-1.44374 # DEPENDENCYPART_ARC
(20,10),-1.20357 # DEPENDENCYPART_ARC
(20,17),-0.74448 # DEPENDENCYPART_ARC
(21,1),-0.711948 # DEPENDENCYPART_ARC
(21,3),-1.44073 # DEPENDENCYPART_ARC
(21,5),-1.29133 # DEPENDENCYPART_ARC
(21,8),-0.242715 # DEPENDENCYPART_ARC
(21,9),-1.90426 # DEPENDENCYPART_ARC
(21,10),-0.64758 # DEPENDENCYPART_ARC
(21,11),-0.54056 # DEPENDENCYPART_ARC
(21,12),-1.13531 # DEPENDENCYPART_ARC
(21,13),-1.05379 # DEPENDENCYPART_ARC
(21,15),0.141436 # DEPENDENCYPART_ARC
(21,16),-0.743786 # DEPENDENCYPART_ARC
(21,17),0.557632 # DEPENDENCYPART_ARC
(21,18),-0.573732 # DEPENDENCYPART_ARC
(21,19),0.284929 # DEPENDENCYPART_ARC
(21,20),0.187708 # DEPENDENCYPART_ARC
(21,22),2.0752 # DEPENDENCYPART_ARC
(21,23),-0.57522 # DEPENDENCYPART_ARC
(21,24),0.612098 # DEPENDENCYPART_ARC
(22,20),-0.529518 # DEPENDENCYPART_ARC
(22,24),-1.26063 # DEPENDENCYPART_ARC
(24,1),-1.20581 # DEPENDENCYPART_ARC
(24,5),-2.48659 # DEPENDENCYPART_ARC
(24,11),-2.39642 # DEPENDENCYPART_ARC
(24,15),-1.11495 # DEPENDENCYPART_ARC
(24,17),-1.10294 # DEPENDENCYPART_ARC
(24,19),-2.63339 # DEPENDENCYPART_ARC
(24,20),-1.66765 # DEPENDENCYPART_ARC
(24,21),-1.1571 # DEPENDENCYPART_ARC
(24,22),-1.17353 # DEPENDENCYPART_ARC
(24,23),1.16513 # DEPENDENCYPART_ARC
(24,25),1.54284 # DEPENDENCYPART_ARC
(24,26),0.135393 # DEPENDENCYPART_ARC
(25,26),1.60824 # DEPENDENCYPART_ARC
