# _root_ ia atean obrero bat , gau lanetik itzultzen dirudiena , sumindu aurpegiarekin .
#goldHeads=2,0,0,3,4,7,8,9,3,9,12,0,12,
#predictedHeads=8,3,8,3,4,7,8,9,11,9,0,8,12,
(9,8),0.284553 # DEPENDENCYPART_ARC
(9,10),1.11369 # DEPENDENCYPART_ARC
(10,8),-0.152934 # DEPENDENCYPART_ARC
(10,9),0.0922784 # DEPENDENCYPART_ARC
(10,11),-0.337126 # DEPENDENCYPART_ARC
(10,12),-1.18693 # DEPENDENCYPART_ARC
(11,1),-0.817752 # DEPENDENCYPART_ARC
(11,2),-1.02626 # DEPENDENCYPART_ARC
(11,3),-0.960702 # DEPENDENCYPART_ARC
(11,4),-1.9589 # DEPENDENCYPART_ARC
(11,5),-1.62495 # DEPENDENCYPART_ARC
(11,6),-0.797506 # DEPENDENCYPART_ARC
(11,7),-1.32233 # DEPENDENCYPART_ARC
(11,8),-0.183539 # DEPENDENCYPART_ARC
(11,9),0.570617 # DEPENDENCYPART_ARC
(11,10),-0.324117 # DEPENDENCYPART_ARC
(11,12),-0.145095 # DEPENDENCYPART_ARC
(11,13),-0.308022 # DEPENDENCYPART_ARC
(12,1),-1.30826 # DEPENDENCYPART_ARC
(12,2),-3.56301 # DEPENDENCYPART_ARC
(12,3),-1.73654 # DEPENDENCYPART_ARC
(12,5),-1.64078 # DEPENDENCYPART_ARC
(12,6),-1.19168 # DEPENDENCYPART_ARC
(12,7),-2.34036 # DEPENDENCYPART_ARC
(12,8),-1.70573 # DEPENDENCYPART_ARC
(12,10),-1.03877 # DEPENDENCYPART_ARC
(12,11),0.435711 # DEPENDENCYPART_ARC
(12,13),1.54471 # DEPENDENCYPART_ARC
(13,11),-0.764112 # DEPENDENCYPART_ARC
(13,12),-0.549772 # DEPENDENCYPART_ARC
