# _root_ izen horien_artean , ordea , ez da_ageri orain_arte taldeko kide_gisa aipatu duten gorka palacios gaztea .
#goldHeads=7,1,2,0,4,7,0,11,10,11,15,11,15,13,7,15,
#predictedHeads=7,1,2,0,4,7,0,7,10,11,0,11,15,13,11,15,
(5,15),-1.63406 # DEPENDENCYPART_ARC
(6,1),-1.00231 # DEPENDENCYPART_ARC
(6,5),-0.262176 # DEPENDENCYPART_ARC
(6,9),-0.879201 # DEPENDENCYPART_ARC
(6,10),-0.954938 # DEPENDENCYPART_ARC
(6,11),-1.15604 # DEPENDENCYPART_ARC
(7,1),-0.26385 # DEPENDENCYPART_ARC
(7,2),-0.598614 # DEPENDENCYPART_ARC
(7,4),-0.44186 # DEPENDENCYPART_ARC
(7,6),0.986123 # DEPENDENCYPART_ARC
(7,8),0.52297 # DEPENDENCYPART_ARC
(7,9),-1.47517 # DEPENDENCYPART_ARC
(7,10),-0.526056 # DEPENDENCYPART_ARC
(7,11),-0.92118 # DEPENDENCYPART_ARC
(7,12),-1.51378 # DEPENDENCYPART_ARC
(7,15),-1.10376 # DEPENDENCYPART_ARC
(8,1),-1.53986 # DEPENDENCYPART_ARC
(8,9),0.742075 # DEPENDENCYPART_ARC
(9,1),-1.22402 # DEPENDENCYPART_ARC
(9,2),-1.09451 # DEPENDENCYPART_ARC
(9,3),-1.48882 # DEPENDENCYPART_ARC
(9,5),-1.45561 # DEPENDENCYPART_ARC
(9,6),-1.34121 # DEPENDENCYPART_ARC
(9,7),-2.559 # DEPENDENCYPART_ARC
(9,8),0.31797 # DEPENDENCYPART_ARC
(9,10),0.100292 # DEPENDENCYPART_ARC
(9,11),-3.14968 # DEPENDENCYPART_ARC
(9,12),-2.93311 # DEPENDENCYPART_ARC
(9,13),-2.16568 # DEPENDENCYPART_ARC
(9,14),-2.09328 # DEPENDENCYPART_ARC
(9,15),-2.88034 # DEPENDENCYPART_ARC
(9,16),-1.38382 # DEPENDENCYPART_ARC
(10,1),-1.43182 # DEPENDENCYPART_ARC
(10,2),-1.07091 # DEPENDENCYPART_ARC
(10,3),-1.62555 # DEPENDENCYPART_ARC
(10,5),-1.67772 # DEPENDENCYPART_ARC
(10,6),-0.981572 # DEPENDENCYPART_ARC
(10,7),-1.3239 # DEPENDENCYPART_ARC
(10,8),-0.254261 # DEPENDENCYPART_ARC
(10,9),1.43077 # DEPENDENCYPART_ARC
(10,11),-0.570793 # DEPENDENCYPART_ARC
(10,12),-0.313663 # DEPENDENCYPART_ARC
(10,13),-0.549497 # DEPENDENCYPART_ARC
(10,14),-0.454518 # DEPENDENCYPART_ARC
(10,15),-0.996251 # DEPENDENCYPART_ARC
(10,16),-0.466921 # DEPENDENCYPART_ARC
(11,1),-0.637432 # DEPENDENCYPART_ARC
(11,2),-1.3187 # DEPENDENCYPART_ARC
(11,3),-1.85595 # DEPENDENCYPART_ARC
(11,4),-1.07455 # DEPENDENCYPART_ARC
(11,5),-1.96355 # DEPENDENCYPART_ARC
(11,6),-0.610967 # DEPENDENCYPART_ARC
(11,7),-0.39185 # DEPENDENCYPART_ARC
(11,8),-0.450148 # DEPENDENCYPART_ARC
(11,9),-0.714675 # DEPENDENCYPART_ARC
(11,10),1.10228 # DEPENDENCYPART_ARC
(11,12),1.45859 # DEPENDENCYPART_ARC
(11,13),-0.678811 # DEPENDENCYPART_ARC
(11,14),-1.28239 # DEPENDENCYPART_ARC
(11,15),0.337791 # DEPENDENCYPART_ARC
(12,1),-1.52185 # DEPENDENCYPART_ARC
(12,6),-1.38989 # DEPENDENCYPART_ARC
(12,9),-1.00441 # DEPENDENCYPART_ARC
(12,10),-0.755311 # DEPENDENCYPART_ARC
(12,13),-0.892192 # DEPENDENCYPART_ARC
(12,15),-1.28624 # DEPENDENCYPART_ARC
(13,9),-0.808508 # DEPENDENCYPART_ARC
(13,10),-0.942422 # DEPENDENCYPART_ARC
(13,11),0.0800942 # DEPENDENCYPART_ARC
(13,14),1.83245 # DEPENDENCYPART_ARC
(13,15),0.859539 # DEPENDENCYPART_ARC
(14,13),0.12834 # DEPENDENCYPART_ARC
(14,15),0.0959111 # DEPENDENCYPART_ARC
(15,1),-1.81018 # DEPENDENCYPART_ARC
(15,9),-0.572855 # DEPENDENCYPART_ARC
(15,10),-1.50292 # DEPENDENCYPART_ARC
(15,11),-0.642628 # DEPENDENCYPART_ARC
(15,13),0.541124 # DEPENDENCYPART_ARC
(15,14),1.18261 # DEPENDENCYPART_ARC
(15,16),1.311 # DEPENDENCYPART_ARC
