# _root_ auto karabanak unanu , lizarraga-ergoiena eta dorrao igaro zituen , arbizura sartu aurretik .
#goldHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
#predictedHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
(11,8),-2.82089 # DEPENDENCYPART_ARC
(11,10),-0.742473 # DEPENDENCYPART_ARC
(11,12),-0.38275 # DEPENDENCYPART_ARC
(11,13),-1.95512 # DEPENDENCYPART_ARC
(12,1),-2.06671 # DEPENDENCYPART_ARC
(12,2),-1.32766 # DEPENDENCYPART_ARC
(12,3),-2.7825 # DEPENDENCYPART_ARC
(12,4),-1.9387 # DEPENDENCYPART_ARC
(12,5),-1.81749 # DEPENDENCYPART_ARC
(12,6),0.00902162 # DEPENDENCYPART_ARC
(12,7),0.00160984 # DEPENDENCYPART_ARC
(12,8),-0.804986 # DEPENDENCYPART_ARC
(12,9),-1.12493 # DEPENDENCYPART_ARC
(12,10),-1.33158 # DEPENDENCYPART_ARC
(12,11),2.2763 # DEPENDENCYPART_ARC
(12,13),2.15699 # DEPENDENCYPART_ARC
(12,14),0.187396 # DEPENDENCYPART_ARC
(13,1),-2.30474 # DEPENDENCYPART_ARC
(13,2),-4.61738 # DEPENDENCYPART_ARC
(13,3),-2.23942 # DEPENDENCYPART_ARC
(13,5),-1.80698 # DEPENDENCYPART_ARC
(13,6),-1.49673 # DEPENDENCYPART_ARC
(13,7),-3.26548 # DEPENDENCYPART_ARC
(13,8),-2.5409 # DEPENDENCYPART_ARC
(13,10),-2.0235 # DEPENDENCYPART_ARC
(13,11),-1.26748 # DEPENDENCYPART_ARC
(13,12),-0.23067 # DEPENDENCYPART_ARC
(13,14),1.41473 # DEPENDENCYPART_ARC
(14,12),-0.773051 # DEPENDENCYPART_ARC
