# _root_ ene bizitzan , bilbora etorri aurrez , ez dut inoiz griperik harrapatu izan .
#goldHeads=2,12,2,5,12,5,6,12,12,12,12,0,12,13,
#predictedHeads=2,5,2,5,13,5,6,13,13,13,12,0,12,13,
(6,10),-0.693992 # DEPENDENCYPART_ARC
(6,11),-0.824969 # DEPENDENCYPART_ARC
(6,12),-0.56636 # DEPENDENCYPART_ARC
(6,13),-1.60083 # DEPENDENCYPART_ARC
(6,14),-0.386371 # DEPENDENCYPART_ARC
(7,5),-0.397146 # DEPENDENCYPART_ARC
(7,6),0.0652521 # DEPENDENCYPART_ARC
(7,11),-0.669358 # DEPENDENCYPART_ARC
(7,12),-0.804181 # DEPENDENCYPART_ARC
(7,13),-0.883226 # DEPENDENCYPART_ARC
(8,2),-1.80379 # DEPENDENCYPART_ARC
(8,6),-1.03067 # DEPENDENCYPART_ARC
(8,7),-0.47157 # DEPENDENCYPART_ARC
(8,11),-0.8162 # DEPENDENCYPART_ARC
(8,12),-0.814245 # DEPENDENCYPART_ARC
(8,13),-1.05984 # DEPENDENCYPART_ARC
(9,2),-2.23034 # DEPENDENCYPART_ARC
(9,5),-1.87719 # DEPENDENCYPART_ARC
(9,6),-0.899177 # DEPENDENCYPART_ARC
(9,8),-0.521112 # DEPENDENCYPART_ARC
(9,10),-0.531808 # DEPENDENCYPART_ARC
(9,11),-1.14126 # DEPENDENCYPART_ARC
(9,13),-2.21297 # DEPENDENCYPART_ARC
(10,6),-1.12948 # DEPENDENCYPART_ARC
(10,11),-0.449857 # DEPENDENCYPART_ARC
(11,4),-1.99423 # DEPENDENCYPART_ARC
(11,5),-1.5472 # DEPENDENCYPART_ARC
(11,6),-2.01624 # DEPENDENCYPART_ARC
(11,7),-1.57385 # DEPENDENCYPART_ARC
(11,8),-0.922584 # DEPENDENCYPART_ARC
(11,9),-1.24371 # DEPENDENCYPART_ARC
(11,10),0.0559614 # DEPENDENCYPART_ARC
(11,12),0.820639 # DEPENDENCYPART_ARC
(11,14),-0.545243 # DEPENDENCYPART_ARC
(12,1),-1.34582 # DEPENDENCYPART_ARC
(12,2),-0.714238 # DEPENDENCYPART_ARC
(12,3),-1.95145 # DEPENDENCYPART_ARC
(12,4),-0.00222553 # DEPENDENCYPART_ARC
(12,5),-0.958925 # DEPENDENCYPART_ARC
(12,6),-1.1381 # DEPENDENCYPART_ARC
(12,7),-1.58823 # DEPENDENCYPART_ARC
(12,8),0.365312 # DEPENDENCYPART_ARC
(12,9),0.0635364 # DEPENDENCYPART_ARC
(12,10),0.164769 # DEPENDENCYPART_ARC
(12,11),1.72465 # DEPENDENCYPART_ARC
(12,13),2.09267 # DEPENDENCYPART_ARC
(12,14),0.771803 # DEPENDENCYPART_ARC
(13,1),-1.65153 # DEPENDENCYPART_ARC
(13,2),-0.477762 # DEPENDENCYPART_ARC
(13,3),-1.35281 # DEPENDENCYPART_ARC
(13,4),-0.40879 # DEPENDENCYPART_ARC
(13,5),-0.297199 # DEPENDENCYPART_ARC
(13,6),-0.439621 # DEPENDENCYPART_ARC
(13,7),-1.10753 # DEPENDENCYPART_ARC
(13,8),1.10811 # DEPENDENCYPART_ARC
(13,9),0.931304 # DEPENDENCYPART_ARC
(13,10),0.557477 # DEPENDENCYPART_ARC
(13,11),0.502474 # DEPENDENCYPART_ARC
(13,12),1.42213 # DEPENDENCYPART_ARC
(13,14),1.93652 # DEPENDENCYPART_ARC
(14,13),-0.573028 # DEPENDENCYPART_ARC
