# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,15,17,17,18,13,18,18,20,
(3,10),-2.60743 # DEPENDENCYPART_ARC
(3,11),-2.3679 # DEPENDENCYPART_ARC
(3,13),-0.827256 # DEPENDENCYPART_ARC
(3,18),-3.14 # DEPENDENCYPART_ARC
(3,19),-2.98799 # DEPENDENCYPART_ARC
(4,1),-0.258056 # DEPENDENCYPART_ARC
(4,2),-0.282688 # DEPENDENCYPART_ARC
(4,3),0.0921649 # DEPENDENCYPART_ARC
(4,5),-0.484004 # DEPENDENCYPART_ARC
(4,18),-1.16124 # DEPENDENCYPART_ARC
(5,2),-1.47599 # DEPENDENCYPART_ARC
(5,4),-0.297903 # DEPENDENCYPART_ARC
(5,6),0.234714 # DEPENDENCYPART_ARC
(6,1),-0.941813 # DEPENDENCYPART_ARC
(6,2),-0.612721 # DEPENDENCYPART_ARC
(6,3),-2.43125 # DEPENDENCYPART_ARC
(6,4),-0.754038 # DEPENDENCYPART_ARC
(6,5),1.51679 # DEPENDENCYPART_ARC
(6,7),0.104025 # DEPENDENCYPART_ARC
(6,8),-0.872365 # DEPENDENCYPART_ARC
(6,9),-1.46849 # DEPENDENCYPART_ARC
(6,11),-1.20224 # DEPENDENCYPART_ARC
(6,15),-2.25972 # DEPENDENCYPART_ARC
(7,1),-1.47387 # DEPENDENCYPART_ARC
(7,2),-0.0968219 # DEPENDENCYPART_ARC
(7,3),-0.289607 # DEPENDENCYPART_ARC
(7,4),-1.50513 # DEPENDENCYPART_ARC
(7,5),-0.265267 # DEPENDENCYPART_ARC
(7,6),1.76448 # DEPENDENCYPART_ARC
(7,8),-0.309864 # DEPENDENCYPART_ARC
(7,9),-1.55078 # DEPENDENCYPART_ARC
(7,10),-1.14033 # DEPENDENCYPART_ARC
(7,11),-0.976093 # DEPENDENCYPART_ARC
(7,12),-1.33974 # DEPENDENCYPART_ARC
(7,16),-2.38009 # DEPENDENCYPART_ARC
(7,17),-2.20905 # DEPENDENCYPART_ARC
(7,18),-2.76793 # DEPENDENCYPART_ARC
(7,19),-1.45545 # DEPENDENCYPART_ARC
(8,1),-0.90888 # DEPENDENCYPART_ARC
(8,3),-2.15957 # DEPENDENCYPART_ARC
(8,4),-1.495 # DEPENDENCYPART_ARC
(8,5),-0.577824 # DEPENDENCYPART_ARC
(8,6),-0.279483 # DEPENDENCYPART_ARC
(8,7),1.44877 # DEPENDENCYPART_ARC
(8,9),2.66699 # DEPENDENCYPART_ARC
(8,10),-0.819919 # DEPENDENCYPART_ARC
(8,11),-0.995754 # DEPENDENCYPART_ARC
(8,13),-0.44411 # DEPENDENCYPART_ARC
(8,15),-1.06892 # DEPENDENCYPART_ARC
(8,16),-1.17208 # DEPENDENCYPART_ARC
(8,17),-0.485127 # DEPENDENCYPART_ARC
(8,18),-0.904242 # DEPENDENCYPART_ARC
(9,2),-1.59702 # DEPENDENCYPART_ARC
(9,6),-1.28466 # DEPENDENCYPART_ARC
(9,7),-0.292138 # DEPENDENCYPART_ARC
(9,8),-0.0205664 # DEPENDENCYPART_ARC
(9,10),-1.79788 # DEPENDENCYPART_ARC
(9,12),-0.572956 # DEPENDENCYPART_ARC
(10,1),-0.741822 # DEPENDENCYPART_ARC
(10,2),0.661454 # DEPENDENCYPART_ARC
(10,3),-0.0714498 # DEPENDENCYPART_ARC
(10,4),-1.04245 # DEPENDENCYPART_ARC
(10,5),-0.152729 # DEPENDENCYPART_ARC
(10,6),0.860075 # DEPENDENCYPART_ARC
(10,7),0.0096068 # DEPENDENCYPART_ARC
(10,8),1.54798 # DEPENDENCYPART_ARC
(10,9),0.293587 # DEPENDENCYPART_ARC
(10,11),1.32557 # DEPENDENCYPART_ARC
(10,12),-0.409589 # DEPENDENCYPART_ARC
(10,13),-0.315839 # DEPENDENCYPART_ARC
(10,15),-1.12396 # DEPENDENCYPART_ARC
(10,16),-1.18828 # DEPENDENCYPART_ARC
(10,17),-0.854156 # DEPENDENCYPART_ARC
(10,18),-1.0696 # DEPENDENCYPART_ARC
(10,19),-1.13835 # DEPENDENCYPART_ARC
(10,20),-0.275251 # DEPENDENCYPART_ARC
(11,8),-0.439836 # DEPENDENCYPART_ARC
(11,9),-1.0683 # DEPENDENCYPART_ARC
(11,12),1.75907 # DEPENDENCYPART_ARC
(11,13),-1.46429 # DEPENDENCYPART_ARC
(11,19),-1.20028 # DEPENDENCYPART_ARC
(12,7),-0.852862 # DEPENDENCYPART_ARC
(12,11),-0.410493 # DEPENDENCYPART_ARC
(12,13),-0.507875 # DEPENDENCYPART_ARC
(12,18),-1.2232 # DEPENDENCYPART_ARC
(13,1),-0.958936 # DEPENDENCYPART_ARC
(13,3),-0.572027 # DEPENDENCYPART_ARC
(13,5),-0.665409 # DEPENDENCYPART_ARC
(13,6),-1.19286 # DEPENDENCYPART_ARC
(13,7),-0.0836097 # DEPENDENCYPART_ARC
(13,8),-0.888045 # DEPENDENCYPART_ARC
(13,9),-0.554493 # DEPENDENCYPART_ARC
(13,10),1.56109 # DEPENDENCYPART_ARC
(13,11),-0.800712 # DEPENDENCYPART_ARC
(13,12),-0.415719 # DEPENDENCYPART_ARC
(13,14),-0.614072 # DEPENDENCYPART_ARC
(13,15),-1.00517 # DEPENDENCYPART_ARC
(13,16),-0.64079 # DEPENDENCYPART_ARC
(13,17),-0.035365 # DEPENDENCYPART_ARC
(13,18),1.37982 # DEPENDENCYPART_ARC
(14,10),-1.19333 # DEPENDENCYPART_ARC
(14,13),-0.376961 # DEPENDENCYPART_ARC
(14,16),-1.30378 # DEPENDENCYPART_ARC
(14,17),-1.19807 # DEPENDENCYPART_ARC
(15,14),0.0773968 # DEPENDENCYPART_ARC
(15,16),-0.143473 # DEPENDENCYPART_ARC
(15,17),-0.740948 # DEPENDENCYPART_ARC
(16,8),-1.07918 # DEPENDENCYPART_ARC
(16,9),-2.73779 # DEPENDENCYPART_ARC
(16,10),-1.60985 # DEPENDENCYPART_ARC
(16,12),-1.91879 # DEPENDENCYPART_ARC
(16,13),-1.25507 # DEPENDENCYPART_ARC
(16,14),-1.28605 # DEPENDENCYPART_ARC
(16,15),0.418919 # DEPENDENCYPART_ARC
(16,17),1.03865 # DEPENDENCYPART_ARC
(16,18),-0.813452 # DEPENDENCYPART_ARC
(16,19),-1.40778 # DEPENDENCYPART_ARC
(16,20),-0.912719 # DEPENDENCYPART_ARC
(16,21),-0.91802 # DEPENDENCYPART_ARC
(17,7),-0.390931 # DEPENDENCYPART_ARC
(17,8),-0.52296 # DEPENDENCYPART_ARC
(17,9),-2.66225 # DEPENDENCYPART_ARC
(17,10),-0.64193 # DEPENDENCYPART_ARC
(17,12),-1.34116 # DEPENDENCYPART_ARC
(17,13),-0.414265 # DEPENDENCYPART_ARC
(17,14),-1.81397 # DEPENDENCYPART_ARC
(17,15),0.979174 # DEPENDENCYPART_ARC
(17,16),1.88106 # DEPENDENCYPART_ARC
(17,18),-0.881134 # DEPENDENCYPART_ARC
(17,19),-1.15973 # DEPENDENCYPART_ARC
(17,20),-1.31075 # DEPENDENCYPART_ARC
(17,21),-1.18175 # DEPENDENCYPART_ARC
(18,2),-0.877014 # DEPENDENCYPART_ARC
(18,5),-0.864628 # DEPENDENCYPART_ARC
(18,6),-0.84502 # DEPENDENCYPART_ARC
(18,7),-0.647837 # DEPENDENCYPART_ARC
(18,8),-0.655311 # DEPENDENCYPART_ARC
(18,10),-0.799187 # DEPENDENCYPART_ARC
(18,11),-0.938461 # DEPENDENCYPART_ARC
(18,13),-0.177035 # DEPENDENCYPART_ARC
(18,14),-0.0719726 # DEPENDENCYPART_ARC
(18,15),-0.54939 # DEPENDENCYPART_ARC
(18,16),0.863432 # DEPENDENCYPART_ARC
(18,17),1.73744 # DEPENDENCYPART_ARC
(18,19),1.73208 # DEPENDENCYPART_ARC
(18,20),0.960587 # DEPENDENCYPART_ARC
(19,16),-0.20368 # DEPENDENCYPART_ARC
(19,17),-0.807015 # DEPENDENCYPART_ARC
(19,20),-0.480013 # DEPENDENCYPART_ARC
(20,16),-1.07617 # DEPENDENCYPART_ARC
(20,17),-0.954256 # DEPENDENCYPART_ARC
(20,21),1.67742 # DEPENDENCYPART_ARC
