# _root_ lehendakariaz_gain , jaurlaritzako ordezkariak egon ziren han , baita psoeko idazkari rodriguez_zapatero eta pse-eeko nicolas_redondo_terreros ere .
#goldHeads=5,1,4,5,9,5,5,7,0,11,13,11,9,15,13,0,16,
#predictedHeads=5,3,4,5,9,5,5,7,0,11,12,13,5,13,13,0,16,
(13,3),-1.41717 # DEPENDENCYPART_ARC
(13,4),-1.41002 # DEPENDENCYPART_ARC
(13,5),-0.720401 # DEPENDENCYPART_ARC
(13,6),-1.52366 # DEPENDENCYPART_ARC
(13,7),-1.34313 # DEPENDENCYPART_ARC
(13,8),-2.09083 # DEPENDENCYPART_ARC
(13,9),-0.687966 # DEPENDENCYPART_ARC
(13,10),-0.317738 # DEPENDENCYPART_ARC
(13,11),0.138145 # DEPENDENCYPART_ARC
(13,12),1.74232 # DEPENDENCYPART_ARC
(13,14),1.91391 # DEPENDENCYPART_ARC
(13,15),0.492397 # DEPENDENCYPART_ARC
(13,16),-0.208393 # DEPENDENCYPART_ARC
(14,12),-2.70543 # DEPENDENCYPART_ARC
(14,15),-1.29993 # DEPENDENCYPART_ARC
(15,1),-3.05183 # DEPENDENCYPART_ARC
(15,8),-1.67613 # DEPENDENCYPART_ARC
(15,11),-0.523351 # DEPENDENCYPART_ARC
(15,14),1.14368 # DEPENDENCYPART_ARC
(16,17),1.07277 # DEPENDENCYPART_ARC
(17,13),-0.985083 # DEPENDENCYPART_ARC
(17,15),-1.04514 # DEPENDENCYPART_ARC
