# _root_ jeltzaleen jarrerari_buruz mintzatu zen eta , adierazi zuenez , " konturatu behar_dute haien apustuak kale_egin duela eta estatutuaren bidera itzuli beharko dute " .
#goldHeads=2,3,5,3,0,5,17,7,8,9,17,11,14,15,11,15,0,19,20,17,20,21,22,23,
#predictedHeads=2,3,5,3,0,5,5,7,8,9,12,17,14,15,17,15,0,19,20,21,17,21,22,23,
(17,20),0.635169 # DEPENDENCYPART_ARC
(17,21),1.04909 # DEPENDENCYPART_ARC
(18,13),-2.83294 # DEPENDENCYPART_ARC
(18,19),0.913451 # DEPENDENCYPART_ARC
(18,22),-2.61289 # DEPENDENCYPART_ARC
(18,24),-1.17088 # DEPENDENCYPART_ARC
(19,13),-1.34176 # DEPENDENCYPART_ARC
(19,14),-3.94145 # DEPENDENCYPART_ARC
(19,15),-1.51015 # DEPENDENCYPART_ARC
(19,17),-0.181982 # DEPENDENCYPART_ARC
(19,18),1.5082 # DEPENDENCYPART_ARC
(19,20),-0.129472 # DEPENDENCYPART_ARC
(19,21),-1.74816 # DEPENDENCYPART_ARC
(19,22),-2.95627 # DEPENDENCYPART_ARC
(19,24),-1.41578 # DEPENDENCYPART_ARC
(20,3),-1.30522 # DEPENDENCYPART_ARC
(20,5),-1.03936 # DEPENDENCYPART_ARC
(20,6),-1.50162 # DEPENDENCYPART_ARC
(20,7),-0.501655 # DEPENDENCYPART_ARC
(20,9),-1.63903 # DEPENDENCYPART_ARC
(20,12),-0.866806 # DEPENDENCYPART_ARC
(20,13),-1.43834 # DEPENDENCYPART_ARC
(20,14),0.389278 # DEPENDENCYPART_ARC
(20,15),-0.3148 # DEPENDENCYPART_ARC
(20,16),-0.459313 # DEPENDENCYPART_ARC
(20,17),-0.0806105 # DEPENDENCYPART_ARC
(20,18),0.628045 # DEPENDENCYPART_ARC
(20,19),2.34375 # DEPENDENCYPART_ARC
(20,21),-0.10335 # DEPENDENCYPART_ARC
(20,22),0.72495 # DEPENDENCYPART_ARC
(21,1),-1.98937 # DEPENDENCYPART_ARC
(21,11),-0.652558 # DEPENDENCYPART_ARC
(21,13),-0.64558 # DEPENDENCYPART_ARC
(21,14),0.0702671 # DEPENDENCYPART_ARC
(21,15),0.124631 # DEPENDENCYPART_ARC
(21,16),-0.138451 # DEPENDENCYPART_ARC
(21,17),0.0377333 # DEPENDENCYPART_ARC
(21,18),0.757413 # DEPENDENCYPART_ARC
(21,19),0.910561 # DEPENDENCYPART_ARC
(21,20),1.91488 # DEPENDENCYPART_ARC
(21,22),2.41385 # DEPENDENCYPART_ARC
(22,19),-0.885617 # DEPENDENCYPART_ARC
(22,23),1.05567 # DEPENDENCYPART_ARC
(23,21),-0.870717 # DEPENDENCYPART_ARC
(23,24),1.56973 # DEPENDENCYPART_ARC
