# _root_ ( ... ) paulinok azken asaltoa bota zuela uste_zuen , baina heriotzaren aurre-salara ailegatzea besterik ez zuen egin , azken asaltoek beti heriotzaren kaudrilateroan jotzen bait dute amaierako kanpanilla .
#goldHeads=0,1,0,9,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,18,27,25,29,25,29,
#predictedHeads=0,1,0,7,6,7,9,7,11,9,0,13,14,11,14,15,18,11,18,21,25,25,24,25,18,25,26,29,25,29,
(13,16),-2.38036 # DEPENDENCYPART_ARC
(13,17),-2.60253 # DEPENDENCYPART_ARC
(14,4),-1.5056 # DEPENDENCYPART_ARC
(14,6),-0.609059 # DEPENDENCYPART_ARC
(14,7),-1.29611 # DEPENDENCYPART_ARC
(14,8),-1.97612 # DEPENDENCYPART_ARC
(14,9),-2.64646 # DEPENDENCYPART_ARC
(14,10),-1.64768 # DEPENDENCYPART_ARC
(14,11),-0.586458 # DEPENDENCYPART_ARC
(14,12),-0.0427138 # DEPENDENCYPART_ARC
(14,13),2.3166 # DEPENDENCYPART_ARC
(14,15),0.659589 # DEPENDENCYPART_ARC
(14,16),-0.821849 # DEPENDENCYPART_ARC
(14,17),-2.3819 # DEPENDENCYPART_ARC
(14,18),-0.888411 # DEPENDENCYPART_ARC
(14,19),-0.763877 # DEPENDENCYPART_ARC
(14,21),-1.11949 # DEPENDENCYPART_ARC
(14,22),-1.15797 # DEPENDENCYPART_ARC
(14,23),-2.23614 # DEPENDENCYPART_ARC
(14,24),-0.672526 # DEPENDENCYPART_ARC
(14,25),-2.10599 # DEPENDENCYPART_ARC
(14,26),-1.35165 # DEPENDENCYPART_ARC
(14,27),-3.35074 # DEPENDENCYPART_ARC
(14,28),-2.33385 # DEPENDENCYPART_ARC
(14,29),-1.00045 # DEPENDENCYPART_ARC
(15,13),-0.613461 # DEPENDENCYPART_ARC
(15,16),2.46098 # DEPENDENCYPART_ARC
(16,12),-1.67555 # DEPENDENCYPART_ARC
(16,13),-1.58985 # DEPENDENCYPART_ARC
(16,21),-0.980002 # DEPENDENCYPART_ARC
(16,23),-0.955086 # DEPENDENCYPART_ARC
(17,4),-0.97315 # DEPENDENCYPART_ARC
(17,14),-1.31062 # DEPENDENCYPART_ARC
(17,16),-0.029121 # DEPENDENCYPART_ARC
(17,22),-0.449786 # DEPENDENCYPART_ARC
(18,4),-0.300712 # DEPENDENCYPART_ARC
(18,6),-0.901264 # DEPENDENCYPART_ARC
(18,7),-0.155747 # DEPENDENCYPART_ARC
(18,8),-1.43568 # DEPENDENCYPART_ARC
(18,9),-1.52652 # DEPENDENCYPART_ARC
(18,10),-1.23602 # DEPENDENCYPART_ARC
(18,11),-0.177239 # DEPENDENCYPART_ARC
(18,12),-1.1477 # DEPENDENCYPART_ARC
(18,13),0.713202 # DEPENDENCYPART_ARC
(18,14),-0.00628959 # DEPENDENCYPART_ARC
(18,15),-0.291728 # DEPENDENCYPART_ARC
(18,16),1.03113 # DEPENDENCYPART_ARC
(18,17),0.979498 # DEPENDENCYPART_ARC
(18,19),1.37106 # DEPENDENCYPART_ARC
(18,20),-0.299568 # DEPENDENCYPART_ARC
(18,21),0.0887754 # DEPENDENCYPART_ARC
(18,22),-0.563616 # DEPENDENCYPART_ARC
(18,23),-0.961364 # DEPENDENCYPART_ARC
(18,24),-0.23448 # DEPENDENCYPART_ARC
(18,25),-0.680049 # DEPENDENCYPART_ARC
(18,26),-0.947778 # DEPENDENCYPART_ARC
(18,27),-1.24997 # DEPENDENCYPART_ARC
(18,28),-1.99766 # DEPENDENCYPART_ARC
(18,29),-0.329053 # DEPENDENCYPART_ARC
(19,14),-0.91892 # DEPENDENCYPART_ARC
(19,17),-0.808037 # DEPENDENCYPART_ARC
(19,18),0.176998 # DEPENDENCYPART_ARC
(20,18),-1.00432 # DEPENDENCYPART_ARC
(20,19),-0.299105 # DEPENDENCYPART_ARC
(21,11),-0.527077 # DEPENDENCYPART_ARC
(21,12),-0.151493 # DEPENDENCYPART_ARC
(21,14),-2.53361 # DEPENDENCYPART_ARC
(21,18),-0.577233 # DEPENDENCYPART_ARC
(21,19),-0.761981 # DEPENDENCYPART_ARC
(21,20),1.38697 # DEPENDENCYPART_ARC
(21,22),-0.440845 # DEPENDENCYPART_ARC
(21,23),-2.09607 # DEPENDENCYPART_ARC
(21,24),-1.70023 # DEPENDENCYPART_ARC
(21,30),-1.2592 # DEPENDENCYPART_ARC
(22,21),-0.410836 # DEPENDENCYPART_ARC
(22,23),-0.193312 # DEPENDENCYPART_ARC
(22,24),-0.900443 # DEPENDENCYPART_ARC
(23,19),-2.04733 # DEPENDENCYPART_ARC
(23,20),-1.09598 # DEPENDENCYPART_ARC
(23,21),-2.26324 # DEPENDENCYPART_ARC
(23,22),-0.601449 # DEPENDENCYPART_ARC
(23,24),0.75466 # DEPENDENCYPART_ARC
(23,27),-2.3739 # DEPENDENCYPART_ARC
(23,28),-0.615451 # DEPENDENCYPART_ARC
(23,30),-0.823084 # DEPENDENCYPART_ARC
(24,19),-1.79612 # DEPENDENCYPART_ARC
(24,20),-1.19772 # DEPENDENCYPART_ARC
(24,21),-2.0929 # DEPENDENCYPART_ARC
(24,22),-0.516578 # DEPENDENCYPART_ARC
(24,23),2.08552 # DEPENDENCYPART_ARC
(24,25),-0.217043 # DEPENDENCYPART_ARC
(24,27),-2.36124 # DEPENDENCYPART_ARC
(24,28),-2.10222 # DEPENDENCYPART_ARC
(24,29),-2.26504 # DEPENDENCYPART_ARC
(24,30),-0.948098 # DEPENDENCYPART_ARC
(25,4),-0.817889 # DEPENDENCYPART_ARC
(25,6),-1.0963 # DEPENDENCYPART_ARC
(25,7),-1.11773 # DEPENDENCYPART_ARC
(25,9),-2.37697 # DEPENDENCYPART_ARC
(25,10),-1.81663 # DEPENDENCYPART_ARC
(25,11),-0.86679 # DEPENDENCYPART_ARC
(25,12),-1.62163 # DEPENDENCYPART_ARC
(25,13),-0.0744524 # DEPENDENCYPART_ARC
(25,14),-0.810713 # DEPENDENCYPART_ARC
(25,15),-0.789141 # DEPENDENCYPART_ARC
(25,16),0.146994 # DEPENDENCYPART_ARC
(25,17),-0.740153 # DEPENDENCYPART_ARC
(25,18),-1.34182 # DEPENDENCYPART_ARC
(25,19),-1.74081 # DEPENDENCYPART_ARC
(25,20),-0.713464 # DEPENDENCYPART_ARC
(25,21),0.962335 # DEPENDENCYPART_ARC
(25,22),0.546814 # DEPENDENCYPART_ARC
(25,23),-0.144476 # DEPENDENCYPART_ARC
(25,24),2.09367 # DEPENDENCYPART_ARC
(25,26),1.7854 # DEPENDENCYPART_ARC
(25,27),0.712565 # DEPENDENCYPART_ARC
(25,28),-0.325924 # DEPENDENCYPART_ARC
(25,29),0.594287 # DEPENDENCYPART_ARC
(26,8),0.70693 # DEPENDENCYPART_ARC
(26,17),0.631563 # DEPENDENCYPART_ARC
(26,18),-0.423743 # DEPENDENCYPART_ARC
(26,25),0.424079 # DEPENDENCYPART_ARC
(26,27),1.53711 # DEPENDENCYPART_ARC
(26,28),0.0240025 # DEPENDENCYPART_ARC
(26,29),-0.0827271 # DEPENDENCYPART_ARC
(27,26),0.244966 # DEPENDENCYPART_ARC
(27,28),-1.9393 # DEPENDENCYPART_ARC
(27,29),-2.31503 # DEPENDENCYPART_ARC
(28,22),-1.601 # DEPENDENCYPART_ARC
(28,23),-1.58982 # DEPENDENCYPART_ARC
(28,24),-3.35633 # DEPENDENCYPART_ARC
(28,25),-0.829866 # DEPENDENCYPART_ARC
(28,27),-1.68718 # DEPENDENCYPART_ARC
(28,29),-1.16274 # DEPENDENCYPART_ARC
(28,30),-0.745228 # DEPENDENCYPART_ARC
(29,22),-1.52749 # DEPENDENCYPART_ARC
(29,23),-0.2998 # DEPENDENCYPART_ARC
(29,24),-2.81111 # DEPENDENCYPART_ARC
(29,25),-0.738352 # DEPENDENCYPART_ARC
(29,27),-1.96193 # DEPENDENCYPART_ARC
(29,28),1.61922 # DEPENDENCYPART_ARC
(29,30),1.25505 # DEPENDENCYPART_ARC
