# _root_ " askatasunak eta demokraziak ez dezakete gal , haietan baita zuzenbidea , justizia eta garapena .
#goldHeads=0,3,0,3,7,7,0,7,10,7,14,11,14,10,14,15,
#predictedHeads=0,3,7,3,7,7,0,7,10,7,10,11,14,10,14,15,
(11,9),-2.43942 # DEPENDENCYPART_ARC
(11,10),-0.740443 # DEPENDENCYPART_ARC
(11,12),1.04412 # DEPENDENCYPART_ARC
(11,13),-0.668257 # DEPENDENCYPART_ARC
(11,14),-0.845139 # DEPENDENCYPART_ARC
(11,15),-2.13073 # DEPENDENCYPART_ARC
(11,16),-0.323711 # DEPENDENCYPART_ARC
(12,7),-0.953855 # DEPENDENCYPART_ARC
(12,10),-0.351425 # DEPENDENCYPART_ARC
(12,11),-0.313017 # DEPENDENCYPART_ARC
(12,13),-0.436704 # DEPENDENCYPART_ARC
(12,14),-1.11778 # DEPENDENCYPART_ARC
(12,15),-0.559146 # DEPENDENCYPART_ARC
(13,3),-1.36189 # DEPENDENCYPART_ARC
(13,8),-1.98634 # DEPENDENCYPART_ARC
(13,9),-3.56948 # DEPENDENCYPART_ARC
(13,10),-2.46347 # DEPENDENCYPART_ARC
(13,11),-2.52963 # DEPENDENCYPART_ARC
(13,12),0.0434431 # DEPENDENCYPART_ARC
(13,15),-2.34187 # DEPENDENCYPART_ARC
(13,16),-1.11181 # DEPENDENCYPART_ARC
(14,2),-0.423311 # DEPENDENCYPART_ARC
(14,3),-0.806434 # DEPENDENCYPART_ARC
(14,4),-0.785581 # DEPENDENCYPART_ARC
(14,5),-1.23179 # DEPENDENCYPART_ARC
(14,7),-1.42306 # DEPENDENCYPART_ARC
(14,9),-1.41024 # DEPENDENCYPART_ARC
(14,10),-0.0698897 # DEPENDENCYPART_ARC
(14,11),0.705692 # DEPENDENCYPART_ARC
(14,12),-1.38103 # DEPENDENCYPART_ARC
(14,13),2.47439 # DEPENDENCYPART_ARC
(14,15),2.3302 # DEPENDENCYPART_ARC
(15,8),-2.98205 # DEPENDENCYPART_ARC
(15,9),-4.19641 # DEPENDENCYPART_ARC
(15,12),-2.37457 # DEPENDENCYPART_ARC
(15,13),-2.03726 # DEPENDENCYPART_ARC
(15,14),-1.08421 # DEPENDENCYPART_ARC
(15,16),1.3181 # DEPENDENCYPART_ARC
