# _root_ orduan , gai ezberdinei_buruzko elkarrizketa atsegin bati ekingo dio , nahiz_eta gizartean oso gaizki ikusiko liratekeen gaietaz hitzerdika hitzegingo duten .
#goldHeads=0,3,5,3,8,5,5,0,8,9,0,15,14,15,17,15,19,19,8,19,20,
#predictedHeads=8,3,8,3,8,5,5,15,8,9,15,15,14,15,0,15,19,19,15,19,20,
(19,8),-0.327508 # DEPENDENCYPART_ARC
(19,9),-0.699324 # DEPENDENCYPART_ARC
(19,11),0.286065 # DEPENDENCYPART_ARC
(19,12),0.246094 # DEPENDENCYPART_ARC
(19,13),-0.975538 # DEPENDENCYPART_ARC
(19,14),-0.730118 # DEPENDENCYPART_ARC
(19,15),0.253201 # DEPENDENCYPART_ARC
(19,16),-0.13286 # DEPENDENCYPART_ARC
(19,17),1.46337 # DEPENDENCYPART_ARC
(19,18),0.93521 # DEPENDENCYPART_ARC
(19,20),2.18963 # DEPENDENCYPART_ARC
(20,17),-0.720284 # DEPENDENCYPART_ARC
(20,18),-0.757835 # DEPENDENCYPART_ARC
(20,21),2.16087 # DEPENDENCYPART_ARC
