# _root_ gogoan_hartu zenuen , ez zenuen ulertu , baina berehala ezabatu zenuen beste inork irakurri ez zezan .
#goldHeads=8,1,2,6,6,8,6,0,10,8,10,13,14,10,14,14,16,
#predictedHeads=6,1,2,6,6,8,6,0,10,8,10,10,14,10,14,14,16,
(10,13),-0.23606 # DEPENDENCYPART_ARC
(10,14),0.194921 # DEPENDENCYPART_ARC
(10,15),-0.336363 # DEPENDENCYPART_ARC
(10,16),-0.539021 # DEPENDENCYPART_ARC
(11,4),-1.07046 # DEPENDENCYPART_ARC
(11,9),-0.651692 # DEPENDENCYPART_ARC
(11,14),-1.36754 # DEPENDENCYPART_ARC
(11,16),-1.05855 # DEPENDENCYPART_ARC
(12,4),-0.489402 # DEPENDENCYPART_ARC
(12,9),-0.597233 # DEPENDENCYPART_ARC
(12,14),-0.609834 # DEPENDENCYPART_ARC
(14,1),-1.178 # DEPENDENCYPART_ARC
(14,3),-1.20005 # DEPENDENCYPART_ARC
(14,4),-0.229383 # DEPENDENCYPART_ARC
(14,5),-1.17114 # DEPENDENCYPART_ARC
(14,6),-1.11938 # DEPENDENCYPART_ARC
(14,7),-1.39918 # DEPENDENCYPART_ARC
(14,8),-0.792528 # DEPENDENCYPART_ARC
(14,9),-0.309412 # DEPENDENCYPART_ARC
(14,10),-0.576094 # DEPENDENCYPART_ARC
(14,11),-0.645616 # DEPENDENCYPART_ARC
(14,12),-0.381009 # DEPENDENCYPART_ARC
(14,13),1.79255 # DEPENDENCYPART_ARC
(14,15),1.41093 # DEPENDENCYPART_ARC
(14,16),1.51418 # DEPENDENCYPART_ARC
(16,14),-1.30112 # DEPENDENCYPART_ARC
(16,15),-0.439395 # DEPENDENCYPART_ARC
(16,17),1.67344 # DEPENDENCYPART_ARC
