# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,9,22,22,14,16,16,17,22,19,20,21,22,4,22,
(9,17),-0.394037 # DEPENDENCYPART_ARC
(9,19),-0.175407 # DEPENDENCYPART_ARC
(9,20),-0.727647 # DEPENDENCYPART_ARC
(9,21),-0.128662 # DEPENDENCYPART_ARC
(9,22),-0.313725 # DEPENDENCYPART_ARC
(10,8),-1.55478 # DEPENDENCYPART_ARC
(10,9),-0.176282 # DEPENDENCYPART_ARC
(10,11),-1.28847 # DEPENDENCYPART_ARC
(10,12),-2.18241 # DEPENDENCYPART_ARC
(10,13),-2.49154 # DEPENDENCYPART_ARC
(11,10),-0.697532 # DEPENDENCYPART_ARC
(11,14),-1.10968 # DEPENDENCYPART_ARC
(12,10),-0.636815 # DEPENDENCYPART_ARC
(12,11),-0.406597 # DEPENDENCYPART_ARC
(12,14),-1.2982 # DEPENDENCYPART_ARC
(14,8),-1.54409 # DEPENDENCYPART_ARC
(14,9),-0.306154 # DEPENDENCYPART_ARC
(14,10),-1.7598 # DEPENDENCYPART_ARC
(14,12),-1.10948 # DEPENDENCYPART_ARC
(14,13),2.0295 # DEPENDENCYPART_ARC
(14,15),-0.698283 # DEPENDENCYPART_ARC
(14,23),-1.12798 # DEPENDENCYPART_ARC
(15,16),0.139646 # DEPENDENCYPART_ARC
(15,19),-0.750238 # DEPENDENCYPART_ARC
(16,1),-1.6855 # DEPENDENCYPART_ARC
(16,2),-1.40084 # DEPENDENCYPART_ARC
(16,4),-1.88032 # DEPENDENCYPART_ARC
(16,5),-0.969032 # DEPENDENCYPART_ARC
(16,6),-0.808976 # DEPENDENCYPART_ARC
(16,7),-0.967129 # DEPENDENCYPART_ARC
(16,8),-1.8627 # DEPENDENCYPART_ARC
(16,9),-0.824429 # DEPENDENCYPART_ARC
(16,10),0.0114946 # DEPENDENCYPART_ARC
(16,11),-0.110032 # DEPENDENCYPART_ARC
(16,12),-1.28711 # DEPENDENCYPART_ARC
(16,13),-1.07405 # DEPENDENCYPART_ARC
(16,14),1.56747 # DEPENDENCYPART_ARC
(16,15),1.01667 # DEPENDENCYPART_ARC
(16,17),-0.134101 # DEPENDENCYPART_ARC
(16,18),-1.01663 # DEPENDENCYPART_ARC
(16,19),-1.86968 # DEPENDENCYPART_ARC
(16,20),-2.21433 # DEPENDENCYPART_ARC
(16,21),-2.15337 # DEPENDENCYPART_ARC
(16,22),-2.21364 # DEPENDENCYPART_ARC
(17,6),-1.0375 # DEPENDENCYPART_ARC
(17,7),-1.2697 # DEPENDENCYPART_ARC
(17,9),-0.38315 # DEPENDENCYPART_ARC
(17,14),-0.644354 # DEPENDENCYPART_ARC
(17,15),0.188991 # DEPENDENCYPART_ARC
(17,16),1.69626 # DEPENDENCYPART_ARC
(17,18),0.0857549 # DEPENDENCYPART_ARC
(17,19),0.775051 # DEPENDENCYPART_ARC
(17,20),-0.0857699 # DEPENDENCYPART_ARC
(17,21),1.07329 # DEPENDENCYPART_ARC
(17,22),0.533994 # DEPENDENCYPART_ARC
(18,19),-0.402037 # DEPENDENCYPART_ARC
(18,20),-0.641409 # DEPENDENCYPART_ARC
(19,1),-1.72046 # DEPENDENCYPART_ARC
(19,2),-1.14155 # DEPENDENCYPART_ARC
(19,4),-1.56861 # DEPENDENCYPART_ARC
(19,5),-0.784457 # DEPENDENCYPART_ARC
(19,6),-0.552352 # DEPENDENCYPART_ARC
(19,7),-0.652505 # DEPENDENCYPART_ARC
(19,8),-1.71511 # DEPENDENCYPART_ARC
(19,9),-0.575184 # DEPENDENCYPART_ARC
(19,10),0.100193 # DEPENDENCYPART_ARC
(19,11),-0.184611 # DEPENDENCYPART_ARC
(19,12),-1.2801 # DEPENDENCYPART_ARC
(19,13),-1.35885 # DEPENDENCYPART_ARC
(19,14),0.682674 # DEPENDENCYPART_ARC
(19,15),-0.300083 # DEPENDENCYPART_ARC
(19,16),0.058668 # DEPENDENCYPART_ARC
(19,17),0.182994 # DEPENDENCYPART_ARC
(19,18),0.914463 # DEPENDENCYPART_ARC
(19,20),-0.697088 # DEPENDENCYPART_ARC
(19,21),-1.2926 # DEPENDENCYPART_ARC
(19,22),-1.39666 # DEPENDENCYPART_ARC
(20,16),-0.547936 # DEPENDENCYPART_ARC
(20,17),-0.486752 # DEPENDENCYPART_ARC
(20,18),-0.678725 # DEPENDENCYPART_ARC
(20,19),1.09828 # DEPENDENCYPART_ARC
(20,21),0.160143 # DEPENDENCYPART_ARC
(20,22),-1.29865 # DEPENDENCYPART_ARC
(20,23),-0.552565 # DEPENDENCYPART_ARC
(21,5),-0.861511 # DEPENDENCYPART_ARC
(21,7),-0.764871 # DEPENDENCYPART_ARC
(21,9),-1.29313 # DEPENDENCYPART_ARC
(21,10),0.571504 # DEPENDENCYPART_ARC
(21,11),-0.461786 # DEPENDENCYPART_ARC
(21,12),-1.24114 # DEPENDENCYPART_ARC
(21,13),-1.68918 # DEPENDENCYPART_ARC
(21,14),0.293523 # DEPENDENCYPART_ARC
(21,15),-0.438916 # DEPENDENCYPART_ARC
(21,16),-0.22896 # DEPENDENCYPART_ARC
(21,17),-0.2941 # DEPENDENCYPART_ARC
(21,18),-0.202298 # DEPENDENCYPART_ARC
(21,19),0.786193 # DEPENDENCYPART_ARC
(21,20),2.60174 # DEPENDENCYPART_ARC
(21,22),0.354193 # DEPENDENCYPART_ARC
(21,23),-0.0701144 # DEPENDENCYPART_ARC
(22,1),-1.37067 # DEPENDENCYPART_ARC
(22,5),-1.35918 # DEPENDENCYPART_ARC
(22,6),0.129228 # DEPENDENCYPART_ARC
(22,7),0.0238254 # DEPENDENCYPART_ARC
(22,8),-1.12987 # DEPENDENCYPART_ARC
(22,9),0.122365 # DEPENDENCYPART_ARC
(22,10),0.420664 # DEPENDENCYPART_ARC
(22,11),0.354831 # DEPENDENCYPART_ARC
(22,12),0.534028 # DEPENDENCYPART_ARC
(22,13),-1.42606 # DEPENDENCYPART_ARC
(22,14),0.176251 # DEPENDENCYPART_ARC
(22,15),-0.536577 # DEPENDENCYPART_ARC
(22,16),-0.348601 # DEPENDENCYPART_ARC
(22,17),0.611782 # DEPENDENCYPART_ARC
(22,18),0.574865 # DEPENDENCYPART_ARC
(22,19),0.19305 # DEPENDENCYPART_ARC
(22,20),0.769582 # DEPENDENCYPART_ARC
(22,21),2.11133 # DEPENDENCYPART_ARC
(22,23),2.14779 # DEPENDENCYPART_ARC
(23,21),-1.13999 # DEPENDENCYPART_ARC
