# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,14,12,0,18,17,18,19,20,22,20,14,22,23,
(5,4),2.92417 # DEPENDENCYPART_ARC
(5,6),-1.08102 # DEPENDENCYPART_ARC
(5,7),-1.34802 # DEPENDENCYPART_ARC
(5,10),-1.37003 # DEPENDENCYPART_ARC
(6,3),-1.74671 # DEPENDENCYPART_ARC
(6,5),-0.770127 # DEPENDENCYPART_ARC
(6,11),-1.15772 # DEPENDENCYPART_ARC
(7,5),-1.04325 # DEPENDENCYPART_ARC
(7,6),-0.496232 # DEPENDENCYPART_ARC
(7,10),-2.20379 # DEPENDENCYPART_ARC
(8,1),1.3297 # DEPENDENCYPART_ARC
(8,2),-0.496172 # DEPENDENCYPART_ARC
(8,3),0.350787 # DEPENDENCYPART_ARC
(8,4),-0.926077 # DEPENDENCYPART_ARC
(8,5),2.03149 # DEPENDENCYPART_ARC
(8,6),1.86374 # DEPENDENCYPART_ARC
(8,7),1.99006 # DEPENDENCYPART_ARC
(8,9),1.57581 # DEPENDENCYPART_ARC
(8,11),-0.753619 # DEPENDENCYPART_ARC
(8,12),0.216306 # DEPENDENCYPART_ARC
(8,14),-0.552356 # DEPENDENCYPART_ARC
(8,16),-1.26691 # DEPENDENCYPART_ARC
(8,17),-1.14447 # DEPENDENCYPART_ARC
(8,19),-1.78888 # DEPENDENCYPART_ARC
(8,20),-1.64095 # DEPENDENCYPART_ARC
(8,21),-1.2661 # DEPENDENCYPART_ARC
(8,22),-1.69463 # DEPENDENCYPART_ARC
(8,23),-1.10919 # DEPENDENCYPART_ARC
(9,4),-0.813874 # DEPENDENCYPART_ARC
(9,7),-1.01995 # DEPENDENCYPART_ARC
(9,8),0.0096421 # DEPENDENCYPART_ARC
(9,22),-1.9556 # DEPENDENCYPART_ARC
(10,9),-0.867579 # DEPENDENCYPART_ARC
(10,11),-0.0901449 # DEPENDENCYPART_ARC
(10,12),-1.97739 # DEPENDENCYPART_ARC
(10,15),-2.37431 # DEPENDENCYPART_ARC
(11,8),-1.19839 # DEPENDENCYPART_ARC
(11,9),-1.13974 # DEPENDENCYPART_ARC
(11,10),2.85244 # DEPENDENCYPART_ARC
(11,12),-0.144808 # DEPENDENCYPART_ARC
(11,13),-0.411015 # DEPENDENCYPART_ARC
(11,15),-0.968671 # DEPENDENCYPART_ARC
(12,8),-2.02912 # DEPENDENCYPART_ARC
(12,9),-1.33732 # DEPENDENCYPART_ARC
(12,10),1.42892 # DEPENDENCYPART_ARC
(12,11),1.57495 # DEPENDENCYPART_ARC
(12,13),1.55985 # DEPENDENCYPART_ARC
(12,14),-0.68929 # DEPENDENCYPART_ARC
(12,15),-1.92297 # DEPENDENCYPART_ARC
(12,16),-0.742176 # DEPENDENCYPART_ARC
(12,17),-1.63817 # DEPENDENCYPART_ARC
(12,18),-2.4886 # DEPENDENCYPART_ARC
(12,20),-2.04774 # DEPENDENCYPART_ARC
(12,22),-2.31138 # DEPENDENCYPART_ARC
(13,4),-0.858892 # DEPENDENCYPART_ARC
(13,8),-0.991098 # DEPENDENCYPART_ARC
(13,18),-1.37219 # DEPENDENCYPART_ARC
(14,1),-0.979044 # DEPENDENCYPART_ARC
(14,2),-1.00918 # DEPENDENCYPART_ARC
(14,3),-1.71085 # DEPENDENCYPART_ARC
(14,4),0.050163 # DEPENDENCYPART_ARC
(14,5),-0.863006 # DEPENDENCYPART_ARC
(14,6),-1.00205 # DEPENDENCYPART_ARC
(14,7),-0.875628 # DEPENDENCYPART_ARC
(14,8),-0.205573 # DEPENDENCYPART_ARC
(14,9),-1.56153 # DEPENDENCYPART_ARC
(14,10),-0.060176 # DEPENDENCYPART_ARC
(14,11),-0.124602 # DEPENDENCYPART_ARC
(14,12),0.492571 # DEPENDENCYPART_ARC
(14,13),-0.546969 # DEPENDENCYPART_ARC
(14,15),0.214674 # DEPENDENCYPART_ARC
(14,16),-1.02645 # DEPENDENCYPART_ARC
(14,17),-0.180269 # DEPENDENCYPART_ARC
(14,18),-0.310412 # DEPENDENCYPART_ARC
(14,19),-0.707724 # DEPENDENCYPART_ARC
(14,20),0.358839 # DEPENDENCYPART_ARC
(14,22),0.268042 # DEPENDENCYPART_ARC
(15,16),0.299362 # DEPENDENCYPART_ARC
(15,17),-1.97294 # DEPENDENCYPART_ARC
(16,9),-2.43003 # DEPENDENCYPART_ARC
(16,10),-1.50847 # DEPENDENCYPART_ARC
(16,11),-1.37102 # DEPENDENCYPART_ARC
(16,12),-1.57369 # DEPENDENCYPART_ARC
(16,13),-1.80548 # DEPENDENCYPART_ARC
(16,14),-0.934321 # DEPENDENCYPART_ARC
(16,15),0.867673 # DEPENDENCYPART_ARC
(16,17),0.370614 # DEPENDENCYPART_ARC
(16,18),-0.933361 # DEPENDENCYPART_ARC
(16,21),-1.30271 # DEPENDENCYPART_ARC
(16,23),-1.42317 # DEPENDENCYPART_ARC
(17,10),0.202011 # DEPENDENCYPART_ARC
(17,12),-2.69219 # DEPENDENCYPART_ARC
(17,13),-1.02288 # DEPENDENCYPART_ARC
(17,14),-0.0379015 # DEPENDENCYPART_ARC
(17,15),-1.3167 # DEPENDENCYPART_ARC
(17,16),2.15114 # DEPENDENCYPART_ARC
(17,18),-1.98165 # DEPENDENCYPART_ARC
(17,19),-1.72199 # DEPENDENCYPART_ARC
(17,21),-3.66608 # DEPENDENCYPART_ARC
(17,23),-2.95826 # DEPENDENCYPART_ARC
(17,24),-1.6352 # DEPENDENCYPART_ARC
(18,1),-1.82318 # DEPENDENCYPART_ARC
(18,2),-2.59492 # DEPENDENCYPART_ARC
(18,3),-1.54695 # DEPENDENCYPART_ARC
(18,4),-2.44285 # DEPENDENCYPART_ARC
(18,5),-1.59546 # DEPENDENCYPART_ARC
(18,8),-1.75749 # DEPENDENCYPART_ARC
(18,9),-1.75536 # DEPENDENCYPART_ARC
(18,10),-2.63077 # DEPENDENCYPART_ARC
(18,11),-2.05444 # DEPENDENCYPART_ARC
(18,12),-1.13963 # DEPENDENCYPART_ARC
(18,13),-1.55141 # DEPENDENCYPART_ARC
(18,14),-0.65924 # DEPENDENCYPART_ARC
(18,15),0.979638 # DEPENDENCYPART_ARC
(18,16),0.421051 # DEPENDENCYPART_ARC
(18,17),2.67756 # DEPENDENCYPART_ARC
(18,19),-0.383846 # DEPENDENCYPART_ARC
(18,20),-1.48047 # DEPENDENCYPART_ARC
(18,21),-1.36092 # DEPENDENCYPART_ARC
(18,22),-1.88618 # DEPENDENCYPART_ARC
(18,23),-1.68758 # DEPENDENCYPART_ARC
(19,13),-1.14457 # DEPENDENCYPART_ARC
(19,14),-0.575213 # DEPENDENCYPART_ARC
(19,15),-2.53954 # DEPENDENCYPART_ARC
(19,16),-0.182909 # DEPENDENCYPART_ARC
(19,17),-1.32067 # DEPENDENCYPART_ARC
(19,18),2.6025 # DEPENDENCYPART_ARC
(19,20),-0.724523 # DEPENDENCYPART_ARC
(19,21),-1.46532 # DEPENDENCYPART_ARC
(19,22),-2.70614 # DEPENDENCYPART_ARC
(19,23),-1.89987 # DEPENDENCYPART_ARC
(19,24),-1.27923 # DEPENDENCYPART_ARC
(20,1),-0.238685 # DEPENDENCYPART_ARC
(20,2),-2.03696 # DEPENDENCYPART_ARC
(20,3),-0.911289 # DEPENDENCYPART_ARC
(20,4),-1.64704 # DEPENDENCYPART_ARC
(20,5),-0.726256 # DEPENDENCYPART_ARC
(20,6),-0.525823 # DEPENDENCYPART_ARC
(20,8),-1.04241 # DEPENDENCYPART_ARC
(20,9),-2.23585 # DEPENDENCYPART_ARC
(20,10),-1.75732 # DEPENDENCYPART_ARC
(20,11),-1.67432 # DEPENDENCYPART_ARC
(20,12),-0.00416718 # DEPENDENCYPART_ARC
(20,13),-1.87348 # DEPENDENCYPART_ARC
(20,14),-0.725433 # DEPENDENCYPART_ARC
(20,15),0.703855 # DEPENDENCYPART_ARC
(20,16),-0.238975 # DEPENDENCYPART_ARC
(20,17),0.397042 # DEPENDENCYPART_ARC
(20,18),0.143645 # DEPENDENCYPART_ARC
(20,19),1.87859 # DEPENDENCYPART_ARC
(20,21),1.89492 # DEPENDENCYPART_ARC
(20,22),-0.781002 # DEPENDENCYPART_ARC
(20,23),-0.853792 # DEPENDENCYPART_ARC
(21,19),-0.294694 # DEPENDENCYPART_ARC
(21,20),-0.74154 # DEPENDENCYPART_ARC
(21,22),-1.70453 # DEPENDENCYPART_ARC
(21,23),-1.11702 # DEPENDENCYPART_ARC
(22,1),-0.43927 # DEPENDENCYPART_ARC
(22,2),-2.46068 # DEPENDENCYPART_ARC
(22,3),-0.875689 # DEPENDENCYPART_ARC
(22,4),-1.69015 # DEPENDENCYPART_ARC
(22,5),-1.04465 # DEPENDENCYPART_ARC
(22,8),-0.984022 # DEPENDENCYPART_ARC
(22,9),-1.79396 # DEPENDENCYPART_ARC
(22,10),-2.16484 # DEPENDENCYPART_ARC
(22,11),-2.17127 # DEPENDENCYPART_ARC
(22,12),-0.457124 # DEPENDENCYPART_ARC
(22,13),-1.70714 # DEPENDENCYPART_ARC
(22,14),-0.469958 # DEPENDENCYPART_ARC
(22,15),0.51081 # DEPENDENCYPART_ARC
(22,16),-0.80697 # DEPENDENCYPART_ARC
(22,17),0.183241 # DEPENDENCYPART_ARC
(22,18),-0.872801 # DEPENDENCYPART_ARC
(22,19),0.335002 # DEPENDENCYPART_ARC
(22,20),1.12462 # DEPENDENCYPART_ARC
(22,21),-0.130355 # DEPENDENCYPART_ARC
(22,23),1.50845 # DEPENDENCYPART_ARC
(22,24),0.00772985 # DEPENDENCYPART_ARC
(23,19),-1.41768 # DEPENDENCYPART_ARC
(23,20),-2.28893 # DEPENDENCYPART_ARC
(23,24),1.61303 # DEPENDENCYPART_ARC
