# _root_ aurtengo ekoizpenen erakusketez_gainera , bertso txapelketak eta lete , valverde eta lertxundiren kantaldiek hartuko dute lekurik nabarmenena .
#goldHeads=2,3,14,3,6,7,14,11,8,11,13,11,7,0,14,14,16,17,
#predictedHeads=2,3,7,3,6,7,13,11,8,11,13,13,14,0,14,14,16,17,
(6,12),-2.74188 # DEPENDENCYPART_ARC
(7,1),-1.2002 # DEPENDENCYPART_ARC
(7,2),-0.472827 # DEPENDENCYPART_ARC
(7,3),-0.393654 # DEPENDENCYPART_ARC
(7,4),-1.65353 # DEPENDENCYPART_ARC
(7,5),0.405924 # DEPENDENCYPART_ARC
(7,6),1.61632 # DEPENDENCYPART_ARC
(7,8),1.29684 # DEPENDENCYPART_ARC
(7,9),-0.458579 # DEPENDENCYPART_ARC
(7,10),-0.720115 # DEPENDENCYPART_ARC
(7,11),-0.67579 # DEPENDENCYPART_ARC
(7,12),-0.484241 # DEPENDENCYPART_ARC
(7,13),0.917024 # DEPENDENCYPART_ARC
(7,14),-1.07836 # DEPENDENCYPART_ARC
(7,16),-0.701432 # DEPENDENCYPART_ARC
(8,5),-2.21386 # DEPENDENCYPART_ARC
(8,6),-2.44973 # DEPENDENCYPART_ARC
(8,9),1.70766 # DEPENDENCYPART_ARC
(8,11),-0.450406 # DEPENDENCYPART_ARC
(8,13),-0.818813 # DEPENDENCYPART_ARC
(8,14),-0.713921 # DEPENDENCYPART_ARC
(8,16),-1.4933 # DEPENDENCYPART_ARC
(9,7),-0.837237 # DEPENDENCYPART_ARC
(9,11),-1.14091 # DEPENDENCYPART_ARC
(9,14),-0.922635 # DEPENDENCYPART_ARC
(10,8),-1.53048 # DEPENDENCYPART_ARC
(10,9),-0.363504 # DEPENDENCYPART_ARC
(10,12),0.770638 # DEPENDENCYPART_ARC
(10,13),-0.192815 # DEPENDENCYPART_ARC
(11,1),-1.14396 # DEPENDENCYPART_ARC
(11,2),-0.765552 # DEPENDENCYPART_ARC
(11,3),-0.715263 # DEPENDENCYPART_ARC
(11,5),-0.411068 # DEPENDENCYPART_ARC
(11,6),-0.0916314 # DEPENDENCYPART_ARC
(11,7),-0.672998 # DEPENDENCYPART_ARC
(11,8),1.42212 # DEPENDENCYPART_ARC
(11,9),-1.45484 # DEPENDENCYPART_ARC
(11,10),2.53452 # DEPENDENCYPART_ARC
(11,12),1.61566 # DEPENDENCYPART_ARC
(11,13),1.80744 # DEPENDENCYPART_ARC
(11,14),-0.393917 # DEPENDENCYPART_ARC
(11,15),-0.330625 # DEPENDENCYPART_ARC
(11,16),-0.0940203 # DEPENDENCYPART_ARC
(12,13),0.132589 # DEPENDENCYPART_ARC
(12,14),-1.79506 # DEPENDENCYPART_ARC
(12,16),-2.17622 # DEPENDENCYPART_ARC
(13,1),-0.050548 # DEPENDENCYPART_ARC
(13,2),-0.455657 # DEPENDENCYPART_ARC
(13,5),-0.480325 # DEPENDENCYPART_ARC
(13,6),-3.0817 # DEPENDENCYPART_ARC
(13,7),0.165448 # DEPENDENCYPART_ARC
(13,8),-0.613084 # DEPENDENCYPART_ARC
(13,9),-1.31662 # DEPENDENCYPART_ARC
(13,10),0.0354888 # DEPENDENCYPART_ARC
(13,11),1.11564 # DEPENDENCYPART_ARC
(13,12),1.63258 # DEPENDENCYPART_ARC
(13,14),-1.25791 # DEPENDENCYPART_ARC
(13,15),-1.95637 # DEPENDENCYPART_ARC
(13,16),-2.21289 # DEPENDENCYPART_ARC
(13,17),-0.44645 # DEPENDENCYPART_ARC
(13,18),-1.39431 # DEPENDENCYPART_ARC
(14,1),-1.0292 # DEPENDENCYPART_ARC
(14,2),-2.11907 # DEPENDENCYPART_ARC
(14,3),-1.59441 # DEPENDENCYPART_ARC
(14,4),-2.24463 # DEPENDENCYPART_ARC
(14,5),-0.36386 # DEPENDENCYPART_ARC
(14,6),0.213075 # DEPENDENCYPART_ARC
(14,7),-0.220626 # DEPENDENCYPART_ARC
(14,8),-1.54554 # DEPENDENCYPART_ARC
(14,9),-1.80899 # DEPENDENCYPART_ARC
(14,10),-0.6041 # DEPENDENCYPART_ARC
(14,11),0.476646 # DEPENDENCYPART_ARC
(14,12),-0.931345 # DEPENDENCYPART_ARC
(14,13),2.362 # DEPENDENCYPART_ARC
(14,15),2.03603 # DEPENDENCYPART_ARC
(14,16),1.18005 # DEPENDENCYPART_ARC
(14,17),0.469074 # DEPENDENCYPART_ARC
(15,3),-1.2078 # DEPENDENCYPART_ARC
(15,10),-1.03625 # DEPENDENCYPART_ARC
(15,12),-1.80483 # DEPENDENCYPART_ARC
(15,13),-0.242482 # DEPENDENCYPART_ARC
(15,16),-1.87866 # DEPENDENCYPART_ARC
(15,17),-2.67597 # DEPENDENCYPART_ARC
(16,1),-0.537135 # DEPENDENCYPART_ARC
(16,7),-1.49014 # DEPENDENCYPART_ARC
(16,9),-1.80747 # DEPENDENCYPART_ARC
(16,10),-1.19126 # DEPENDENCYPART_ARC
(16,11),-0.999397 # DEPENDENCYPART_ARC
(16,12),-1.50372 # DEPENDENCYPART_ARC
(16,13),-1.93193 # DEPENDENCYPART_ARC
(16,14),0.606509 # DEPENDENCYPART_ARC
(16,15),-1.42069 # DEPENDENCYPART_ARC
(16,17),2.92098 # DEPENDENCYPART_ARC
(16,18),-0.492896 # DEPENDENCYPART_ARC
(17,13),-2.87651 # DEPENDENCYPART_ARC
(17,14),-0.817297 # DEPENDENCYPART_ARC
(17,16),-1.05061 # DEPENDENCYPART_ARC
(17,18),1.71651 # DEPENDENCYPART_ARC
