# _root_ psnk uste du hori ez dela bidezkoa eta upn kritikatu du , enpresa pribatuetan hori bultzatzen ari_den bitartean , publikoetan ez duelako oraindik ezarri .
#goldHeads=2,8,2,6,6,2,6,0,10,8,10,11,16,13,16,17,24,17,18,24,24,24,24,10,24,
#predictedHeads=8,6,2,6,6,8,6,10,10,0,10,11,16,13,13,17,18,24,18,24,24,24,24,10,24,
(17,11),-1.00757 # DEPENDENCYPART_ARC
(17,13),-0.00877174 # DEPENDENCYPART_ARC
(17,14),-1.95365 # DEPENDENCYPART_ARC
(17,15),-0.369208 # DEPENDENCYPART_ARC
(17,16),1.13886 # DEPENDENCYPART_ARC
(17,18),0.160962 # DEPENDENCYPART_ARC
(17,20),-0.707372 # DEPENDENCYPART_ARC
(17,21),-1.18755 # DEPENDENCYPART_ARC
(17,22),-1.66665 # DEPENDENCYPART_ARC
(17,24),-0.171871 # DEPENDENCYPART_ARC
(18,7),-2.49771 # DEPENDENCYPART_ARC
(18,8),-0.866632 # DEPENDENCYPART_ARC
(18,10),-1.48989 # DEPENDENCYPART_ARC
(18,12),-1.66021 # DEPENDENCYPART_ARC
(18,13),-0.750685 # DEPENDENCYPART_ARC
(18,14),-3.24655 # DEPENDENCYPART_ARC
(18,15),-3.50023 # DEPENDENCYPART_ARC
(18,16),-0.165296 # DEPENDENCYPART_ARC
(18,17),1.47022 # DEPENDENCYPART_ARC
(18,19),1.14084 # DEPENDENCYPART_ARC
(18,20),-2.45276 # DEPENDENCYPART_ARC
(18,21),-1.96898 # DEPENDENCYPART_ARC
(18,22),-3.73513 # DEPENDENCYPART_ARC
(18,23),-1.16682 # DEPENDENCYPART_ARC
(18,24),-1.20845 # DEPENDENCYPART_ARC
(18,25),-0.779551 # DEPENDENCYPART_ARC
(19,16),-0.155979 # DEPENDENCYPART_ARC
(19,17),-0.224248 # DEPENDENCYPART_ARC
(19,20),-0.374815 # DEPENDENCYPART_ARC
(19,24),-0.81482 # DEPENDENCYPART_ARC
(20,18),-1.08014 # DEPENDENCYPART_ARC
(20,19),-0.234524 # DEPENDENCYPART_ARC
(20,21),-0.668346 # DEPENDENCYPART_ARC
(20,24),-1.66251 # DEPENDENCYPART_ARC
(21,18),-1.37782 # DEPENDENCYPART_ARC
(22,18),-1.50075 # DEPENDENCYPART_ARC
(22,20),-1.68036 # DEPENDENCYPART_ARC
(22,21),-0.590981 # DEPENDENCYPART_ARC
(22,23),-0.0640656 # DEPENDENCYPART_ARC
(23,25),-0.301342 # DEPENDENCYPART_ARC
(24,2),-0.756791 # DEPENDENCYPART_ARC
(24,6),-1.06704 # DEPENDENCYPART_ARC
(24,8),-0.383114 # DEPENDENCYPART_ARC
(24,9),0.18237 # DEPENDENCYPART_ARC
(24,10),-0.69717 # DEPENDENCYPART_ARC
(24,12),-1.10627 # DEPENDENCYPART_ARC
(24,13),0.0674354 # DEPENDENCYPART_ARC
(24,14),-0.702491 # DEPENDENCYPART_ARC
(24,15),-1.29878 # DEPENDENCYPART_ARC
(24,16),-0.291742 # DEPENDENCYPART_ARC
(24,17),-0.827515 # DEPENDENCYPART_ARC
(24,18),0.249267 # DEPENDENCYPART_ARC
(24,19),-0.914212 # DEPENDENCYPART_ARC
(24,20),-0.0910343 # DEPENDENCYPART_ARC
(24,21),1.0436 # DEPENDENCYPART_ARC
(24,22),0.440856 # DEPENDENCYPART_ARC
(24,23),1.26781 # DEPENDENCYPART_ARC
(24,25),1.86823 # DEPENDENCYPART_ARC
