# _root_ hala ekarri dituzte antton_lopez ruiz algecirastik langraizera , joxean etxebarri_aiesta jaendik langraizera , eta iñigo_azkue eta jose_antonio galarraga mansillatik langraizera .
#goldHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
#predictedHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
(3,1),-0.673844 # DEPENDENCYPART_ARC
(3,2),-0.254952 # DEPENDENCYPART_ARC
(3,4),-1.586 # DEPENDENCYPART_ARC
(3,6),-2.27262 # DEPENDENCYPART_ARC
(3,7),-2.74431 # DEPENDENCYPART_ARC
(3,14),-1.1861 # DEPENDENCYPART_ARC
(3,16),-1.42717 # DEPENDENCYPART_ARC
(4,2),-1.18093 # DEPENDENCYPART_ARC
(4,5),1.14232 # DEPENDENCYPART_ARC
(4,6),-0.277694 # DEPENDENCYPART_ARC
(5,2),-2.12442 # DEPENDENCYPART_ARC
(5,4),-0.23769 # DEPENDENCYPART_ARC
(5,6),-1.15892 # DEPENDENCYPART_ARC
(5,7),-2.29325 # DEPENDENCYPART_ARC
(6,2),-2.61954 # DEPENDENCYPART_ARC
(6,4),-0.922979 # DEPENDENCYPART_ARC
(6,5),-1.28286 # DEPENDENCYPART_ARC
(6,7),-1.74017 # DEPENDENCYPART_ARC
(6,10),-2.48623 # DEPENDENCYPART_ARC
(6,11),-3.60795 # DEPENDENCYPART_ARC
(7,5),-4.27776 # DEPENDENCYPART_ARC
(7,6),-2.51648 # DEPENDENCYPART_ARC
(7,8),1.36922 # DEPENDENCYPART_ARC
(7,10),-1.28543 # DEPENDENCYPART_ARC
(7,11),-2.63399 # DEPENDENCYPART_ARC
(7,12),-1.94355 # DEPENDENCYPART_ARC
(8,3),-1.22437 # DEPENDENCYPART_ARC
(8,4),-0.581963 # DEPENDENCYPART_ARC
(8,5),-0.581101 # DEPENDENCYPART_ARC
(8,14),-1.28598 # DEPENDENCYPART_ARC
(9,7),-2.91009 # DEPENDENCYPART_ARC
(9,8),-0.607472 # DEPENDENCYPART_ARC
(9,10),1.93683 # DEPENDENCYPART_ARC
(9,11),-0.00528045 # DEPENDENCYPART_ARC
(10,7),-4.20981 # DEPENDENCYPART_ARC
(10,8),-1.59973 # DEPENDENCYPART_ARC
(10,9),-0.175716 # DEPENDENCYPART_ARC
(10,11),-2.35147 # DEPENDENCYPART_ARC
(10,12),-2.49054 # DEPENDENCYPART_ARC
(10,14),-1.78412 # DEPENDENCYPART_ARC
(11,8),-1.8673 # DEPENDENCYPART_ARC
(11,9),-1.18345 # DEPENDENCYPART_ARC
(11,10),-0.334168 # DEPENDENCYPART_ARC
(11,12),-0.867381 # DEPENDENCYPART_ARC
(11,14),-1.97135 # DEPENDENCYPART_ARC
(11,16),-2.06284 # DEPENDENCYPART_ARC
(12,8),-2.02723 # DEPENDENCYPART_ARC
(12,10),-2.49737 # DEPENDENCYPART_ARC
(12,11),-2.35175 # DEPENDENCYPART_ARC
(12,13),1.36471 # DEPENDENCYPART_ARC
(12,14),-1.20427 # DEPENDENCYPART_ARC
(12,16),-1.56956 # DEPENDENCYPART_ARC
(13,4),-0.654279 # DEPENDENCYPART_ARC
(13,5),-0.713293 # DEPENDENCYPART_ARC
(13,9),-0.922802 # DEPENDENCYPART_ARC
(13,14),-0.820355 # DEPENDENCYPART_ARC
(13,16),-1.35541 # DEPENDENCYPART_ARC
(14,1),-0.685673 # DEPENDENCYPART_ARC
(14,2),-0.335451 # DEPENDENCYPART_ARC
(14,4),0.541162 # DEPENDENCYPART_ARC
(14,5),-0.614415 # DEPENDENCYPART_ARC
(14,6),-0.800912 # DEPENDENCYPART_ARC
(14,7),-0.611185 # DEPENDENCYPART_ARC
(14,9),0.206204 # DEPENDENCYPART_ARC
(14,10),-0.141909 # DEPENDENCYPART_ARC
(14,11),-0.241352 # DEPENDENCYPART_ARC
(14,12),0.0882764 # DEPENDENCYPART_ARC
(14,13),-0.413391 # DEPENDENCYPART_ARC
(14,15),-0.375692 # DEPENDENCYPART_ARC
(14,16),-0.29786 # DEPENDENCYPART_ARC
(14,17),-1.27527 # DEPENDENCYPART_ARC
(14,18),-0.594937 # DEPENDENCYPART_ARC
(15,17),0.0811065 # DEPENDENCYPART_ARC
(16,1),-1.53228 # DEPENDENCYPART_ARC
(16,2),-2.11205 # DEPENDENCYPART_ARC
(16,4),-0.0515772 # DEPENDENCYPART_ARC
(16,5),-1.31909 # DEPENDENCYPART_ARC
(16,6),-1.5738 # DEPENDENCYPART_ARC
(16,7),-0.901888 # DEPENDENCYPART_ARC
(16,9),-0.685372 # DEPENDENCYPART_ARC
(16,10),-1.09113 # DEPENDENCYPART_ARC
(16,11),-1.27209 # DEPENDENCYPART_ARC
(16,12),-0.6054 # DEPENDENCYPART_ARC
(16,13),-1.72044 # DEPENDENCYPART_ARC
(16,14),-0.762044 # DEPENDENCYPART_ARC
(16,15),2.51474 # DEPENDENCYPART_ARC
(16,17),1.50143 # DEPENDENCYPART_ARC
(16,18),0.254528 # DEPENDENCYPART_ARC
(16,19),-0.746508 # DEPENDENCYPART_ARC
(17,18),0.904486 # DEPENDENCYPART_ARC
(17,19),-0.18566 # DEPENDENCYPART_ARC
(18,17),-0.419863 # DEPENDENCYPART_ARC
(18,19),-0.282206 # DEPENDENCYPART_ARC
(18,20),-1.44789 # DEPENDENCYPART_ARC
(19,13),-2.23804 # DEPENDENCYPART_ARC
(19,17),-0.802401 # DEPENDENCYPART_ARC
(19,18),-0.848054 # DEPENDENCYPART_ARC
(19,20),-1.73662 # DEPENDENCYPART_ARC
(20,13),-2.35648 # DEPENDENCYPART_ARC
(20,18),-4.26978 # DEPENDENCYPART_ARC
(20,19),-2.66387 # DEPENDENCYPART_ARC
(20,21),1.41095 # DEPENDENCYPART_ARC
(21,14),-0.784621 # DEPENDENCYPART_ARC
(21,16),-1.03793 # DEPENDENCYPART_ARC
(21,19),-0.9459 # DEPENDENCYPART_ARC
