# _root_ 25 urtetik beherako gazteen langabezi tasa ebn %%16,2koa zen ekainean eta euro eremukoa %%17,2koa .
#goldHeads=2,4,2,6,6,9,9,9,11,9,0,13,11,11,14,
#predictedHeads=2,4,4,5,6,9,9,9,0,9,9,11,11,12,14,
(6,12),-1.7262 # DEPENDENCYPART_ARC
(6,13),-2.58171 # DEPENDENCYPART_ARC
(6,14),-3.65651 # DEPENDENCYPART_ARC
(6,15),-1.66975 # DEPENDENCYPART_ARC
(7,2),-3.5617 # DEPENDENCYPART_ARC
(7,3),-1.39307 # DEPENDENCYPART_ARC
(7,4),-1.21603 # DEPENDENCYPART_ARC
(7,5),-0.073487 # DEPENDENCYPART_ARC
(7,6),-1.3474 # DEPENDENCYPART_ARC
(7,8),0.20483 # DEPENDENCYPART_ARC
(7,9),-0.501386 # DEPENDENCYPART_ARC
(7,10),-1.65704 # DEPENDENCYPART_ARC
(7,11),-1.8989 # DEPENDENCYPART_ARC
(7,12),-1.32226 # DEPENDENCYPART_ARC
(7,13),-2.76398 # DEPENDENCYPART_ARC
(8,1),-0.735775 # DEPENDENCYPART_ARC
(8,2),-3.41224 # DEPENDENCYPART_ARC
(8,3),0.391398 # DEPENDENCYPART_ARC
(8,4),0.730524 # DEPENDENCYPART_ARC
(8,5),-0.353982 # DEPENDENCYPART_ARC
(8,6),-1.8164 # DEPENDENCYPART_ARC
(8,7),-2.81051 # DEPENDENCYPART_ARC
(8,9),-1.78983 # DEPENDENCYPART_ARC
(8,10),-2.80491 # DEPENDENCYPART_ARC
(8,11),-2.08247 # DEPENDENCYPART_ARC
(8,12),-0.947737 # DEPENDENCYPART_ARC
(8,13),-5.80717 # DEPENDENCYPART_ARC
(8,14),-5.63804 # DEPENDENCYPART_ARC
(8,15),-1.01541 # DEPENDENCYPART_ARC
(9,1),-0.897545 # DEPENDENCYPART_ARC
(9,2),-0.679928 # DEPENDENCYPART_ARC
(9,3),-1.24787 # DEPENDENCYPART_ARC
(9,4),-1.451 # DEPENDENCYPART_ARC
(9,5),-0.365793 # DEPENDENCYPART_ARC
(9,6),0.901499 # DEPENDENCYPART_ARC
(9,7),1.37785 # DEPENDENCYPART_ARC
(9,8),1.37692 # DEPENDENCYPART_ARC
(9,10),1.80249 # DEPENDENCYPART_ARC
(9,11),-0.322768 # DEPENDENCYPART_ARC
(9,12),-0.659057 # DEPENDENCYPART_ARC
(9,13),-0.286631 # DEPENDENCYPART_ARC
(9,14),-1.30172 # DEPENDENCYPART_ARC
(10,5),-1.4894 # DEPENDENCYPART_ARC
(10,6),-3.5049 # DEPENDENCYPART_ARC
(10,7),-3.69506 # DEPENDENCYPART_ARC
(10,8),-1.11232 # DEPENDENCYPART_ARC
(10,9),0.286726 # DEPENDENCYPART_ARC
(10,11),-0.645252 # DEPENDENCYPART_ARC
(10,12),-0.654493 # DEPENDENCYPART_ARC
(10,13),-1.78631 # DEPENDENCYPART_ARC
(10,14),-4.29606 # DEPENDENCYPART_ARC
(10,15),-1.2211 # DEPENDENCYPART_ARC
(11,1),-0.875051 # DEPENDENCYPART_ARC
(11,2),-1.45795 # DEPENDENCYPART_ARC
(11,3),-1.39903 # DEPENDENCYPART_ARC
(11,4),-1.26407 # DEPENDENCYPART_ARC
(11,5),-0.856256 # DEPENDENCYPART_ARC
(11,6),-0.849291 # DEPENDENCYPART_ARC
(11,7),-1.36147 # DEPENDENCYPART_ARC
(11,8),-0.531714 # DEPENDENCYPART_ARC
(11,9),-0.0450934 # DEPENDENCYPART_ARC
(11,10),1.42979 # DEPENDENCYPART_ARC
(11,12),1.5175 # DEPENDENCYPART_ARC
(11,13),1.8573 # DEPENDENCYPART_ARC
(11,14),-0.707076 # DEPENDENCYPART_ARC
(12,9),-2.30038 # DEPENDENCYPART_ARC
(12,10),-1.35559 # DEPENDENCYPART_ARC
(12,13),0.385039 # DEPENDENCYPART_ARC
(12,14),-0.00218536 # DEPENDENCYPART_ARC
(12,15),-0.8931 # DEPENDENCYPART_ARC
(13,3),-0.618249 # DEPENDENCYPART_ARC
(13,4),-0.95419 # DEPENDENCYPART_ARC
(13,5),-0.920548 # DEPENDENCYPART_ARC
(13,6),-4.69615 # DEPENDENCYPART_ARC
(13,7),-5.69992 # DEPENDENCYPART_ARC
(13,8),-3.18989 # DEPENDENCYPART_ARC
(13,9),-1.81767 # DEPENDENCYPART_ARC
(13,10),-2.33503 # DEPENDENCYPART_ARC
(13,11),0.526477 # DEPENDENCYPART_ARC
(13,12),1.30332 # DEPENDENCYPART_ARC
(13,14),-3.82874 # DEPENDENCYPART_ARC
(13,15),-0.976449 # DEPENDENCYPART_ARC
(14,10),-2.25187 # DEPENDENCYPART_ARC
(14,12),-1.06269 # DEPENDENCYPART_ARC
(14,13),-1.61317 # DEPENDENCYPART_ARC
(14,15),2.05479 # DEPENDENCYPART_ARC
(15,12),-0.804086 # DEPENDENCYPART_ARC
