# _root_ gainera , ez da kasu honetan bakarrik ezagutzen zientziaren praktika , baina gutxi_batzuek bakarrik ezagutzen dituzte zientzia horren oinarri diren lege eta arauak .
#goldHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
#predictedHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
(7,8),-0.413406 # DEPENDENCYPART_ARC
(7,9),-1.06091 # DEPENDENCYPART_ARC
(7,11),-0.665198 # DEPENDENCYPART_ARC
(8,1),-0.414992 # DEPENDENCYPART_ARC
(8,2),-1.18108 # DEPENDENCYPART_ARC
(8,3),1.00942 # DEPENDENCYPART_ARC
(8,4),0.721352 # DEPENDENCYPART_ARC
(8,5),0.974441 # DEPENDENCYPART_ARC
(8,6),0.0986573 # DEPENDENCYPART_ARC
(8,7),1.30514 # DEPENDENCYPART_ARC
(8,9),0.41497 # DEPENDENCYPART_ARC
(8,10),0.519716 # DEPENDENCYPART_ARC
(8,11),-0.357678 # DEPENDENCYPART_ARC
(8,12),-0.609169 # DEPENDENCYPART_ARC
(8,13),-0.112413 # DEPENDENCYPART_ARC
(8,14),-0.996744 # DEPENDENCYPART_ARC
(8,15),-0.865169 # DEPENDENCYPART_ARC
(8,16),-0.974432 # DEPENDENCYPART_ARC
(8,17),-1.33641 # DEPENDENCYPART_ARC
(8,19),-1.31399 # DEPENDENCYPART_ARC
(8,20),-1.25258 # DEPENDENCYPART_ARC
(8,21),-1.78197 # DEPENDENCYPART_ARC
(8,22),-0.523805 # DEPENDENCYPART_ARC
(8,23),-1.39606 # DEPENDENCYPART_ARC
(9,2),-1.82689 # DEPENDENCYPART_ARC
(9,5),-0.715372 # DEPENDENCYPART_ARC
(9,6),-3.04221 # DEPENDENCYPART_ARC
(9,7),-0.678616 # DEPENDENCYPART_ARC
(9,8),0.30228 # DEPENDENCYPART_ARC
(9,10),0.169798 # DEPENDENCYPART_ARC
(9,11),-0.235561 # DEPENDENCYPART_ARC
(9,13),-3.47994 # DEPENDENCYPART_ARC
(9,16),-3.1163 # DEPENDENCYPART_ARC
(10,5),-0.531327 # DEPENDENCYPART_ARC
(10,6),-3.37233 # DEPENDENCYPART_ARC
(10,7),-0.883732 # DEPENDENCYPART_ARC
(10,8),0.0130689 # DEPENDENCYPART_ARC
(10,9),1.53179 # DEPENDENCYPART_ARC
(10,11),1.19179 # DEPENDENCYPART_ARC
(10,12),-0.392562 # DEPENDENCYPART_ARC
(10,13),-3.66229 # DEPENDENCYPART_ARC
(10,14),-1.25937 # DEPENDENCYPART_ARC
(10,16),-3.18434 # DEPENDENCYPART_ARC
(10,20),-2.61616 # DEPENDENCYPART_ARC
(10,22),-1.56453 # DEPENDENCYPART_ARC
(11,8),-0.708293 # DEPENDENCYPART_ARC
(11,9),-0.78218 # DEPENDENCYPART_ARC
(11,12),-0.555688 # DEPENDENCYPART_ARC
(11,13),-1.62211 # DEPENDENCYPART_ARC
(12,3),-0.29354 # DEPENDENCYPART_ARC
(12,5),-0.647209 # DEPENDENCYPART_ARC
(12,6),-1.41411 # DEPENDENCYPART_ARC
(12,7),-0.282134 # DEPENDENCYPART_ARC
(12,8),0.329918 # DEPENDENCYPART_ARC
(12,9),-1.24362 # DEPENDENCYPART_ARC
(12,10),-0.903363 # DEPENDENCYPART_ARC
(12,11),-0.0124573 # DEPENDENCYPART_ARC
(12,13),-0.928744 # DEPENDENCYPART_ARC
(12,14),-0.684904 # DEPENDENCYPART_ARC
(12,15),0.196745 # DEPENDENCYPART_ARC
(12,16),-0.0945325 # DEPENDENCYPART_ARC
(12,17),-1.21939 # DEPENDENCYPART_ARC
(12,19),-0.412352 # DEPENDENCYPART_ARC
(12,20),0.274561 # DEPENDENCYPART_ARC
(12,21),-1.47501 # DEPENDENCYPART_ARC
(12,22),-0.702289 # DEPENDENCYPART_ARC
(12,23),-1.09679 # DEPENDENCYPART_ARC
(13,3),-0.648379 # DEPENDENCYPART_ARC
(13,12),-0.349579 # DEPENDENCYPART_ARC
(13,15),-1.82997 # DEPENDENCYPART_ARC
(14,1),-0.872311 # DEPENDENCYPART_ARC
(14,10),-1.1031 # DEPENDENCYPART_ARC
(14,12),-0.798019 # DEPENDENCYPART_ARC
(14,13),-0.321563 # DEPENDENCYPART_ARC
(14,15),-0.816276 # DEPENDENCYPART_ARC
(14,17),-1.1996 # DEPENDENCYPART_ARC
(14,19),-1.24792 # DEPENDENCYPART_ARC
(14,22),-1.21105 # DEPENDENCYPART_ARC
(15,1),-0.401945 # DEPENDENCYPART_ARC
(15,2),-1.38747 # DEPENDENCYPART_ARC
(15,3),-0.25979 # DEPENDENCYPART_ARC
(15,4),-0.0785741 # DEPENDENCYPART_ARC
(15,5),-0.380279 # DEPENDENCYPART_ARC
(15,6),-1.08547 # DEPENDENCYPART_ARC
(15,7),-0.658677 # DEPENDENCYPART_ARC
(15,8),-0.367533 # DEPENDENCYPART_ARC
(15,9),-1.02944 # DEPENDENCYPART_ARC
(15,10),0.346139 # DEPENDENCYPART_ARC
(15,11),-1.08024 # DEPENDENCYPART_ARC
(15,12),-0.138933 # DEPENDENCYPART_ARC
(15,13),0.990004 # DEPENDENCYPART_ARC
(15,14),0.988294 # DEPENDENCYPART_ARC
(15,16),1.68902 # DEPENDENCYPART_ARC
(15,17),0.87173 # DEPENDENCYPART_ARC
(15,18),-0.70111 # DEPENDENCYPART_ARC
(15,19),0.225672 # DEPENDENCYPART_ARC
(15,20),-0.387634 # DEPENDENCYPART_ARC
(15,21),-0.27148 # DEPENDENCYPART_ARC
(15,22),0.375797 # DEPENDENCYPART_ARC
(15,23),-0.18589 # DEPENDENCYPART_ARC
(16,14),-0.797188 # DEPENDENCYPART_ARC
(16,17),-1.59537 # DEPENDENCYPART_ARC
(16,20),-0.846632 # DEPENDENCYPART_ARC
(17,11),-1.84707 # DEPENDENCYPART_ARC
(17,12),-1.20955 # DEPENDENCYPART_ARC
(17,14),-1.16855 # DEPENDENCYPART_ARC
(17,15),0.136654 # DEPENDENCYPART_ARC
(17,16),-1.00979 # DEPENDENCYPART_ARC
(17,18),2.38153 # DEPENDENCYPART_ARC
(17,19),-0.0720526 # DEPENDENCYPART_ARC
(17,20),-1.80255 # DEPENDENCYPART_ARC
(17,21),-0.975869 # DEPENDENCYPART_ARC
(17,22),-0.875019 # DEPENDENCYPART_ARC
(17,23),-1.38516 # DEPENDENCYPART_ARC
(17,24),-0.781666 # DEPENDENCYPART_ARC
(18,15),-0.647248 # DEPENDENCYPART_ARC
(18,19),-0.375586 # DEPENDENCYPART_ARC
(18,21),-1.3925 # DEPENDENCYPART_ARC
(18,23),-1.83589 # DEPENDENCYPART_ARC
(19,14),-0.888353 # DEPENDENCYPART_ARC
(19,15),-0.336654 # DEPENDENCYPART_ARC
(19,17),0.974231 # DEPENDENCYPART_ARC
(19,18),0.348491 # DEPENDENCYPART_ARC
(19,20),-1.23248 # DEPENDENCYPART_ARC
(19,21),-0.957737 # DEPENDENCYPART_ARC
(19,23),-2.7837 # DEPENDENCYPART_ARC
(19,24),-1.27557 # DEPENDENCYPART_ARC
(20,5),-0.849806 # DEPENDENCYPART_ARC
(20,6),-2.09168 # DEPENDENCYPART_ARC
(20,7),-0.818529 # DEPENDENCYPART_ARC
(20,8),-1.0904 # DEPENDENCYPART_ARC
(20,9),-2.40514 # DEPENDENCYPART_ARC
(20,10),-1.02698 # DEPENDENCYPART_ARC
(20,11),-1.51306 # DEPENDENCYPART_ARC
(20,12),-1.39881 # DEPENDENCYPART_ARC
(20,14),-0.649923 # DEPENDENCYPART_ARC
(20,15),-0.473257 # DEPENDENCYPART_ARC
(20,16),-0.846284 # DEPENDENCYPART_ARC
(20,17),0.783316 # DEPENDENCYPART_ARC
(20,18),-1.31148 # DEPENDENCYPART_ARC
(20,19),1.76876 # DEPENDENCYPART_ARC
(20,21),0.288311 # DEPENDENCYPART_ARC
(20,22),-0.325243 # DEPENDENCYPART_ARC
(20,23),-0.943724 # DEPENDENCYPART_ARC
(21,17),-1.0788 # DEPENDENCYPART_ARC
(21,18),-0.941478 # DEPENDENCYPART_ARC
(21,19),-0.100331 # DEPENDENCYPART_ARC
(21,20),0.66562 # DEPENDENCYPART_ARC
(21,22),0.468511 # DEPENDENCYPART_ARC
(21,23),-0.363703 # DEPENDENCYPART_ARC
(21,24),-0.446366 # DEPENDENCYPART_ARC
(22,7),-0.864094 # DEPENDENCYPART_ARC
(22,8),-1.75903 # DEPENDENCYPART_ARC
(22,9),-1.77798 # DEPENDENCYPART_ARC
(22,10),-1.40714 # DEPENDENCYPART_ARC
(22,12),-0.636653 # DEPENDENCYPART_ARC
(22,14),-0.892865 # DEPENDENCYPART_ARC
(22,15),-0.786241 # DEPENDENCYPART_ARC
(22,16),-1.14469 # DEPENDENCYPART_ARC
(22,17),-0.54301 # DEPENDENCYPART_ARC
(22,18),-1.41426 # DEPENDENCYPART_ARC
(22,19),0.124176 # DEPENDENCYPART_ARC
(22,20),0.34733 # DEPENDENCYPART_ARC
(22,21),1.98342 # DEPENDENCYPART_ARC
(22,23),2.28917 # DEPENDENCYPART_ARC
(23,18),-1.95207 # DEPENDENCYPART_ARC
(23,21),-0.800111 # DEPENDENCYPART_ARC
(23,22),-0.325105 # DEPENDENCYPART_ARC
(23,24),1.34907 # DEPENDENCYPART_ARC
