# _root_ erresistentzia talde tipitan antolatzen zen han_hemenka , baina gure jendeak ez zuen apenas harmarik enperadoreari aurre_egiteko , eta bere harmada handiak bere larderia ezarri zuen nahinon .
#goldHeads=4,4,2,8,4,4,6,0,10,12,12,18,12,12,16,12,16,8,20,24,20,23,24,18,24,24,26,
#predictedHeads=4,4,2,8,4,4,6,0,10,12,12,8,12,12,16,18,16,0,20,24,20,23,24,18,24,24,26,
(4,14),-1.058 # DEPENDENCYPART_ARC
(4,15),-1.23291 # DEPENDENCYPART_ARC
(4,16),-0.285154 # DEPENDENCYPART_ARC
(4,18),-0.617896 # DEPENDENCYPART_ARC
(4,20),-1.61209 # DEPENDENCYPART_ARC
(4,23),-1.887 # DEPENDENCYPART_ARC
(4,24),-1.96498 # DEPENDENCYPART_ARC
(5,2),-0.859662 # DEPENDENCYPART_ARC
(5,3),-1.60153 # DEPENDENCYPART_ARC
(5,6),-0.172805 # DEPENDENCYPART_ARC
(6,1),-1.13725 # DEPENDENCYPART_ARC
(6,2),-1.00413 # DEPENDENCYPART_ARC
(6,7),1.5231 # DEPENDENCYPART_ARC
(7,5),-1.32507 # DEPENDENCYPART_ARC
(7,8),-0.705887 # DEPENDENCYPART_ARC
(8,1),-1.84735 # DEPENDENCYPART_ARC
(8,2),-0.909381 # DEPENDENCYPART_ARC
(8,4),0.798928 # DEPENDENCYPART_ARC
(8,5),-0.583221 # DEPENDENCYPART_ARC
(8,7),0.114442 # DEPENDENCYPART_ARC
(8,9),-0.287622 # DEPENDENCYPART_ARC
(8,10),-0.102378 # DEPENDENCYPART_ARC
(8,11),0.335118 # DEPENDENCYPART_ARC
(8,12),0.866797 # DEPENDENCYPART_ARC
(8,14),-0.569462 # DEPENDENCYPART_ARC
(8,15),-0.424109 # DEPENDENCYPART_ARC
(8,16),0.478675 # DEPENDENCYPART_ARC
(8,18),-0.45155 # DEPENDENCYPART_ARC
(8,20),-1.17464 # DEPENDENCYPART_ARC
(8,23),-0.767494 # DEPENDENCYPART_ARC
(8,24),0.282815 # DEPENDENCYPART_ARC
(9,10),-0.480826 # DEPENDENCYPART_ARC
(10,1),-2.34746 # DEPENDENCYPART_ARC
(10,3),-2.60627 # DEPENDENCYPART_ARC
(10,4),-1.2466 # DEPENDENCYPART_ARC
(10,7),-1.22645 # DEPENDENCYPART_ARC
(10,8),-0.791503 # DEPENDENCYPART_ARC
(10,9),1.94406 # DEPENDENCYPART_ARC
(10,11),-1.00661 # DEPENDENCYPART_ARC
(10,13),-1.21459 # DEPENDENCYPART_ARC
(11,10),-0.606561 # DEPENDENCYPART_ARC
(11,12),-1.10597 # DEPENDENCYPART_ARC
(11,14),-0.486248 # DEPENDENCYPART_ARC
(12,1),-0.550246 # DEPENDENCYPART_ARC
(12,2),-0.624713 # DEPENDENCYPART_ARC
(12,4),-0.500593 # DEPENDENCYPART_ARC
(12,7),-1.18993 # DEPENDENCYPART_ARC
(12,8),-0.94845 # DEPENDENCYPART_ARC
(12,9),-1.06992 # DEPENDENCYPART_ARC
(12,10),1.99607 # DEPENDENCYPART_ARC
(12,11),1.35215 # DEPENDENCYPART_ARC
(12,13),0.568295 # DEPENDENCYPART_ARC
(12,14),2.05794 # DEPENDENCYPART_ARC
(12,15),-1.65268 # DEPENDENCYPART_ARC
(12,16),0.299404 # DEPENDENCYPART_ARC
(12,18),-0.51749 # DEPENDENCYPART_ARC
(12,20),-0.64044 # DEPENDENCYPART_ARC
(12,23),-0.36725 # DEPENDENCYPART_ARC
(12,24),-0.584587 # DEPENDENCYPART_ARC
(13,12),-0.135819 # DEPENDENCYPART_ARC
(13,14),-0.214924 # DEPENDENCYPART_ARC
(13,15),-0.869946 # DEPENDENCYPART_ARC
(13,17),-0.504678 # DEPENDENCYPART_ARC
(13,20),-1.21772 # DEPENDENCYPART_ARC
(13,26),-1.25274 # DEPENDENCYPART_ARC
(14,3),-2.83627 # DEPENDENCYPART_ARC
(14,4),-1.85956 # DEPENDENCYPART_ARC
(14,7),-1.82983 # DEPENDENCYPART_ARC
(14,10),-2.76473 # DEPENDENCYPART_ARC
(14,11),-1.24313 # DEPENDENCYPART_ARC
(14,12),-1.11599 # DEPENDENCYPART_ARC
(14,13),-0.392085 # DEPENDENCYPART_ARC
(14,15),0.243793 # DEPENDENCYPART_ARC
(14,17),-0.830787 # DEPENDENCYPART_ARC
(14,19),-2.20192 # DEPENDENCYPART_ARC
(15,3),-2.94015 # DEPENDENCYPART_ARC
(15,8),-1.32653 # DEPENDENCYPART_ARC
(15,10),-3.78304 # DEPENDENCYPART_ARC
(15,11),-1.03181 # DEPENDENCYPART_ARC
(15,12),-1.60213 # DEPENDENCYPART_ARC
(15,13),-0.426419 # DEPENDENCYPART_ARC
(15,14),0.503308 # DEPENDENCYPART_ARC
(15,16),-2.02458 # DEPENDENCYPART_ARC
(15,17),-0.857001 # DEPENDENCYPART_ARC
(15,19),-3.33751 # DEPENDENCYPART_ARC
(15,20),-2.27628 # DEPENDENCYPART_ARC
(15,21),-2.4729 # DEPENDENCYPART_ARC
(15,22),-3.28005 # DEPENDENCYPART_ARC
(15,27),-1.5995 # DEPENDENCYPART_ARC
(16,1),-0.0787546 # DEPENDENCYPART_ARC
(16,2),-0.770697 # DEPENDENCYPART_ARC
(16,4),-1.39676 # DEPENDENCYPART_ARC
(16,8),-1.11284 # DEPENDENCYPART_ARC
(16,9),-1.59952 # DEPENDENCYPART_ARC
(16,10),-0.446012 # DEPENDENCYPART_ARC
(16,11),-0.239778 # DEPENDENCYPART_ARC
(16,12),-1.57169 # DEPENDENCYPART_ARC
(16,13),0.239785 # DEPENDENCYPART_ARC
(16,14),0.662243 # DEPENDENCYPART_ARC
(16,15),2.10137 # DEPENDENCYPART_ARC
(16,17),1.12768 # DEPENDENCYPART_ARC
(16,18),-0.78515 # DEPENDENCYPART_ARC
(16,20),-1.60696 # DEPENDENCYPART_ARC
(16,23),-2.68457 # DEPENDENCYPART_ARC
(16,24),-2.7043 # DEPENDENCYPART_ARC
(16,25),-3.52233 # DEPENDENCYPART_ARC
(17,15),-0.722234 # DEPENDENCYPART_ARC
(17,16),-0.285337 # DEPENDENCYPART_ARC
(17,18),-0.530865 # DEPENDENCYPART_ARC
(18,4),-0.6793 # DEPENDENCYPART_ARC
(18,8),0.0887219 # DEPENDENCYPART_ARC
(18,10),-0.92328 # DEPENDENCYPART_ARC
(18,11),-0.820983 # DEPENDENCYPART_ARC
(18,12),0.598802 # DEPENDENCYPART_ARC
(18,13),-0.429225 # DEPENDENCYPART_ARC
(18,14),-0.687142 # DEPENDENCYPART_ARC
(18,15),-0.497029 # DEPENDENCYPART_ARC
(18,16),1.02457 # DEPENDENCYPART_ARC
(18,17),-0.225735 # DEPENDENCYPART_ARC
(18,19),-0.836671 # DEPENDENCYPART_ARC
(18,20),0.0228347 # DEPENDENCYPART_ARC
(18,21),-0.0354934 # DEPENDENCYPART_ARC
(18,23),0.109055 # DEPENDENCYPART_ARC
(18,24),1.16512 # DEPENDENCYPART_ARC
(20,3),-2.23271 # DEPENDENCYPART_ARC
(20,15),-1.73674 # DEPENDENCYPART_ARC
(20,16),-1.98077 # DEPENDENCYPART_ARC
(20,17),-1.34269 # DEPENDENCYPART_ARC
(20,18),-0.724294 # DEPENDENCYPART_ARC
(20,19),0.989944 # DEPENDENCYPART_ARC
(20,21),2.07115 # DEPENDENCYPART_ARC
(20,22),0.577455 # DEPENDENCYPART_ARC
(20,23),-0.690483 # DEPENDENCYPART_ARC
(20,24),-1.31444 # DEPENDENCYPART_ARC
(20,25),-1.30943 # DEPENDENCYPART_ARC
(20,26),-0.874119 # DEPENDENCYPART_ARC
(20,27),-0.770457 # DEPENDENCYPART_ARC
(21,13),-0.626317 # DEPENDENCYPART_ARC
(21,18),-0.486636 # DEPENDENCYPART_ARC
(21,19),-0.344621 # DEPENDENCYPART_ARC
(21,20),0.0197638 # DEPENDENCYPART_ARC
(21,23),-1.89095 # DEPENDENCYPART_ARC
(21,24),-2.71476 # DEPENDENCYPART_ARC
(23,3),-2.57306 # DEPENDENCYPART_ARC
(23,14),-1.63722 # DEPENDENCYPART_ARC
(23,17),-1.51661 # DEPENDENCYPART_ARC
(23,20),0.3882 # DEPENDENCYPART_ARC
(23,21),-2.04097 # DEPENDENCYPART_ARC
(23,22),1.16429 # DEPENDENCYPART_ARC
(23,24),-1.61836 # DEPENDENCYPART_ARC
(23,25),-1.12704 # DEPENDENCYPART_ARC
(23,26),-1.1965 # DEPENDENCYPART_ARC
(23,27),-1.14588 # DEPENDENCYPART_ARC
(24,1),0.567775 # DEPENDENCYPART_ARC
(24,2),-0.266617 # DEPENDENCYPART_ARC
(24,4),-0.939434 # DEPENDENCYPART_ARC
(24,8),-0.924614 # DEPENDENCYPART_ARC
(24,10),0.890615 # DEPENDENCYPART_ARC
(24,11),-0.883472 # DEPENDENCYPART_ARC
(24,12),-1.64007 # DEPENDENCYPART_ARC
(24,13),-0.374948 # DEPENDENCYPART_ARC
(24,14),-0.27267 # DEPENDENCYPART_ARC
(24,15),0.649739 # DEPENDENCYPART_ARC
(24,16),0.0835073 # DEPENDENCYPART_ARC
(24,17),-1.39017 # DEPENDENCYPART_ARC
(24,18),-0.354478 # DEPENDENCYPART_ARC
(24,19),-1.52955 # DEPENDENCYPART_ARC
(24,20),0.732917 # DEPENDENCYPART_ARC
(24,21),-0.204899 # DEPENDENCYPART_ARC
(24,22),-1.27527 # DEPENDENCYPART_ARC
(24,23),2.34288 # DEPENDENCYPART_ARC
(24,25),1.47833 # DEPENDENCYPART_ARC
(24,26),0.884355 # DEPENDENCYPART_ARC
(25,23),-1.18224 # DEPENDENCYPART_ARC
(25,26),-0.309282 # DEPENDENCYPART_ARC
(26,23),-0.907198 # DEPENDENCYPART_ARC
(26,27),1.62317 # DEPENDENCYPART_ARC
