# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,3,7,3,6,7,10,7,8,0,12,14,12,10,0,17,10,17,
(6,3),-0.134261 # DEPENDENCYPART_ARC
(6,4),0.840827 # DEPENDENCYPART_ARC
(6,5),1.77624 # DEPENDENCYPART_ARC
(6,7),-1.17494 # DEPENDENCYPART_ARC
(6,8),-1.20011 # DEPENDENCYPART_ARC
(6,9),-1.011 # DEPENDENCYPART_ARC
(6,10),-1.18242 # DEPENDENCYPART_ARC
(6,11),-1.23016 # DEPENDENCYPART_ARC
(6,12),-1.14456 # DEPENDENCYPART_ARC
(6,14),-1.35679 # DEPENDENCYPART_ARC
(6,17),-1.73409 # DEPENDENCYPART_ARC
(6,18),-1.29098 # DEPENDENCYPART_ARC
(7,1),0.526222 # DEPENDENCYPART_ARC
(7,2),-1.67925 # DEPENDENCYPART_ARC
(7,3),0.415776 # DEPENDENCYPART_ARC
(7,4),-0.624367 # DEPENDENCYPART_ARC
(7,5),0.0611668 # DEPENDENCYPART_ARC
(7,6),2.27447 # DEPENDENCYPART_ARC
(7,8),1.51473 # DEPENDENCYPART_ARC
(7,9),-0.478117 # DEPENDENCYPART_ARC
(7,10),-0.328843 # DEPENDENCYPART_ARC
(7,11),-1.54705 # DEPENDENCYPART_ARC
(7,12),-0.525769 # DEPENDENCYPART_ARC
(7,13),-2.78276 # DEPENDENCYPART_ARC
(7,14),-1.02763 # DEPENDENCYPART_ARC
(7,16),-1.4847 # DEPENDENCYPART_ARC
(7,17),-0.305356 # DEPENDENCYPART_ARC
(8,3),-1.12923 # DEPENDENCYPART_ARC
(8,5),-0.904832 # DEPENDENCYPART_ARC
(8,6),-0.525601 # DEPENDENCYPART_ARC
(8,9),1.84887 # DEPENDENCYPART_ARC
(8,10),-1.43734 # DEPENDENCYPART_ARC
(8,11),-1.03868 # DEPENDENCYPART_ARC
(8,12),-1.58448 # DEPENDENCYPART_ARC
(9,3),-0.714056 # DEPENDENCYPART_ARC
(9,7),-0.611303 # DEPENDENCYPART_ARC
(9,8),-0.440073 # DEPENDENCYPART_ARC
(9,10),-0.655227 # DEPENDENCYPART_ARC
(9,12),-1.16073 # DEPENDENCYPART_ARC
(10,1),-0.933565 # DEPENDENCYPART_ARC
(10,3),-0.45011 # DEPENDENCYPART_ARC
(10,4),-1.12681 # DEPENDENCYPART_ARC
(10,5),-1.0802 # DEPENDENCYPART_ARC
(10,6),-0.1774 # DEPENDENCYPART_ARC
(10,7),1.60317 # DEPENDENCYPART_ARC
(10,8),-0.834873 # DEPENDENCYPART_ARC
(10,9),-0.490482 # DEPENDENCYPART_ARC
(10,11),-0.312896 # DEPENDENCYPART_ARC
(10,12),-0.385129 # DEPENDENCYPART_ARC
(10,13),-0.518187 # DEPENDENCYPART_ARC
(10,14),0.417297 # DEPENDENCYPART_ARC
(10,17),0.49754 # DEPENDENCYPART_ARC
(11,9),-2.25518 # DEPENDENCYPART_ARC
(11,12),0.0504627 # DEPENDENCYPART_ARC
(11,14),-1.08124 # DEPENDENCYPART_ARC
(12,1),-1.12326 # DEPENDENCYPART_ARC
(12,3),-1.08017 # DEPENDENCYPART_ARC
(12,4),-1.61276 # DEPENDENCYPART_ARC
(12,5),-1.71398 # DEPENDENCYPART_ARC
(12,6),-0.756145 # DEPENDENCYPART_ARC
(12,7),-0.287106 # DEPENDENCYPART_ARC
(12,8),-1.40562 # DEPENDENCYPART_ARC
(12,9),-1.61849 # DEPENDENCYPART_ARC
(12,10),-0.69878 # DEPENDENCYPART_ARC
(12,11),2.26345 # DEPENDENCYPART_ARC
(12,13),2.37376 # DEPENDENCYPART_ARC
(12,14),1.33116 # DEPENDENCYPART_ARC
(12,15),0.0772591 # DEPENDENCYPART_ARC
(12,16),-0.800534 # DEPENDENCYPART_ARC
(12,17),-0.0416275 # DEPENDENCYPART_ARC
(13,11),-1.89893 # DEPENDENCYPART_ARC
(13,14),-0.125191 # DEPENDENCYPART_ARC
(13,17),-2.78605 # DEPENDENCYPART_ARC
(14,4),-0.707008 # DEPENDENCYPART_ARC
(14,6),-1.5966 # DEPENDENCYPART_ARC
(14,7),-1.26966 # DEPENDENCYPART_ARC
(14,9),-1.43155 # DEPENDENCYPART_ARC
(14,10),-0.284065 # DEPENDENCYPART_ARC
(14,11),-0.375623 # DEPENDENCYPART_ARC
(14,12),0.887875 # DEPENDENCYPART_ARC
(14,13),1.99508 # DEPENDENCYPART_ARC
(14,15),-0.347637 # DEPENDENCYPART_ARC
(14,16),-0.635028 # DEPENDENCYPART_ARC
(14,17),-2.11705 # DEPENDENCYPART_ARC
(14,18),-1.07588 # DEPENDENCYPART_ARC
(15,7),-2.24165 # DEPENDENCYPART_ARC
(15,17),-0.9454 # DEPENDENCYPART_ARC
(16,12),-0.594158 # DEPENDENCYPART_ARC
(16,14),-0.523569 # DEPENDENCYPART_ARC
(16,15),-0.0467186 # DEPENDENCYPART_ARC
(16,17),0.365344 # DEPENDENCYPART_ARC
(16,18),0.107116 # DEPENDENCYPART_ARC
(17,1),-1.38811 # DEPENDENCYPART_ARC
(17,4),-2.09163 # DEPENDENCYPART_ARC
(17,5),-3.17397 # DEPENDENCYPART_ARC
(17,6),-1.64402 # DEPENDENCYPART_ARC
(17,7),-0.727578 # DEPENDENCYPART_ARC
(17,9),-1.77415 # DEPENDENCYPART_ARC
(17,10),-0.419394 # DEPENDENCYPART_ARC
(17,11),-1.06138 # DEPENDENCYPART_ARC
(17,12),-0.330657 # DEPENDENCYPART_ARC
(17,13),-1.83643 # DEPENDENCYPART_ARC
(17,14),-0.00598037 # DEPENDENCYPART_ARC
(17,15),-0.41498 # DEPENDENCYPART_ARC
(17,16),0.994759 # DEPENDENCYPART_ARC
(17,18),1.89457 # DEPENDENCYPART_ARC
(18,14),-1.374 # DEPENDENCYPART_ARC
