# _root_ zergatik oroitu behar_zuen nitaz , bere bizitzan_zehar , gainean eta azpian izandako ehundaka haietariko beste bat gehiago ez banintz bezala ? .
#goldHeads=3,3,0,2,4,7,3,7,10,12,10,16,14,16,16,19,16,19,3,19,20,21,
#predictedHeads=2,3,0,2,4,7,3,7,10,2,10,14,12,15,16,17,19,19,10,19,20,21,
(12,10),0.461743 # DEPENDENCYPART_ARC
(12,11),1.9702 # DEPENDENCYPART_ARC
(12,13),0.344203 # DEPENDENCYPART_ARC
(12,14),-1.43196 # DEPENDENCYPART_ARC
(12,15),-0.871671 # DEPENDENCYPART_ARC
(12,16),-1.24623 # DEPENDENCYPART_ARC
(12,17),-1.64854 # DEPENDENCYPART_ARC
(12,18),-0.698827 # DEPENDENCYPART_ARC
(12,19),-0.718609 # DEPENDENCYPART_ARC
(12,20),-0.695369 # DEPENDENCYPART_ARC
(13,10),-0.304837 # DEPENDENCYPART_ARC
(13,11),-0.471785 # DEPENDENCYPART_ARC
(13,16),-0.209065 # DEPENDENCYPART_ARC
(14,12),0.26233 # DEPENDENCYPART_ARC
(14,15),0.0535335 # DEPENDENCYPART_ARC
(14,17),-1.66989 # DEPENDENCYPART_ARC
(15,13),-0.663355 # DEPENDENCYPART_ARC
(15,14),0.0306159 # DEPENDENCYPART_ARC
(15,16),0.0183667 # DEPENDENCYPART_ARC
(16,15),0.829475 # DEPENDENCYPART_ARC
(16,17),0.505334 # DEPENDENCYPART_ARC
(16,19),-0.649835 # DEPENDENCYPART_ARC
(17,15),-0.285908 # DEPENDENCYPART_ARC
(17,16),0.190645 # DEPENDENCYPART_ARC
(17,18),0.756496 # DEPENDENCYPART_ARC
(18,11),-1.87331 # DEPENDENCYPART_ARC
(18,19),-0.961002 # DEPENDENCYPART_ARC
(19,2),-1.25237 # DEPENDENCYPART_ARC
(19,7),-1.12743 # DEPENDENCYPART_ARC
(19,9),-1.29934 # DEPENDENCYPART_ARC
(19,10),-1.15665 # DEPENDENCYPART_ARC
(19,11),-0.963072 # DEPENDENCYPART_ARC
(19,12),-1.39147 # DEPENDENCYPART_ARC
(19,14),-1.20897 # DEPENDENCYPART_ARC
(19,15),-0.340406 # DEPENDENCYPART_ARC
(19,16),-0.391425 # DEPENDENCYPART_ARC
(19,17),0.222327 # DEPENDENCYPART_ARC
(19,18),1.22156 # DEPENDENCYPART_ARC
(19,20),1.68183 # DEPENDENCYPART_ARC
(20,19),-0.341216 # DEPENDENCYPART_ARC
(20,21),1.40534 # DEPENDENCYPART_ARC
(20,22),0.105519 # DEPENDENCYPART_ARC
(21,22),1.76497 # DEPENDENCYPART_ARC
