# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,0,4,5,10,10,10,11,4,13,14,11,14,14,16,0,23,19,23,23,11,23,
(7,8),-0.133826 # DEPENDENCYPART_ARC
(7,9),-0.853426 # DEPENDENCYPART_ARC
(7,12),-2.60171 # DEPENDENCYPART_ARC
(8,1),-1.00367 # DEPENDENCYPART_ARC
(8,2),-2.60355 # DEPENDENCYPART_ARC
(8,3),-1.52287 # DEPENDENCYPART_ARC
(8,4),-1.2872 # DEPENDENCYPART_ARC
(8,6),-1.32927 # DEPENDENCYPART_ARC
(8,7),-0.449265 # DEPENDENCYPART_ARC
(8,9),0.0338343 # DEPENDENCYPART_ARC
(8,12),-1.9107 # DEPENDENCYPART_ARC
(9,7),-0.64462 # DEPENDENCYPART_ARC
(9,8),-0.255253 # DEPENDENCYPART_ARC
(9,10),-0.430209 # DEPENDENCYPART_ARC
(9,12),-0.975342 # DEPENDENCYPART_ARC
(9,21),-0.978719 # DEPENDENCYPART_ARC
(9,22),-1.1167 # DEPENDENCYPART_ARC
(10,2),-0.187859 # DEPENDENCYPART_ARC
(10,3),-0.20259 # DEPENDENCYPART_ARC
(10,4),-0.362367 # DEPENDENCYPART_ARC
(10,5),-0.897102 # DEPENDENCYPART_ARC
(10,6),-1.36186 # DEPENDENCYPART_ARC
(10,7),1.19657 # DEPENDENCYPART_ARC
(10,8),1.90208 # DEPENDENCYPART_ARC
(10,9),1.42041 # DEPENDENCYPART_ARC
(10,11),0.0431057 # DEPENDENCYPART_ARC
(10,12),-0.941479 # DEPENDENCYPART_ARC
(10,13),-0.656133 # DEPENDENCYPART_ARC
(10,14),-1.04538 # DEPENDENCYPART_ARC
(10,15),0.137228 # DEPENDENCYPART_ARC
(10,16),-0.594188 # DEPENDENCYPART_ARC
(10,17),-1.2012 # DEPENDENCYPART_ARC
(10,20),-1.84749 # DEPENDENCYPART_ARC
(10,21),-1.72186 # DEPENDENCYPART_ARC
(10,22),-1.96646 # DEPENDENCYPART_ARC
(10,23),-1.356 # DEPENDENCYPART_ARC
(11,1),-0.984572 # DEPENDENCYPART_ARC
(11,2),-1.08587 # DEPENDENCYPART_ARC
(11,3),-0.713016 # DEPENDENCYPART_ARC
(11,4),0.075028 # DEPENDENCYPART_ARC
(11,5),-1.30049 # DEPENDENCYPART_ARC
(11,6),-1.61623 # DEPENDENCYPART_ARC
(11,7),-0.497758 # DEPENDENCYPART_ARC
(11,8),-0.386654 # DEPENDENCYPART_ARC
(11,9),-0.370116 # DEPENDENCYPART_ARC
(11,10),2.04814 # DEPENDENCYPART_ARC
(11,12),-0.479571 # DEPENDENCYPART_ARC
(11,13),0.13803 # DEPENDENCYPART_ARC
(11,14),0.824074 # DEPENDENCYPART_ARC
(11,15),-0.611635 # DEPENDENCYPART_ARC
(11,16),-0.790386 # DEPENDENCYPART_ARC
(11,17),-0.870569 # DEPENDENCYPART_ARC
(11,19),-1.8296 # DEPENDENCYPART_ARC
(11,23),0.243603 # DEPENDENCYPART_ARC
(12,10),-1.16419 # DEPENDENCYPART_ARC
(12,11),-0.902158 # DEPENDENCYPART_ARC
(12,13),0.765674 # DEPENDENCYPART_ARC
(12,15),-2.26318 # DEPENDENCYPART_ARC
(12,24),-1.2866 # DEPENDENCYPART_ARC
(13,3),-1.28373 # DEPENDENCYPART_ARC
(13,4),-2.02426 # DEPENDENCYPART_ARC
(13,6),-1.62121 # DEPENDENCYPART_ARC
(13,7),-3.03529 # DEPENDENCYPART_ARC
(13,8),-3.39196 # DEPENDENCYPART_ARC
(13,9),-0.881383 # DEPENDENCYPART_ARC
(13,10),-0.557256 # DEPENDENCYPART_ARC
(13,11),-0.0901354 # DEPENDENCYPART_ARC
(13,12),1.62955 # DEPENDENCYPART_ARC
(13,14),-0.9588 # DEPENDENCYPART_ARC
(13,15),-2.01317 # DEPENDENCYPART_ARC
(13,18),-1.03603 # DEPENDENCYPART_ARC
(13,24),-1.28872 # DEPENDENCYPART_ARC
(14,2),-1.04383 # DEPENDENCYPART_ARC
(14,3),-1.13903 # DEPENDENCYPART_ARC
(14,4),-0.654875 # DEPENDENCYPART_ARC
(14,5),-1.05351 # DEPENDENCYPART_ARC
(14,6),-1.86398 # DEPENDENCYPART_ARC
(14,7),0.477307 # DEPENDENCYPART_ARC
(14,8),-0.0617256 # DEPENDENCYPART_ARC
(14,9),-0.409744 # DEPENDENCYPART_ARC
(14,10),-0.575793 # DEPENDENCYPART_ARC
(14,11),-0.0244989 # DEPENDENCYPART_ARC
(14,12),-0.198304 # DEPENDENCYPART_ARC
(14,13),1.9679 # DEPENDENCYPART_ARC
(14,15),1.97031 # DEPENDENCYPART_ARC
(14,16),0.845376 # DEPENDENCYPART_ARC
(14,17),-0.854854 # DEPENDENCYPART_ARC
(14,18),-0.829587 # DEPENDENCYPART_ARC
(14,19),-1.00181 # DEPENDENCYPART_ARC
(14,20),-1.95114 # DEPENDENCYPART_ARC
(14,21),-1.03628 # DEPENDENCYPART_ARC
(14,22),-1.31855 # DEPENDENCYPART_ARC
(14,23),-0.201658 # DEPENDENCYPART_ARC
(15,13),-0.947581 # DEPENDENCYPART_ARC
(15,16),-2.24023 # DEPENDENCYPART_ARC
(16,10),-0.609979 # DEPENDENCYPART_ARC
(16,11),-0.582627 # DEPENDENCYPART_ARC
(16,12),-0.192135 # DEPENDENCYPART_ARC
(16,13),-1.47342 # DEPENDENCYPART_ARC
(16,14),0.867485 # DEPENDENCYPART_ARC
(16,15),-0.787201 # DEPENDENCYPART_ARC
(16,17),1.3479 # DEPENDENCYPART_ARC
(16,18),-0.326114 # DEPENDENCYPART_ARC
(16,19),-1.5214 # DEPENDENCYPART_ARC
(16,20),-1.58133 # DEPENDENCYPART_ARC
(16,21),-1.0897 # DEPENDENCYPART_ARC
(16,22),-1.44014 # DEPENDENCYPART_ARC
(16,23),-0.95603 # DEPENDENCYPART_ARC
(16,24),-0.881061 # DEPENDENCYPART_ARC
(17,14),-0.461586 # DEPENDENCYPART_ARC
(17,15),-1.02186 # DEPENDENCYPART_ARC
(17,19),-1.32962 # DEPENDENCYPART_ARC
(17,20),-1.06191 # DEPENDENCYPART_ARC
(18,10),-1.4552 # DEPENDENCYPART_ARC
(18,14),-0.927616 # DEPENDENCYPART_ARC
(18,17),-0.887985 # DEPENDENCYPART_ARC
(18,19),-0.77315 # DEPENDENCYPART_ARC
(18,23),-0.565376 # DEPENDENCYPART_ARC
(19,14),-0.768385 # DEPENDENCYPART_ARC
(19,16),-2.2091 # DEPENDENCYPART_ARC
(19,17),-1.05262 # DEPENDENCYPART_ARC
(19,20),2.27162 # DEPENDENCYPART_ARC
(19,21),-0.0989439 # DEPENDENCYPART_ARC
(19,22),-0.41131 # DEPENDENCYPART_ARC
(19,23),-0.633151 # DEPENDENCYPART_ARC
(19,24),-0.758342 # DEPENDENCYPART_ARC
(20,13),-1.85265 # DEPENDENCYPART_ARC
(20,16),-1.6834 # DEPENDENCYPART_ARC
(20,19),0.0874379 # DEPENDENCYPART_ARC
(20,21),-0.0783341 # DEPENDENCYPART_ARC
(20,22),-1.14588 # DEPENDENCYPART_ARC
(20,23),-1.64192 # DEPENDENCYPART_ARC
(21,16),-1.2419 # DEPENDENCYPART_ARC
(21,18),-0.654712 # DEPENDENCYPART_ARC
(21,19),-0.806531 # DEPENDENCYPART_ARC
(21,22),-0.0453748 # DEPENDENCYPART_ARC
(22,18),-0.773767 # DEPENDENCYPART_ARC
(22,19),-0.916358 # DEPENDENCYPART_ARC
(22,21),0.221594 # DEPENDENCYPART_ARC
(22,23),-0.240016 # DEPENDENCYPART_ARC
(22,24),-0.0996579 # DEPENDENCYPART_ARC
(23,2),-1.39549 # DEPENDENCYPART_ARC
(23,3),-0.358229 # DEPENDENCYPART_ARC
(23,4),-0.928607 # DEPENDENCYPART_ARC
(23,7),-0.551868 # DEPENDENCYPART_ARC
(23,8),-0.150908 # DEPENDENCYPART_ARC
(23,9),-0.298982 # DEPENDENCYPART_ARC
(23,10),-1.04922 # DEPENDENCYPART_ARC
(23,11),-0.349925 # DEPENDENCYPART_ARC
(23,12),-1.12565 # DEPENDENCYPART_ARC
(23,13),-0.161273 # DEPENDENCYPART_ARC
(23,14),-0.382788 # DEPENDENCYPART_ARC
(23,15),-0.685021 # DEPENDENCYPART_ARC
(23,16),0.0106145 # DEPENDENCYPART_ARC
(23,17),-1.27099 # DEPENDENCYPART_ARC
(23,18),0.63566 # DEPENDENCYPART_ARC
(23,19),0.595455 # DEPENDENCYPART_ARC
(23,20),-0.0473862 # DEPENDENCYPART_ARC
(23,21),0.556114 # DEPENDENCYPART_ARC
(23,22),1.19971 # DEPENDENCYPART_ARC
(23,24),1.89937 # DEPENDENCYPART_ARC
