# _root_ " garai benetan korapilatsu eta zailak bizitzen ari_gara , eta ezin_dugu horrela bizitzen jarraitu , elkarrekin bizitzen ikasi behar_dugu .
#goldHeads=0,7,4,5,2,5,8,10,8,0,10,13,14,11,14,17,18,19,10,19,
#predictedHeads=0,7,4,5,14,5,8,10,8,0,10,13,14,11,14,17,18,19,0,19,
(13,5),-0.28779 # DEPENDENCYPART_ARC
(13,6),-1.5008 # DEPENDENCYPART_ARC
(13,7),0.243302 # DEPENDENCYPART_ARC
(13,8),-1.56647 # DEPENDENCYPART_ARC
(13,9),-1.23436 # DEPENDENCYPART_ARC
(13,10),-0.220052 # DEPENDENCYPART_ARC
(13,11),-0.776983 # DEPENDENCYPART_ARC
(13,12),1.09647 # DEPENDENCYPART_ARC
(13,14),0.879581 # DEPENDENCYPART_ARC
(13,15),-0.0994841 # DEPENDENCYPART_ARC
(13,17),-0.33172 # DEPENDENCYPART_ARC
(13,18),-1.28896 # DEPENDENCYPART_ARC
(13,19),-1.00734 # DEPENDENCYPART_ARC
(14,2),-1.11764 # DEPENDENCYPART_ARC
(14,3),-0.98825 # DEPENDENCYPART_ARC
(14,4),-0.893321 # DEPENDENCYPART_ARC
(14,5),0.37282 # DEPENDENCYPART_ARC
(14,6),-1.02371 # DEPENDENCYPART_ARC
(14,7),0.0132081 # DEPENDENCYPART_ARC
(14,8),-0.849862 # DEPENDENCYPART_ARC
(14,9),-1.142 # DEPENDENCYPART_ARC
(14,10),0.406527 # DEPENDENCYPART_ARC
(14,11),0.0489083 # DEPENDENCYPART_ARC
(14,12),0.468236 # DEPENDENCYPART_ARC
(14,13),1.32113 # DEPENDENCYPART_ARC
(14,15),1.40685 # DEPENDENCYPART_ARC
(14,17),-0.179893 # DEPENDENCYPART_ARC
(14,18),-0.323587 # DEPENDENCYPART_ARC
(14,19),-1.18401 # DEPENDENCYPART_ARC
(15,14),-0.350047 # DEPENDENCYPART_ARC
(15,17),-0.773009 # DEPENDENCYPART_ARC
(15,19),-0.435954 # DEPENDENCYPART_ARC
(17,4),-1.25839 # DEPENDENCYPART_ARC
(17,5),-0.465317 # DEPENDENCYPART_ARC
(17,6),-1.86207 # DEPENDENCYPART_ARC
(17,7),-0.279837 # DEPENDENCYPART_ARC
(17,8),-2.18672 # DEPENDENCYPART_ARC
(17,9),-1.26877 # DEPENDENCYPART_ARC
(17,10),-0.502566 # DEPENDENCYPART_ARC
(17,11),-2.17733 # DEPENDENCYPART_ARC
(17,12),-0.789188 # DEPENDENCYPART_ARC
(17,13),0.0580031 # DEPENDENCYPART_ARC
(17,14),-0.314008 # DEPENDENCYPART_ARC
(17,15),-0.866923 # DEPENDENCYPART_ARC
(17,16),2.16493 # DEPENDENCYPART_ARC
(17,18),0.109004 # DEPENDENCYPART_ARC
(17,19),-0.343192 # DEPENDENCYPART_ARC
(18,4),-1.08274 # DEPENDENCYPART_ARC
(18,5),0.180766 # DEPENDENCYPART_ARC
(18,6),-1.25721 # DEPENDENCYPART_ARC
(18,8),-1.13715 # DEPENDENCYPART_ARC
(18,10),0.0581162 # DEPENDENCYPART_ARC
(18,11),-0.454792 # DEPENDENCYPART_ARC
(18,12),-0.742643 # DEPENDENCYPART_ARC
(18,13),-0.206071 # DEPENDENCYPART_ARC
(18,14),-0.127812 # DEPENDENCYPART_ARC
(18,15),-0.713132 # DEPENDENCYPART_ARC
(18,16),1.18559 # DEPENDENCYPART_ARC
(18,17),1.70799 # DEPENDENCYPART_ARC
(18,19),-0.461394 # DEPENDENCYPART_ARC
(18,20),0.202112 # DEPENDENCYPART_ARC
(19,3),-1.73394 # DEPENDENCYPART_ARC
(19,5),-0.558354 # DEPENDENCYPART_ARC
(19,7),-0.0737033 # DEPENDENCYPART_ARC
(19,10),-0.501671 # DEPENDENCYPART_ARC
(19,12),-0.879051 # DEPENDENCYPART_ARC
(19,13),-0.386315 # DEPENDENCYPART_ARC
(19,14),-0.0490809 # DEPENDENCYPART_ARC
(19,17),1.01949 # DEPENDENCYPART_ARC
(19,18),1.71607 # DEPENDENCYPART_ARC
(19,20),2.19963 # DEPENDENCYPART_ARC
(20,18),-1.19771 # DEPENDENCYPART_ARC
