# _root_ bestalde , benegasek eajko buruzagiei aurkeztu zien proposamena duela bi aste , iñaki_anasagastik atzo jakitera_eman zuenez .
#goldHeads=0,3,6,5,6,0,6,6,6,11,9,11,15,15,6,15,16,
#predictedHeads=0,3,6,5,6,0,6,9,6,11,9,11,15,15,6,15,16,
(6,16),-0.597878 # DEPENDENCYPART_ARC
(7,3),-2.2363 # DEPENDENCYPART_ARC
(7,4),-2.32575 # DEPENDENCYPART_ARC
(7,5),-1.97226 # DEPENDENCYPART_ARC
(7,8),-1.26804 # DEPENDENCYPART_ARC
(7,9),-1.48176 # DEPENDENCYPART_ARC
(7,16),-0.254425 # DEPENDENCYPART_ARC
(8,2),-1.47074 # DEPENDENCYPART_ARC
(8,3),-3.45158 # DEPENDENCYPART_ARC
(8,4),-0.249291 # DEPENDENCYPART_ARC
(8,5),-2.48367 # DEPENDENCYPART_ARC
(8,6),0.632543 # DEPENDENCYPART_ARC
(8,7),-1.06987 # DEPENDENCYPART_ARC
(8,9),-1.17649 # DEPENDENCYPART_ARC
(8,10),-2.61833 # DEPENDENCYPART_ARC
(8,13),-3.10743 # DEPENDENCYPART_ARC
(8,14),-1.51265 # DEPENDENCYPART_ARC
(8,15),-1.56243 # DEPENDENCYPART_ARC
(9,2),-1.88019 # DEPENDENCYPART_ARC
(9,3),-1.36854 # DEPENDENCYPART_ARC
(9,4),-0.576707 # DEPENDENCYPART_ARC
(9,5),-0.834308 # DEPENDENCYPART_ARC
(9,6),-0.579756 # DEPENDENCYPART_ARC
(9,7),-0.809264 # DEPENDENCYPART_ARC
(9,8),2.12693 # DEPENDENCYPART_ARC
(9,10),-0.600124 # DEPENDENCYPART_ARC
(9,11),1.52234 # DEPENDENCYPART_ARC
(9,12),-0.493017 # DEPENDENCYPART_ARC
(9,13),-2.17896 # DEPENDENCYPART_ARC
(9,14),-0.986467 # DEPENDENCYPART_ARC
(9,15),-0.494245 # DEPENDENCYPART_ARC
(9,16),-1.65417 # DEPENDENCYPART_ARC
(10,8),-1.07844 # DEPENDENCYPART_ARC
(10,9),-0.419436 # DEPENDENCYPART_ARC
(10,11),-0.215475 # DEPENDENCYPART_ARC
(11,4),0.494762 # DEPENDENCYPART_ARC
(11,5),-1.8826 # DEPENDENCYPART_ARC
(11,6),-0.763272 # DEPENDENCYPART_ARC
(11,8),-1.40278 # DEPENDENCYPART_ARC
(11,9),0.341319 # DEPENDENCYPART_ARC
(11,10),2.44938 # DEPENDENCYPART_ARC
(11,12),1.25787 # DEPENDENCYPART_ARC
(11,13),-1.74723 # DEPENDENCYPART_ARC
(11,14),-0.99437 # DEPENDENCYPART_ARC
(11,15),-0.701621 # DEPENDENCYPART_ARC
(11,16),-0.63926 # DEPENDENCYPART_ARC
(11,17),-0.570546 # DEPENDENCYPART_ARC
(12,3),-0.580919 # DEPENDENCYPART_ARC
(12,4),-0.608021 # DEPENDENCYPART_ARC
(12,7),-1.15904 # DEPENDENCYPART_ARC
(12,9),-0.0815206 # DEPENDENCYPART_ARC
(12,11),-0.176097 # DEPENDENCYPART_ARC
(12,15),-0.848848 # DEPENDENCYPART_ARC
(13,11),-2.8549 # DEPENDENCYPART_ARC
(13,12),-0.708719 # DEPENDENCYPART_ARC
(13,14),0.25184 # DEPENDENCYPART_ARC
(13,15),-1.14288 # DEPENDENCYPART_ARC
(14,1),-0.879768 # DEPENDENCYPART_ARC
(14,11),-1.13061 # DEPENDENCYPART_ARC
(15,1),-1.04929 # DEPENDENCYPART_ARC
(15,3),-0.444761 # DEPENDENCYPART_ARC
(15,4),-1.915 # DEPENDENCYPART_ARC
(15,5),0.0638076 # DEPENDENCYPART_ARC
(15,6),-0.35528 # DEPENDENCYPART_ARC
(15,7),-0.42248 # DEPENDENCYPART_ARC
(15,8),-0.772874 # DEPENDENCYPART_ARC
(15,9),0.106217 # DEPENDENCYPART_ARC
(15,10),-0.868189 # DEPENDENCYPART_ARC
(15,11),-0.697972 # DEPENDENCYPART_ARC
(15,13),1.17 # DEPENDENCYPART_ARC
(15,14),1.00136 # DEPENDENCYPART_ARC
(15,16),1.39607 # DEPENDENCYPART_ARC
(16,3),-1.43283 # DEPENDENCYPART_ARC
(16,11),-1.47875 # DEPENDENCYPART_ARC
(16,13),-1.57093 # DEPENDENCYPART_ARC
(16,14),-0.760451 # DEPENDENCYPART_ARC
(16,17),1.81876 # DEPENDENCYPART_ARC
