# _root_ gasteizko_udaleko alderdi guztietako ordezkariek , ehkoak izan_ezik , isilean iragan zituzten bilkurak iraun zituen hamabost minutuak ;
#goldHeads=2,4,2,7,4,7,10,7,10,0,10,13,16,13,16,10,16,
#predictedHeads=4,4,2,10,4,12,6,7,10,12,10,13,0,13,16,13,16,
(7,10),-0.571178 # DEPENDENCYPART_ARC
(7,11),-0.235973 # DEPENDENCYPART_ARC
(7,12),0.554786 # DEPENDENCYPART_ARC
(7,13),-1.38314 # DEPENDENCYPART_ARC
(7,15),-0.533211 # DEPENDENCYPART_ARC
(7,16),-0.459515 # DEPENDENCYPART_ARC
(8,10),-1.27088 # DEPENDENCYPART_ARC
(8,13),-1.47394 # DEPENDENCYPART_ARC
(9,4),-1.2514 # DEPENDENCYPART_ARC
(9,7),-0.717911 # DEPENDENCYPART_ARC
(9,8),-0.112915 # DEPENDENCYPART_ARC
(9,10),-0.593924 # DEPENDENCYPART_ARC
(9,12),-0.979124 # DEPENDENCYPART_ARC
(9,16),-1.04383 # DEPENDENCYPART_ARC
(10,1),-0.304616 # DEPENDENCYPART_ARC
(10,2),-0.648875 # DEPENDENCYPART_ARC
(10,3),-2.32215 # DEPENDENCYPART_ARC
(10,4),0.152655 # DEPENDENCYPART_ARC
(10,5),-1.6316 # DEPENDENCYPART_ARC
(10,6),-0.106174 # DEPENDENCYPART_ARC
(10,7),-0.167266 # DEPENDENCYPART_ARC
(10,8),-1.19234 # DEPENDENCYPART_ARC
(10,9),0.924244 # DEPENDENCYPART_ARC
(10,11),1.65208 # DEPENDENCYPART_ARC
(10,12),0.548921 # DEPENDENCYPART_ARC
(10,13),-0.536276 # DEPENDENCYPART_ARC
(10,14),-0.78474 # DEPENDENCYPART_ARC
(10,15),-0.855705 # DEPENDENCYPART_ARC
(10,16),-0.5769 # DEPENDENCYPART_ARC
(11,7),-1.32337 # DEPENDENCYPART_ARC
(11,9),-0.942044 # DEPENDENCYPART_ARC
(11,12),-1.04564 # DEPENDENCYPART_ARC
(11,13),-1.85172 # DEPENDENCYPART_ARC
(11,14),-1.37015 # DEPENDENCYPART_ARC
(11,16),-2.71829 # DEPENDENCYPART_ARC
(12,1),0.162916 # DEPENDENCYPART_ARC
(12,2),-1.49874 # DEPENDENCYPART_ARC
(12,4),-2.05394 # DEPENDENCYPART_ARC
(12,5),-1.41383 # DEPENDENCYPART_ARC
(12,6),0.0536826 # DEPENDENCYPART_ARC
(12,7),-0.649101 # DEPENDENCYPART_ARC
(12,8),-1.22976 # DEPENDENCYPART_ARC
(12,9),-0.865563 # DEPENDENCYPART_ARC
(12,10),0.780477 # DEPENDENCYPART_ARC
(12,11),-0.80903 # DEPENDENCYPART_ARC
(12,13),-0.922468 # DEPENDENCYPART_ARC
(12,14),-1.11694 # DEPENDENCYPART_ARC
(12,15),-2.27614 # DEPENDENCYPART_ARC
(12,16),-1.82701 # DEPENDENCYPART_ARC
(13,1),-0.841512 # DEPENDENCYPART_ARC
(13,2),-1.16337 # DEPENDENCYPART_ARC
(13,4),-0.466234 # DEPENDENCYPART_ARC
(13,5),-1.52625 # DEPENDENCYPART_ARC
(13,6),-0.5635 # DEPENDENCYPART_ARC
(13,7),-0.278249 # DEPENDENCYPART_ARC
(13,8),-1.44897 # DEPENDENCYPART_ARC
(13,9),-0.19636 # DEPENDENCYPART_ARC
(13,10),0.330022 # DEPENDENCYPART_ARC
(13,11),-0.903178 # DEPENDENCYPART_ARC
(13,12),1.91324 # DEPENDENCYPART_ARC
(13,14),1.57649 # DEPENDENCYPART_ARC
(13,15),-0.172437 # DEPENDENCYPART_ARC
(13,16),0.794273 # DEPENDENCYPART_ARC
(14,1),-1.02939 # DEPENDENCYPART_ARC
(14,4),-1.38196 # DEPENDENCYPART_ARC
(14,12),-0.68652 # DEPENDENCYPART_ARC
(14,16),-1.88027 # DEPENDENCYPART_ARC
(15,9),-0.889715 # DEPENDENCYPART_ARC
(15,12),-1.2933 # DEPENDENCYPART_ARC
(15,13),-0.880269 # DEPENDENCYPART_ARC
(15,16),-0.062759 # DEPENDENCYPART_ARC
(16,1),0.14877 # DEPENDENCYPART_ARC
(16,2),-1.24418 # DEPENDENCYPART_ARC
(16,6),-1.37706 # DEPENDENCYPART_ARC
(16,7),-0.798956 # DEPENDENCYPART_ARC
(16,9),-1.04452 # DEPENDENCYPART_ARC
(16,10),-0.877386 # DEPENDENCYPART_ARC
(16,12),-1.65458 # DEPENDENCYPART_ARC
(16,13),-0.204645 # DEPENDENCYPART_ARC
(16,14),-1.32398 # DEPENDENCYPART_ARC
(16,15),1.85707 # DEPENDENCYPART_ARC
(16,17),0.907771 # DEPENDENCYPART_ARC
(17,10),-0.52681 # DEPENDENCYPART_ARC
(17,13),-0.702606 # DEPENDENCYPART_ARC
