# _root_ aparicio ez zen atzoko bileran izan , haren menpeko juan chozas_lan idazkaria baizik , eta chozasek auzia bideratu beharra dagoela onartu du .
#goldHeads=6,6,6,5,6,13,6,9,12,12,10,13,15,13,0,21,18,19,20,21,15,21,22,
#predictedHeads=6,6,6,5,6,13,6,9,10,12,10,13,18,13,0,18,18,19,20,21,15,21,22,
(6,12),-0.215822 # DEPENDENCYPART_ARC
(6,13),-0.720418 # DEPENDENCYPART_ARC
(6,14),-0.435209 # DEPENDENCYPART_ARC
(6,15),-1.25513 # DEPENDENCYPART_ARC
(6,17),-1.18503 # DEPENDENCYPART_ARC
(6,18),-0.6511 # DEPENDENCYPART_ARC
(6,19),-1.46167 # DEPENDENCYPART_ARC
(6,20),-0.78206 # DEPENDENCYPART_ARC
(6,21),-1.27896 # DEPENDENCYPART_ARC
(6,22),-1.67888 # DEPENDENCYPART_ARC
(7,1),-0.792922 # DEPENDENCYPART_ARC
(7,3),-0.927124 # DEPENDENCYPART_ARC
(7,5),-0.40296 # DEPENDENCYPART_ARC
(7,6),0.0700335 # DEPENDENCYPART_ARC
(7,21),-1.78448 # DEPENDENCYPART_ARC
(8,6),-0.812962 # DEPENDENCYPART_ARC
(8,7),-0.123454 # DEPENDENCYPART_ARC
(8,9),-0.282602 # DEPENDENCYPART_ARC
(8,11),-0.995606 # DEPENDENCYPART_ARC
(8,18),-0.952512 # DEPENDENCYPART_ARC
(8,21),-1.44743 # DEPENDENCYPART_ARC
(9,4),-1.63214 # DEPENDENCYPART_ARC
(9,5),-1.07114 # DEPENDENCYPART_ARC
(9,6),-1.01554 # DEPENDENCYPART_ARC
(9,7),-1.31645 # DEPENDENCYPART_ARC
(9,8),0.775933 # DEPENDENCYPART_ARC
(9,10),0.466728 # DEPENDENCYPART_ARC
(9,11),-0.396579 # DEPENDENCYPART_ARC
(9,12),-0.840808 # DEPENDENCYPART_ARC
(10,9),0.301505 # DEPENDENCYPART_ARC
(10,11),1.43953 # DEPENDENCYPART_ARC
(10,12),0.339136 # DEPENDENCYPART_ARC
(10,17),-0.388157 # DEPENDENCYPART_ARC
(10,20),-1.18585 # DEPENDENCYPART_ARC
(11,7),-2.41311 # DEPENDENCYPART_ARC
(11,8),-1.53277 # DEPENDENCYPART_ARC
(11,9),-0.384367 # DEPENDENCYPART_ARC
(11,10),0.520264 # DEPENDENCYPART_ARC
(11,12),1.01405 # DEPENDENCYPART_ARC
(11,13),-0.312041 # DEPENDENCYPART_ARC
(11,14),-0.59605 # DEPENDENCYPART_ARC
(11,16),0.668257 # DEPENDENCYPART_ARC
(12,7),-1.90917 # DEPENDENCYPART_ARC
(12,8),-1.51151 # DEPENDENCYPART_ARC
(12,9),-0.55516 # DEPENDENCYPART_ARC
(12,10),1.06808 # DEPENDENCYPART_ARC
(12,11),1.14215 # DEPENDENCYPART_ARC
(12,13),-0.0792452 # DEPENDENCYPART_ARC
(12,14),-0.846394 # DEPENDENCYPART_ARC
(12,15),-1.52964 # DEPENDENCYPART_ARC
(12,16),-1.20212 # DEPENDENCYPART_ARC
(12,17),-1.90233 # DEPENDENCYPART_ARC
(13,1),-1.58554 # DEPENDENCYPART_ARC
(13,4),-0.881997 # DEPENDENCYPART_ARC
(13,5),-1.60786 # DEPENDENCYPART_ARC
(13,6),-0.0955426 # DEPENDENCYPART_ARC
(13,8),-1.59545 # DEPENDENCYPART_ARC
(13,9),-0.144546 # DEPENDENCYPART_ARC
(13,10),-0.357945 # DEPENDENCYPART_ARC
(13,11),-0.121654 # DEPENDENCYPART_ARC
(13,12),0.47901 # DEPENDENCYPART_ARC
(13,14),1.5384 # DEPENDENCYPART_ARC
(13,15),-0.26744 # DEPENDENCYPART_ARC
(13,16),0.578539 # DEPENDENCYPART_ARC
(13,17),0.409861 # DEPENDENCYPART_ARC
(13,18),-1.17541 # DEPENDENCYPART_ARC
(13,19),-0.173535 # DEPENDENCYPART_ARC
(13,20),-0.678616 # DEPENDENCYPART_ARC
(13,21),-1.23286 # DEPENDENCYPART_ARC
(14,15),-1.05007 # DEPENDENCYPART_ARC
(14,20),-1.6707 # DEPENDENCYPART_ARC
(15,1),-1.02006 # DEPENDENCYPART_ARC
(15,4),-0.952992 # DEPENDENCYPART_ARC
(15,5),-1.55015 # DEPENDENCYPART_ARC
(15,6),-0.505572 # DEPENDENCYPART_ARC
(15,8),-0.997999 # DEPENDENCYPART_ARC
(15,9),-0.646334 # DEPENDENCYPART_ARC
(15,10),-0.634971 # DEPENDENCYPART_ARC
(15,11),-0.427119 # DEPENDENCYPART_ARC
(15,12),0.365312 # DEPENDENCYPART_ARC
(15,13),0.119677 # DEPENDENCYPART_ARC
(15,14),-0.29013 # DEPENDENCYPART_ARC
(15,16),0.0388328 # DEPENDENCYPART_ARC
(15,17),0.13477 # DEPENDENCYPART_ARC
(15,18),0.0877279 # DEPENDENCYPART_ARC
(15,19),-0.36793 # DEPENDENCYPART_ARC
(15,20),0.158116 # DEPENDENCYPART_ARC
(15,21),0.569577 # DEPENDENCYPART_ARC
(16,17),-0.988252 # DEPENDENCYPART_ARC
(16,18),-1.58255 # DEPENDENCYPART_ARC
(16,19),-2.5358 # DEPENDENCYPART_ARC
(17,12),-2.11232 # DEPENDENCYPART_ARC
(17,13),-0.554614 # DEPENDENCYPART_ARC
(17,14),-1.2459 # DEPENDENCYPART_ARC
(17,15),-0.495275 # DEPENDENCYPART_ARC
(17,16),-1.31858 # DEPENDENCYPART_ARC
(17,18),-0.190083 # DEPENDENCYPART_ARC
(17,19),-1.09665 # DEPENDENCYPART_ARC
(17,20),-1.74078 # DEPENDENCYPART_ARC
(17,22),-1.87828 # DEPENDENCYPART_ARC
(17,23),-1.35816 # DEPENDENCYPART_ARC
(18,1),-0.726354 # DEPENDENCYPART_ARC
(18,4),-0.822115 # DEPENDENCYPART_ARC
(18,5),0.678549 # DEPENDENCYPART_ARC
(18,6),-1.06903 # DEPENDENCYPART_ARC
(18,7),-2.18451 # DEPENDENCYPART_ARC
(18,8),-1.29359 # DEPENDENCYPART_ARC
(18,9),-0.646187 # DEPENDENCYPART_ARC
(18,10),-0.56547 # DEPENDENCYPART_ARC
(18,11),-0.749613 # DEPENDENCYPART_ARC
(18,12),-0.667854 # DEPENDENCYPART_ARC
(18,13),0.127947 # DEPENDENCYPART_ARC
(18,14),-1.56976 # DEPENDENCYPART_ARC
(18,15),-0.183268 # DEPENDENCYPART_ARC
(18,16),1.33375 # DEPENDENCYPART_ARC
(18,17),2.72332 # DEPENDENCYPART_ARC
(18,19),1.12313 # DEPENDENCYPART_ARC
(18,20),0.320585 # DEPENDENCYPART_ARC
(18,21),-0.137042 # DEPENDENCYPART_ARC
(18,22),0.0103035 # DEPENDENCYPART_ARC
(19,13),-1.04014 # DEPENDENCYPART_ARC
(19,14),-1.45617 # DEPENDENCYPART_ARC
(19,15),-0.872708 # DEPENDENCYPART_ARC
(19,16),-2.74663 # DEPENDENCYPART_ARC
(19,17),-1.57491 # DEPENDENCYPART_ARC
(19,18),1.58371 # DEPENDENCYPART_ARC
(19,20),-0.169478 # DEPENDENCYPART_ARC
(19,21),-2.17985 # DEPENDENCYPART_ARC
(19,22),-1.59384 # DEPENDENCYPART_ARC
(19,23),-1.0676 # DEPENDENCYPART_ARC
(20,4),-1.1756 # DEPENDENCYPART_ARC
(20,5),-1.41254 # DEPENDENCYPART_ARC
(20,6),-1.29419 # DEPENDENCYPART_ARC
(20,8),-1.77907 # DEPENDENCYPART_ARC
(20,9),-1.47943 # DEPENDENCYPART_ARC
(20,10),-0.942102 # DEPENDENCYPART_ARC
(20,11),-1.4367 # DEPENDENCYPART_ARC
(20,12),-0.0207021 # DEPENDENCYPART_ARC
(20,13),-0.372166 # DEPENDENCYPART_ARC
(20,14),-1.03859 # DEPENDENCYPART_ARC
(20,15),-0.0935394 # DEPENDENCYPART_ARC
(20,16),-0.0439831 # DEPENDENCYPART_ARC
(20,17),1.43624 # DEPENDENCYPART_ARC
(20,18),0.928669 # DEPENDENCYPART_ARC
(20,19),3.17403 # DEPENDENCYPART_ARC
(20,21),-1.01615 # DEPENDENCYPART_ARC
(20,22),-1.28233 # DEPENDENCYPART_ARC
(21,1),-0.524614 # DEPENDENCYPART_ARC
(21,4),-1.40547 # DEPENDENCYPART_ARC
(21,5),0.931323 # DEPENDENCYPART_ARC
(21,6),-1.3625 # DEPENDENCYPART_ARC
(21,7),-1.8923 # DEPENDENCYPART_ARC
(21,8),-1.48319 # DEPENDENCYPART_ARC
(21,9),-0.549497 # DEPENDENCYPART_ARC
(21,10),-0.791413 # DEPENDENCYPART_ARC
(21,11),-0.876326 # DEPENDENCYPART_ARC
(21,12),-0.782052 # DEPENDENCYPART_ARC
(21,13),-0.356996 # DEPENDENCYPART_ARC
(21,15),-0.332163 # DEPENDENCYPART_ARC
(21,16),0.52699 # DEPENDENCYPART_ARC
(21,17),0.228419 # DEPENDENCYPART_ARC
(21,18),0.205722 # DEPENDENCYPART_ARC
(21,19),0.979775 # DEPENDENCYPART_ARC
(21,20),1.63142 # DEPENDENCYPART_ARC
(21,22),1.66739 # DEPENDENCYPART_ARC
(21,23),0.161187 # DEPENDENCYPART_ARC
(22,19),-1.39061 # DEPENDENCYPART_ARC
(22,21),-1.86963 # DEPENDENCYPART_ARC
(22,23),1.79636 # DEPENDENCYPART_ARC
