# _root_ kadira bat zuhirin mortziloekin , ispilu handi bat argazkiz estalia , altzari zurrun batzuk ( )
#goldHeads=5,1,1,3,0,5,6,6,10,6,10,5,12,12,0,0,
#predictedHeads=3,1,15,3,4,9,6,6,10,3,10,10,12,12,0,0,
(9,13),-1.58197 # DEPENDENCYPART_ARC
(9,14),-2.32743 # DEPENDENCYPART_ARC
(10,1),-1.01979 # DEPENDENCYPART_ARC
(10,3),-1.08227 # DEPENDENCYPART_ARC
(10,4),-1.49155 # DEPENDENCYPART_ARC
(10,5),-1.44393 # DEPENDENCYPART_ARC
(10,6),-0.604409 # DEPENDENCYPART_ARC
(10,7),-0.379898 # DEPENDENCYPART_ARC
(10,8),-0.740612 # DEPENDENCYPART_ARC
(10,9),0.526678 # DEPENDENCYPART_ARC
(10,11),1.04864 # DEPENDENCYPART_ARC
(10,12),-0.713948 # DEPENDENCYPART_ARC
(10,13),-1.31602 # DEPENDENCYPART_ARC
(10,14),-2.5043 # DEPENDENCYPART_ARC
(11,9),-0.514712 # DEPENDENCYPART_ARC
(11,10),-0.139446 # DEPENDENCYPART_ARC
(11,12),-0.90881 # DEPENDENCYPART_ARC
(11,13),-0.701869 # DEPENDENCYPART_ARC
(11,14),-1.04835 # DEPENDENCYPART_ARC
(12,1),-1.84752 # DEPENDENCYPART_ARC
(12,4),-1.48787 # DEPENDENCYPART_ARC
(12,5),-1.94394 # DEPENDENCYPART_ARC
(12,7),-1.4138 # DEPENDENCYPART_ARC
(12,8),-1.40654 # DEPENDENCYPART_ARC
(12,9),-1.09343 # DEPENDENCYPART_ARC
(12,10),-0.372441 # DEPENDENCYPART_ARC
(12,11),-0.59345 # DEPENDENCYPART_ARC
(12,13),2.06613 # DEPENDENCYPART_ARC
(12,14),1.46251 # DEPENDENCYPART_ARC
(13,3),-1.58671 # DEPENDENCYPART_ARC
(13,6),-1.40185 # DEPENDENCYPART_ARC
(13,9),-1.23235 # DEPENDENCYPART_ARC
(13,10),-1.28478 # DEPENDENCYPART_ARC
(13,12),0.0998284 # DEPENDENCYPART_ARC
(13,14),0.46448 # DEPENDENCYPART_ARC
(14,12),-0.65627 # DEPENDENCYPART_ARC
(14,13),-0.704354 # DEPENDENCYPART_ARC
(14,15),1.07165 # DEPENDENCYPART_ARC
(15,1),-1.03911 # DEPENDENCYPART_ARC
(15,3),-1.04741 # DEPENDENCYPART_ARC
(15,6),-1.32379 # DEPENDENCYPART_ARC
(15,9),-1.25978 # DEPENDENCYPART_ARC
(15,12),-1.19007 # DEPENDENCYPART_ARC
(15,16),0.154402 # DEPENDENCYPART_ARC
(16,9),-1.22777 # DEPENDENCYPART_ARC
(16,12),-1.37798 # DEPENDENCYPART_ARC
