# _root_ adierazi zuenez , " oso erantzun ona " jaso du orain_arte egindako sinadura bilketak , eta hori oso itxaropentsua da .
#goldHeads=16,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
#predictedHeads=9,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
(8,9),-1.07244 # DEPENDENCYPART_ARC
(8,10),-0.621144 # DEPENDENCYPART_ARC
(9,1),1.1592 # DEPENDENCYPART_ARC
(9,2),-0.976192 # DEPENDENCYPART_ARC
(9,3),-0.470737 # DEPENDENCYPART_ARC
(9,5),0.29343 # DEPENDENCYPART_ARC
(9,6),0.686903 # DEPENDENCYPART_ARC
(9,7),0.0511582 # DEPENDENCYPART_ARC
(9,10),1.43831 # DEPENDENCYPART_ARC
(9,11),0.353236 # DEPENDENCYPART_ARC
(9,12),-0.246715 # DEPENDENCYPART_ARC
(9,13),0.0847291 # DEPENDENCYPART_ARC
(9,14),1.48463 # DEPENDENCYPART_ARC
(9,15),-0.298377 # DEPENDENCYPART_ARC
(9,16),-0.483798 # DEPENDENCYPART_ARC
(9,18),-1.04391 # DEPENDENCYPART_ARC
(9,19),-0.713976 # DEPENDENCYPART_ARC
(9,20),-0.572261 # DEPENDENCYPART_ARC
(10,11),-0.426039 # DEPENDENCYPART_ARC
(10,12),-1.82168 # DEPENDENCYPART_ARC
(12,1),-0.610045 # DEPENDENCYPART_ARC
(12,2),-1.81706 # DEPENDENCYPART_ARC
(12,3),-1.17889 # DEPENDENCYPART_ARC
(12,5),-0.676221 # DEPENDENCYPART_ARC
(12,6),-0.484218 # DEPENDENCYPART_ARC
(12,7),-0.610807 # DEPENDENCYPART_ARC
(12,9),0.07449 # DEPENDENCYPART_ARC
(12,10),-0.395495 # DEPENDENCYPART_ARC
(12,11),1.30015 # DEPENDENCYPART_ARC
(12,13),-0.461798 # DEPENDENCYPART_ARC
(12,14),-1.5045 # DEPENDENCYPART_ARC
(12,15),-1.16251 # DEPENDENCYPART_ARC
(12,16),-1.24784 # DEPENDENCYPART_ARC
(12,18),-1.77975 # DEPENDENCYPART_ARC
(12,19),-2.56324 # DEPENDENCYPART_ARC
(12,20),-1.99726 # DEPENDENCYPART_ARC
(13,5),-1.65696 # DEPENDENCYPART_ARC
(13,7),-2.71782 # DEPENDENCYPART_ARC
(13,9),-0.923955 # DEPENDENCYPART_ARC
(13,11),-0.365171 # DEPENDENCYPART_ARC
(13,12),1.01202 # DEPENDENCYPART_ARC
(13,14),0.547082 # DEPENDENCYPART_ARC
(13,15),-0.0712762 # DEPENDENCYPART_ARC
(13,18),-1.02038 # DEPENDENCYPART_ARC
(13,19),-0.46049 # DEPENDENCYPART_ARC
(13,20),-1.46369 # DEPENDENCYPART_ARC
(13,21),-0.947358 # DEPENDENCYPART_ARC
(14,5),-1.2155 # DEPENDENCYPART_ARC
(14,6),-0.360151 # DEPENDENCYPART_ARC
(14,7),-2.45888 # DEPENDENCYPART_ARC
(14,9),-0.657194 # DEPENDENCYPART_ARC
(14,11),-0.266271 # DEPENDENCYPART_ARC
(14,12),1.66002 # DEPENDENCYPART_ARC
(14,13),1.52838 # DEPENDENCYPART_ARC
(14,15),1.21183 # DEPENDENCYPART_ARC
(14,16),-1.06459 # DEPENDENCYPART_ARC
(14,17),-2.73168 # DEPENDENCYPART_ARC
(14,18),-1.36623 # DEPENDENCYPART_ARC
(14,19),-1.91654 # DEPENDENCYPART_ARC
(14,20),-2.22999 # DEPENDENCYPART_ARC
(14,21),-1.05861 # DEPENDENCYPART_ARC
(15,10),-1.21388 # DEPENDENCYPART_ARC
(15,12),-0.516442 # DEPENDENCYPART_ARC
(15,13),-0.692832 # DEPENDENCYPART_ARC
(15,16),-0.647852 # DEPENDENCYPART_ARC
(15,20),-0.507139 # DEPENDENCYPART_ARC
(16,5),-0.637842 # DEPENDENCYPART_ARC
(16,6),-1.44126 # DEPENDENCYPART_ARC
(16,9),0.861733 # DEPENDENCYPART_ARC
(16,10),-0.979771 # DEPENDENCYPART_ARC
(16,12),0.157077 # DEPENDENCYPART_ARC
(16,13),-0.0554542 # DEPENDENCYPART_ARC
(16,14),-0.0609691 # DEPENDENCYPART_ARC
(16,15),-0.348308 # DEPENDENCYPART_ARC
(16,17),-0.951047 # DEPENDENCYPART_ARC
(16,18),-0.570169 # DEPENDENCYPART_ARC
(16,19),-0.170804 # DEPENDENCYPART_ARC
(16,20),1.27322 # DEPENDENCYPART_ARC
(17,16),-0.77437 # DEPENDENCYPART_ARC
(18,13),-1.26427 # DEPENDENCYPART_ARC
(18,14),-1.17349 # DEPENDENCYPART_ARC
(18,16),-0.889726 # DEPENDENCYPART_ARC
(18,17),-0.241107 # DEPENDENCYPART_ARC
(18,19),-0.36789 # DEPENDENCYPART_ARC
(19,13),-0.984412 # DEPENDENCYPART_ARC
(19,14),-1.70069 # DEPENDENCYPART_ARC
(19,16),-0.283881 # DEPENDENCYPART_ARC
(19,18),1.47355 # DEPENDENCYPART_ARC
(19,20),-0.672886 # DEPENDENCYPART_ARC
(20,1),0.0771894 # DEPENDENCYPART_ARC
(20,5),-1.07932 # DEPENDENCYPART_ARC
(20,6),-0.266094 # DEPENDENCYPART_ARC
(20,9),-0.263615 # DEPENDENCYPART_ARC
(20,12),-0.692478 # DEPENDENCYPART_ARC
(20,13),0.131374 # DEPENDENCYPART_ARC
(20,14),0.587816 # DEPENDENCYPART_ARC
(20,15),-1.18511 # DEPENDENCYPART_ARC
(20,16),-0.738052 # DEPENDENCYPART_ARC
(20,17),0.706721 # DEPENDENCYPART_ARC
(20,18),0.386637 # DEPENDENCYPART_ARC
(20,19),1.39107 # DEPENDENCYPART_ARC
(20,21),1.74316 # DEPENDENCYPART_ARC
