# _root_ jose_antonio_alvarez_kaperotxipik , afera daraman epaileak , castejonek " ez duela zerikusirik eta gaizki aholkatua " zegoela argudiatu du .
#goldHeads=17,1,4,5,1,5,10,7,10,12,10,17,14,16,14,12,0,17,18,
#predictedHeads=12,3,4,5,10,5,10,7,10,17,10,16,14,16,14,17,0,17,18,
(6,4),-0.113557 # DEPENDENCYPART_ARC
(7,5),-4.07327 # DEPENDENCYPART_ARC
(7,6),-0.193387 # DEPENDENCYPART_ARC
(7,8),1.25618 # DEPENDENCYPART_ARC
(7,10),-2.03863 # DEPENDENCYPART_ARC
(7,11),-1.71096 # DEPENDENCYPART_ARC
(7,16),-1.58627 # DEPENDENCYPART_ARC
(8,9),-0.698476 # DEPENDENCYPART_ARC
(8,17),-1.56725 # DEPENDENCYPART_ARC
(9,5),-0.912512 # DEPENDENCYPART_ARC
(9,10),-1.21786 # DEPENDENCYPART_ARC
(9,11),-0.918352 # DEPENDENCYPART_ARC
(9,14),-1.22658 # DEPENDENCYPART_ARC
(9,17),-1.22573 # DEPENDENCYPART_ARC
(10,1),-2.83401 # DEPENDENCYPART_ARC
(10,2),-1.53627 # DEPENDENCYPART_ARC
(10,3),0.181502 # DEPENDENCYPART_ARC
(10,4),-2.18122 # DEPENDENCYPART_ARC
(10,5),0.182749 # DEPENDENCYPART_ARC
(10,6),-1.35225 # DEPENDENCYPART_ARC
(10,7),0.887038 # DEPENDENCYPART_ARC
(10,9),0.911704 # DEPENDENCYPART_ARC
(10,11),2.58621 # DEPENDENCYPART_ARC
(10,12),0.432632 # DEPENDENCYPART_ARC
(10,13),-0.165616 # DEPENDENCYPART_ARC
(10,14),0.0476532 # DEPENDENCYPART_ARC
(10,16),-1.18064 # DEPENDENCYPART_ARC
(10,17),-1.48618 # DEPENDENCYPART_ARC
(10,18),-1.57097 # DEPENDENCYPART_ARC
(11,4),-1.43059 # DEPENDENCYPART_ARC
(11,6),-1.73799 # DEPENDENCYPART_ARC
(11,7),-2.29431 # DEPENDENCYPART_ARC
(11,9),-0.679954 # DEPENDENCYPART_ARC
(11,10),-0.831983 # DEPENDENCYPART_ARC
(11,12),-0.110587 # DEPENDENCYPART_ARC
(11,13),-0.769609 # DEPENDENCYPART_ARC
(11,14),-1.18814 # DEPENDENCYPART_ARC
(11,16),-2.02372 # DEPENDENCYPART_ARC
(11,18),-1.34013 # DEPENDENCYPART_ARC
(11,19),-1.39178 # DEPENDENCYPART_ARC
(12,1),-0.682861 # DEPENDENCYPART_ARC
(12,3),-0.867127 # DEPENDENCYPART_ARC
(12,4),-1.19795 # DEPENDENCYPART_ARC
(12,5),-0.839382 # DEPENDENCYPART_ARC
(12,7),-0.403703 # DEPENDENCYPART_ARC
(12,9),-1.0739 # DEPENDENCYPART_ARC
(12,10),-0.238269 # DEPENDENCYPART_ARC
(12,11),1.0806 # DEPENDENCYPART_ARC
(12,13),0.146278 # DEPENDENCYPART_ARC
(12,14),-0.351988 # DEPENDENCYPART_ARC
(12,16),0.115984 # DEPENDENCYPART_ARC
(12,17),-0.48908 # DEPENDENCYPART_ARC
(13,12),-1.02701 # DEPENDENCYPART_ARC
(13,14),-0.487987 # DEPENDENCYPART_ARC
(14,1),-2.60669 # DEPENDENCYPART_ARC
(14,2),-1.55782 # DEPENDENCYPART_ARC
(14,3),-2.42282 # DEPENDENCYPART_ARC
(14,4),-3.08006 # DEPENDENCYPART_ARC
(14,5),-1.69759 # DEPENDENCYPART_ARC
(14,6),-1.44039 # DEPENDENCYPART_ARC
(14,7),-1.39568 # DEPENDENCYPART_ARC
(14,9),-0.366635 # DEPENDENCYPART_ARC
(14,10),-1.42509 # DEPENDENCYPART_ARC
(14,11),-0.695266 # DEPENDENCYPART_ARC
(14,12),-0.0737763 # DEPENDENCYPART_ARC
(14,13),1.11686 # DEPENDENCYPART_ARC
(14,15),1.22641 # DEPENDENCYPART_ARC
(14,16),-1.55561 # DEPENDENCYPART_ARC
(14,17),-2.16375 # DEPENDENCYPART_ARC
(14,18),-1.58507 # DEPENDENCYPART_ARC
(15,17),-1.38209 # DEPENDENCYPART_ARC
(16,3),-0.202735 # DEPENDENCYPART_ARC
(16,4),-0.674069 # DEPENDENCYPART_ARC
(16,5),-0.57884 # DEPENDENCYPART_ARC
(16,6),-0.645521 # DEPENDENCYPART_ARC
(16,7),-0.249875 # DEPENDENCYPART_ARC
(16,9),0.0126812 # DEPENDENCYPART_ARC
(16,10),-0.556397 # DEPENDENCYPART_ARC
(16,11),-0.348885 # DEPENDENCYPART_ARC
(16,12),0.474049 # DEPENDENCYPART_ARC
(16,13),0.939814 # DEPENDENCYPART_ARC
(16,14),1.44881 # DEPENDENCYPART_ARC
(16,17),-0.486649 # DEPENDENCYPART_ARC
(16,18),-0.988397 # DEPENDENCYPART_ARC
(17,1),-1.24257 # DEPENDENCYPART_ARC
(17,2),-1.16655 # DEPENDENCYPART_ARC
(17,3),-1.42434 # DEPENDENCYPART_ARC
(17,4),-1.06056 # DEPENDENCYPART_ARC
(17,5),-0.496197 # DEPENDENCYPART_ARC
(17,6),-1.24044 # DEPENDENCYPART_ARC
(17,7),-0.420091 # DEPENDENCYPART_ARC
(17,9),-0.919835 # DEPENDENCYPART_ARC
(17,10),-0.088902 # DEPENDENCYPART_ARC
(17,11),-1.3952 # DEPENDENCYPART_ARC
(17,12),0.065975 # DEPENDENCYPART_ARC
(17,13),-0.30598 # DEPENDENCYPART_ARC
(17,14),-0.803487 # DEPENDENCYPART_ARC
(17,16),1.64127 # DEPENDENCYPART_ARC
(17,18),1.76369 # DEPENDENCYPART_ARC
(17,19),0.269231 # DEPENDENCYPART_ARC
(18,9),-1.76362 # DEPENDENCYPART_ARC
(18,19),1.8076 # DEPENDENCYPART_ARC
