# _root_ gobernuak , hilabete sari aurrezki planaren_bidez , pentsio fondoak " ehortzi " dituela zehaztu zuen .
#goldHeads=14,3,4,5,6,11,6,9,11,9,14,11,11,0,14,15,
#predictedHeads=11,3,4,5,6,11,6,9,11,9,14,11,11,0,14,15,
(6,5),1.10752 # DEPENDENCYPART_ARC
(6,7),1.62551 # DEPENDENCYPART_ARC
(6,8),-0.817482 # DEPENDENCYPART_ARC
(6,9),-1.2731 # DEPENDENCYPART_ARC
(6,11),-2.56887 # DEPENDENCYPART_ARC
(6,13),-3.82383 # DEPENDENCYPART_ARC
(6,14),-3.03467 # DEPENDENCYPART_ARC
(6,16),-0.681759 # DEPENDENCYPART_ARC
(7,5),-0.70843 # DEPENDENCYPART_ARC
(7,8),-0.433579 # DEPENDENCYPART_ARC
(7,9),-0.850774 # DEPENDENCYPART_ARC
(7,11),-1.24845 # DEPENDENCYPART_ARC
(8,2),-1.93481 # DEPENDENCYPART_ARC
(8,4),-1.28753 # DEPENDENCYPART_ARC
(8,5),-1.04678 # DEPENDENCYPART_ARC
(8,6),-0.772386 # DEPENDENCYPART_ARC
(8,7),-0.302705 # DEPENDENCYPART_ARC
(8,9),0.346326 # DEPENDENCYPART_ARC
(8,13),-1.86835 # DEPENDENCYPART_ARC
(8,15),-1.65154 # DEPENDENCYPART_ARC
(9,1),-3.22107 # DEPENDENCYPART_ARC
(9,2),-1.60249 # DEPENDENCYPART_ARC
(9,3),-0.924729 # DEPENDENCYPART_ARC
(9,4),-0.508578 # DEPENDENCYPART_ARC
(9,5),-0.332762 # DEPENDENCYPART_ARC
(9,6),-0.735282 # DEPENDENCYPART_ARC
(9,7),-0.762223 # DEPENDENCYPART_ARC
(9,8),1.91765 # DEPENDENCYPART_ARC
(9,10),1.53715 # DEPENDENCYPART_ARC
(9,11),-1.64613 # DEPENDENCYPART_ARC
(9,13),-3.82309 # DEPENDENCYPART_ARC
(9,14),-2.40259 # DEPENDENCYPART_ARC
(9,15),-2.45899 # DEPENDENCYPART_ARC
(9,16),-0.79867 # DEPENDENCYPART_ARC
(10,8),-0.853492 # DEPENDENCYPART_ARC
(10,11),-0.805125 # DEPENDENCYPART_ARC
(10,14),-1.41333 # DEPENDENCYPART_ARC
(11,1),0.63818 # DEPENDENCYPART_ARC
(11,2),-1.29574 # DEPENDENCYPART_ARC
(11,3),0.0850732 # DEPENDENCYPART_ARC
(11,4),-0.217753 # DEPENDENCYPART_ARC
(11,5),-0.246353 # DEPENDENCYPART_ARC
(11,6),-0.17593 # DEPENDENCYPART_ARC
(11,7),-0.593959 # DEPENDENCYPART_ARC
(11,8),0.690815 # DEPENDENCYPART_ARC
(11,9),1.82436 # DEPENDENCYPART_ARC
(11,12),1.63656 # DEPENDENCYPART_ARC
(11,13),1.43248 # DEPENDENCYPART_ARC
(11,14),-0.447429 # DEPENDENCYPART_ARC
(11,15),-0.56465 # DEPENDENCYPART_ARC
(12,9),-1.12833 # DEPENDENCYPART_ARC
(12,13),-0.544265 # DEPENDENCYPART_ARC
(12,14),-1.56856 # DEPENDENCYPART_ARC
(13,1),-0.944564 # DEPENDENCYPART_ARC
(13,3),-0.723756 # DEPENDENCYPART_ARC
(13,4),-0.736758 # DEPENDENCYPART_ARC
(13,6),-0.907581 # DEPENDENCYPART_ARC
(13,8),-0.672666 # DEPENDENCYPART_ARC
(13,9),-0.297089 # DEPENDENCYPART_ARC
(13,11),-1.22929 # DEPENDENCYPART_ARC
(13,14),-1.27479 # DEPENDENCYPART_ARC
(13,15),-0.79246 # DEPENDENCYPART_ARC
(14,1),-0.195549 # DEPENDENCYPART_ARC
(14,2),-1.82692 # DEPENDENCYPART_ARC
(14,3),-1.41101 # DEPENDENCYPART_ARC
(14,4),-1.48667 # DEPENDENCYPART_ARC
(14,5),-1.54965 # DEPENDENCYPART_ARC
(14,6),-1.43817 # DEPENDENCYPART_ARC
(14,7),-1.3339 # DEPENDENCYPART_ARC
(14,8),-1.04676 # DEPENDENCYPART_ARC
(14,9),-0.016382 # DEPENDENCYPART_ARC
(14,11),0.604403 # DEPENDENCYPART_ARC
(14,13),0.0555168 # DEPENDENCYPART_ARC
(14,15),1.61995 # DEPENDENCYPART_ARC
(14,16),0.161519 # DEPENDENCYPART_ARC
(15,11),-2.63524 # DEPENDENCYPART_ARC
(15,14),-1.7582 # DEPENDENCYPART_ARC
(15,16),1.58418 # DEPENDENCYPART_ARC
