# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,0,5,12,12,11,9,12,5,12,15,16,18,18,20,20,12,20,
(9,10),2.34879 # DEPENDENCYPART_ARC
(9,11),-0.163341 # DEPENDENCYPART_ARC
(9,14),-0.269693 # DEPENDENCYPART_ARC
(9,15),-0.734274 # DEPENDENCYPART_ARC
(9,16),-0.515193 # DEPENDENCYPART_ARC
(9,18),-0.759201 # DEPENDENCYPART_ARC
(9,21),-0.834396 # DEPENDENCYPART_ARC
(10,1),-0.233575 # DEPENDENCYPART_ARC
(10,7),-0.231388 # DEPENDENCYPART_ARC
(10,9),-0.0315258 # DEPENDENCYPART_ARC
(11,2),-0.942775 # DEPENDENCYPART_ARC
(11,3),-0.150819 # DEPENDENCYPART_ARC
(11,4),-1.10588 # DEPENDENCYPART_ARC
(11,5),-0.56008 # DEPENDENCYPART_ARC
(11,7),0.229512 # DEPENDENCYPART_ARC
(11,8),-0.258572 # DEPENDENCYPART_ARC
(11,9),1.20476 # DEPENDENCYPART_ARC
(11,10),0.503484 # DEPENDENCYPART_ARC
(11,12),0.947255 # DEPENDENCYPART_ARC
(11,15),-0.824698 # DEPENDENCYPART_ARC
(11,16),-0.389899 # DEPENDENCYPART_ARC
(11,18),-1.08173 # DEPENDENCYPART_ARC
(11,20),-0.474774 # DEPENDENCYPART_ARC
(12,2),0.333201 # DEPENDENCYPART_ARC
(12,3),-0.392623 # DEPENDENCYPART_ARC
(12,4),-0.655746 # DEPENDENCYPART_ARC
(12,7),1.20123 # DEPENDENCYPART_ARC
(12,8),0.78843 # DEPENDENCYPART_ARC
(12,9),0.964831 # DEPENDENCYPART_ARC
(12,10),0.145591 # DEPENDENCYPART_ARC
(12,11),2.43001 # DEPENDENCYPART_ARC
(12,13),1.83429 # DEPENDENCYPART_ARC
(12,15),-0.566395 # DEPENDENCYPART_ARC
(12,16),0.158553 # DEPENDENCYPART_ARC
(12,18),-0.177983 # DEPENDENCYPART_ARC
(12,20),0.38093 # DEPENDENCYPART_ARC
(13,8),-1.21744 # DEPENDENCYPART_ARC
(13,11),-0.584176 # DEPENDENCYPART_ARC
(13,12),-0.296326 # DEPENDENCYPART_ARC
(13,15),-0.645176 # DEPENDENCYPART_ARC
(13,16),-0.488121 # DEPENDENCYPART_ARC
(13,18),-0.552197 # DEPENDENCYPART_ARC
(13,20),-1.0109 # DEPENDENCYPART_ARC
(14,13),-0.241351 # DEPENDENCYPART_ARC
(15,11),-1.01349 # DEPENDENCYPART_ARC
(15,12),-1.33381 # DEPENDENCYPART_ARC
(15,13),-1.10775 # DEPENDENCYPART_ARC
(15,14),0.192377 # DEPENDENCYPART_ARC
(15,16),0.156973 # DEPENDENCYPART_ARC
(15,18),-1.90525 # DEPENDENCYPART_ARC
(15,19),-1.45047 # DEPENDENCYPART_ARC
(15,21),-1.42126 # DEPENDENCYPART_ARC
(16,9),-1.02567 # DEPENDENCYPART_ARC
(16,11),-0.968891 # DEPENDENCYPART_ARC
(16,12),-1.10745 # DEPENDENCYPART_ARC
(16,13),-1.36291 # DEPENDENCYPART_ARC
(16,15),1.39772 # DEPENDENCYPART_ARC
(16,18),-1.61207 # DEPENDENCYPART_ARC
(16,19),-1.32122 # DEPENDENCYPART_ARC
(16,20),-2.02188 # DEPENDENCYPART_ARC
(16,21),-1.45897 # DEPENDENCYPART_ARC
(17,19),-0.152701 # DEPENDENCYPART_ARC
(18,3),-1.4449 # DEPENDENCYPART_ARC
(18,9),-1.0059 # DEPENDENCYPART_ARC
(18,11),-0.771032 # DEPENDENCYPART_ARC
(18,12),-1.365 # DEPENDENCYPART_ARC
(18,13),-1.29889 # DEPENDENCYPART_ARC
(18,14),-1.74853 # DEPENDENCYPART_ARC
(18,15),-0.583682 # DEPENDENCYPART_ARC
(18,16),1.50293 # DEPENDENCYPART_ARC
(18,17),0.821631 # DEPENDENCYPART_ARC
(18,19),0.566412 # DEPENDENCYPART_ARC
(18,20),-0.212936 # DEPENDENCYPART_ARC
(19,15),-0.928798 # DEPENDENCYPART_ARC
(19,16),-0.841883 # DEPENDENCYPART_ARC
(19,18),-0.038419 # DEPENDENCYPART_ARC
(19,20),-0.245545 # DEPENDENCYPART_ARC
(19,21),-0.0787692 # DEPENDENCYPART_ARC
(20,3),-1.27943 # DEPENDENCYPART_ARC
(20,4),-1.38653 # DEPENDENCYPART_ARC
(20,5),-1.86678 # DEPENDENCYPART_ARC
(20,6),-1.47627 # DEPENDENCYPART_ARC
(20,7),-0.471428 # DEPENDENCYPART_ARC
(20,9),-1.14941 # DEPENDENCYPART_ARC
(20,10),-1.22205 # DEPENDENCYPART_ARC
(20,11),-0.891023 # DEPENDENCYPART_ARC
(20,12),-1.53262 # DEPENDENCYPART_ARC
(20,13),-1.57753 # DEPENDENCYPART_ARC
(20,14),-2.46664 # DEPENDENCYPART_ARC
(20,15),-1.89871 # DEPENDENCYPART_ARC
(20,16),0.734223 # DEPENDENCYPART_ARC
(20,17),-0.0941763 # DEPENDENCYPART_ARC
(20,18),0.621709 # DEPENDENCYPART_ARC
(20,19),0.915796 # DEPENDENCYPART_ARC
(20,21),1.57974 # DEPENDENCYPART_ARC
