# _root_ orain , sasoi hura udazkenean enarak_bezala ostendu eta urrundu denean , etxetxoak egiteari ekin diot berriro .
#goldHeads=14,3,7,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
#predictedHeads=14,3,5,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
(6,4),-2.54926 # DEPENDENCYPART_ARC
(6,5),-1.16577 # DEPENDENCYPART_ARC
(6,7),-0.766191 # DEPENDENCYPART_ARC
(6,9),-3.32669 # DEPENDENCYPART_ARC
(6,10),-2.54541 # DEPENDENCYPART_ARC
(6,17),-0.973406 # DEPENDENCYPART_ARC
(7,1),-0.467037 # DEPENDENCYPART_ARC
(7,2),-2.05063 # DEPENDENCYPART_ARC
(7,3),0.217472 # DEPENDENCYPART_ARC
(7,4),-0.332714 # DEPENDENCYPART_ARC
(7,5),1.35729 # DEPENDENCYPART_ARC
(7,6),1.62362 # DEPENDENCYPART_ARC
(7,8),0.0694413 # DEPENDENCYPART_ARC
(7,9),-0.322449 # DEPENDENCYPART_ARC
(7,10),0.142135 # DEPENDENCYPART_ARC
(7,11),-1.36067 # DEPENDENCYPART_ARC
(7,12),-1.35489 # DEPENDENCYPART_ARC
(7,13),-1.09471 # DEPENDENCYPART_ARC
(7,14),-0.985561 # DEPENDENCYPART_ARC
(7,15),-0.527437 # DEPENDENCYPART_ARC
(7,16),-1.13858 # DEPENDENCYPART_ARC
(8,1),-0.953811 # DEPENDENCYPART_ARC
(8,3),-0.767759 # DEPENDENCYPART_ARC
(8,4),-1.30106 # DEPENDENCYPART_ARC
(8,5),-0.81046 # DEPENDENCYPART_ARC
(8,6),-0.768512 # DEPENDENCYPART_ARC
(8,7),2.07328 # DEPENDENCYPART_ARC
(8,9),1.75761 # DEPENDENCYPART_ARC
(8,10),-0.101274 # DEPENDENCYPART_ARC
(8,11),-0.308601 # DEPENDENCYPART_ARC
(8,12),-0.169981 # DEPENDENCYPART_ARC
(8,13),0.152647 # DEPENDENCYPART_ARC
(8,14),-0.470858 # DEPENDENCYPART_ARC
(9,1),-0.739745 # DEPENDENCYPART_ARC
(9,2),-2.4883 # DEPENDENCYPART_ARC
(9,3),-0.840129 # DEPENDENCYPART_ARC
(9,4),-1.16166 # DEPENDENCYPART_ARC
(9,5),0.247178 # DEPENDENCYPART_ARC
(9,6),-0.482114 # DEPENDENCYPART_ARC
(9,7),0.179343 # DEPENDENCYPART_ARC
(9,8),-0.437564 # DEPENDENCYPART_ARC
(9,10),1.93819 # DEPENDENCYPART_ARC
(9,11),-0.67266 # DEPENDENCYPART_ARC
(9,12),-1.09388 # DEPENDENCYPART_ARC
(9,13),-0.135842 # DEPENDENCYPART_ARC
(9,14),-0.737578 # DEPENDENCYPART_ARC
(9,15),-0.809891 # DEPENDENCYPART_ARC
(9,16),-0.630018 # DEPENDENCYPART_ARC
(10,5),-0.938266 # DEPENDENCYPART_ARC
(10,6),-0.817278 # DEPENDENCYPART_ARC
(10,7),-1.28668 # DEPENDENCYPART_ARC
(10,8),-1.04464 # DEPENDENCYPART_ARC
(10,9),-0.626714 # DEPENDENCYPART_ARC
(10,11),1.53404 # DEPENDENCYPART_ARC
(10,12),-1.3342 # DEPENDENCYPART_ARC
(10,13),-0.280727 # DEPENDENCYPART_ARC
(10,14),-1.35274 # DEPENDENCYPART_ARC
(10,15),-1.23028 # DEPENDENCYPART_ARC
(10,16),-0.729111 # DEPENDENCYPART_ARC
(11,7),-0.523341 # DEPENDENCYPART_ARC
(11,8),-0.27399 # DEPENDENCYPART_ARC
(11,9),-0.0831037 # DEPENDENCYPART_ARC
(11,10),0.109697 # DEPENDENCYPART_ARC
(11,12),-0.595952 # DEPENDENCYPART_ARC
(11,13),-0.546603 # DEPENDENCYPART_ARC
(11,14),-0.453954 # DEPENDENCYPART_ARC
(12,1),-1.42994 # DEPENDENCYPART_ARC
(12,4),-3.93443 # DEPENDENCYPART_ARC
(12,7),-0.743659 # DEPENDENCYPART_ARC
(12,8),-0.448625 # DEPENDENCYPART_ARC
(12,9),-0.773841 # DEPENDENCYPART_ARC
(12,10),-1.82944 # DEPENDENCYPART_ARC
(12,11),-0.160097 # DEPENDENCYPART_ARC
(12,13),0.755152 # DEPENDENCYPART_ARC
(12,14),-2.02929 # DEPENDENCYPART_ARC
(12,15),-1.06454 # DEPENDENCYPART_ARC
(12,16),-0.834409 # DEPENDENCYPART_ARC
(12,17),-0.803057 # DEPENDENCYPART_ARC
(13,1),-1.13591 # DEPENDENCYPART_ARC
(13,2),-1.98488 # DEPENDENCYPART_ARC
(13,3),-1.48571 # DEPENDENCYPART_ARC
(13,4),-0.130484 # DEPENDENCYPART_ARC
(13,5),-0.939831 # DEPENDENCYPART_ARC
(13,6),-1.92625 # DEPENDENCYPART_ARC
(13,7),-1.18215 # DEPENDENCYPART_ARC
(13,8),-0.882122 # DEPENDENCYPART_ARC
(13,9),-1.59924 # DEPENDENCYPART_ARC
(13,10),-2.05189 # DEPENDENCYPART_ARC
(13,11),-1.12429 # DEPENDENCYPART_ARC
(13,12),1.97247 # DEPENDENCYPART_ARC
(13,14),-1.5425 # DEPENDENCYPART_ARC
(13,15),-2.00166 # DEPENDENCYPART_ARC
(13,16),-0.709089 # DEPENDENCYPART_ARC
(14,1),-0.211672 # DEPENDENCYPART_ARC
(14,2),-1.70874 # DEPENDENCYPART_ARC
(14,3),-1.10162 # DEPENDENCYPART_ARC
(14,4),-0.471849 # DEPENDENCYPART_ARC
(14,5),-0.0234549 # DEPENDENCYPART_ARC
(14,6),-1.22122 # DEPENDENCYPART_ARC
(14,7),-0.450672 # DEPENDENCYPART_ARC
(14,8),-0.0425766 # DEPENDENCYPART_ARC
(14,9),-0.0216023 # DEPENDENCYPART_ARC
(14,10),-0.739563 # DEPENDENCYPART_ARC
(14,11),-0.840121 # DEPENDENCYPART_ARC
(14,12),1.02511 # DEPENDENCYPART_ARC
(14,13),1.56564 # DEPENDENCYPART_ARC
(14,15),1.858 # DEPENDENCYPART_ARC
(14,16),0.791906 # DEPENDENCYPART_ARC
(15,12),-1.24164 # DEPENDENCYPART_ARC
(15,13),-1.61016 # DEPENDENCYPART_ARC
(15,16),-0.193937 # DEPENDENCYPART_ARC
(16,12),-1.03399 # DEPENDENCYPART_ARC
(16,13),-1.02446 # DEPENDENCYPART_ARC
(16,14),-0.78843 # DEPENDENCYPART_ARC
(16,17),1.50981 # DEPENDENCYPART_ARC
