# _root_ gero pistorius organista zaharrak paperezko pezeta , hogerleko eta bosdurokoak eman zizkidan gordetzeko , baina mesede_baten_truke .
#goldHeads=11,3,11,3,6,9,6,9,11,9,15,11,11,13,0,15,16,
#predictedHeads=11,3,5,3,6,9,6,9,11,11,15,11,11,13,0,15,16,
(9,15),-0.206861 # DEPENDENCYPART_ARC
(9,16),-0.583351 # DEPENDENCYPART_ARC
(10,8),-0.532694 # DEPENDENCYPART_ARC
(11,1),1.12524 # DEPENDENCYPART_ARC
(11,2),-0.852266 # DEPENDENCYPART_ARC
(11,3),-0.193895 # DEPENDENCYPART_ARC
(11,4),-0.509038 # DEPENDENCYPART_ARC
(11,5),-1.69315 # DEPENDENCYPART_ARC
(11,6),-0.235513 # DEPENDENCYPART_ARC
(11,7),-1.01479 # DEPENDENCYPART_ARC
(11,8),0.241401 # DEPENDENCYPART_ARC
(11,9),0.588288 # DEPENDENCYPART_ARC
(11,10),1.82415 # DEPENDENCYPART_ARC
(11,12),1.72472 # DEPENDENCYPART_ARC
(11,13),0.963894 # DEPENDENCYPART_ARC
(11,14),-0.76945 # DEPENDENCYPART_ARC
(11,15),0.0489761 # DEPENDENCYPART_ARC
(11,16),-0.685224 # DEPENDENCYPART_ARC
(12,8),-0.770845 # DEPENDENCYPART_ARC
(12,9),-1.22955 # DEPENDENCYPART_ARC
(12,11),-1.35167 # DEPENDENCYPART_ARC
(12,13),0.249038 # DEPENDENCYPART_ARC
(12,15),-0.6699 # DEPENDENCYPART_ARC
(12,16),-1.69248 # DEPENDENCYPART_ARC
(13,1),0.146339 # DEPENDENCYPART_ARC
(13,2),-1.29107 # DEPENDENCYPART_ARC
(13,3),-0.582408 # DEPENDENCYPART_ARC
(13,4),-1.53021 # DEPENDENCYPART_ARC
(13,5),-2.42913 # DEPENDENCYPART_ARC
(13,6),-0.744931 # DEPENDENCYPART_ARC
(13,7),-1.24943 # DEPENDENCYPART_ARC
(13,8),-0.0435415 # DEPENDENCYPART_ARC
(13,9),0.214518 # DEPENDENCYPART_ARC
(13,11),0.5761 # DEPENDENCYPART_ARC
(13,12),-2.16285 # DEPENDENCYPART_ARC
(13,14),0.923171 # DEPENDENCYPART_ARC
(13,15),-0.924085 # DEPENDENCYPART_ARC
(13,16),-1.34678 # DEPENDENCYPART_ARC
(14,9),-1.05174 # DEPENDENCYPART_ARC
(14,11),-0.761726 # DEPENDENCYPART_ARC
(14,12),-1.26239 # DEPENDENCYPART_ARC
(14,13),-0.221988 # DEPENDENCYPART_ARC
(14,15),-0.602587 # DEPENDENCYPART_ARC
(14,16),-1.51485 # DEPENDENCYPART_ARC
(15,1),-0.724385 # DEPENDENCYPART_ARC
(15,2),-1.2622 # DEPENDENCYPART_ARC
(15,3),-0.849579 # DEPENDENCYPART_ARC
(15,5),-2.08331 # DEPENDENCYPART_ARC
(15,6),-0.947505 # DEPENDENCYPART_ARC
(15,8),-0.174035 # DEPENDENCYPART_ARC
(15,9),-0.796324 # DEPENDENCYPART_ARC
(15,10),-0.825998 # DEPENDENCYPART_ARC
(15,11),0.787155 # DEPENDENCYPART_ARC
(15,12),-1.04711 # DEPENDENCYPART_ARC
(15,13),-0.212378 # DEPENDENCYPART_ARC
(15,14),-0.335945 # DEPENDENCYPART_ARC
(15,16),-0.572773 # DEPENDENCYPART_ARC
(16,4),-3.64299 # DEPENDENCYPART_ARC
(16,11),-1.97562 # DEPENDENCYPART_ARC
(16,13),-2.62634 # DEPENDENCYPART_ARC
(16,14),-1.73935 # DEPENDENCYPART_ARC
(16,15),-0.824663 # DEPENDENCYPART_ARC
(16,17),2.05623 # DEPENDENCYPART_ARC
(17,15),-0.947827 # DEPENDENCYPART_ARC
