# _root_ juan jose_ibarretxe_eaeko lehendakariaren ustez , herritarrek " sendotasun moralaz_gain beste zerbait espero_dute erakundeetatik etarekin amaitzeko , indakerkeriari eta heriotzari aurre_egiteko " .
#goldHeads=3,1,4,12,4,12,6,12,8,11,12,0,12,15,16,12,18,20,18,12,20,21,
#predictedHeads=3,3,4,12,4,12,6,9,12,9,12,0,15,15,12,15,18,20,18,12,20,21,
(8,4),-1.48701 # DEPENDENCYPART_ARC
(8,5),-1.02009 # DEPENDENCYPART_ARC
(8,6),-1.05408 # DEPENDENCYPART_ARC
(8,7),-0.518021 # DEPENDENCYPART_ARC
(8,9),-0.175495 # DEPENDENCYPART_ARC
(8,10),-0.0703824 # DEPENDENCYPART_ARC
(8,14),-1.22218 # DEPENDENCYPART_ARC
(9,4),-1.57274 # DEPENDENCYPART_ARC
(9,5),-1.84593 # DEPENDENCYPART_ARC
(9,6),-3.24696 # DEPENDENCYPART_ARC
(9,8),1.45466 # DEPENDENCYPART_ARC
(9,10),1.02439 # DEPENDENCYPART_ARC
(9,12),-3.67398 # DEPENDENCYPART_ARC
(9,13),-2.60133 # DEPENDENCYPART_ARC
(9,14),-3.0653 # DEPENDENCYPART_ARC
(9,18),-1.99665 # DEPENDENCYPART_ARC
(10,8),-1.05951 # DEPENDENCYPART_ARC
(10,9),-0.546848 # DEPENDENCYPART_ARC
(10,13),-0.866789 # DEPENDENCYPART_ARC
(10,15),-0.760816 # DEPENDENCYPART_ARC
(11,8),0.223952 # DEPENDENCYPART_ARC
(11,9),-0.00673282 # DEPENDENCYPART_ARC
(12,1),-0.344843 # DEPENDENCYPART_ARC
(12,3),-2.50316 # DEPENDENCYPART_ARC
(12,4),-0.106263 # DEPENDENCYPART_ARC
(12,6),0.932732 # DEPENDENCYPART_ARC
(12,8),-0.1053 # DEPENDENCYPART_ARC
(12,9),0.918882 # DEPENDENCYPART_ARC
(12,10),-0.320618 # DEPENDENCYPART_ARC
(12,11),2.4797 # DEPENDENCYPART_ARC
(12,13),0.591636 # DEPENDENCYPART_ARC
(12,14),-0.158489 # DEPENDENCYPART_ARC
(12,15),1.30362 # DEPENDENCYPART_ARC
(12,17),-0.235441 # DEPENDENCYPART_ARC
(12,18),-0.51451 # DEPENDENCYPART_ARC
(12,19),-0.879553 # DEPENDENCYPART_ARC
(12,20),0.179458 # DEPENDENCYPART_ARC
(13,4),-1.55208 # DEPENDENCYPART_ARC
(13,8),-0.568384 # DEPENDENCYPART_ARC
(13,9),-0.547454 # DEPENDENCYPART_ARC
(13,10),-0.217213 # DEPENDENCYPART_ARC
(13,11),-0.501474 # DEPENDENCYPART_ARC
(13,12),-0.965783 # DEPENDENCYPART_ARC
(13,14),-1.62118 # DEPENDENCYPART_ARC
(13,15),-2.36013 # DEPENDENCYPART_ARC
(13,16),-1.24203 # DEPENDENCYPART_ARC
(13,17),-1.85865 # DEPENDENCYPART_ARC
(13,18),-1.39717 # DEPENDENCYPART_ARC
(13,19),-1.91727 # DEPENDENCYPART_ARC
(13,20),-3.13013 # DEPENDENCYPART_ARC
(13,22),-1.34817 # DEPENDENCYPART_ARC
(14,13),-0.596271 # DEPENDENCYPART_ARC
(14,15),-2.00571 # DEPENDENCYPART_ARC
(14,16),-0.756607 # DEPENDENCYPART_ARC
(14,17),-1.41484 # DEPENDENCYPART_ARC
(14,19),-1.54074 # DEPENDENCYPART_ARC
(14,20),-3.5878 # DEPENDENCYPART_ARC
(15,1),-1.02895 # DEPENDENCYPART_ARC
(15,3),-2.62013 # DEPENDENCYPART_ARC
(15,4),-0.401689 # DEPENDENCYPART_ARC
(15,5),-2.03731 # DEPENDENCYPART_ARC
(15,6),-1.17522 # DEPENDENCYPART_ARC
(15,8),-0.0690731 # DEPENDENCYPART_ARC
(15,9),0.0484605 # DEPENDENCYPART_ARC
(15,10),-1.09651 # DEPENDENCYPART_ARC
(15,11),0.471439 # DEPENDENCYPART_ARC
(15,12),-3.04956 # DEPENDENCYPART_ARC
(15,13),0.898212 # DEPENDENCYPART_ARC
(15,14),1.73395 # DEPENDENCYPART_ARC
(15,16),0.767535 # DEPENDENCYPART_ARC
(15,17),-0.828409 # DEPENDENCYPART_ARC
(15,18),-0.902236 # DEPENDENCYPART_ARC
(15,19),-1.71398 # DEPENDENCYPART_ARC
(15,20),-1.63305 # DEPENDENCYPART_ARC
(16,12),-0.683964 # DEPENDENCYPART_ARC
(16,14),-0.704006 # DEPENDENCYPART_ARC
(16,15),-0.268646 # DEPENDENCYPART_ARC
(16,17),-0.620381 # DEPENDENCYPART_ARC
(16,20),-0.477632 # DEPENDENCYPART_ARC
(17,11),-1.97348 # DEPENDENCYPART_ARC
(17,12),-3.36799 # DEPENDENCYPART_ARC
(17,13),-2.31573 # DEPENDENCYPART_ARC
(17,14),-3.13638 # DEPENDENCYPART_ARC
(17,15),-1.8455 # DEPENDENCYPART_ARC
(17,16),-0.327948 # DEPENDENCYPART_ARC
(17,18),-0.602282 # DEPENDENCYPART_ARC
(17,19),-0.852032 # DEPENDENCYPART_ARC
(17,22),-1.4085 # DEPENDENCYPART_ARC
(18,1),-0.636277 # DEPENDENCYPART_ARC
(18,3),-0.798114 # DEPENDENCYPART_ARC
(18,4),-0.827665 # DEPENDENCYPART_ARC
(18,6),0.0980589 # DEPENDENCYPART_ARC
(18,8),-0.677176 # DEPENDENCYPART_ARC
(18,9),-1.72183 # DEPENDENCYPART_ARC
(18,12),-0.35972 # DEPENDENCYPART_ARC
(18,13),-0.757307 # DEPENDENCYPART_ARC
(18,14),-0.0738218 # DEPENDENCYPART_ARC
(18,15),-0.380565 # DEPENDENCYPART_ARC
(18,16),-1.27872 # DEPENDENCYPART_ARC
(18,17),2.16973 # DEPENDENCYPART_ARC
(18,19),2.83776 # DEPENDENCYPART_ARC
(18,20),0.012938 # DEPENDENCYPART_ARC
(19,16),-2.18656 # DEPENDENCYPART_ARC
(19,17),-3.45436 # DEPENDENCYPART_ARC
(19,18),-0.427676 # DEPENDENCYPART_ARC
(19,20),-1.87217 # DEPENDENCYPART_ARC
(19,22),-1.43612 # DEPENDENCYPART_ARC
(20,3),-4.02311 # DEPENDENCYPART_ARC
(20,4),-0.629751 # DEPENDENCYPART_ARC
(20,6),-1.92824 # DEPENDENCYPART_ARC
(20,8),-0.882613 # DEPENDENCYPART_ARC
(20,9),-0.876478 # DEPENDENCYPART_ARC
(20,13),-0.898279 # DEPENDENCYPART_ARC
(20,14),-0.909235 # DEPENDENCYPART_ARC
(20,15),-0.527421 # DEPENDENCYPART_ARC
(20,17),1.07181 # DEPENDENCYPART_ARC
(20,18),0.767689 # DEPENDENCYPART_ARC
(20,19),2.78219 # DEPENDENCYPART_ARC
(20,21),1.32866 # DEPENDENCYPART_ARC
(21,17),-1.44056 # DEPENDENCYPART_ARC
(21,19),-1.17155 # DEPENDENCYPART_ARC
(21,20),-0.57228 # DEPENDENCYPART_ARC
(21,22),1.70488 # DEPENDENCYPART_ARC
(22,19),-0.653282 # DEPENDENCYPART_ARC
