# _root_ esteban olaizola_gipuzkoako_kofradien_federazioko lehendakariaren ustez , " itsasontzi zaharrak dira , baina teknologia puntakoa dute " , esan du .
#goldHeads=9,1,1,3,4,5,9,7,11,9,17,14,12,11,14,15,0,17,18,
#predictedHeads=4,1,4,9,4,5,9,7,11,9,0,14,14,11,14,15,0,17,18,
(7,3),-1.27492 # DEPENDENCYPART_ARC
(7,4),-1.70116 # DEPENDENCYPART_ARC
(7,5),-0.949933 # DEPENDENCYPART_ARC
(7,6),-0.525772 # DEPENDENCYPART_ARC
(7,8),1.93911 # DEPENDENCYPART_ARC
(7,9),-1.25902 # DEPENDENCYPART_ARC
(7,10),-0.545376 # DEPENDENCYPART_ARC
(7,11),-0.974203 # DEPENDENCYPART_ARC
(7,12),-0.902333 # DEPENDENCYPART_ARC
(7,13),0.151275 # DEPENDENCYPART_ARC
(7,14),-1.64643 # DEPENDENCYPART_ARC
(7,17),-1.00598 # DEPENDENCYPART_ARC
(7,19),-0.855857 # DEPENDENCYPART_ARC
(8,3),-0.923478 # DEPENDENCYPART_ARC
(8,4),-1.54105 # DEPENDENCYPART_ARC
(8,7),0.0522416 # DEPENDENCYPART_ARC
(8,9),-0.433746 # DEPENDENCYPART_ARC
(8,10),0.0088056 # DEPENDENCYPART_ARC
(8,11),-0.611663 # DEPENDENCYPART_ARC
(8,12),-1.33921 # DEPENDENCYPART_ARC
(9,1),-0.0992521 # DEPENDENCYPART_ARC
(9,2),0.181979 # DEPENDENCYPART_ARC
(9,3),-0.791407 # DEPENDENCYPART_ARC
(9,4),1.18525 # DEPENDENCYPART_ARC
(9,5),-0.279123 # DEPENDENCYPART_ARC
(9,7),1.52071 # DEPENDENCYPART_ARC
(9,8),0.486212 # DEPENDENCYPART_ARC
(9,10),1.26608 # DEPENDENCYPART_ARC
(9,11),-0.425406 # DEPENDENCYPART_ARC
(9,12),-0.23676 # DEPENDENCYPART_ARC
(9,13),-0.788315 # DEPENDENCYPART_ARC
(9,14),-0.652804 # DEPENDENCYPART_ARC
(9,17),-1.06005 # DEPENDENCYPART_ARC
(9,18),-1.25026 # DEPENDENCYPART_ARC
(10,1),-1.43912 # DEPENDENCYPART_ARC
(10,9),-0.270848 # DEPENDENCYPART_ARC
(10,11),-0.574797 # DEPENDENCYPART_ARC
(10,12),-1.63491 # DEPENDENCYPART_ARC
(10,13),-1.17428 # DEPENDENCYPART_ARC
(10,14),-0.802251 # DEPENDENCYPART_ARC
(11,1),-0.574602 # DEPENDENCYPART_ARC
(11,2),-2.85309 # DEPENDENCYPART_ARC
(11,3),-1.56254 # DEPENDENCYPART_ARC
(11,4),-1.26815 # DEPENDENCYPART_ARC
(11,7),0.0226372 # DEPENDENCYPART_ARC
(11,8),-0.997067 # DEPENDENCYPART_ARC
(11,9),1.54986 # DEPENDENCYPART_ARC
(11,10),-0.265639 # DEPENDENCYPART_ARC
(11,12),0.309215 # DEPENDENCYPART_ARC
(11,13),-0.863983 # DEPENDENCYPART_ARC
(11,14),1.72983 # DEPENDENCYPART_ARC
(11,16),-0.621095 # DEPENDENCYPART_ARC
(11,17),-0.173991 # DEPENDENCYPART_ARC
(12,5),-2.25724 # DEPENDENCYPART_ARC
(12,8),-2.4499 # DEPENDENCYPART_ARC
(12,9),-3.23978 # DEPENDENCYPART_ARC
(12,10),-1.50416 # DEPENDENCYPART_ARC
(12,11),-0.901007 # DEPENDENCYPART_ARC
(12,13),0.090266 # DEPENDENCYPART_ARC
(12,14),-1.01047 # DEPENDENCYPART_ARC
(12,17),-2.77731 # DEPENDENCYPART_ARC
(12,18),-2.06944 # DEPENDENCYPART_ARC
(12,19),-1.24233 # DEPENDENCYPART_ARC
(13,4),-1.79821 # DEPENDENCYPART_ARC
(13,7),-1.18809 # DEPENDENCYPART_ARC
(13,11),-0.38689 # DEPENDENCYPART_ARC
(13,12),-0.19096 # DEPENDENCYPART_ARC
(13,14),-0.988194 # DEPENDENCYPART_ARC
(13,16),-0.453228 # DEPENDENCYPART_ARC
(13,17),-2.303 # DEPENDENCYPART_ARC
(14,2),-0.190505 # DEPENDENCYPART_ARC
(14,3),-2.00053 # DEPENDENCYPART_ARC
(14,4),0.298134 # DEPENDENCYPART_ARC
(14,5),-1.21462 # DEPENDENCYPART_ARC
(14,7),0.0393706 # DEPENDENCYPART_ARC
(14,8),-1.41437 # DEPENDENCYPART_ARC
(14,9),0.259328 # DEPENDENCYPART_ARC
(14,10),-0.9957 # DEPENDENCYPART_ARC
(14,11),-0.716429 # DEPENDENCYPART_ARC
(14,12),2.05552 # DEPENDENCYPART_ARC
(14,13),1.42436 # DEPENDENCYPART_ARC
(14,15),1.53809 # DEPENDENCYPART_ARC
(14,16),0.199495 # DEPENDENCYPART_ARC
(14,17),-0.334147 # DEPENDENCYPART_ARC
(14,18),-1.08899 # DEPENDENCYPART_ARC
(15,12),-1.17001 # DEPENDENCYPART_ARC
(15,14),-0.130911 # DEPENDENCYPART_ARC
(15,16),1.5398 # DEPENDENCYPART_ARC
(15,17),-1.47217 # DEPENDENCYPART_ARC
(16,9),-0.458839 # DEPENDENCYPART_ARC
(16,11),-0.423916 # DEPENDENCYPART_ARC
(16,14),-0.072741 # DEPENDENCYPART_ARC
(16,17),-0.918874 # DEPENDENCYPART_ARC
(17,1),-1.2129 # DEPENDENCYPART_ARC
(17,2),-2.65421 # DEPENDENCYPART_ARC
(17,3),-2.43496 # DEPENDENCYPART_ARC
(17,4),-0.750452 # DEPENDENCYPART_ARC
(17,5),0.346303 # DEPENDENCYPART_ARC
(17,7),-1.13759 # DEPENDENCYPART_ARC
(17,8),-1.65864 # DEPENDENCYPART_ARC
(17,9),0.282555 # DEPENDENCYPART_ARC
(17,10),-0.240687 # DEPENDENCYPART_ARC
(17,11),0.470618 # DEPENDENCYPART_ARC
(17,12),-0.199311 # DEPENDENCYPART_ARC
(17,13),-1.14873 # DEPENDENCYPART_ARC
(17,14),0.840771 # DEPENDENCYPART_ARC
(17,16),-0.311312 # DEPENDENCYPART_ARC
(17,18),1.62869 # DEPENDENCYPART_ARC
(17,19),0.079703 # DEPENDENCYPART_ARC
(18,19),1.7434 # DEPENDENCYPART_ARC
