# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,15,10,21,21,21,18,19,10,21,22,
(15,14),-0.127675 # DEPENDENCYPART_ARC
(15,16),0.22739 # DEPENDENCYPART_ARC
(15,17),-0.28642 # DEPENDENCYPART_ARC
(16,3),-0.771671 # DEPENDENCYPART_ARC
(16,6),-0.559212 # DEPENDENCYPART_ARC
(16,9),-2.14091 # DEPENDENCYPART_ARC
(16,10),-0.245525 # DEPENDENCYPART_ARC
(16,12),-0.87342 # DEPENDENCYPART_ARC
(16,14),-0.381268 # DEPENDENCYPART_ARC
(16,15),-1.0084 # DEPENDENCYPART_ARC
(16,17),-0.242163 # DEPENDENCYPART_ARC
(16,18),-1.61004 # DEPENDENCYPART_ARC
(16,19),-1.71435 # DEPENDENCYPART_ARC
(16,21),-2.47981 # DEPENDENCYPART_ARC
(16,23),-1.45811 # DEPENDENCYPART_ARC
(17,16),-0.398405 # DEPENDENCYPART_ARC
(17,18),-0.274378 # DEPENDENCYPART_ARC
(18,10),-1.26696 # DEPENDENCYPART_ARC
(18,12),-1.73827 # DEPENDENCYPART_ARC
(18,14),-1.9166 # DEPENDENCYPART_ARC
(18,16),-0.748299 # DEPENDENCYPART_ARC
(18,17),0.00260626 # DEPENDENCYPART_ARC
(18,19),2.36594 # DEPENDENCYPART_ARC
(18,21),-0.756547 # DEPENDENCYPART_ARC
(18,23),-0.790978 # DEPENDENCYPART_ARC
(19,16),-2.18253 # DEPENDENCYPART_ARC
(19,17),-0.0926334 # DEPENDENCYPART_ARC
(19,18),-0.584243 # DEPENDENCYPART_ARC
(19,20),1.06728 # DEPENDENCYPART_ARC
(21,8),-0.859756 # DEPENDENCYPART_ARC
(21,9),-2.2557 # DEPENDENCYPART_ARC
(21,10),-0.657545 # DEPENDENCYPART_ARC
(21,11),-1.78776 # DEPENDENCYPART_ARC
(21,14),-1.77968 # DEPENDENCYPART_ARC
(21,15),0.284403 # DEPENDENCYPART_ARC
(21,16),0.551084 # DEPENDENCYPART_ARC
(21,17),0.389512 # DEPENDENCYPART_ARC
(21,18),0.279493 # DEPENDENCYPART_ARC
(21,19),-1.25482 # DEPENDENCYPART_ARC
(21,22),2.19067 # DEPENDENCYPART_ARC
(22,2),-1.47757 # DEPENDENCYPART_ARC
(22,3),-2.55668 # DEPENDENCYPART_ARC
(22,6),-1.14973 # DEPENDENCYPART_ARC
(22,7),-1.34814 # DEPENDENCYPART_ARC
(22,8),-1.18542 # DEPENDENCYPART_ARC
(22,10),-1.12525 # DEPENDENCYPART_ARC
(22,11),-2.06821 # DEPENDENCYPART_ARC
(22,12),-1.28732 # DEPENDENCYPART_ARC
(22,14),-1.31119 # DEPENDENCYPART_ARC
(22,15),-1.02258 # DEPENDENCYPART_ARC
(22,16),0.495452 # DEPENDENCYPART_ARC
(22,17),-0.200481 # DEPENDENCYPART_ARC
(22,18),-0.193521 # DEPENDENCYPART_ARC
(22,19),-0.969424 # DEPENDENCYPART_ARC
(22,21),0.694049 # DEPENDENCYPART_ARC
(22,23),1.7317 # DEPENDENCYPART_ARC
