# _root_ madrilek aurtengo finantzaketa osatzeko borondatea agertu arren , arazo sakonak konpondu gabe daudela uste_du : diru hori nondik etorriko den , zenbat izango den eta hobetuzen menpekotasuna forcem-ekiko .
#goldHeads=6,3,4,5,6,14,6,7,13,9,13,11,14,0,14,19,16,19,25,19,20,23,25,23,9,27,25,27,28,
#predictedHeads=6,3,4,5,6,25,6,7,11,9,13,13,14,0,14,19,16,19,25,19,20,23,25,23,14,27,25,26,28,
(19,17),0.132407 # DEPENDENCYPART_ARC
(19,18),0.976137 # DEPENDENCYPART_ARC
(19,20),2.12279 # DEPENDENCYPART_ARC
(19,21),-0.947323 # DEPENDENCYPART_ARC
(19,23),-1.14455 # DEPENDENCYPART_ARC
(19,24),0.113238 # DEPENDENCYPART_ARC
(19,25),-0.545367 # DEPENDENCYPART_ARC
(19,27),-1.58415 # DEPENDENCYPART_ARC
(19,28),-2.00449 # DEPENDENCYPART_ARC
(20,16),-0.735526 # DEPENDENCYPART_ARC
(20,21),1.73059 # DEPENDENCYPART_ARC
(20,23),-0.876606 # DEPENDENCYPART_ARC
(20,24),-1.06846 # DEPENDENCYPART_ARC
(21,13),0.0777264 # DEPENDENCYPART_ARC
(21,14),-0.182652 # DEPENDENCYPART_ARC
(21,19),0.366204 # DEPENDENCYPART_ARC
(21,20),0.406941 # DEPENDENCYPART_ARC
(21,23),-0.492826 # DEPENDENCYPART_ARC
(22,21),-0.279118 # DEPENDENCYPART_ARC
(23,4),-1.50026 # DEPENDENCYPART_ARC
(23,5),-0.976956 # DEPENDENCYPART_ARC
(23,6),-1.0186 # DEPENDENCYPART_ARC
(23,8),-1.39632 # DEPENDENCYPART_ARC
(23,9),-0.780649 # DEPENDENCYPART_ARC
(23,10),-1.52457 # DEPENDENCYPART_ARC
(23,11),-0.528925 # DEPENDENCYPART_ARC
(23,12),-2.11527 # DEPENDENCYPART_ARC
(23,13),-0.966611 # DEPENDENCYPART_ARC
(23,14),-2.16028 # DEPENDENCYPART_ARC
(23,16),0.244332 # DEPENDENCYPART_ARC
(23,17),-0.651032 # DEPENDENCYPART_ARC
(23,18),-0.638938 # DEPENDENCYPART_ARC
(23,19),0.124265 # DEPENDENCYPART_ARC
(23,20),-0.723615 # DEPENDENCYPART_ARC
(23,21),-0.655948 # DEPENDENCYPART_ARC
(23,22),0.811611 # DEPENDENCYPART_ARC
(23,24),2.29321 # DEPENDENCYPART_ARC
(23,25),-0.477859 # DEPENDENCYPART_ARC
(23,26),-1.68779 # DEPENDENCYPART_ARC
(23,27),-0.708632 # DEPENDENCYPART_ARC
(23,28),-1.23223 # DEPENDENCYPART_ARC
(24,25),-0.149332 # DEPENDENCYPART_ARC
(24,28),-1.4534 # DEPENDENCYPART_ARC
(25,4),-1.41917 # DEPENDENCYPART_ARC
(25,6),0.624164 # DEPENDENCYPART_ARC
(25,11),-0.483982 # DEPENDENCYPART_ARC
(25,12),-0.147486 # DEPENDENCYPART_ARC
(25,13),-0.199797 # DEPENDENCYPART_ARC
(25,14),0.608844 # DEPENDENCYPART_ARC
(25,16),-0.434888 # DEPENDENCYPART_ARC
(25,17),-0.917119 # DEPENDENCYPART_ARC
(25,19),0.864581 # DEPENDENCYPART_ARC
(25,20),-0.482719 # DEPENDENCYPART_ARC
(25,21),-0.695246 # DEPENDENCYPART_ARC
(25,23),2.39765 # DEPENDENCYPART_ARC
(25,24),0.41046 # DEPENDENCYPART_ARC
(25,26),-0.0534809 # DEPENDENCYPART_ARC
(25,27),0.260671 # DEPENDENCYPART_ARC
(25,28),-0.506373 # DEPENDENCYPART_ARC
(26,27),-0.0933311 # DEPENDENCYPART_ARC
(26,28),0.468003 # DEPENDENCYPART_ARC
(27,17),-3.24448 # DEPENDENCYPART_ARC
(27,21),-1.64471 # DEPENDENCYPART_ARC
(27,23),-0.48714 # DEPENDENCYPART_ARC
(27,25),-0.37932 # DEPENDENCYPART_ARC
(27,26),2.40019 # DEPENDENCYPART_ARC
(27,28),-0.101641 # DEPENDENCYPART_ARC
(27,29),-0.770952 # DEPENDENCYPART_ARC
(28,21),-2.3957 # DEPENDENCYPART_ARC
(28,26),-1.60735 # DEPENDENCYPART_ARC
(28,27),-1.4039 # DEPENDENCYPART_ARC
(28,29),1.27299 # DEPENDENCYPART_ARC
(29,27),-0.938721 # DEPENDENCYPART_ARC
(29,28),-0.780884 # DEPENDENCYPART_ARC
