# _root_ hala_nola , uno_first_group-en sorrera eta teknologia berrien arloan , telefonicarekin batez_ere egindako aliantzak .
#goldHeads=0,1,4,5,7,8,6,12,8,12,12,13,0,13,
#predictedHeads=0,1,4,5,0,5,6,5,8,12,12,13,5,13,
(9,8),-0.431958 # DEPENDENCYPART_ARC
(9,12),-0.651559 # DEPENDENCYPART_ARC
(9,13),-0.957054 # DEPENDENCYPART_ARC
(10,2),-1.80477 # DEPENDENCYPART_ARC
(10,6),-1.7391 # DEPENDENCYPART_ARC
(10,8),-3.42364 # DEPENDENCYPART_ARC
(10,9),-0.0700328 # DEPENDENCYPART_ARC
(10,12),-2.24858 # DEPENDENCYPART_ARC
(10,13),-2.49386 # DEPENDENCYPART_ARC
(11,12),0.0233025 # DEPENDENCYPART_ARC
(11,13),-0.777861 # DEPENDENCYPART_ARC
(12,1),-1.11287 # DEPENDENCYPART_ARC
(12,2),-2.1618 # DEPENDENCYPART_ARC
(12,3),-0.746739 # DEPENDENCYPART_ARC
(12,4),-0.960831 # DEPENDENCYPART_ARC
(12,5),-0.72573 # DEPENDENCYPART_ARC
(12,6),-0.223912 # DEPENDENCYPART_ARC
(12,7),-1.33641 # DEPENDENCYPART_ARC
(12,8),0.10076 # DEPENDENCYPART_ARC
(12,9),-1.27662 # DEPENDENCYPART_ARC
(12,10),0.9581 # DEPENDENCYPART_ARC
(12,11),1.02892 # DEPENDENCYPART_ARC
(12,13),-1.17223 # DEPENDENCYPART_ARC
(12,14),-0.605505 # DEPENDENCYPART_ARC
(13,4),-1.60834 # DEPENDENCYPART_ARC
(13,5),-0.764392 # DEPENDENCYPART_ARC
(13,6),-0.602629 # DEPENDENCYPART_ARC
(13,7),-2.24155 # DEPENDENCYPART_ARC
(13,8),-2.82797 # DEPENDENCYPART_ARC
(13,9),-1.44722 # DEPENDENCYPART_ARC
(13,10),-3.001 # DEPENDENCYPART_ARC
(13,12),2.19974 # DEPENDENCYPART_ARC
(13,14),1.54626 # DEPENDENCYPART_ARC
