# _root_ - oi , ez naute ni geroko ifernuek izutzen , orain honelako paradisuak dastatu ahal_izanez gero hemen - erantzun ohi nizun halakoetan .
#goldHeads=0,9,2,9,9,9,8,9,19,9,15,13,14,15,9,15,15,17,0,19,19,19,22,
#predictedHeads=0,0,2,9,9,9,8,9,0,9,12,13,14,15,19,15,16,17,0,19,19,19,22,
(5,7),-0.920009 # DEPENDENCYPART_ARC
(5,11),-0.822449 # DEPENDENCYPART_ARC
(6,7),0.960708 # DEPENDENCYPART_ARC
(6,8),-0.651389 # DEPENDENCYPART_ARC
(6,9),-1.05702 # DEPENDENCYPART_ARC
(6,12),-0.252184 # DEPENDENCYPART_ARC
(7,8),-0.0691853 # DEPENDENCYPART_ARC
(7,10),-0.169968 # DEPENDENCYPART_ARC
(8,3),-1.27497 # DEPENDENCYPART_ARC
(8,4),-0.637909 # DEPENDENCYPART_ARC
(8,6),-0.542404 # DEPENDENCYPART_ARC
(8,7),1.71891 # DEPENDENCYPART_ARC
(8,10),-0.608344 # DEPENDENCYPART_ARC
(8,11),-1.10408 # DEPENDENCYPART_ARC
(8,12),-2.09747 # DEPENDENCYPART_ARC
(8,15),-2.5072 # DEPENDENCYPART_ARC
(9,3),-1.02962 # DEPENDENCYPART_ARC
(9,4),1.54545 # DEPENDENCYPART_ARC
(9,5),1.42927 # DEPENDENCYPART_ARC
(9,6),0.356272 # DEPENDENCYPART_ARC
(9,7),0.772666 # DEPENDENCYPART_ARC
(9,8),2.59099 # DEPENDENCYPART_ARC
(9,10),1.45862 # DEPENDENCYPART_ARC
(9,11),-0.229673 # DEPENDENCYPART_ARC
(9,12),-0.963727 # DEPENDENCYPART_ARC
(9,13),-0.744556 # DEPENDENCYPART_ARC
(9,14),-0.257234 # DEPENDENCYPART_ARC
(9,15),0.064656 # DEPENDENCYPART_ARC
(9,16),-0.811283 # DEPENDENCYPART_ARC
(9,17),-0.854248 # DEPENDENCYPART_ARC
(9,19),-0.624662 # DEPENDENCYPART_ARC
(9,20),-0.404452 # DEPENDENCYPART_ARC
(9,21),-0.863273 # DEPENDENCYPART_ARC
(10,5),-1.3662 # DEPENDENCYPART_ARC
(10,8),-0.780868 # DEPENDENCYPART_ARC
(10,9),-0.360499 # DEPENDENCYPART_ARC
(10,12),-0.898207 # DEPENDENCYPART_ARC
(10,14),-0.67066 # DEPENDENCYPART_ARC
(10,15),-0.791624 # DEPENDENCYPART_ARC
(11,9),-0.817827 # DEPENDENCYPART_ARC
(11,10),-0.226937 # DEPENDENCYPART_ARC
(11,12),-0.105505 # DEPENDENCYPART_ARC
(11,13),-0.52403 # DEPENDENCYPART_ARC
(11,16),-0.876905 # DEPENDENCYPART_ARC
(11,17),-0.750229 # DEPENDENCYPART_ARC
(12,8),-1.55426 # DEPENDENCYPART_ARC
(12,9),-1.06239 # DEPENDENCYPART_ARC
(12,11),0.296694 # DEPENDENCYPART_ARC
(12,13),-0.368308 # DEPENDENCYPART_ARC
(13,7),-0.117028 # DEPENDENCYPART_ARC
(13,8),-2.37562 # DEPENDENCYPART_ARC
(13,9),-0.45174 # DEPENDENCYPART_ARC
(13,10),-0.92499 # DEPENDENCYPART_ARC
(13,11),-0.245169 # DEPENDENCYPART_ARC
(13,12),1.9303 # DEPENDENCYPART_ARC
(13,14),0.135392 # DEPENDENCYPART_ARC
(13,15),-1.45184 # DEPENDENCYPART_ARC
(13,16),-0.821857 # DEPENDENCYPART_ARC
(13,17),-1.10297 # DEPENDENCYPART_ARC
(13,19),-1.42482 # DEPENDENCYPART_ARC
(13,23),-1.2053 # DEPENDENCYPART_ARC
(14,3),-1.67426 # DEPENDENCYPART_ARC
(14,4),-0.0169861 # DEPENDENCYPART_ARC
(14,5),-0.624065 # DEPENDENCYPART_ARC
(14,6),-0.698618 # DEPENDENCYPART_ARC
(14,7),-0.703981 # DEPENDENCYPART_ARC
(14,8),-0.334185 # DEPENDENCYPART_ARC
(14,9),-0.590982 # DEPENDENCYPART_ARC
(14,10),-1.54707 # DEPENDENCYPART_ARC
(14,11),0.168414 # DEPENDENCYPART_ARC
(14,12),0.224718 # DEPENDENCYPART_ARC
(14,13),1.73267 # DEPENDENCYPART_ARC
(14,15),1.47511 # DEPENDENCYPART_ARC
(14,16),-0.00811414 # DEPENDENCYPART_ARC
(14,17),-0.49413 # DEPENDENCYPART_ARC
(14,19),-0.635612 # DEPENDENCYPART_ARC
(14,20),-0.692014 # DEPENDENCYPART_ARC
(14,21),-0.654003 # DEPENDENCYPART_ARC
(14,22),-1.20118 # DEPENDENCYPART_ARC
(15,5),-0.475768 # DEPENDENCYPART_ARC
(15,7),-0.672795 # DEPENDENCYPART_ARC
(15,8),-0.410639 # DEPENDENCYPART_ARC
(15,9),-0.495478 # DEPENDENCYPART_ARC
(15,11),0.118647 # DEPENDENCYPART_ARC
(15,12),-0.0772183 # DEPENDENCYPART_ARC
(15,13),1.12915 # DEPENDENCYPART_ARC
(15,14),1.36476 # DEPENDENCYPART_ARC
(15,16),0.882328 # DEPENDENCYPART_ARC
(15,17),-0.0677786 # DEPENDENCYPART_ARC
(15,19),-1.15415 # DEPENDENCYPART_ARC
(15,21),-3.35128 # DEPENDENCYPART_ARC
(16,13),-1.19402 # DEPENDENCYPART_ARC
(16,14),-1.19319 # DEPENDENCYPART_ARC
(16,15),-0.600142 # DEPENDENCYPART_ARC
(16,17),0.0654933 # DEPENDENCYPART_ARC
(17,14),-1.38158 # DEPENDENCYPART_ARC
(17,16),-0.414676 # DEPENDENCYPART_ARC
(17,18),1.36415 # DEPENDENCYPART_ARC
(18,15),-0.81936 # DEPENDENCYPART_ARC
(18,19),-0.802448 # DEPENDENCYPART_ARC
(19,3),-1.26881 # DEPENDENCYPART_ARC
(19,6),-0.680259 # DEPENDENCYPART_ARC
(19,7),-0.929426 # DEPENDENCYPART_ARC
(19,8),-1.1342 # DEPENDENCYPART_ARC
(19,9),-1.09543 # DEPENDENCYPART_ARC
(19,10),-1.51032 # DEPENDENCYPART_ARC
(19,11),-0.848035 # DEPENDENCYPART_ARC
(19,12),-0.675133 # DEPENDENCYPART_ARC
(19,13),-0.553829 # DEPENDENCYPART_ARC
(19,14),-0.747546 # DEPENDENCYPART_ARC
(19,15),0.274063 # DEPENDENCYPART_ARC
(19,16),-0.406487 # DEPENDENCYPART_ARC
(19,17),-0.289931 # DEPENDENCYPART_ARC
(19,20),1.10631 # DEPENDENCYPART_ARC
(19,21),1.31082 # DEPENDENCYPART_ARC
(19,22),-0.229206 # DEPENDENCYPART_ARC
(20,8),-1.24971 # DEPENDENCYPART_ARC
(20,9),-1.65443 # DEPENDENCYPART_ARC
(20,13),-1.21915 # DEPENDENCYPART_ARC
(20,14),-1.49906 # DEPENDENCYPART_ARC
(20,19),-0.180059 # DEPENDENCYPART_ARC
(21,19),-1.66544 # DEPENDENCYPART_ARC
(21,22),-0.906307 # DEPENDENCYPART_ARC
(22,13),-2.76913 # DEPENDENCYPART_ARC
(22,16),-0.780929 # DEPENDENCYPART_ARC
(22,17),-0.655513 # DEPENDENCYPART_ARC
(22,19),-0.653799 # DEPENDENCYPART_ARC
(22,20),-0.128873 # DEPENDENCYPART_ARC
(22,23),1.32668 # DEPENDENCYPART_ARC
