# _root_ elkartasun taldeak ugaritu arren zeregin asko dagoela ere argi dute , eta beraz , jarraitu beharra dagoela .
#goldHeads=2,3,7,3,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
#predictedHeads=2,3,5,3,7,5,10,0,10,12,10,0,0,13,16,17,10,17,
(7,2),0.283991 # DEPENDENCYPART_ARC
(7,3),-0.330425 # DEPENDENCYPART_ARC
(7,4),-0.107398 # DEPENDENCYPART_ARC
(7,5),1.41992 # DEPENDENCYPART_ARC
(7,6),0.268946 # DEPENDENCYPART_ARC
(7,8),1.20692 # DEPENDENCYPART_ARC
(7,9),-0.227406 # DEPENDENCYPART_ARC
(7,10),-1.65356 # DEPENDENCYPART_ARC
(7,12),-0.102025 # DEPENDENCYPART_ARC
(7,15),-1.47086 # DEPENDENCYPART_ARC
(7,16),-1.0397 # DEPENDENCYPART_ARC
(7,17),-0.761612 # DEPENDENCYPART_ARC
(8,3),-1.61947 # DEPENDENCYPART_ARC
(8,7),-0.335846 # DEPENDENCYPART_ARC
(8,10),-0.365261 # DEPENDENCYPART_ARC
(8,12),-1.2132 # DEPENDENCYPART_ARC
(8,13),-1.80149 # DEPENDENCYPART_ARC
(8,15),-2.5468 # DEPENDENCYPART_ARC
(9,5),-0.569766 # DEPENDENCYPART_ARC
(9,8),0.213422 # DEPENDENCYPART_ARC
(9,10),0.894957 # DEPENDENCYPART_ARC
(9,11),0.531386 # DEPENDENCYPART_ARC
(9,14),-0.176521 # DEPENDENCYPART_ARC
(9,16),-0.577796 # DEPENDENCYPART_ARC
(10,1),-0.596583 # DEPENDENCYPART_ARC
(10,2),-0.111797 # DEPENDENCYPART_ARC
(10,3),-0.298403 # DEPENDENCYPART_ARC
(10,4),-1.1868 # DEPENDENCYPART_ARC
(10,5),0.0861862 # DEPENDENCYPART_ARC
(10,6),-0.887004 # DEPENDENCYPART_ARC
(10,7),-0.0143914 # DEPENDENCYPART_ARC
(10,8),-0.746258 # DEPENDENCYPART_ARC
(10,9),0.86566 # DEPENDENCYPART_ARC
(10,11),1.41193 # DEPENDENCYPART_ARC
(10,12),-0.262582 # DEPENDENCYPART_ARC
(10,13),-0.210319 # DEPENDENCYPART_ARC
(10,15),-0.716264 # DEPENDENCYPART_ARC
(10,16),-0.362438 # DEPENDENCYPART_ARC
(10,17),0.887141 # DEPENDENCYPART_ARC
(11,7),-0.785359 # DEPENDENCYPART_ARC
(11,12),-0.680784 # DEPENDENCYPART_ARC
(11,17),-1.0953 # DEPENDENCYPART_ARC
(12,1),-1.73563 # DEPENDENCYPART_ARC
(12,2),-2.13075 # DEPENDENCYPART_ARC
(12,3),-0.190724 # DEPENDENCYPART_ARC
(12,5),-1.03026 # DEPENDENCYPART_ARC
(12,7),-0.0573977 # DEPENDENCYPART_ARC
(12,9),-0.0768855 # DEPENDENCYPART_ARC
(12,10),1.65569 # DEPENDENCYPART_ARC
(12,11),-0.227399 # DEPENDENCYPART_ARC
(12,13),-0.0531622 # DEPENDENCYPART_ARC
(12,14),4.09196e-05 # DEPENDENCYPART_ARC
(12,15),0.0484379 # DEPENDENCYPART_ARC
(12,16),-0.137894 # DEPENDENCYPART_ARC
(12,17),0.407902 # DEPENDENCYPART_ARC
(13,10),-1.59488 # DEPENDENCYPART_ARC
(13,14),0.861575 # DEPENDENCYPART_ARC
(13,15),-1.38623 # DEPENDENCYPART_ARC
(13,16),-1.30535 # DEPENDENCYPART_ARC
(13,17),-1.26825 # DEPENDENCYPART_ARC
(14,7),-0.499402 # DEPENDENCYPART_ARC
(14,10),-0.706719 # DEPENDENCYPART_ARC
(14,12),-0.743804 # DEPENDENCYPART_ARC
(14,15),-0.690632 # DEPENDENCYPART_ARC
(14,16),-1.46983 # DEPENDENCYPART_ARC
(14,17),-1.12709 # DEPENDENCYPART_ARC
(15,1),-2.252 # DEPENDENCYPART_ARC
(15,2),-1.26425 # DEPENDENCYPART_ARC
(15,3),-1.27169 # DEPENDENCYPART_ARC
(15,5),-1.61767 # DEPENDENCYPART_ARC
(15,6),-2.15364 # DEPENDENCYPART_ARC
(15,7),-0.324381 # DEPENDENCYPART_ARC
(15,8),-1.15836 # DEPENDENCYPART_ARC
(15,9),-1.21876 # DEPENDENCYPART_ARC
(15,10),-0.271264 # DEPENDENCYPART_ARC
(15,11),-1.12156 # DEPENDENCYPART_ARC
(15,12),0.323654 # DEPENDENCYPART_ARC
(15,13),0.168912 # DEPENDENCYPART_ARC
(15,14),-0.318751 # DEPENDENCYPART_ARC
(15,16),0.865889 # DEPENDENCYPART_ARC
(15,17),0.471874 # DEPENDENCYPART_ARC
(16,3),-1.05937 # DEPENDENCYPART_ARC
(16,9),-0.820222 # DEPENDENCYPART_ARC
(16,11),-1.25776 # DEPENDENCYPART_ARC
(16,12),-0.847442 # DEPENDENCYPART_ARC
(16,14),-0.608053 # DEPENDENCYPART_ARC
(16,15),1.73526 # DEPENDENCYPART_ARC
(16,17),-0.14039 # DEPENDENCYPART_ARC
(16,18),-0.482153 # DEPENDENCYPART_ARC
(17,1),-1.81872 # DEPENDENCYPART_ARC
(17,2),-1.60068 # DEPENDENCYPART_ARC
(17,3),-0.911054 # DEPENDENCYPART_ARC
(17,5),-1.33261 # DEPENDENCYPART_ARC
(17,7),-1.41911 # DEPENDENCYPART_ARC
(17,9),-0.882487 # DEPENDENCYPART_ARC
(17,10),-1.18174 # DEPENDENCYPART_ARC
(17,11),-1.37086 # DEPENDENCYPART_ARC
(17,12),-0.807457 # DEPENDENCYPART_ARC
(17,13),0.0106513 # DEPENDENCYPART_ARC
(17,14),-0.92387 # DEPENDENCYPART_ARC
(17,15),0.529996 # DEPENDENCYPART_ARC
(17,16),2.52138 # DEPENDENCYPART_ARC
(17,18),1.44461 # DEPENDENCYPART_ARC
(18,16),-0.988553 # DEPENDENCYPART_ARC
