# _root_ hori guztia " bazterketarik gabe , inor bakartu gabe , betorik gabe eta indarkeriarik gabe " egin behar_dela gaineratu zuen ibarretxek .
#goldHeads=17,1,2,13,14,5,8,13,14,9,13,14,17,13,14,15,18,19,0,19,19,21,
#predictedHeads=0,1,2,8,4,5,8,18,8,9,13,11,17,13,14,15,18,19,0,19,19,21,
(10,11),-0.854295 # DEPENDENCYPART_ARC
(10,18),-1.32383 # DEPENDENCYPART_ARC
(11,1),-4.12763 # DEPENDENCYPART_ARC
(11,5),-1.74588 # DEPENDENCYPART_ARC
(11,6),-1.91071 # DEPENDENCYPART_ARC
(11,7),-1.62236 # DEPENDENCYPART_ARC
(11,8),-1.40506 # DEPENDENCYPART_ARC
(11,9),-1.049 # DEPENDENCYPART_ARC
(11,10),-0.442951 # DEPENDENCYPART_ARC
(11,12),1.21401 # DEPENDENCYPART_ARC
(11,13),-0.387219 # DEPENDENCYPART_ARC
(11,14),-0.692167 # DEPENDENCYPART_ARC
(11,15),-0.252313 # DEPENDENCYPART_ARC
(11,17),-0.405568 # DEPENDENCYPART_ARC
(11,18),-0.977844 # DEPENDENCYPART_ARC
(11,22),-0.177769 # DEPENDENCYPART_ARC
(12,8),-1.45604 # DEPENDENCYPART_ARC
(12,9),-0.852693 # DEPENDENCYPART_ARC
(12,11),-0.47693 # DEPENDENCYPART_ARC
(12,13),-0.482339 # DEPENDENCYPART_ARC
(12,14),-1.15164 # DEPENDENCYPART_ARC
(13,1),-1.601 # DEPENDENCYPART_ARC
(13,4),-0.817526 # DEPENDENCYPART_ARC
(13,5),-0.9547 # DEPENDENCYPART_ARC
(13,8),-0.337814 # DEPENDENCYPART_ARC
(13,9),-0.705221 # DEPENDENCYPART_ARC
(13,10),-1.35756 # DEPENDENCYPART_ARC
(13,11),0.336982 # DEPENDENCYPART_ARC
(13,12),-0.0580155 # DEPENDENCYPART_ARC
(13,14),1.17886 # DEPENDENCYPART_ARC
(13,15),-0.255078 # DEPENDENCYPART_ARC
(13,17),-0.168248 # DEPENDENCYPART_ARC
(13,18),0.192965 # DEPENDENCYPART_ARC
(13,19),-0.295051 # DEPENDENCYPART_ARC
(14,5),-2.43874 # DEPENDENCYPART_ARC
(14,10),-2.87589 # DEPENDENCYPART_ARC
(14,13),-1.19689 # DEPENDENCYPART_ARC
(14,15),1.00524 # DEPENDENCYPART_ARC
(14,17),-0.603107 # DEPENDENCYPART_ARC
(14,18),-1.2256 # DEPENDENCYPART_ARC
(14,19),-2.05896 # DEPENDENCYPART_ARC
(14,20),-1.45551 # DEPENDENCYPART_ARC
(14,22),-0.44978 # DEPENDENCYPART_ARC
(15,11),-1.32605 # DEPENDENCYPART_ARC
(15,12),-0.714348 # DEPENDENCYPART_ARC
(15,13),-0.820946 # DEPENDENCYPART_ARC
(15,14),-0.437141 # DEPENDENCYPART_ARC
(15,16),1.25293 # DEPENDENCYPART_ARC
(15,21),-0.891226 # DEPENDENCYPART_ARC
(16,14),-0.793886 # DEPENDENCYPART_ARC
(16,17),-0.379053 # DEPENDENCYPART_ARC
(16,19),-0.891419 # DEPENDENCYPART_ARC
(17,1),-1.71404 # DEPENDENCYPART_ARC
(17,4),-0.700291 # DEPENDENCYPART_ARC
(17,5),-2.01072 # DEPENDENCYPART_ARC
(17,6),-1.44525 # DEPENDENCYPART_ARC
(17,8),-0.533434 # DEPENDENCYPART_ARC
(17,9),-1.5234 # DEPENDENCYPART_ARC
(17,10),-1.43171 # DEPENDENCYPART_ARC
(17,11),-0.13075 # DEPENDENCYPART_ARC
(17,12),-1.09521 # DEPENDENCYPART_ARC
(17,13),0.549438 # DEPENDENCYPART_ARC
(17,14),0.496825 # DEPENDENCYPART_ARC
(17,15),-0.546472 # DEPENDENCYPART_ARC
(17,18),-0.0581223 # DEPENDENCYPART_ARC
(17,19),-0.492272 # DEPENDENCYPART_ARC
(17,20),-0.862676 # DEPENDENCYPART_ARC
(17,21),0.0776673 # DEPENDENCYPART_ARC
(18,4),-0.494224 # DEPENDENCYPART_ARC
(18,5),-1.60785 # DEPENDENCYPART_ARC
(18,8),0.341415 # DEPENDENCYPART_ARC
(18,9),-1.3551 # DEPENDENCYPART_ARC
(18,11),-0.124686 # DEPENDENCYPART_ARC
(18,12),-0.864967 # DEPENDENCYPART_ARC
(18,13),-0.0683384 # DEPENDENCYPART_ARC
(18,14),0.276757 # DEPENDENCYPART_ARC
(18,15),-0.31046 # DEPENDENCYPART_ARC
(18,17),1.94946 # DEPENDENCYPART_ARC
(18,19),-0.259229 # DEPENDENCYPART_ARC
(18,20),-0.884223 # DEPENDENCYPART_ARC
(19,4),-1.66111 # DEPENDENCYPART_ARC
(19,5),-2.24509 # DEPENDENCYPART_ARC
(19,6),-1.62443 # DEPENDENCYPART_ARC
(19,8),-0.607375 # DEPENDENCYPART_ARC
(19,9),-1.82031 # DEPENDENCYPART_ARC
(19,10),-1.89513 # DEPENDENCYPART_ARC
(19,11),-1.09113 # DEPENDENCYPART_ARC
(19,12),-1.55399 # DEPENDENCYPART_ARC
(19,13),0.463754 # DEPENDENCYPART_ARC
(19,14),-0.973465 # DEPENDENCYPART_ARC
(19,15),-1.00661 # DEPENDENCYPART_ARC
(19,17),0.244465 # DEPENDENCYPART_ARC
(19,18),1.27308 # DEPENDENCYPART_ARC
(19,20),1.43457 # DEPENDENCYPART_ARC
(19,21),1.85442 # DEPENDENCYPART_ARC
(20,17),-2.206 # DEPENDENCYPART_ARC
(20,21),-0.635051 # DEPENDENCYPART_ARC
(21,19),-0.67271 # DEPENDENCYPART_ARC
(21,22),1.5375 # DEPENDENCYPART_ARC
