sentence,n,depth,max degree,deg0,deg1,deg2,deg3,deg4,deg5,deg6,deg7,deg8,deg > 9
183,9,5,4,5,2,1,0,1,0,0,0,0,0
184,16,8,5,7,6,2,0,0,1,0,0,0,0
185,29,8,6,16,5,4,3,0,0,1,0,0,0
186,32,7,7,19,4,5,2,1,0,0,1,0,0
187,13,4,4,9,0,2,0,2,0,0,0,0,0
188,31,13,5,13,12,2,3,0,1,0,0,0,0
189,25,6,6,12,7,4,1,0,0,1,0,0,0
190,46,8,8,30,7,3,1,1,1,2,0,1,0
191,17,5,6,11,1,3,1,0,0,1,0,0,0
192,20,13,3,8,7,3,2,0,0,0,0,0,0
193,21,9,4,11,5,1,3,1,0,0,0,0,0
194,14,5,6,8,3,2,0,0,0,1,0,0,0
195,24,5,8,14,6,2,0,0,1,0,0,1,0
196,20,5,6,13,3,1,0,2,0,1,0,0,0
197,23,6,8,15,4,1,1,0,1,0,0,1,0
198,36,8,7,23,5,1,4,1,1,0,1,0,0
199,8,3,6,6,1,0,0,0,0,1,0,0,0
200,2,2,1,1,1,0,0,0,0,0,0,0,0
201,26,10,6,11,11,1,2,0,0,1,0,0,0
202,22,7,4,12,4,3,1,2,0,0,0,0,0
203,43,14,7,25,9,3,2,2,0,1,1,0,0
204,29,7,4,15,7,3,1,3,0,0,0,0,0
205,17,6,5,10,4,0,1,1,1,0,0,0,0
206,22,5,8,17,1,1,0,1,0,1,0,1,0
207,21,8,5,12,4,1,3,0,1,0,0,0,0
208,18,6,5,9,6,0,2,0,1,0,0,0,0
209,7,3,5,5,1,0,0,0,1,0,0,0,0
210,47,15,5,22,13,7,3,0,2,0,0,0,0
211,21,6,6,12,5,1,1,1,0,1,0,0,0
212,18,5,4,9,5,2,0,2,0,0,0,0,0
213,20,8,6,11,4,3,1,0,0,1,0,0,0
214,19,9,5,11,2,4,1,0,1,0,0,0,0
215,43,10,8,25,7,6,3,0,0,1,0,1,0
216,25,9,3,9,9,6,1,0,0,0,0,0,0
217,34,11,7,19,8,3,1,1,1,0,1,0,0
218,18,8,4,10,3,2,2,1,0,0,0,0,0
219,16,6,6,8,5,2,0,0,0,1,0,0,0
220,28,11,7,12,12,2,0,1,0,0,1,0,0
221,16,5,5,9,4,1,0,1,1,0,0,0,0
222,21,8,3,9,6,4,2,0,0,0,0,0,0
223,58,17,7,23,23,7,3,1,0,0,1,0,0
224,6,3,4,4,1,0,0,1,0,0,0,0,0
225,19,7,7,11,4,2,1,0,0,0,1,0,0
226,27,6,6,18,3,1,1,3,0,1,0,0,0
227,15,4,7,10,2,1,1,0,0,0,1,0,0
228,14,5,4,8,3,1,0,2,0,0,0,0,0
229,14,5,6,10,1,0,2,0,0,1,0,0,0
230,5,2,4,4,0,0,0,1,0,0,0,0,0
231,36,9,4,17,9,5,4,1,0,0,0,0,0
232,33,12,6,15,12,3,1,0,1,1,0,0,0
233,34,6,7,20,7,2,3,0,0,1,1,0,0
234,15,7,6,8,4,2,0,0,0,1,0,0,0
235,12,4,6,7,3,1,0,0,0,1,0,0,0
236,26,7,6,14,7,1,2,1,0,1,0,0,0
237,16,8,3,8,3,3,2,0,0,0,0,0,0
238,19,6,6,8,8,2,0,0,0,1,0,0,0
239,40,8,6,20,10,5,3,1,0,1,0,0,0
240,20,7,3,9,5,4,2,0,0,0,0,0,0
241,38,11,6,21,8,3,3,2,0,1,0,0,0
242,15,9,5,7,5,2,0,0,1,0,0,0,0
243,27,9,8,16,4,4,2,0,0,0,0,1,0
244,5,3,3,3,1,0,1,0,0,0,0,0,0
245,4,2,3,3,0,0,1,0,0,0,0,0,0
246,14,5,5,7,5,0,1,0,1,0,0,0,0
247,23,8,7,12,5,5,0,0,0,0,1,0,0
248,5,2,4,4,0,0,0,1,0,0,0,0,0
249,31,7,8,19,6,2,2,0,0,1,0,1,0
250,17,7,6,10,3,2,1,0,0,1,0,0,0
251,10,5,5,6,2,1,0,0,1,0,0,0,0
252,19,7,4,10,3,4,1,1,0,0,0,0,0
253,18,9,6,9,6,1,1,0,0,1,0,0,0
254,27,6,5,17,4,1,2,1,2,0,0,0,0
255,4,2,3,3,0,0,1,0,0,0,0,0,0
256,7,3,4,4,2,0,0,1,0,0,0,0,0
257,13,5,4,8,2,0,2,1,0,0,0,0,0
258,29,9,10,19,4,2,2,1,0,0,0,0,1
259,25,8,5,15,4,2,2,0,2,0,0,0,0
260,15,5,4,9,3,0,1,2,0,0,0,0,0
261,10,6,4,4,5,0,0,1,0,0,0,0,0
262,30,8,6,17,7,2,1,1,1,1,0,0,0
263,5,3,3,3,1,0,1,0,0,0,0,0,0
264,17,4,6,13,1,0,0,1,1,1,0,0,0
265,19,6,6,11,5,1,0,0,1,1,0,0,0
266,24,8,6,12,7,2,2,0,0,1,0,0,0
267,26,7,5,11,9,4,1,0,1,0,0,0,0
268,7,3,3,4,1,1,1,0,0,0,0,0,0
269,6,2,5,5,0,0,0,0,1,0,0,0,0
270,14,10,3,5,6,2,1,0,0,0,0,0,0
271,5,3,3,3,1,0,1,0,0,0,0,0,0
272,11,4,4,7,1,1,1,1,0,0,0,0,0
273,16,5,7,11,2,1,0,1,0,0,1,0,0
274,25,8,5,15,3,3,2,1,1,0,0,0,0
275,5,2,4,4,0,0,0,1,0,0,0,0,0
276,21,11,4,11,4,3,2,1,0,0,0,0,0
277,36,10,3,17,10,2,7,0,0,0,0,0,0
278,19,7,4,9,6,1,2,1,0,0,0,0,0
279,28,10,4,15,5,3,4,1,0,0,0,0,0
280,12,8,3,3,8,0,1,0,0,0,0,0,0
281,32,10,5,16,7,6,1,1,1,0,0,0,0
282,20,7,4,9,6,3,1,1,0,0,0,0,0
283,15,5,4,9,2,1,2,1,0,0,0,0,0
284,30,7,5,15,8,3,2,1,1,0,0,0,0
285,33,12,5,18,7,3,2,2,1,0,0,0,0
286,6,3,3,4,0,1,1,0,0,0,0,0,0
287,23,6,6,12,7,1,1,1,0,1,0,0,0
288,7,4,4,4,2,0,0,1,0,0,0,0,0
289,14,4,5,9,3,0,0,0,2,0,0,0,0
290,24,7,4,14,3,3,2,2,0,0,0,0,0
291,17,7,5,7,8,0,1,0,1,0,0,0,0
292,10,4,3,7,0,0,3,0,0,0,0,0,0
293,6,3,4,4,1,0,0,1,0,0,0,0,0
294,15,4,5,9,4,0,0,0,2,0,0,0,0
295,10,4,4,6,2,0,1,1,0,0,0,0,0
296,11,4,5,6,3,1,0,0,1,0,0,0,0
297,59,6,14,34,8,14,1,0,1,0,0,0,1
298,33,8,6,17,10,2,1,1,1,1,0,0,0
299,29,5,10,17,6,4,0,1,0,0,0,0,1
300,28,10,4,13,8,3,3,1,0,0,0,0,0
301,7,3,3,4,1,1,1,0,0,0,0,0,0
302,22,5,6,13,4,3,0,0,1,1,0,0,0
303,33,5,12,20,6,5,0,1,0,0,0,0,1
304,12,4,7,9,0,2,0,0,0,0,1,0,0
305,64,6,14,33,24,0,0,5,1,0,0,0,1
306,32,5,8,18,8,4,0,0,0,0,1,1,0
307,21,7,6,9,8,3,0,0,0,1,0,0,0
308,24,5,9,13,9,0,0,0,1,0,0,0,1
309,15,4,6,9,3,1,1,0,0,1,0,0,0
310,47,12,6,27,10,3,2,2,2,1,0,0,0
311,23,7,9,14,5,1,2,0,0,0,0,0,1
312,20,5,6,14,2,0,2,0,1,1,0,0,0
313,6,3,3,4,0,1,1,0,0,0,0,0,0
314,45,7,7,28,8,1,4,0,3,0,1,0,0
315,6,3,3,4,0,1,1,0,0,0,0,0,0
316,9,3,7,7,1,0,0,0,0,0,1,0,0
317,20,6,7,11,6,0,2,0,0,0,1,0,0
318,30,7,5,18,4,3,2,2,1,0,0,0,0
319,12,5,3,6,2,3,1,0,0,0,0,0,0
320,15,8,3,7,4,2,2,0,0,0,0,0,0
321,13,5,3,6,4,1,2,0,0,0,0,0,0
322,8,5,3,3,4,0,1,0,0,0,0,0,0
323,22,5,5,14,4,0,1,1,2,0,0,0,0
324,15,5,4,9,3,0,1,2,0,0,0,0,0
325,26,7,5,16,4,1,2,2,1,0,0,0,0
326,15,9,3,6,6,1,2,0,0,0,0,0,0
327,27,8,3,14,5,3,5,0,0,0,0,0,0
328,27,11,4,13,6,5,2,1,0,0,0,0,0
329,33,14,4,15,11,2,3,2,0,0,0,0,0
330,22,8,3,11,5,2,4,0,0,0,0,0,0
331,13,6,4,8,2,1,0,2,0,0,0,0,0
332,18,7,4,9,6,0,1,2,0,0,0,0,0
333,32,11,7,14,11,5,1,0,0,0,1,0,0
334,32,9,5,15,9,5,1,1,1,0,0,0,0
335,18,7,5,8,6,3,0,0,1,0,0,0,0
336,33,9,6,16,9,4,3,0,0,1,0,0,0
337,26,7,5,14,5,4,1,1,1,0,0,0,0
338,19,8,4,9,6,1,2,1,0,0,0,0,0
339,31,8,4,14,9,4,3,1,0,0,0,0,0
340,25,13,4,12,7,2,3,1,0,0,0,0,0
341,28,10,4,14,7,3,2,2,0,0,0,0,0
342,32,8,6,19,5,3,3,0,1,1,0,0,0
343,14,8,5,7,4,2,0,0,1,0,0,0,0
344,10,4,4,6,1,2,0,1,0,0,0,0,0
345,20,7,6,10,6,2,1,0,0,1,0,0,0
346,36,7,7,19,11,1,2,1,1,0,1,0,0
347,22,6,7,11,7,2,1,0,0,0,1,0,0
348,27,9,5,15,5,2,4,0,1,0,0,0,0
349,17,5,5,12,1,1,0,2,1,0,0,0,0
350,16,5,3,8,4,1,3,0,0,0,0,0,0
351,23,9,4,10,7,4,1,1,0,0,0,0,0
352,26,7,5,15,5,1,3,1,1,0,0,0,0
353,26,9,4,14,5,3,2,2,0,0,0,0,0
354,14,8,3,5,6,2,1,0,0,0,0,0,0
355,17,8,6,9,4,3,0,0,0,1,0,0,0
356,38,8,6,23,4,5,4,0,1,1,0,0,0
357,19,9,3,7,8,2,2,0,0,0,0,0,0
358,25,7,6,13,8,1,1,0,1,1,0,0,0
359,32,7,5,15,10,4,1,0,2,0,0,0,0
360,30,8,6,15,10,2,0,1,1,1,0,0,0
361,26,13,3,9,11,4,2,0,0,0,0,0,0
362,26,9,6,12,8,4,1,0,0,1,0,0,0
363,40,21,4,17,12,7,3,1,0,0,0,0,0
364,29,10,4,12,10,4,2,1,0,0,0,0,0
365,26,11,4,11,9,3,2,1,0,0,0,0,0
366,29,11,5,17,4,4,2,0,2,0,0,0,0
367,28,11,7,13,9,4,1,0,0,0,1,0,0
368,32,11,5,16,6,7,2,0,1,0,0,0,0
369,62,12,7,33,17,3,4,1,3,0,1,0,0
370,27,12,3,12,7,5,3,0,0,0,0,0,0
371,10,4,5,6,2,1,0,0,1,0,0,0,0
372,34,15,4,15,10,5,3,1,0,0,0,0,0
373,15,6,3,8,2,3,2,0,0,0,0,0,0
374,26,11,4,12,7,4,2,1,0,0,0,0,0
375,35,9,6,18,9,3,3,1,0,1,0,0,0
376,29,9,4,14,6,6,2,1,0,0,0,0,0
377,29,12,6,13,10,3,2,0,0,1,0,0,0
378,17,8,4,5,10,1,0,1,0,0,0,0,0
379,25,10,4,13,5,4,1,2,0,0,0,0,0
380,10,4,3,5,3,0,2,0,0,0,0,0,0
381,41,12,6,25,5,3,6,0,1,1,0,0,0
382,25,8,5,13,6,2,3,0,1,0,0,0,0
383,16,6,3,7,5,2,2,0,0,0,0,0,0
384,8,5,3,3,4,0,1,0,0,0,0,0,0
385,52,10,7,29,13,3,4,0,0,1,2,0,0
386,26,8,4,13,7,2,2,2,0,0,0,0,0
387,22,11,4,12,5,1,2,2,0,0,0,0,0
388,23,8,4,11,7,2,1,2,0,0,0,0,0
389,9,5,3,4,3,1,1,0,0,0,0,0,0
390,13,7,3,5,5,2,1,0,0,0,0,0,0
391,25,10,5,13,7,2,1,0,2,0,0,0,0
392,27,8,6,16,5,1,3,1,0,1,0,0,0
393,20,7,4,10,4,4,1,1,0,0,0,0,0
394,20,7,6,13,2,2,1,1,0,1,0,0,0
395,26,8,5,14,6,2,2,1,1,0,0,0,0
396,14,7,6,7,5,1,0,0,0,1,0,0,0
397,7,3,4,4,2,0,0,1,0,0,0,0,0
398,17,7,4,9,4,1,2,1,0,0,0,0,0
399,24,7,5,11,9,1,1,1,1,0,0,0,0
400,21,8,5,10,6,3,1,0,1,0,0,0,0
401,20,5,8,11,5,3,0,0,0,0,0,1,0
402,29,8,6,11,12,5,0,0,0,1,0,0,0
403,29,7,6,15,9,1,2,0,1,1,0,0,0
404,41,11,5,19,11,6,4,0,1,0,0,0,0
405,14,5,5,7,5,0,1,0,1,0,0,0,0
406,16,8,5,8,5,1,1,0,1,0,0,0,0
407,17,5,6,9,5,1,1,0,0,1,0,0,0
408,6,3,4,4,1,0,0,1,0,0,0,0,0
409,19,7,3,7,8,2,2,0,0,0,0,0,0
410,14,5,6,8,3,2,0,0,0,1,0,0,0
411,11,6,4,5,4,1,0,1,0,0,0,0,0
412,18,5,7,8,8,1,0,0,0,0,1,0,0
413,18,10,4,9,4,3,1,1,0,0,0,0,0
414,50,16,5,25,10,10,2,2,1,0,0,0,0
415,33,10,5,18,9,1,2,0,3,0,0,0,0
416,25,6,6,14,7,0,1,2,0,1,0,0,0
417,14,6,3,6,5,1,2,0,0,0,0,0,0
418,9,4,5,5,3,0,0,0,1,0,0,0,0
419,18,7,3,8,6,1,3,0,0,0,0,0,0
420,28,8,5,13,9,3,1,1,1,0,0,0,0
421,20,8,5,9,7,2,1,0,1,0,0,0,0
422,13,6,6,7,4,1,0,0,0,1,0,0,0
423,27,7,4,12,7,6,1,1,0,0,0,0,0
424,11,3,6,6,4,0,0,0,0,1,0,0,0
425,14,6,4,8,2,2,1,1,0,0,0,0,0
426,9,4,4,5,2,1,0,1,0,0,0,0,0
427,8,3,4,5,1,1,0,1,0,0,0,0,0
428,8,4,4,5,1,1,0,1,0,0,0,0,0
429,13,5,5,6,5,1,0,0,1,0,0,0,0
430,42,7,6,23,9,5,1,2,1,1,0,0,0
431,16,5,5,7,6,2,0,0,1,0,0,0,0
432,36,13,7,18,12,3,0,0,2,0,1,0,0
433,20,8,6,10,6,2,1,0,0,1,0,0,0
434,16,5,6,10,2,2,1,0,0,1,0,0,0
435,23,8,4,10,8,2,2,1,0,0,0,0,0
436,9,4,5,5,3,0,0,0,1,0,0,0,0
437,29,7,8,16,8,2,1,0,1,0,0,1,0
438,15,4,6,8,5,0,1,0,0,1,0,0,0
439,15,6,5,8,4,1,1,0,1,0,0,0,0
440,25,11,5,11,9,2,2,0,1,0,0,0,0
441,38,15,4,14,16,5,1,2,0,0,0,0,0
442,21,8,4,8,9,2,1,1,0,0,0,0,0
443,11,7,2,4,4,3,0,0,0,0,0,0,0
444,35,11,7,17,10,4,3,0,0,0,1,0,0
445,19,7,7,8,9,1,0,0,0,0,1,0,0
446,44,12,6,19,16,3,5,0,0,1,0,0,0
447,24,6,8,12,8,2,1,0,0,0,0,1,0
448,11,4,5,6,3,1,0,0,1,0,0,0,0
449,20,7,5,11,5,1,1,1,1,0,0,0,0
450,36,11,4,15,12,5,3,1,0,0,0,0,0
451,19,7,4,10,4,3,0,2,0,0,0,0,0
452,15,7,6,8,4,2,0,0,0,1,0,0,0
453,10,4,5,6,2,1,0,0,1,0,0,0,0
454,21,8,6,11,5,3,1,0,0,1,0,0,0
455,7,5,3,3,3,0,1,0,0,0,0,0,0
456,23,7,6,14,4,1,2,1,0,1,0,0,0
457,18,7,5,8,6,3,0,0,1,0,0,0,0
458,7,3,3,4,1,1,1,0,0,0,0,0,0
459,32,8,8,14,12,4,1,0,0,0,0,1,0
460,26,11,4,10,12,1,1,2,0,0,0,0,0
461,9,5,3,4,3,1,1,0,0,0,0,0,0
462,20,8,3,8,8,1,3,0,0,0,0,0,0
463,14,7,4,6,5,2,0,1,0,0,0,0,0
464,24,8,3,12,5,3,4,0,0,0,0,0,0
465,32,8,5,16,10,1,2,2,1,0,0,0,0
466,31,8,5,14,11,3,1,0,2,0,0,0,0
467,10,6,3,4,4,1,1,0,0,0,0,0,0
468,22,5,5,9,8,4,0,0,1,0,0,0,0
469,30,13,4,14,9,2,4,1,0,0,0,0,0
470,27,7,4,15,6,1,2,3,0,0,0,0,0
471,23,9,3,11,6,2,4,0,0,0,0,0,0
472,38,7,8,20,10,3,3,1,0,0,0,1,0
473,27,8,8,12,11,2,1,0,0,0,0,1,0
474,24,6,6,11,9,2,0,1,0,1,0,0,0
475,18,7,5,10,4,1,2,0,1,0,0,0,0
476,24,7,3,13,3,4,4,0,0,0,0,0,0
477,25,9,5,11,8,4,1,0,1,0,0,0,0
478,26,9,8,13,8,3,1,0,0,0,0,1,0
479,45,10,7,27,8,4,2,1,1,1,1,0,0
480,26,10,5,13,7,3,1,1,1,0,0,0,0
481,17,8,4,7,7,1,1,1,0,0,0,0,0
482,14,6,4,6,5,2,0,1,0,0,0,0,0
483,24,8,5,11,8,2,2,0,1,0,0,0,0
484,30,8,5,17,7,2,0,2,2,0,0,0,0
485,19,5,6,11,4,1,2,0,0,1,0,0,0
486,24,7,6,15,4,1,1,2,0,1,0,0,0
487,19,8,4,9,5,3,1,1,0,0,0,0,0
488,19,7,4,10,4,2,2,1,0,0,0,0,0
489,18,10,3,8,6,1,3,0,0,0,0,0,0
490,12,4,4,6,4,0,1,1,0,0,0,0,0
491,31,11,7,16,8,3,3,0,0,0,1,0,0
492,17,5,6,11,2,2,0,1,0,1,0,0,0
493,25,10,5,12,8,2,1,1,1,0,0,0,0
494,21,6,5,11,6,1,1,1,1,0,0,0,0
495,8,4,5,5,2,0,0,0,1,0,0,0,0
