# _root_ Bir konuda bilgi _ verirken veya bir gerçeği _ savunurken , _ türlü kanıtlardan _ _ faydalanan , bunları bilimsel biçimde _ inceleyen gazete ve dergi yazılarına makale _ denir .
#goldHeads=2,4,4,5,6,10,8,9,10,16,0,13,14,16,16,17,18,23,22,21,22,23,24,25,26,27,30,30,30,31,0,
#predictedHeads=2,4,4,5,6,7,8,9,10,30,0,13,14,16,16,17,18,24,22,21,22,23,24,25,26,27,30,30,30,31,0,
(13,4),-1.38342 # DEPENDENCYPART_ARC
(13,7),-0.944218 # DEPENDENCYPART_ARC
(13,8),-0.664201 # DEPENDENCYPART_ARC
(13,9),-0.753908 # DEPENDENCYPART_ARC
(13,10),-0.458801 # DEPENDENCYPART_ARC
(13,11),-0.305309 # DEPENDENCYPART_ARC
(13,12),1.82101 # DEPENDENCYPART_ARC
(13,15),-1.59686 # DEPENDENCYPART_ARC
(13,28),-2.2068 # DEPENDENCYPART_ARC
(14,1),-1.68652 # DEPENDENCYPART_ARC
(14,7),-1.17761 # DEPENDENCYPART_ARC
(14,9),-2.20878 # DEPENDENCYPART_ARC
(14,11),-0.916415 # DEPENDENCYPART_ARC
(14,12),-0.249784 # DEPENDENCYPART_ARC
(14,13),2.00782 # DEPENDENCYPART_ARC
(14,15),-1.10736 # DEPENDENCYPART_ARC
(15,11),-1.19931 # DEPENDENCYPART_ARC
(15,12),-1.46319 # DEPENDENCYPART_ARC
(15,13),-0.64582 # DEPENDENCYPART_ARC
(15,14),0.112059 # DEPENDENCYPART_ARC
(15,16),-1.1822 # DEPENDENCYPART_ARC
(16,2),-0.915334 # DEPENDENCYPART_ARC
(16,3),-0.681205 # DEPENDENCYPART_ARC
(16,4),-4.54749 # DEPENDENCYPART_ARC
(16,5),-0.254612 # DEPENDENCYPART_ARC
(16,6),-0.47533 # DEPENDENCYPART_ARC
(16,8),-0.546917 # DEPENDENCYPART_ARC
(16,9),-3.04525 # DEPENDENCYPART_ARC
(16,10),-0.43852 # DEPENDENCYPART_ARC
(16,11),-0.633262 # DEPENDENCYPART_ARC
(16,12),-0.844728 # DEPENDENCYPART_ARC
(16,13),-0.294071 # DEPENDENCYPART_ARC
(16,14),0.638392 # DEPENDENCYPART_ARC
(16,15),1.69885 # DEPENDENCYPART_ARC
(16,30),-1.83009 # DEPENDENCYPART_ARC
(17,8),-0.675659 # DEPENDENCYPART_ARC
(17,10),-0.265239 # DEPENDENCYPART_ARC
(17,11),-0.274161 # DEPENDENCYPART_ARC
(17,12),-0.270946 # DEPENDENCYPART_ARC
(17,13),-0.453074 # DEPENDENCYPART_ARC
(17,14),0.197956 # DEPENDENCYPART_ARC
(17,15),0.975177 # DEPENDENCYPART_ARC
(17,16),1.58241 # DEPENDENCYPART_ARC
(18,1),-1.37618 # DEPENDENCYPART_ARC
(18,4),-3.92311 # DEPENDENCYPART_ARC
(18,9),-2.98727 # DEPENDENCYPART_ARC
(18,12),-2.08336 # DEPENDENCYPART_ARC
(18,13),-1.23044 # DEPENDENCYPART_ARC
(18,14),-0.939876 # DEPENDENCYPART_ARC
(18,15),-1.25974 # DEPENDENCYPART_ARC
(18,16),-0.514741 # DEPENDENCYPART_ARC
(18,17),0.351305 # DEPENDENCYPART_ARC
(18,24),-1.0618 # DEPENDENCYPART_ARC
(18,28),-1.23826 # DEPENDENCYPART_ARC
(18,29),-1.70717 # DEPENDENCYPART_ARC
(18,30),-1.34305 # DEPENDENCYPART_ARC
(19,17),-1.2176 # DEPENDENCYPART_ARC
(19,18),-0.456568 # DEPENDENCYPART_ARC
(19,21),-0.804236 # DEPENDENCYPART_ARC
(19,24),-0.649081 # DEPENDENCYPART_ARC
(20,15),-1.31059 # DEPENDENCYPART_ARC
(20,16),-1.30735 # DEPENDENCYPART_ARC
(20,17),-1.58274 # DEPENDENCYPART_ARC
(20,18),-0.852922 # DEPENDENCYPART_ARC
(20,19),-0.0762009 # DEPENDENCYPART_ARC
(20,26),-1.22171 # DEPENDENCYPART_ARC
(20,27),-1.26741 # DEPENDENCYPART_ARC
(20,28),-1.34129 # DEPENDENCYPART_ARC
(21,7),-1.49856 # DEPENDENCYPART_ARC
(21,13),-1.15355 # DEPENDENCYPART_ARC
(21,14),-2.27785 # DEPENDENCYPART_ARC
(21,16),-2.02991 # DEPENDENCYPART_ARC
(21,17),-0.815247 # DEPENDENCYPART_ARC
(21,18),-0.740015 # DEPENDENCYPART_ARC
(21,19),-0.451468 # DEPENDENCYPART_ARC
(21,20),1.00297 # DEPENDENCYPART_ARC
(21,22),-0.973175 # DEPENDENCYPART_ARC
(21,25),-1.06664 # DEPENDENCYPART_ARC
(21,26),-1.2758 # DEPENDENCYPART_ARC
(21,27),-1.39076 # DEPENDENCYPART_ARC
(22,2),-0.919983 # DEPENDENCYPART_ARC
(22,3),-1.14159 # DEPENDENCYPART_ARC
(22,5),-0.73819 # DEPENDENCYPART_ARC
(22,8),-0.688893 # DEPENDENCYPART_ARC
(22,10),-0.851819 # DEPENDENCYPART_ARC
(22,12),-3.64646 # DEPENDENCYPART_ARC
(22,14),-0.770275 # DEPENDENCYPART_ARC
(22,15),-2.53441 # DEPENDENCYPART_ARC
(22,16),-2.52101 # DEPENDENCYPART_ARC
(22,17),-1.64213 # DEPENDENCYPART_ARC
(22,18),-0.831886 # DEPENDENCYPART_ARC
(22,19),0.314235 # DEPENDENCYPART_ARC
(22,20),-0.710437 # DEPENDENCYPART_ARC
(22,21),1.05076 # DEPENDENCYPART_ARC
(22,24),-0.852311 # DEPENDENCYPART_ARC
(22,25),-0.968535 # DEPENDENCYPART_ARC
(22,26),-1.43387 # DEPENDENCYPART_ARC
(22,27),-1.37036 # DEPENDENCYPART_ARC
(22,28),-1.81705 # DEPENDENCYPART_ARC
(22,29),-1.79601 # DEPENDENCYPART_ARC
(23,11),-0.802394 # DEPENDENCYPART_ARC
(23,12),-1.81798 # DEPENDENCYPART_ARC
(23,14),-0.860068 # DEPENDENCYPART_ARC
(23,15),-1.00897 # DEPENDENCYPART_ARC
(23,18),-0.350073 # DEPENDENCYPART_ARC
(23,20),-0.48724 # DEPENDENCYPART_ARC
(23,21),0.3504 # DEPENDENCYPART_ARC
(23,22),1.52007 # DEPENDENCYPART_ARC
(24,7),-1.58334 # DEPENDENCYPART_ARC
(24,10),-0.988103 # DEPENDENCYPART_ARC
(24,12),-3.87684 # DEPENDENCYPART_ARC
(24,13),-1.61895 # DEPENDENCYPART_ARC
(24,14),-2.16716 # DEPENDENCYPART_ARC
(24,15),-2.86846 # DEPENDENCYPART_ARC
(24,17),-1.26191 # DEPENDENCYPART_ARC
(24,18),-0.858556 # DEPENDENCYPART_ARC
(24,19),-0.758613 # DEPENDENCYPART_ARC
(24,20),-0.553644 # DEPENDENCYPART_ARC
(24,21),-1.11645 # DEPENDENCYPART_ARC
(24,22),-0.503402 # DEPENDENCYPART_ARC
(24,23),1.24745 # DEPENDENCYPART_ARC
(24,25),-0.489728 # DEPENDENCYPART_ARC
(24,26),-1.5098 # DEPENDENCYPART_ARC
(24,27),-2.00402 # DEPENDENCYPART_ARC
(24,28),-1.74587 # DEPENDENCYPART_ARC
(24,29),-2.07172 # DEPENDENCYPART_ARC
(25,21),-0.539425 # DEPENDENCYPART_ARC
(25,22),-0.567496 # DEPENDENCYPART_ARC
(25,24),1.70009 # DEPENDENCYPART_ARC
(25,26),-1.00678 # DEPENDENCYPART_ARC
(25,27),-1.13516 # DEPENDENCYPART_ARC
(26,17),-2.05982 # DEPENDENCYPART_ARC
(26,19),-1.32172 # DEPENDENCYPART_ARC
(26,20),-1.42647 # DEPENDENCYPART_ARC
(26,21),-1.59946 # DEPENDENCYPART_ARC
(26,22),-1.30806 # DEPENDENCYPART_ARC
(26,23),-0.606861 # DEPENDENCYPART_ARC
(26,24),-0.404412 # DEPENDENCYPART_ARC
(26,25),0.164187 # DEPENDENCYPART_ARC
(26,27),-1.35305 # DEPENDENCYPART_ARC
(26,28),-1.3475 # DEPENDENCYPART_ARC
(26,29),-1.69001 # DEPENDENCYPART_ARC
(27,17),-1.91637 # DEPENDENCYPART_ARC
(27,18),-0.786071 # DEPENDENCYPART_ARC
(27,19),-1.39985 # DEPENDENCYPART_ARC
(27,20),-1.37196 # DEPENDENCYPART_ARC
(27,21),-1.29662 # DEPENDENCYPART_ARC
(27,22),-1.81309 # DEPENDENCYPART_ARC
(27,23),-0.600437 # DEPENDENCYPART_ARC
(27,24),-0.278796 # DEPENDENCYPART_ARC
(27,25),-0.300873 # DEPENDENCYPART_ARC
(27,26),1.67612 # DEPENDENCYPART_ARC
(27,28),-0.73878 # DEPENDENCYPART_ARC
(27,29),-1.35954 # DEPENDENCYPART_ARC
(28,17),-2.20195 # DEPENDENCYPART_ARC
(28,19),-1.36622 # DEPENDENCYPART_ARC
(28,20),-1.83042 # DEPENDENCYPART_ARC
(28,21),-2.01402 # DEPENDENCYPART_ARC
(28,22),-2.11932 # DEPENDENCYPART_ARC
(28,23),-1.09459 # DEPENDENCYPART_ARC
(28,24),-1.28063 # DEPENDENCYPART_ARC
(28,25),-0.659384 # DEPENDENCYPART_ARC
(28,26),-0.34288 # DEPENDENCYPART_ARC
(28,27),0.0479332 # DEPENDENCYPART_ARC
(28,29),-0.808646 # DEPENDENCYPART_ARC
(29,5),-1.09322 # DEPENDENCYPART_ARC
(29,10),-1.09817 # DEPENDENCYPART_ARC
(29,14),-1.17796 # DEPENDENCYPART_ARC
(29,19),-0.586464 # DEPENDENCYPART_ARC
(29,20),-1.40796 # DEPENDENCYPART_ARC
(29,21),-0.767872 # DEPENDENCYPART_ARC
(29,22),-3.07381 # DEPENDENCYPART_ARC
(29,23),-1.31975 # DEPENDENCYPART_ARC
(29,24),-0.633684 # DEPENDENCYPART_ARC
(29,25),-0.800924 # DEPENDENCYPART_ARC
(29,26),-0.319368 # DEPENDENCYPART_ARC
(29,27),0.0533111 # DEPENDENCYPART_ARC
(29,28),0.49539 # DEPENDENCYPART_ARC
(29,30),-0.652146 # DEPENDENCYPART_ARC
(30,2),-1.16994 # DEPENDENCYPART_ARC
(30,3),-0.976369 # DEPENDENCYPART_ARC
(30,4),-6.94751 # DEPENDENCYPART_ARC
(30,5),-0.145442 # DEPENDENCYPART_ARC
(30,6),-0.484973 # DEPENDENCYPART_ARC
(30,8),-0.923527 # DEPENDENCYPART_ARC
(30,9),-6.00615 # DEPENDENCYPART_ARC
(30,10),-0.00745195 # DEPENDENCYPART_ARC
(30,11),-1.24052 # DEPENDENCYPART_ARC
(30,12),-4.81296 # DEPENDENCYPART_ARC
(30,13),-0.888855 # DEPENDENCYPART_ARC
(30,14),-0.963923 # DEPENDENCYPART_ARC
(30,15),-3.98852 # DEPENDENCYPART_ARC
(30,16),-4.622 # DEPENDENCYPART_ARC
(30,18),-0.489807 # DEPENDENCYPART_ARC
(30,19),0.0234287 # DEPENDENCYPART_ARC
(30,20),-0.858209 # DEPENDENCYPART_ARC
(30,21),0.00912627 # DEPENDENCYPART_ARC
(30,22),-2.79572 # DEPENDENCYPART_ARC
(30,23),-0.757606 # DEPENDENCYPART_ARC
(30,24),0.13115 # DEPENDENCYPART_ARC
(30,25),-0.528349 # DEPENDENCYPART_ARC
(30,26),0.33751 # DEPENDENCYPART_ARC
(30,27),0.378758 # DEPENDENCYPART_ARC
(30,28),0.889702 # DEPENDENCYPART_ARC
(30,29),1.89654 # DEPENDENCYPART_ARC
(31,4),-5.32424 # DEPENDENCYPART_ARC
(31,5),-0.82562 # DEPENDENCYPART_ARC
(31,6),-1.0149 # DEPENDENCYPART_ARC
(31,9),-4.72106 # DEPENDENCYPART_ARC
(31,10),-0.724854 # DEPENDENCYPART_ARC
(31,13),-1.08943 # DEPENDENCYPART_ARC
(31,16),-3.3908 # DEPENDENCYPART_ARC
(31,17),-1.04261 # DEPENDENCYPART_ARC
(31,18),-0.841134 # DEPENDENCYPART_ARC
(31,20),-0.537338 # DEPENDENCYPART_ARC
(31,22),-2.17927 # DEPENDENCYPART_ARC
(31,23),-0.571804 # DEPENDENCYPART_ARC
(31,24),-0.644032 # DEPENDENCYPART_ARC
(31,25),-0.275572 # DEPENDENCYPART_ARC
(31,26),-0.558992 # DEPENDENCYPART_ARC
(31,27),-0.566944 # DEPENDENCYPART_ARC
(31,28),-0.53622 # DEPENDENCYPART_ARC
(31,29),-0.216114 # DEPENDENCYPART_ARC
(31,30),1.60653 # DEPENDENCYPART_ARC
(0,11),(0,18),-0.0509876 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.00250033 # DEPENDENCYPART_SIBL
(0,11),(0,31),-0.0126125 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.00250033 # DEPENDENCYPART_SIBL
(0,18),(0,31),-0.0126125 # DEPENDENCYPART_SIBL
(0,25),(0,31),-0.437137 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0107756 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.13274 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0107783 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.011971 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0239058 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0324608 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0243113 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.01356 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0354671 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0570053 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0275428 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.031429 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00585985 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0352649 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0127641 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00277362 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0653304 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0658288 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0133232 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.059696 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0660347 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.130367 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0431282 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.121886 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.242018 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0359917 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.156898 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0346014 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.279696 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.15343 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0413838 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0116111 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00652723 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00328174 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00920451 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0112747 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0514966 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00365507 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.015049 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.132762 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.145078 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.068981 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0147695 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0248877 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.135241 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.00425294 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0255826 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0733833 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.117559 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.00932193 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.094214 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0550209 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0239016 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.112917 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00546334 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0909788 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0536802 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.168064 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.1284 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.138428 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0470434 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0327369 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0803631 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0368512 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00098642 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0259209 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00425294 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0239058 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0324608 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.131362 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0891203 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.109709 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.141692 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0249855 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0991103 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0814966 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0570053 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0182857 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0815215 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.011445 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0118358 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0335194 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0281564 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0607369 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0736513 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0787798 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0128432 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.00744676 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0155815 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0373243 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0699033 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.389524 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.343698 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.34744 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.567551 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.118712 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.116215 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0608441 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0125023 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.112237 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0674848 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0839802 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0454559 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0434916 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.087981 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0778002 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0249855 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0991103 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0814966 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0373593 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0699383 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0683883 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.121886 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.111577 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0524319 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0298365 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.116403 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.242018 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.090399 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0320375 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.00860957 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0469636 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.156898 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0170049 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0227863 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.127812 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0197641 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0519493 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.100454 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0289727 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0660377 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.130367 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.15454 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0182462 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.00474098 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0156261 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0335228 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0997766 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0182491 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.00474098 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0156261 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0561971 # DEPENDENCYPART_SIBL
(11,1),(11,30),-0.0415705 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0561865 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0262556 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0293411 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0806132 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0925757 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0561865 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0262556 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0586021 # DEPENDENCYPART_SIBL
(11,3),(11,30),-0.0336151 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.144268 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0549743 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.200916 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.409002 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.788511 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.144268 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.166193 # DEPENDENCYPART_SIBL
(11,4),(11,30),-0.138087 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0479796 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0538663 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0262336 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.00182672 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0424245 # DEPENDENCYPART_SIBL
