# _root_ _ İnsanlık , _ Roma_İmparatorluğu döneminin öncesinde bu birleşime çok yaklaşmış , fakat çağdaş bilimin _ doğuşu için Bilimsel_Devrimi _ beklemek zorunda_kalmıştır .
#goldHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
#predictedHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
(9,4),-2.39487 # DEPENDENCYPART_ARC
(9,5),-1.49835 # DEPENDENCYPART_ARC
(9,6),-1.45314 # DEPENDENCYPART_ARC
(9,7),-0.999744 # DEPENDENCYPART_ARC
(9,8),0.746257 # DEPENDENCYPART_ARC
(9,10),-0.732646 # DEPENDENCYPART_ARC
(9,22),-2.65149 # DEPENDENCYPART_ARC
(10,4),-1.5332 # DEPENDENCYPART_ARC
(10,5),-1.54894 # DEPENDENCYPART_ARC
(10,6),-1.47331 # DEPENDENCYPART_ARC
(10,7),-1.28123 # DEPENDENCYPART_ARC
(10,8),-0.678033 # DEPENDENCYPART_ARC
(10,9),0.0264142 # DEPENDENCYPART_ARC
(11,1),-2.20395 # DEPENDENCYPART_ARC
(11,2),-0.0420057 # DEPENDENCYPART_ARC
(11,3),-0.564951 # DEPENDENCYPART_ARC
(11,4),-1.02065 # DEPENDENCYPART_ARC
(11,5),0.643884 # DEPENDENCYPART_ARC
(11,6),0.252342 # DEPENDENCYPART_ARC
(11,7),1.19344 # DEPENDENCYPART_ARC
(11,8),-0.227488 # DEPENDENCYPART_ARC
(11,9),1.55787 # DEPENDENCYPART_ARC
(11,10),1.36578 # DEPENDENCYPART_ARC
(11,13),-0.829818 # DEPENDENCYPART_ARC
(11,14),-1.47328 # DEPENDENCYPART_ARC
(11,15),-2.21359 # DEPENDENCYPART_ARC
(11,16),-2.12983 # DEPENDENCYPART_ARC
(11,17),-1.29632 # DEPENDENCYPART_ARC
(11,18),-0.835128 # DEPENDENCYPART_ARC
(11,19),-1.45483 # DEPENDENCYPART_ARC
(11,20),-2.1012 # DEPENDENCYPART_ARC
(11,21),-1.74061 # DEPENDENCYPART_ARC
(11,22),-1.97703 # DEPENDENCYPART_ARC
(12,3),-0.716742 # DEPENDENCYPART_ARC
(12,6),-0.865053 # DEPENDENCYPART_ARC
(12,7),-0.780998 # DEPENDENCYPART_ARC
(12,8),-1.13313 # DEPENDENCYPART_ARC
(12,9),-0.569473 # DEPENDENCYPART_ARC
(12,10),-0.897835 # DEPENDENCYPART_ARC
(12,11),0.941371 # DEPENDENCYPART_ARC
(12,13),-0.639322 # DEPENDENCYPART_ARC
(12,16),-1.24393 # DEPENDENCYPART_ARC
(12,19),-1.15713 # DEPENDENCYPART_ARC
(12,20),-1.5242 # DEPENDENCYPART_ARC
(12,22),-1.14173 # DEPENDENCYPART_ARC
(13,11),-0.819676 # DEPENDENCYPART_ARC
(13,12),-0.656592 # DEPENDENCYPART_ARC
(13,15),-0.866271 # DEPENDENCYPART_ARC
(14,11),-1.41294 # DEPENDENCYPART_ARC
(14,12),-1.03721 # DEPENDENCYPART_ARC
(14,13),-0.353766 # DEPENDENCYPART_ARC
(14,19),-1.14211 # DEPENDENCYPART_ARC
(15,8),-1.02331 # DEPENDENCYPART_ARC
(15,9),-1.73374 # DEPENDENCYPART_ARC
(15,10),-0.96098 # DEPENDENCYPART_ARC
(15,11),-1.98787 # DEPENDENCYPART_ARC
(15,12),-0.698353 # DEPENDENCYPART_ARC
(15,13),-0.6131 # DEPENDENCYPART_ARC
(15,14),1.20739 # DEPENDENCYPART_ARC
(15,16),-1.07114 # DEPENDENCYPART_ARC
(15,17),-0.92005 # DEPENDENCYPART_ARC
(15,18),-1.07268 # DEPENDENCYPART_ARC
(15,19),-1.64429 # DEPENDENCYPART_ARC
(15,20),-1.67762 # DEPENDENCYPART_ARC
(16,1),-5.1711 # DEPENDENCYPART_ARC
(16,2),-0.863423 # DEPENDENCYPART_ARC
(16,4),-4.32405 # DEPENDENCYPART_ARC
(16,5),-0.699652 # DEPENDENCYPART_ARC
(16,6),-0.608051 # DEPENDENCYPART_ARC
(16,7),-0.660893 # DEPENDENCYPART_ARC
(16,9),-0.568354 # DEPENDENCYPART_ARC
(16,10),-1.11855 # DEPENDENCYPART_ARC
(16,11),-1.17523 # DEPENDENCYPART_ARC
(16,12),-0.462008 # DEPENDENCYPART_ARC
(16,13),-0.728556 # DEPENDENCYPART_ARC
(16,14),-0.573701 # DEPENDENCYPART_ARC
(16,15),1.26828 # DEPENDENCYPART_ARC
(16,17),-0.735699 # DEPENDENCYPART_ARC
(16,18),-0.837581 # DEPENDENCYPART_ARC
(16,19),-1.10413 # DEPENDENCYPART_ARC
(16,20),-1.70776 # DEPENDENCYPART_ARC
(16,21),-1.32698 # DEPENDENCYPART_ARC
(17,1),-3.6876 # DEPENDENCYPART_ARC
(17,2),-0.443956 # DEPENDENCYPART_ARC
(17,3),-0.713143 # DEPENDENCYPART_ARC
(17,4),-2.9293 # DEPENDENCYPART_ARC
(17,5),-0.837889 # DEPENDENCYPART_ARC
(17,6),-0.13543 # DEPENDENCYPART_ARC
(17,7),-1.50831 # DEPENDENCYPART_ARC
(17,9),-0.84287 # DEPENDENCYPART_ARC
(17,10),-0.733736 # DEPENDENCYPART_ARC
(17,12),-0.552572 # DEPENDENCYPART_ARC
(17,13),-0.516606 # DEPENDENCYPART_ARC
(17,14),-0.1602 # DEPENDENCYPART_ARC
(17,15),1.6004 # DEPENDENCYPART_ARC
(17,16),2.02317 # DEPENDENCYPART_ARC
(17,21),-1.16315 # DEPENDENCYPART_ARC
(18,10),-0.816185 # DEPENDENCYPART_ARC
(18,12),-0.553926 # DEPENDENCYPART_ARC
(18,13),-0.343211 # DEPENDENCYPART_ARC
(18,14),-0.636264 # DEPENDENCYPART_ARC
(18,15),-0.455158 # DEPENDENCYPART_ARC
(18,16),-0.255706 # DEPENDENCYPART_ARC
(18,17),2.31793 # DEPENDENCYPART_ARC
(18,19),-0.702197 # DEPENDENCYPART_ARC
(19,14),-1.36846 # DEPENDENCYPART_ARC
(19,15),-1.22732 # DEPENDENCYPART_ARC
(19,16),-1.0193 # DEPENDENCYPART_ARC
(19,17),-0.647532 # DEPENDENCYPART_ARC
(19,18),-0.249518 # DEPENDENCYPART_ARC
(19,20),-1.06386 # DEPENDENCYPART_ARC
(19,21),-0.594694 # DEPENDENCYPART_ARC
(20,1),-6.81689 # DEPENDENCYPART_ARC
(20,2),-1.08428 # DEPENDENCYPART_ARC
(20,5),-0.935192 # DEPENDENCYPART_ARC
(20,6),-0.851477 # DEPENDENCYPART_ARC
(20,7),-0.922782 # DEPENDENCYPART_ARC
(20,9),-0.848269 # DEPENDENCYPART_ARC
(20,10),-1.31539 # DEPENDENCYPART_ARC
(20,11),-1.59982 # DEPENDENCYPART_ARC
(20,12),-0.48472 # DEPENDENCYPART_ARC
(20,14),-1.36334 # DEPENDENCYPART_ARC
(20,15),-0.23322 # DEPENDENCYPART_ARC
(20,16),-1.65104 # DEPENDENCYPART_ARC
(20,17),-0.64176 # DEPENDENCYPART_ARC
(20,18),0.07527 # DEPENDENCYPART_ARC
(20,19),1.04573 # DEPENDENCYPART_ARC
(20,21),-0.772487 # DEPENDENCYPART_ARC
(20,22),-1.35047 # DEPENDENCYPART_ARC
(21,1),-5.66516 # DEPENDENCYPART_ARC
(21,2),-1.51776 # DEPENDENCYPART_ARC
(21,4),-4.84755 # DEPENDENCYPART_ARC
(21,5),-1.94895 # DEPENDENCYPART_ARC
(21,6),-2.05498 # DEPENDENCYPART_ARC
(21,7),-2.18895 # DEPENDENCYPART_ARC
(21,9),-1.83374 # DEPENDENCYPART_ARC
(21,12),-0.769832 # DEPENDENCYPART_ARC
(21,13),-0.600282 # DEPENDENCYPART_ARC
(21,14),-1.00418 # DEPENDENCYPART_ARC
(21,15),-0.965406 # DEPENDENCYPART_ARC
(21,17),-0.585268 # DEPENDENCYPART_ARC
(21,18),-0.298421 # DEPENDENCYPART_ARC
(21,19),0.00470906 # DEPENDENCYPART_ARC
(21,20),2.02568 # DEPENDENCYPART_ARC
(22,1),-5.05988 # DEPENDENCYPART_ARC
(22,2),-0.970701 # DEPENDENCYPART_ARC
(22,3),-1.40682 # DEPENDENCYPART_ARC
(22,4),-4.47956 # DEPENDENCYPART_ARC
(22,5),-0.941868 # DEPENDENCYPART_ARC
(22,6),-1.5113 # DEPENDENCYPART_ARC
(22,7),-0.471844 # DEPENDENCYPART_ARC
(22,9),-0.458572 # DEPENDENCYPART_ARC
(22,10),-0.693966 # DEPENDENCYPART_ARC
(22,11),-0.643628 # DEPENDENCYPART_ARC
(22,12),-0.0239813 # DEPENDENCYPART_ARC
(22,13),-0.274695 # DEPENDENCYPART_ARC
(22,14),-0.890317 # DEPENDENCYPART_ARC
(22,15),-0.887616 # DEPENDENCYPART_ARC
(22,16),-2.08843 # DEPENDENCYPART_ARC
(22,17),0.40163 # DEPENDENCYPART_ARC
(22,18),0.545395 # DEPENDENCYPART_ARC
(22,19),0.536768 # DEPENDENCYPART_ARC
(22,20),-0.286211 # DEPENDENCYPART_ARC
(22,21),2.09137 # DEPENDENCYPART_ARC
(23,1),-4.16768 # DEPENDENCYPART_ARC
(23,10),-1.03693 # DEPENDENCYPART_ARC
(23,11),-0.753144 # DEPENDENCYPART_ARC
(23,13),0.439723 # DEPENDENCYPART_ARC
(23,14),-0.842242 # DEPENDENCYPART_ARC
(23,15),-0.77767 # DEPENDENCYPART_ARC
(23,16),-1.70386 # DEPENDENCYPART_ARC
(23,17),-0.800217 # DEPENDENCYPART_ARC
(23,18),-0.611824 # DEPENDENCYPART_ARC
(23,19),-0.772934 # DEPENDENCYPART_ARC
(23,20),-0.747921 # DEPENDENCYPART_ARC
(23,21),-0.584402 # DEPENDENCYPART_ARC
(23,22),1.33416 # DEPENDENCYPART_ARC
(0,3),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0126125 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0126125 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.306944 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0317015 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0317015 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.033615 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.033615 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0255374 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0103456 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0128986 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.030108 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.441121 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.274954 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.938531 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0172224 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0662159 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.170951 # DEPENDENCYPART_SIBL
(5,2),(5,8),-1.17683e-05 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.321649 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0347988 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0172224 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.319127 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00649166 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0347988 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.439026 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0172224 # DEPENDENCYPART_SIBL
(6,5),(6,8),-1.17683e-05 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0800069 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.214768 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0356318 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0390099 # DEPENDENCYPART_SIBL
(7,2),(7,8),-9.60406e-05 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0213744 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00707788 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.00707788 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.338511 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00348693 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00461298 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0347988 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0420183 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.000445715 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.000445715 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.467643 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.471021 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0173067 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0367505 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0212675 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0212675 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0395963 # DEPENDENCYPART_SIBL
(7,5),(7,8),-9.60406e-05 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0213744 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00707788 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.00707788 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00166229 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0196161 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00531955 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.00531955 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0132885 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0027364 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0027364 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0125873 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0125873 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.0248625 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.319127 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.00649166 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0053656 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0120618 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0299327 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.134615 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.000445715 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.439026 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.442405 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.440896 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.309441 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0731315 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0211832 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0109794 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.009471 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0494898 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0123132 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.00699361 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.00594389 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0487654 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0105549 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.00523527 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0448332 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0123132 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.00699361 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0609903 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0101508 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0296657 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.159355 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.160481 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.160687 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0567235 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.159355 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0524102 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0522042 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.00233484 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0535362 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0538988 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.00233484 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0552308 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.00233484 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0585247 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0599678 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.620931 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.431953 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.957584 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.622099 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.622057 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.621492 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.43673 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.620931 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.343629 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.183487 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0212024 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.00527508 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0905943 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.00527488 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.092419 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.00527488 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0905943 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.00527488 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0151519 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.157828 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0532037 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0718101 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0717679 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0712033 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.130501 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0706418 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0325155 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0774124 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.034623 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.00183868 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0760747 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.00183869 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.118615 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.00183869 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0760747 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.00183869 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.0071139 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.217742 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0202596 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0214278 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0349354 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0576863 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0214278 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0294842 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0292301 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0355914 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.00827407 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.117494 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.00827072 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0523114 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.00827072 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.117494 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.00827072 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0186727 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.622099 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.622057 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.621492 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.43673 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.620931 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.343629 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.183487 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0212024 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00527508 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0905943 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.00527488 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.092419 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.00527488 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0905943 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.00527488 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0151519 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0741134 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0735488 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.131674 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0729874 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0313427 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0774124 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.034623 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.00183868 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0760747 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.00183869 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.118615 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.00183869 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0760747 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.00183869 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0071139 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0700951 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.130501 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0695337 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0325155 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0756541 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.034623 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.00183868 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0760747 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.00183869 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.118615 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.00183869 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0760747 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.00183869 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.0071139 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.130736 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.065903 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0322805 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0774143 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0346249 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.00183313 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0760765 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00183314 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.118613 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.00183314 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0760765 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.00183314 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.00711575 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0120024 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.118184 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0415457 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0363329 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0328211 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0760459 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0327991 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.00731407 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0327991 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0760459 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0327991 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.027219 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0325155 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0774124 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.034623 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.00183868 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0760747 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.00183869 # DEPENDENCYPART_SIBL
