# _root_ Gündüz ayrı iş , gece ayrı iş ; can mı dayanır , diye _ söylendi saatine _ bakarken .
#goldHeads=3,3,4,7,7,7,8,0,11,9,12,13,15,15,19,17,18,15,0,
#predictedHeads=3,3,4,0,7,7,8,0,11,9,12,13,14,15,19,17,18,15,0,
(18,12),-0.562009 # DEPENDENCYPART_ARC
(18,13),-0.396046 # DEPENDENCYPART_ARC
(18,16),0.314427 # DEPENDENCYPART_ARC
(18,17),1.5538 # DEPENDENCYPART_ARC
(19,1),-0.868541 # DEPENDENCYPART_ARC
(19,2),-1.04741 # DEPENDENCYPART_ARC
(19,6),-0.993124 # DEPENDENCYPART_ARC
(19,8),-0.788342 # DEPENDENCYPART_ARC
(19,11),-0.188556 # DEPENDENCYPART_ARC
(19,12),-1.03913 # DEPENDENCYPART_ARC
(19,13),-0.534267 # DEPENDENCYPART_ARC
(19,14),-0.926765 # DEPENDENCYPART_ARC
(19,15),0.539075 # DEPENDENCYPART_ARC
(19,16),-0.692362 # DEPENDENCYPART_ARC
(19,17),0.316489 # DEPENDENCYPART_ARC
(19,18),-0.0266124 # DEPENDENCYPART_ARC
(0,4),(0,8),0.0938658 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.103276 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0155488 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0477079 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0890683 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0314854 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0254956 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0018811 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0489724 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0915972 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0350315 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.057548 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0259771 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00301631 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.11194 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0814244 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0360606 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0610477 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.036066 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0610477 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.134061 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0182543 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0423428 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0182543 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0423428 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0353915 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0603836 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0353969 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0603836 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0265617 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0255374 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0265617 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0286604 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0301275 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0265617 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0616982 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0446475 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0391142 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0932757 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0236592 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0744024 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00191953 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0257082 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0126242 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0191895 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0418453 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0232305 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0232649 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0244216 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0108742 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0244483 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0109369 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.047543 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0121536 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.00606135 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0547896 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0890683 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00989463 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.07268 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00734781 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0890683 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0162711 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0237767 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0268581 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0101744 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0536842 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00700105 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0713679 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0358878 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.113035 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.118994 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0244658 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0917489 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00433512 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00388947 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.00815102 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0437898 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0740991 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00870876 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0719321 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0162515 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0239432 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0268663 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0101837 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0554782 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00878507 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00404206 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0199348 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0231434 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0412793 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.251871 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00644072 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0579879 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00143832 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.10279 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0162597 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.016703 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0268637 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0101842 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0537123 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.00702914 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0244658 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0917489 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00433512 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.00388947 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.00815102 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0437898 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0366322 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0203402 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0295807 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0405633 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0335942 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00662989 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.000768753 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0226956 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.012602 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0208058 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0174547 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.00658719 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0338691 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0263773 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0294243 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0187281 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0256317 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0136025 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0258463 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.053098 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0872226 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.053098 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0255937 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0872226 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0560875 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0355262 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0135864 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0268434 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0487374 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0268489 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0127067 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0487374 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.09279 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0116636 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00692546 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0280035 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00692546 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0119168 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0280035 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0165036 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0264381 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0483371 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0264436 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0156239 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0483371 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0291632 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0340188 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0291778 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.043453 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0340188 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0238571 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.023179 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0201486 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0238571 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0261276 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.027315 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0272485 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0201486 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0238571 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0340188 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.101198 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.00586745 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0693215 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.011375 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.101198 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00586745 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0760021 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0268581 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00699361 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0314854 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0101744 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0545672 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.00699903 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0545672 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0738913 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0347398 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.115558 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.129136 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0738913 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0229092 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.00925658 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0388704 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0538938 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.00881093 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0144102 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0388704 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0144102 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0707406 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.00468159 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0840615 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0222043 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0774213 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0268663 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00877763 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0314994 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0101837 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0563613 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.00878305 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0563613 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.00558984 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0279751 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0225495 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0912879 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.252862 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.000445715 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0185161 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.00545012 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0578804 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.000445715 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0578804 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.11492 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0447092 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0602948 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0268637 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0070217 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0314947 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0101842 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0545953 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.00702713 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0545953 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0738913 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0229092 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.00925658 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0388704 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0538938 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00881093 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0144102 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0388704 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0144102 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0774213 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0268663 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00877763 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0314994 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0101837 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0563613 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00878305 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0563613 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.13734 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.000919665 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.046127 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0127118 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0409892 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.000919665 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0409892 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.00658719 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.00920085 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0208058 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0190466 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.00658719 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0190466 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0315776 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0257062 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0320893 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0248625 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0320893 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0329681 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0502287 # DEPENDENCYPART_SIBL
