# _root_ Birkaç tane rapor ve kamuoyunda da bu olayın kaza _ olmadığı , suikast _ olduğu gibi yaygın bir kanaat _ vardı , o kadar .
#goldHeads=2,3,4,5,20,5,8,10,10,11,12,14,14,15,16,19,19,19,20,21,22,24,24,25,0,
#predictedHeads=2,3,4,5,10,5,8,11,10,11,21,0,15,15,16,21,19,19,21,21,25,0,24,21,0,
(10,4),-0.427544 # DEPENDENCYPART_ARC
(10,5),-0.107737 # DEPENDENCYPART_ARC
(10,6),-0.799425 # DEPENDENCYPART_ARC
(10,7),-0.704742 # DEPENDENCYPART_ARC
(10,8),0.361392 # DEPENDENCYPART_ARC
(10,9),1.18165 # DEPENDENCYPART_ARC
(10,11),-0.401918 # DEPENDENCYPART_ARC
(10,12),-1.12223 # DEPENDENCYPART_ARC
(10,13),-2.13552 # DEPENDENCYPART_ARC
(10,15),-1.78051 # DEPENDENCYPART_ARC
(10,16),-1.0782 # DEPENDENCYPART_ARC
(10,19),-2.10708 # DEPENDENCYPART_ARC
(10,24),-2.05137 # DEPENDENCYPART_ARC
(11,2),0.108573 # DEPENDENCYPART_ARC
(11,3),0.164977 # DEPENDENCYPART_ARC
(11,4),-0.309667 # DEPENDENCYPART_ARC
(11,5),-0.988853 # DEPENDENCYPART_ARC
(11,6),-0.625885 # DEPENDENCYPART_ARC
(11,7),-0.450866 # DEPENDENCYPART_ARC
(11,8),0.997418 # DEPENDENCYPART_ARC
(11,9),1.39063 # DEPENDENCYPART_ARC
(11,10),2.10425 # DEPENDENCYPART_ARC
(11,15),-1.1044 # DEPENDENCYPART_ARC
(12,1),-1.57744 # DEPENDENCYPART_ARC
(12,6),-1.18951 # DEPENDENCYPART_ARC
(12,8),-1.12667 # DEPENDENCYPART_ARC
(12,9),-0.910031 # DEPENDENCYPART_ARC
(12,10),-0.676143 # DEPENDENCYPART_ARC
(12,11),0.229748 # DEPENDENCYPART_ARC
(12,13),-0.579755 # DEPENDENCYPART_ARC
(12,14),-1.24462 # DEPENDENCYPART_ARC
(12,16),-0.763482 # DEPENDENCYPART_ARC
(12,21),-1.48838 # DEPENDENCYPART_ARC
(12,24),-1.57246 # DEPENDENCYPART_ARC
(13,10),-1.09632 # DEPENDENCYPART_ARC
(13,11),-1.21673 # DEPENDENCYPART_ARC
(13,12),-0.605887 # DEPENDENCYPART_ARC
(13,14),-1.19615 # DEPENDENCYPART_ARC
(13,15),-0.866902 # DEPENDENCYPART_ARC
(13,17),-1.065 # DEPENDENCYPART_ARC
(13,18),-1.11318 # DEPENDENCYPART_ARC
(13,19),-1.17883 # DEPENDENCYPART_ARC
(13,21),-1.61415 # DEPENDENCYPART_ARC
(13,23),-0.983304 # DEPENDENCYPART_ARC
(14,2),-0.886643 # DEPENDENCYPART_ARC
(14,3),-0.951633 # DEPENDENCYPART_ARC
(14,5),-0.894877 # DEPENDENCYPART_ARC
(14,8),-0.473921 # DEPENDENCYPART_ARC
(14,9),-0.912762 # DEPENDENCYPART_ARC
(14,10),-1.75725 # DEPENDENCYPART_ARC
(14,11),-0.800086 # DEPENDENCYPART_ARC
(14,12),-0.445073 # DEPENDENCYPART_ARC
(14,13),1.02591 # DEPENDENCYPART_ARC
(14,15),-0.791356 # DEPENDENCYPART_ARC
(14,16),-0.923599 # DEPENDENCYPART_ARC
(14,17),-1.30368 # DEPENDENCYPART_ARC
(14,19),-1.39283 # DEPENDENCYPART_ARC
(14,21),-1.3716 # DEPENDENCYPART_ARC
(14,22),-1.656 # DEPENDENCYPART_ARC
(14,24),-1.63305 # DEPENDENCYPART_ARC
(14,25),-2.00519 # DEPENDENCYPART_ARC
(15,2),-0.796149 # DEPENDENCYPART_ARC
(15,3),-0.672876 # DEPENDENCYPART_ARC
(15,4),-0.47425 # DEPENDENCYPART_ARC
(15,5),-1.99443 # DEPENDENCYPART_ARC
(15,6),-0.959586 # DEPENDENCYPART_ARC
(15,8),-0.1588 # DEPENDENCYPART_ARC
(15,9),-0.198971 # DEPENDENCYPART_ARC
(15,11),-0.761152 # DEPENDENCYPART_ARC
(15,12),-0.528872 # DEPENDENCYPART_ARC
(15,13),1.27206 # DEPENDENCYPART_ARC
(15,14),1.93018 # DEPENDENCYPART_ARC
(16,9),-0.976984 # DEPENDENCYPART_ARC
(16,12),-0.682238 # DEPENDENCYPART_ARC
(16,13),-0.190189 # DEPENDENCYPART_ARC
(16,14),-0.270666 # DEPENDENCYPART_ARC
(16,15),2.12143 # DEPENDENCYPART_ARC
(16,19),-1.08753 # DEPENDENCYPART_ARC
(17,10),-2.14236 # DEPENDENCYPART_ARC
(17,13),-0.998341 # DEPENDENCYPART_ARC
(17,14),-0.943955 # DEPENDENCYPART_ARC
(17,15),-0.526598 # DEPENDENCYPART_ARC
(17,16),0.134617 # DEPENDENCYPART_ARC
(17,19),-0.96029 # DEPENDENCYPART_ARC
(17,24),-1.30252 # DEPENDENCYPART_ARC
(18,17),-0.572496 # DEPENDENCYPART_ARC
(19,1),-2.29643 # DEPENDENCYPART_ARC
(19,4),-0.762049 # DEPENDENCYPART_ARC
(19,7),-1.35005 # DEPENDENCYPART_ARC
(19,9),-1.21796 # DEPENDENCYPART_ARC
(19,11),-1.36226 # DEPENDENCYPART_ARC
(19,12),-0.754691 # DEPENDENCYPART_ARC
(19,13),-0.329917 # DEPENDENCYPART_ARC
(19,14),-0.628823 # DEPENDENCYPART_ARC
(19,15),-0.457305 # DEPENDENCYPART_ARC
(19,16),-0.263994 # DEPENDENCYPART_ARC
(19,17),0.542853 # DEPENDENCYPART_ARC
(19,18),1.14162 # DEPENDENCYPART_ARC
(19,20),-0.944435 # DEPENDENCYPART_ARC
(19,21),-1.32868 # DEPENDENCYPART_ARC
(19,22),-1.14597 # DEPENDENCYPART_ARC
(19,23),-1.13427 # DEPENDENCYPART_ARC
(19,24),-1.21824 # DEPENDENCYPART_ARC
(20,12),-0.720355 # DEPENDENCYPART_ARC
(20,13),-0.683358 # DEPENDENCYPART_ARC
(20,14),-1.64127 # DEPENDENCYPART_ARC
(20,16),-0.800315 # DEPENDENCYPART_ARC
(20,17),-0.859055 # DEPENDENCYPART_ARC
(20,18),-0.462654 # DEPENDENCYPART_ARC
(20,19),0.622377 # DEPENDENCYPART_ARC
(20,24),-0.756182 # DEPENDENCYPART_ARC
(21,2),-0.783225 # DEPENDENCYPART_ARC
(21,3),-0.672594 # DEPENDENCYPART_ARC
(21,5),-0.672987 # DEPENDENCYPART_ARC
(21,7),-1.28755 # DEPENDENCYPART_ARC
(21,8),-1.54085 # DEPENDENCYPART_ARC
(21,9),-0.877382 # DEPENDENCYPART_ARC
(21,10),-3.56828 # DEPENDENCYPART_ARC
(21,11),-0.358058 # DEPENDENCYPART_ARC
(21,12),-0.642015 # DEPENDENCYPART_ARC
(21,13),0.0330132 # DEPENDENCYPART_ARC
(21,14),-1.74889 # DEPENDENCYPART_ARC
(21,15),-0.0188961 # DEPENDENCYPART_ARC
(21,16),0.296694 # DEPENDENCYPART_ARC
(21,17),-0.726907 # DEPENDENCYPART_ARC
(21,18),-0.669052 # DEPENDENCYPART_ARC
(21,19),0.946762 # DEPENDENCYPART_ARC
(21,20),1.2656 # DEPENDENCYPART_ARC
(21,24),-1.40221 # DEPENDENCYPART_ARC
(22,1),-2.31697 # DEPENDENCYPART_ARC
(22,10),-3.67623 # DEPENDENCYPART_ARC
(22,13),-0.911823 # DEPENDENCYPART_ARC
(22,14),-2.31178 # DEPENDENCYPART_ARC
(22,16),-0.810288 # DEPENDENCYPART_ARC
(22,17),-1.06983 # DEPENDENCYPART_ARC
(22,18),-1.13233 # DEPENDENCYPART_ARC
(22,19),-0.716689 # DEPENDENCYPART_ARC
(22,20),-0.980803 # DEPENDENCYPART_ARC
(22,21),1.01091 # DEPENDENCYPART_ARC
(22,24),-1.0632 # DEPENDENCYPART_ARC
(22,25),-1.3361 # DEPENDENCYPART_ARC
(23,22),-0.790752 # DEPENDENCYPART_ARC
(24,4),-0.793392 # DEPENDENCYPART_ARC
(24,7),-1.36518 # DEPENDENCYPART_ARC
(24,11),-1.25328 # DEPENDENCYPART_ARC
(24,12),-0.756196 # DEPENDENCYPART_ARC
(24,15),-1.39422 # DEPENDENCYPART_ARC
(24,16),-0.9172 # DEPENDENCYPART_ARC
(24,17),-1.05848 # DEPENDENCYPART_ARC
(24,18),-0.839413 # DEPENDENCYPART_ARC
(24,19),-0.984713 # DEPENDENCYPART_ARC
(24,20),-1.12186 # DEPENDENCYPART_ARC
(24,21),-1.50689 # DEPENDENCYPART_ARC
(24,22),-0.559713 # DEPENDENCYPART_ARC
(24,23),1.28837 # DEPENDENCYPART_ARC
(24,25),-0.94635 # DEPENDENCYPART_ARC
(25,1),-1.17087 # DEPENDENCYPART_ARC
(25,5),-0.772352 # DEPENDENCYPART_ARC
(25,6),-1.7559 # DEPENDENCYPART_ARC
(25,8),-0.867055 # DEPENDENCYPART_ARC
(25,10),-2.70174 # DEPENDENCYPART_ARC
(25,14),-1.83411 # DEPENDENCYPART_ARC
(25,16),-0.720895 # DEPENDENCYPART_ARC
(25,17),-1.23278 # DEPENDENCYPART_ARC
(25,18),-1.02223 # DEPENDENCYPART_ARC
(25,19),-1.06771 # DEPENDENCYPART_ARC
(25,20),-1.69363 # DEPENDENCYPART_ARC
(25,21),0.287334 # DEPENDENCYPART_ARC
(25,22),-0.910991 # DEPENDENCYPART_ARC
(25,23),-0.62825 # DEPENDENCYPART_ARC
(25,24),-0.027541 # DEPENDENCYPART_ARC
(0,12),(0,22),-0.0509876 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00364505 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.10531 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.125367 # DEPENDENCYPART_SIBL
(3,1),(3,6),8.149e-05 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00364505 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00401739 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.12381 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0246479 # DEPENDENCYPART_SIBL
(3,2),(3,7),-9.24281e-05 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0107101 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0757506 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0596079 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0550057 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0715187 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0627182 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.00542016 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.355777 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.105104 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.108309 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00247247 # DEPENDENCYPART_SIBL
(5,1),(5,6),8.149e-05 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00364505 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0979006 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0979007 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00296225 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.00401739 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00503856 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0359567 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0246479 # DEPENDENCYPART_SIBL
(5,2),(5,7),-9.24281e-05 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0214229 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0214228 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0537608 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0107101 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0409057 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0233167 # DEPENDENCYPART_SIBL
(5,3),(5,7),-1.17683e-05 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0209529 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0209528 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0536802 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0106294 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0355161 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0115288 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00195631 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0019562 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0268717 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0180633 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0715187 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0375948 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0375948 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0715634 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0627182 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0132885 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0132885 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00816922 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00542016 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0253263 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0226956 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.00554582 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0226956 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.00554582 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0283391 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0775599 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.195818 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.016757 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0333174 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0185814 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.016756 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0230063 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0965809 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0997866 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.00902173 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.099993 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.00156922 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.144876 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0973471 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.097345 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0438591 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0061087 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.036118 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0061087 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0526122 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0495994 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0220152 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0220173 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0318018 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.041067 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0286608 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.057719 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0544944 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0215452 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0215473 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0318824 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.062563 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.101446 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0617309 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00195845 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00196072 # DEPENDENCYPART_SIBL
(8,4),(8,23),0.0117005 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0525531 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0495403 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0215442 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0215463 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0318824 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0443325 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0156661 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0156683 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.013302 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00336055 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0033584 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.00015999 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0253285 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.00566034 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.00566035 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.100136 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.103342 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.00743951 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.103548 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.00312213 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.146008 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.107055 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.00296225 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0978985 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.00401739 # DEPENDENCYPART_SIBL
(9,1),(9,23),0.0444081 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.00582215 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0367396 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00582215 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0532892 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0511143 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0164583 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0537608 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0214249 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0107101 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.0323919 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0416886 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0283743 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0583961 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0560093 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0390105 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0536802 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0209549 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0106294 # DEPENDENCYPART_SIBL
(9,3),(9,23),0.0324726 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0636393 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.101364 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0620699 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0687244 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0268717 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.00195847 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0180633 # DEPENDENCYPART_SIBL
(9,4),(9,23),0.0117005 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0532301 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0510552 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0184346 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0536802 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0209539 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0106294 # DEPENDENCYPART_SIBL
(9,5),(9,23),0.0324726 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0446959 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.000481491 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0234248 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.015666 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0164677 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.013302 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0344428 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0476615 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00336065 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0335787 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.00015999 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0538418 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0210991 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0110535 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.0320485 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0322784 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0283391 # DEPENDENCYPART_SIBL
(9,10),(9,23),-0.0234061 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.00554583 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.00566035 # DEPENDENCYPART_SIBL
(9,18),(9,23),-0.0110422 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0493326 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0444235 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.063567 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0468396 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0622543 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.041784 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0654788 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0420168 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.00138852 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0819255 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00138852 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.000738897 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0350835 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.00138852 # DEPENDENCYPART_SIBL
(10,1),(10,24),-0.00790098 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0156139 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0480011 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0176172 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0871646 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0927816 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0147368 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.00363927 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0165676 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0327495 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0165676 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0165421 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.01648 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0165676 # DEPENDENCYPART_SIBL
(10,2),(10,24),0.0115829 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0534397 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0125546 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0929189 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0982163 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0154352 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.032697 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0110543 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0390405 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0110543 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0110288 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.000144726 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0110543 # DEPENDENCYPART_SIBL
